Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Stichocorys delmontensis	Stylodictya validispina	Stylochlamidium  venustum	Stylatractus universus	Stauroxiphos communis	Rhizosphaera antarctica	Lychnocanoma nipponica nipponica	Lamprocyclas hannai	Lamprocyclas hadros	Eucyrtidium teuscheri group	Dictyophimus splendens	Anthocyrtidium pliocenica	Rhopalastrum profunda group	Pseudocubus warreni	Eucyrtidium acuminatum	Clathrocyclas bicornis	Botryostrobus praetumidulus	Siphocampe modeloensis	Theocorys redondoensis	Spongotrochus glacialis	Pterocanium auritum	Lamprocyrtis heteroporos	Eucyrtidium calvertense	Phormostichoartus crustula	Phormostichoartus fistula	Stylacontarium acquilonium	Lamprocyclas junonis	Gondwanaria dogieli	Lamprocyrtis daniellae	Lychnocanoma nipponica sakaii	Lamprocyrtis neoheteroporos	Eucyrtidium erythromystax	Actinomma popofskii	Sphaeropyle robusta	Phormostichoartus intermedium	Dictyophimus crisiae	Acrosphaera murrayana	Pterocanium korotnevi	Cycladophora davisiana davisiana	Botryostrobus tumidulus	Sphaeropyle langii	Ceratospyris hyperborea	Botryostrobus aquilonaris	Pterocorys zancleus	Eucyrtidium matuyamai	Pterocorys clausus	Cycladophora bicincta	Lithostrobus hexagonalis	Lamprocyrtis nigriniae	Comment

  IR	Quaternary       	                 	E. matuyamai (N Pac)	              	167	1016	A	  5	H	CC	  29.00	     45.7500	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	R                      	R                        	F                     	                     	F                      	                                	                   	                   	                           	                      	                         	                           	R                  	R                     	F                     	                           	                      	                      	                       	F                  	                        	R                      	                          	                         	                          	F                   	                   	                      	                             	A                          	                         	                   	                   	                             	                    	                     	                     	A                               	R                      	                  	T                      	                         	C                  	R                    	F                 	                     	T                       	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Quaternary       	                 	E. matuyamai (N Pac)	              	167	1016	A	  6	H	CC	  23.00	     55.4800	Caulet   	Radiolarians                                 	C              	G                 	                     	                        	                       	R                        	F                     	                     	                       	                                	                   	                   	                           	                      	                         	R                          	                   	                      	                      	                           	                      	                      	                       	                   	T                       	R                      	                          	                         	C                         	R                   	R                  	                      	F                            	A                          	                         	                   	                   	                             	                    	                     	                     	A                               	C                      	                  	                       	C                        	                   	F                    	R                 	C                    	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Quaternary       	                 	E. matuyamai (N Pac)	              	167	1016	A	  7	H	CC	  21.00	     64.7600	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	R                      	                         	R                     	                     	C                      	                                	                   	T                  	R                          	                      	                         	F                          	                   	                      	C                     	F                          	                      	                      	                       	                   	R                       	                       	                          	                         	R                         	                    	R                  	                      	                             	A                          	                         	                   	                   	R                            	                    	                     	                     	A                               	A                      	                  	                       	                         	                   	C                    	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Quaternary       	                 	E. matuyamai (N Pac)	              	167	1016	A	  8	H	CC	  34.00	     74.6900	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	C                      	A                        	R                     	                     	                       	                                	                   	                   	                           	                      	                         	R                          	T                  	                      	C                     	                           	                      	                      	R                      	                   	C                       	                       	                          	                         	R                         	                    	                   	                      	                             	A                          	                         	                   	                   	                             	R                   	                     	                     	                                	A                      	C                 	R                      	                         	R                  	F                    	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Pliocene         	                 	S. langii (N Pac) 	              	167	1016	A	  9	H	CC	  28.00	     84.1600	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	A                      	A                        	C                     	                     	F                      	                                	                   	                   	                           	                      	                         	                           	                   	T                     	C                     	C                          	                      	                      	                       	R                  	A                       	R                      	                          	                         	F                         	F                   	R                  	                      	R                            	C                          	                         	R                  	                   	R                            	R                   	                     	                     	A                               	                       	                  	F                      	A                        	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Pliocene         	                 	S. langii (N Pac) 	              	167	1016	A	 10	H	CC	  24.00	     93.6400	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	C                      	F                        	                      	                     	F                      	                                	                   	                   	                           	                      	                         	                           	R                  	                      	C                     	R                          	                      	                      	                       	                   	F                       	R                      	                          	                         	                          	F                   	                   	                      	                             	C                          	                         	                   	                   	                             	R                   	                     	R                    	A                               	                       	C                 	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Pliocene         	                 	S. langii (N Pac) 	              	167	1016	A	 11	X	CC	  19.00	     95.8800	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	F                      	                         	                      	                     	C                      	                                	                   	                   	T                          	                      	                         	                           	T                  	T                     	                      	                           	                      	                      	                       	                   	A                       	                       	                          	                         	                          	                    	                   	                      	                             	F                          	T                        	                   	                   	F                            	                    	R                    	                     	C                               	                       	F                 	F                      	R                        	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 12	X	CC	  30.00	    105.3900	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	R                      	R                        	R                     	                     	R                      	                                	                   	                   	                           	                      	                         	R                          	R                  	                      	A                     	                           	                      	                      	                       	                   	A                       	R                      	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	R                   	                     	R                    	C                               	C                      	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 13	X	CC	  12.00	    115.6400	Caulet   	Radiolarians                                 	A              	G                 	F                    	                        	F                      	C                        	R                     	                     	                       	                                	                   	                   	T                          	                      	                         	T                          	                   	                      	A                     	                           	                      	                      	                       	                   	R                       	R                      	T                         	                         	R                         	                    	                   	                      	T                            	A                          	                         	R                  	                   	                             	R                   	T                    	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 14	X	CC	  28.00	    125.3000	Caulet   	Radiolarians                                 	C              	G                 	C                    	                        	F                      	F                        	                      	                     	                       	                                	                   	                   	                           	                      	                         	T                          	                   	T                     	R                     	R                          	                      	                      	                       	                   	R                       	R                      	T                         	                         	                          	                    	                   	                      	                             	F                          	                         	                   	T                  	R                            	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 15	X	CC	  13.00	    134.7300	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	                       	R                        	C                     	                     	R                      	                                	                   	C                  	                           	                      	                         	R                          	                   	C                     	C                     	R                          	                      	                      	                       	                   	C                       	R                      	                          	                         	                          	R                   	                   	                      	R                            	A                          	                         	                   	T                  	C                            	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 16	X	CC	  20.00	    144.4900	Caulet   	Radiolarians                                 	C              	G                 	                     	                        	                       	C                        	C                     	                     	                       	                                	                   	                   	                           	                      	                         	R                          	                   	                      	R                     	C                          	                      	                      	                       	                   	                        	                       	R                         	                         	R                         	                    	                   	                      	R                            	A                          	T                        	T                  	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 17	X	CC	  16.00	    154.0000	Caulet   	Radiolarians                                 	C              	G                 	C                    	                        	C                      	C                        	                      	                     	                       	                                	                   	                   	                           	                      	R                        	R                          	                   	                      	R                     	R                          	                      	                      	                       	                   	R                       	                       	F                         	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 18	X	CC	  17.00	    163.6500	Caulet   	Radiolarians                                 	R              	M                 	                     	                        	                       	                         	R                     	                     	                       	                                	                   	                   	                           	                      	R                        	                           	                   	                      	R                     	                           	                      	                      	                       	                   	                        	                       	                          	                         	R                         	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 19	X	CC	  25.00	    173.2100	Caulet   	Radiolarians                                 	F              	G                 	R                    	                        	R                      	R                        	                      	                     	R                      	                                	                   	                   	                           	                      	C                        	                           	                   	                      	                      	                           	T                     	                      	                       	                   	R                       	                       	                          	                         	                          	T                   	                   	T                     	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 20	X	CC	  20.00	    182.8900	Caulet   	Radiolarians                                 	A              	G                 	A                    	                        	R                      	                         	R                     	                     	                       	                                	                   	                   	                           	                      	C                        	                           	R                  	                      	R                     	C                          	                      	                      	R                      	                   	A                       	R                      	                          	                         	                          	F                   	T                  	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 21	X	CC	  16.00	    192.4500	Caulet   	Radiolarians                                 	A              	G                 	R                    	                        	R                      	                         	R                     	                     	R                      	                                	                   	                   	                           	T                     	R                        	                           	                   	T                     	R                     	F                          	                      	                      	                       	                   	A                       	R                      	                          	                         	R                         	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 22	X	CC	  18.00	    202.1400	Caulet   	Radiolarians                                 	C              	G                 	                     	                        	                       	                         	                      	                     	F                      	                                	                   	                   	                           	                      	                         	                           	T                  	                      	C                     	                           	                      	                      	                       	                   	R                       	                       	                          	T                        	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 23	X	CC	  31.00	    211.8100	Caulet   	Radiolarians                                 	F              	G                 	                     	                        	F                      	                         	                      	                     	F                      	                                	                   	                   	                           	                      	                         	                           	R                  	                      	C                     	                           	                      	                      	                       	                   	R                       	                       	T                         	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 24	X	CC	  25.00	    221.3800	Caulet   	Radiolarians                                 	C              	G                 	F                    	                        	R                      	F                        	R                     	                     	                       	R                               	                   	                   	                           	                      	R                        	                           	R                  	                      	F                     	                           	                      	T                     	                       	R                  	R                       	R                      	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 25	X	CC	  28.00	    231.0800	Caulet   	Radiolarians                                 	C              	G                 	C                    	                        	R                      	R                        	R                     	                     	R                      	                                	F                  	                   	                           	                      	                         	                           	F                  	                      	C                     	R                          	                      	                      	T                      	                   	                        	                       	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 26	X	CC	  22.00	    240.6300	Caulet   	Radiolarians                                 	F              	G                 	R                    	                        	                       	                         	                      	                     	                       	                                	                   	                   	                           	F                     	                         	                           	C                  	                      	C                     	                           	                      	T                     	                       	                   	                        	                       	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 27	X	CC	  34.00	    250.4100	Caulet   	Radiolarians                                 	R              	G                 	R                    	                        	                       	                         	R                     	                     	R                      	                                	                   	                   	                           	                      	                         	                           	                   	                      	                      	R                          	                      	                      	                       	                   	                        	                       	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 28	X	CC	  31.00	    259.9900	Caulet   	Radiolarians                                 	F              	G                 	A                    	R                       	                       	                         	                      	                     	R                      	T                               	                   	                   	                           	R                     	C                        	                           	                   	                      	C                     	C                          	R                     	                      	                       	                   	                        	                       	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 29	X	CC	  35.00	    269.5800	Caulet   	Radiolarians                                 	F              	G                 	A                    	R                       	C                      	                         	R                     	                     	                       	                                	                   	                   	                           	                      	C                        	                           	                   	                      	R                     	C                          	                      	                      	                       	                   	                        	                       	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 30	X	CC	  34.00	    278.8900	Caulet   	Radiolarians                                 	C              	G                 	                     	                        	R                      	                         	R                     	                     	                       	R                               	R                  	                   	                           	F                     	C                        	R                          	R                  	R                     	R                     	C                          	                      	                      	                       	                   	                        	                       	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 31	X	CC	  22.00	    288.8700	Caulet   	Radiolarians                                 	A              	G                 	R                    	                        	C                      	R                        	R                     	A                    	A                      	F                               	F                  	T                  	R                          	A                     	A                        	                           	                   	                      	                      	                           	                      	                      	                       	                   	                        	                       	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1016	A	 32	X	CC	  34.00	    297.7000	Caulet   	Radiolarians                                 	R              	M                 	R                    	R                       	                       	                         	                      	                     	                       	                                	                   	                   	                           	                      	                         	                           	                   	                      	                      	                           	                      	                      	                       	                   	                        	                       	                          	                         	                          	                    	                   	                      	                             	                           	                         	                   	                   	                             	                    	                     	                     	                                	                       	                  	                       	                         	                   	                     	                  	                     	                        	                      	from IR. Ch 10. Tables 8 and 9.

