Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera goruna,Stylosphaera coronata coronata,Spongurus quadratus,Phormocyrtis striata exquisita,Lamptonium pennatum,Entapium regulare,Clathrocycloma parcum,Buryella tetradica,Buryella pentadica,Bekoma campechensis,Astrosphaerin sp. F,Astrosphaerin sp. E,Amphisphaera minor,Stylotrochus alveatus,Dorcadospyris sp. cf. D. platycantha,Periphaena decora,Pterocodon (?) ampla,Lychnocanoma sp. B,Lithomitra docilis,Cromyomma riedeli,Bathropyramis woodringi,Bekoma divaricata,Bekoma bidartensis,Theocorys phyzella,Bekoma sp. aff. B. campechensis,Pterocodon (?) anteclinata,Podocyrtis papalis,Xiphosphaera circularis,Lithocyclia ocellus,Thyrsocyrtis tarsipes,Theocotylissa alpha,Theocotyle nigriniae,Buryella clinata,Theocotylissa auctor,Spongatractus balbis,Calocyclas hispida,Podocyrtis turgida,Phormocyrtis striata striata,Lamptonium fabaeforme fabaeforme,Calocycloma castum,Thyrsocyrtis rhizodon,Thyrsocyrtis hirsuta,Spongatractus pachystylus,Podocyrtis acalles,Lamptonium sanfilippoae,Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Thyrsocyrtis tensa,Theocotylissa ficus,Podocyrtis sinuosa,Theocotyle cryptocephala,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Theocotyle venezuelensis,Podocyrtis dorus,Podocyrtis diamesa,Eusyringium lagena,Theocotyle conica,Lychnocanoma bellum,Eusyringium fistuligerum,Podocyrtis fasciolata,Podocyrtis tensa,Podocyrtis phyxis,Podocyrtis  ampla,Podocyrtis trachodes,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1050,A,5,H,CC,0.00,48.3400,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,F                 ,                       ,C                  ,                     ,                   ,                    ,                ,                    ,                    ,C                 ,                  ,C                           ,                                ,                  ,F                    ,F                   ,F                        ,                  ,                       ,                                  ,A                                ,                  ,                   ,C                 ,                        ,C                      ,C                      ,F                       ,                ,                  ,T                 ,F                ,R                  ,F                       ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1050,A,6,H,CC,42.00,57.8300,Blome    ,Radiolarians                                 ,C              ,M                 ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,                    ,                ,                    ,                    ,C                 ,                  ,C                           ,                                ,                  ,C                    ,F                   ,C                        ,                  ,                       ,                                  ,                                 ,                  ,F                  ,C                 ,                        ,A                      ,R                      ,                        ,                ,F                 ,F                 ,                 ,F                  ,R                       ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1050,A,7,H,CC,17.00,67.5000,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,                    ,                ,                    ,                    ,F                 ,                  ,A                           ,R                               ,                  ,F                    ,C                   ,R                        ,                  ,                       ,                                  ,                                 ,R                 ,                   ,A                 ,                        ,A                      ,F                      ,                        ,                ,                  ,F                 ,                 ,R                  ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1050,A,8,H,CC,0.00,76.6600,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,                    ,                ,                    ,                    ,C                 ,                  ,C                           ,                                ,                  ,C                    ,F                   ,C                        ,                  ,                       ,                                  ,                                 ,                  ,                   ,C                 ,                        ,A                      ,R                      ,R                       ,                ,                  ,                  ,R                ,R                  ,F                       ,R                    ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1050,A,9,H,CC,20.00,86.3200,Blome    ,Radiolarians                                 ,A              ,VG                ,                   ,R                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,A                ,                    ,                  ,                  ,                 ,R                      ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,R                   ,                ,                    ,                    ,C                 ,                  ,C                           ,                                ,                  ,C                    ,F                   ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,C                 ,                        ,A                      ,R                      ,F                       ,                ,                  ,F                 ,                 ,                   ,R                       ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1050,A,10,H,CC,11.00,95.9300,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,F                  ,                     ,                   ,F                   ,                ,                    ,                    ,C                 ,                  ,C                           ,                                ,                  ,F                    ,R                   ,                         ,                  ,                       ,                                  ,R                                ,                  ,F                  ,C                 ,                        ,A                      ,F                      ,                        ,                ,                  ,R                 ,F                ,F                  ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1050,A,11,X,CC,20.00,104.4200,Blome    ,Radiolarians                                 ,A              ,VG                ,                   ,C                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,                  ,                       ,                   ,                     ,                   ,F                   ,                ,                    ,                    ,F                 ,                  ,C                           ,                                ,                  ,F                    ,F                   ,F                        ,                  ,                       ,                                  ,                                 ,                  ,F                  ,C                 ,                        ,A                      ,F                      ,R                       ,                ,                  ,R                 ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,D. mongolfieri,,171,1050,A,12,X,CC,19.00,106.5200,Blome    ,Radiolarians                                 ,A              ,VG                ,                   ,C                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,F                   ,                ,                    ,                    ,F                 ,                  ,C                           ,                                ,                  ,F                    ,C                   ,                         ,                  ,                       ,                                  ,                                 ,R                 ,                   ,C                 ,                        ,A                      ,                       ,R                       ,F               ,R                 ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,D. mongolfieri,,171,1050,A,13,X,CC,17.00,122.4700,Blome    ,Radiolarians                                 ,A              ,VG                ,                   ,C                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,F                 ,                       ,                   ,                     ,                   ,C                   ,                ,                    ,                    ,F                 ,                  ,C                           ,                                ,                  ,C                    ,C                   ,                         ,                  ,                       ,                                  ,                                 ,R                 ,                   ,C                 ,F                       ,A                      ,r                      ,F                       ,R               ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,Abundant and well preserved fauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,D. mongolfieri,,171,1050,A,14,X,CC,21.00,132.7200,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,C                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,C                   ,                ,                    ,                    ,F                 ,                  ,C                           ,                                ,                  ,F                    ,C                   ,F                        ,                  ,                       ,                                  ,                                 ,R                 ,R                  ,C                 ,F                       ,C                      ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,Fauina from this sample contain forms that mark a transition from the older T. cryptocephala Zone to younger D. mongolfieri Zone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. cryptocephala,,171,1050,A,15,X,CC,21.00,141.8000,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,                   ,                     ,                   ,F                   ,                ,                    ,                    ,F                 ,                  ,C                           ,R                               ,                  ,C                    ,F                   ,                         ,F                 ,                       ,                                  ,F                                ,F                 ,F                  ,F                 ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Eocene     ,Middle Eocene    ,P. striata striata,T. cryptocephala,,171,1050,A,16,X,CC,30.00,153.3700,Blome    ,Radiolarians                                 ,R              ,P                 ,                   ,R                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,R                 ,                       ,A                  ,                     ,                   ,A                   ,                ,                    ,                    ,R                 ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,R                 ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,The presence of Thyrsocyrtis tensa confines the sample to the earliest Middle Eocene or latest early Eocene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,P. striata striata,,171,1050,A,17,X,CC,26.00,157.9500,Blome    ,Radiolarians                                 ,A              ,VG                ,                   ,A                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,F                   ,C               ,                    ,                    ,                  ,                  ,C                           ,F                               ,                  ,R                    ,F                   ,                         ,C                 ,                       ,R                                 ,                                 ,R                 ,F                  ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,Abundant and well preserved fauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,P. striata striata,,171,1050,A,18,X,CC,19.00,168.9200,Blome    ,Radiolarians                                 ,A              ,VG                ,                   ,A                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,C                   ,F               ,                    ,F                   ,                  ,                  ,C                           ,F                               ,F                 ,                     ,F                   ,                         ,C                 ,                       ,                                  ,R                                ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,THis sample contains the most abundant and best-preserved of any fauna examined at Site 1050A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,P. striata striata,,171,1050,A,19,X,CC,31.00,182.1600,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,A                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,A                   ,F               ,                    ,                    ,                  ,                  ,                            ,F                               ,                  ,                     ,F                   ,                         ,C                 ,R                      ,F                                 ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,P. striata striata,,171,1050,A,20,X,CC,32.00,191.8200,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,C                             ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,C                   ,F               ,                    ,                    ,F                 ,                  ,C                           ,F                               ,F                 ,F                    ,F                   ,A                        ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,B. clinata    ,,171,1050,A,21,X,CC,23.00,199.2900,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,C                             ,                   ,C                             ,                   ,                 ,                     ,C                 ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,F                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,F                  ,                     ,                   ,C                   ,F               ,                    ,F                   ,R                 ,F                 ,rR                          ,F                               ,R                 ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,"Transition zone interval: Phormocyrtis striata striata rare, possible reworked. May represent a transition between P. striata and B. clinata"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,B. clinata    ,,171,1050,A,22,X,CC,29.00,208.9700,Blome    ,Radiolarians                                 ,C              ,G                 ,                   ,C                             ,F                  ,C                             ,                   ,                 ,                     ,C                 ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,R                 ,                  ,                               ,                          ,                  ,                       ,C                  ,                     ,                   ,F                   ,F               ,F                   ,R                   ,F                 ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,B. clinata    ,,171,1050,A,23,X,CC,42.00,218.6900,Blome    ,Radiolarians                                 ,C              ,G                 ,                   ,C                             ,                   ,C                             ,                   ,                 ,                     ,C                 ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,R                   ,                  ,                  ,                 ,                       ,                 ,F                 ,                  ,                               ,                          ,                  ,                       ,                   ,R                    ,F                  ,F                   ,F               ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,B. clinata    ,,171,1050,A,24,X,CC,37.00,228.2200,Blome    ,Radiolarians                                 ,R              ,P                 ,                   ,F                             ,F                  ,                              ,                   ,                 ,                     ,F                 ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,                  ,                       ,F                  ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,The presence of Burella tetradica and absence of Bekoma species suggests assignment to the Buryella clinata Zone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,B. bidartensis,,171,1050,A,25,X,CC,28.00,228.2800,Blome    ,Radiolarians                                 ,T              ,P                 ,                   ,                              ,F                  ,                              ,                   ,                 ,                     ,R                 ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,                  ,R                      ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,"All radiolarians fragmentary, abundant clay detritus"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Eocene     ,Late Paleocene   ,                  ,B. bidartensis,,171,1050,A,26,X,CC,22.00,242.0100,Blome    ,Radiolarians                                 ,C              ,VG                ,F                  ,C                             ,                   ,F                             ,C                  ,                 ,                     ,C                 ,                  ,F                  ,                   ,C                  ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,R                      ,                 ,                  ,                  ,                               ,R                         ,F                 ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
