Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Vaginulina spp.,Uvigerina spinulosa,Trifarina sp.,Stilostomella modesta,Stilostomella lepidula,Stilostomella cf. antillea,Saracenaria spp.,Pullenia quinqueloba,Pullenia bulloides,Pleurostomella alternans,Planulina spp.,Planulina costata,Orthomorphina spp.,Oridorsalis umbonatus,Nonion havanensis,Nodosaria spp.,Nodosarella spp.,Martinottiella scabra,Marginulina spp.,Lenticulina spp.,Lagena spp.,Karreriella spp.,Heronallenina spp.,Hanzawaia ammophila,Gyroidina soldanii,Globocassidulina subglobosa (s.l.)+globosa,Fissurina spp.,Epistominella umbonifera,Eggerella spp.,Dentalina spp.,Cibicidoides spp.,Cibicidoides mundulus,Cibicidoides havanensis,Cibicidoides cf. mundulus,Cibicidina walli,Cibicides spp.,Bulimina tuxpamensis,Bulimina spp.,Bulimina impendens,Astrononion echolsi,Anomalinoides pseudogrosserugosus,Amphicoryna spp.,Uvigerina sp. A,Stilostomella fistuca,Stilostomella cf. modesta,Rectuvigerina striata,Pullenia spp.,Pleurostomella obtusa,Osangularia mexicana,Orthomorphina himerensis,Glandulina spp.,Epistominella cf. umbonifera,Dorothia spp.,Bulimina sp. B,Bulimina rostrata,Brizalina spp.,Anomalinoides flintii,Textularia spp.,Stilostomella spp.,Planulina cf. mexicana,Orthomorphina richardsi,Orthomorphina challengeriana,Oolina spp.,Karreriella bradyi,Globocassidulina perumbonata,Glandulopleurostomella spp.,Cibicidoides mexicanus,Astacolus spp.,Anomalinoides semicribratus,Siphotextularia catenata,Planulina subtenuissima,Planulina renzi,Laticarinina pauperata,Globocassidulina spp.,Eggerella bradyi,Valvulineria cf. V. laevigata,Uvigerina proboscidea,Sphaeroidina spp.,Nonion spp.,Cibicidoides bradyi,Burseolina pacifica,Brizalina pusilla,Pullenia riveroi,Pullenia osloensis,Orthomorphina columnaris,Kyphopyxa spp.,Gyroidina lamarckiana,Dorothia brevis,Cibicidoides incrassatus,Bulimina carteri,Stilostomella subspinosa,Stilostomella cf. annulifera,Pleurostomella spp.,Pleurostomella acuminata,Orthomorphina perversa,Nonion cf. havanensis,Nodosaria vertebralis,Marginulinopsis spp.,Cibicidoides cf. laurisae,Uvigerina miozea,Turrillina spp.,Sphaeroidina bulloides,Pseudonodosaria laevigata,Siphonina tenuicarinata,Quinqueloculina sp.,Gyroidina spp.,Cibicidoides alazanensis,Bulimina jarvisi,Astrononion stelligerum,Stilostomella annulifera,Lingulina spp.,Gyroidina orbicularis,Dentalina hircicornua,Pullenia subcarinata,Planulina dohertyi,Cibicidoides matanzaensis,Bolivina spp.,Triloculina spp.,Stilostomella aculeata,Pleurostomella bierigi,Evolvocassidulina spp.,Epistominella cf. exigua,Bolivinopsis cubensis,Heronallenina sp. A,Uvigerina spp.,Globocassidulina cf. moluccensis,Discorbis sub-vilardeboanus,Brizalina byramensis,Stilostomella antillea,Orthomorphina glandigena,Nonionella spp.,Dentalina communis,Cibicidina cf. walli,Anomalina spp.,Trifarina bradyi,Paracassidulina neocarinata,Buliminella cf. sculpturata,Astrononion spp.,Amphicoryna scalaris,Rectuvigerina royoi,Trifarina sp. B,Trifarina sp. A,Planulina wuellerstorfi,Globocassidulina sp. cf. G. decorata,Globocassidulina sp. D,Globocassidulina crassa,Uvigerina schencki,Brizalina albatrossi,Bulimina macilenta,Epistominella exigua,Brizalina pseudoplicata,Anomalinoides globulosus,Gavelinopsis lobatulus,Paracassidulina spp.,Ellipsoidella spp.,Buliminella sculpturata,Brizalina thalmanni,Rectuvigerina sp.,Pleurostomella sp. F,Nonion cf. affine,Saracenaria latifrons,Ophthalmidium spp.,Ehrenbergina carinata,Bulimina cf. mexicana,Pyrgo cf. murrhina,Ehrenbergina hystrix,Brizalina cf. pusilla,Anomalinoides spp.,Textularia milletti,Pyrgo sp.,Ehrenbergina sp.,Bulimina mexicana,Uvigerina hispida,Globocassidulina reflexa,Pyrgo serrata,Gaudryina sp.,Cibicidoides grosseperforatus,Nodosaria cf. pyrula,Globocassidulina gemma,Stilostomella capitata,Spiroplectammina sp. A,Gyroidina sp. A,Ellipsoidina spp.,Cassidulina carinata,Allomorphina pacifica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  2,H, 3,  70.00,     12.2000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,7                     ,                          ,                ,                    ,                  ,                        ,              ,                 ,                  ,4                    ,                 ,              ,                ,                     ,                ,                ,5          ,1               ,                  ,                   ,                  ,10                                        ,4             ,3                       ,              ,1             ,                 ,10                   ,                       ,                         ,                ,              ,                    ,             ,                  ,                   ,                                 ,                ,               ,                     ,                         ,                     ,1            ,1                    ,                    ,                        ,2              ,                            ,             ,              ,2                ,              ,                     ,               ,                  ,                      ,                       ,                            ,1          ,2                 ,                            ,                           ,                      ,              ,                           ,2                       ,                       ,               ,                      ,                     ,3               ,                             ,38                   ,                 ,           ,                   ,                   ,                 ,                ,2                 ,                        ,              ,                     ,               ,                        ,                ,3                       ,                            ,                   ,1                       ,                      ,                     ,                     ,                    ,                         ,                ,               ,2                     ,                         ,                       ,                   ,1             ,                        ,                ,                       ,2                       ,              ,4                    ,                     ,6                   ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,4                 ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,24                    ,                       ,                  ,                    ,                  ,10                  ,4                      ,                        ,                      ,                    ,2                 ,                       ,5                  ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,1                  ,1        ,2               ,1                ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 173  Calcareous misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  2,H, 5,  70.00,     15.2000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,9                     ,                          ,                ,                    ,4                 ,4                       ,              ,                 ,                  ,15                   ,                 ,1             ,                ,                     ,                ,1               ,3          ,                ,                  ,                   ,5                 ,17                                        ,1             ,7                       ,              ,2             ,3                ,6                    ,                       ,                         ,                ,              ,                    ,             ,                  ,1                  ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,5                   ,                        ,               ,                            ,             ,              ,6                ,              ,                     ,               ,                  ,                      ,                       ,                            ,3          ,                  ,                            ,                           ,                      ,              ,                           ,2                       ,                       ,               ,6                     ,1                    ,1               ,                             ,9                    ,                 ,2          ,                   ,                   ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,                        ,                            ,                   ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,                      ,                         ,                       ,1                  ,              ,                        ,                ,1                      ,                        ,              ,2                    ,                     ,1                   ,                  ,                         ,             ,                ,3                     ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,9                     ,                       ,                  ,                    ,                  ,9                   ,7                      ,                        ,                      ,                    ,                  ,                       ,1                  ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,1                    ,1                 ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,Total number of specimens 150 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  3,H, 1,  70.00,     18.8000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,6                     ,                          ,                ,                    ,1                 ,                        ,              ,                 ,                  ,5                    ,                 ,2             ,                ,                     ,                ,2               ,1          ,                ,                  ,                   ,10                ,26                                        ,3             ,                        ,              ,              ,                 ,13                   ,                       ,                         ,                ,              ,                    ,             ,                  ,1                  ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,9                   ,2                       ,               ,1                           ,             ,              ,3                ,              ,                     ,               ,                  ,                      ,                       ,                            ,1          ,2                 ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,5                     ,                     ,2               ,                             ,9                    ,                 ,           ,                   ,                   ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,1                       ,1                           ,1                  ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,5                     ,                         ,                       ,1                  ,              ,                        ,                ,                       ,                        ,              ,                     ,                     ,1                   ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,1                    ,1                  ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,1                          ,                ,                    ,                   ,               ,               ,                       ,                                    ,2                     ,1                      ,                  ,                    ,4                 ,1                   ,                       ,                        ,                      ,                    ,                  ,                       ,6                  ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,1                 ,11                  ,1                    ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,Total number of specimens 144  from ODP Leg 121 SR Chapter 2 Table 2 p 44-51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  3,H, 3,  70.00,     21.8000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,8                     ,                          ,                ,1                   ,4                 ,4                       ,              ,                 ,                  ,9                    ,                 ,2             ,                ,                     ,                ,2               ,3          ,                ,                  ,                   ,11                ,71                                        ,4             ,5                       ,              ,2             ,8                ,9                    ,                       ,                         ,                ,              ,                    ,             ,                  ,                   ,                                 ,                ,               ,                     ,                         ,                     ,1            ,                     ,6                   ,2                       ,               ,                            ,             ,              ,1                ,              ,                     ,               ,                  ,                      ,                       ,                            ,           ,                  ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,4                     ,                     ,6               ,                             ,14                   ,                 ,1          ,                   ,                   ,                 ,                ,2                 ,                        ,              ,                     ,               ,                        ,                ,2                       ,6                           ,                   ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,                      ,1                        ,                       ,1                  ,2             ,                        ,                ,                       ,                        ,              ,                     ,                     ,                    ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,1                  ,1             ,                                ,                           ,                    ,                      ,                        ,               ,1                 ,                    ,              ,                ,                           ,                           ,                ,                    ,5                  ,               ,               ,7                      ,                                    ,30                    ,                       ,                  ,2                   ,5                 ,1                   ,                       ,                        ,1                     ,                    ,                  ,2                      ,9                  ,                 ,                    ,                 ,1                    ,1                 ,3                    ,1                    ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 265  Calcareous misc. 2 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  3,H, 5,  70.00,     24.8000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,6                     ,                          ,                ,                    ,                  ,1                       ,              ,                 ,                  ,7                    ,                 ,              ,                ,                     ,                ,1               ,1          ,                ,                  ,                   ,                  ,20                                        ,3             ,1                       ,              ,2             ,                 ,7                    ,                       ,                         ,                ,              ,                    ,             ,                  ,                   ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,7                   ,1                       ,               ,                            ,             ,              ,2                ,              ,                     ,               ,                  ,                      ,                       ,                            ,           ,                  ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,1                     ,                     ,3               ,                             ,8                    ,                 ,           ,                   ,                   ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,5                       ,3                           ,2                  ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,                      ,                         ,                       ,                   ,2             ,                        ,                ,                       ,                        ,              ,                     ,                     ,2                   ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,1                  ,1             ,                                ,                           ,                    ,                      ,                        ,               ,2                 ,                    ,              ,                ,                           ,                           ,                ,                    ,2                  ,               ,               ,                       ,                                    ,21                    ,                       ,                  ,9                   ,2                 ,                    ,                       ,                        ,                      ,                    ,3                 ,1                      ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 128  Calcareous misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  4,H, 1,  70.00,     28.4000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,6                     ,1                         ,                ,1                   ,1                 ,                        ,              ,                 ,1                 ,11                   ,                 ,1             ,                ,                     ,                ,1               ,5          ,                ,                  ,                   ,13                ,40                                        ,4             ,8                       ,              ,2             ,3                ,3                    ,                       ,                         ,                ,              ,                    ,             ,                  ,7                  ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,9                   ,                        ,               ,                            ,             ,              ,2                ,              ,                     ,               ,                  ,                      ,                       ,                            ,1          ,                  ,                            ,                           ,                      ,              ,                           ,1                       ,                       ,               ,10                    ,                     ,1               ,                             ,16                   ,                 ,           ,                   ,                   ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,4                       ,6                           ,6                  ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,2                     ,1                        ,                       ,1                  ,              ,                        ,                ,                       ,                        ,              ,                     ,                     ,5                   ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,1                     ,                        ,               ,2                 ,                    ,              ,                ,                           ,                           ,                ,                    ,8                  ,               ,               ,5                      ,                                    ,7                     ,                       ,15                ,11                  ,                  ,1                   ,6                      ,                        ,                      ,                    ,                  ,                       ,                   ,3                ,1                   ,2                ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 237  Calcareous misc. 2 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  4,H, 3,  70.00,     31.4000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1                ,1              ,                   ,             ,                     ,2                     ,3                         ,                ,                    ,4                 ,1                       ,              ,                 ,                  ,9                    ,                 ,              ,                ,                     ,                ,                ,2          ,                ,                  ,                   ,2                 ,54                                        ,              ,                        ,              ,1             ,3                ,15                   ,                       ,                         ,                ,1             ,                    ,             ,                  ,2                  ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,5                   ,3                       ,               ,                            ,             ,              ,3                ,              ,                     ,               ,                  ,                      ,                       ,                            ,1          ,                  ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,6                     ,                     ,2               ,                             ,6                    ,                 ,1          ,                   ,                   ,                 ,                ,1                 ,                        ,              ,                     ,               ,                        ,                ,2                       ,3                           ,1                  ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,1                     ,                         ,                       ,                   ,1             ,                        ,                ,1                      ,                        ,              ,                     ,                     ,4                   ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,1                  ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,4                  ,               ,               ,                       ,                                    ,2                     ,                       ,                  ,5                   ,                  ,2                   ,2                      ,                        ,4                     ,2                   ,1                 ,1                      ,1                  ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 168  Calcareous misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  4,H, 5,  70.00,     34.4000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,2                     ,11                        ,                ,                    ,4                 ,                        ,              ,                 ,                  ,11                   ,1                ,5             ,                ,                     ,1               ,                ,4          ,                ,                  ,                   ,                  ,18                                        ,3             ,                        ,              ,2             ,5                ,5                    ,                       ,                         ,                ,              ,                    ,             ,                  ,                   ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,8                   ,1                       ,               ,                            ,             ,              ,2                ,              ,                     ,               ,                  ,                      ,                       ,2                           ,1          ,                  ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,3                     ,2                    ,2               ,                             ,9                    ,                 ,           ,                   ,                   ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,4                       ,                            ,1                  ,5                       ,                      ,                     ,                     ,                    ,                         ,                ,               ,4                     ,                         ,                       ,                   ,1             ,                        ,                ,                       ,                        ,              ,7                    ,                     ,13                  ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,1                       ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,1                  ,               ,               ,2                      ,                                    ,                      ,                       ,                  ,7                   ,1                 ,1                   ,2                      ,                        ,2                     ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,Total number of specimens 154  from ODP Leg 121 SR Chapter 2 Table 2 p 44-51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  5,H, 1,  70.00,     38.0000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1                ,               ,                   ,             ,                     ,5                     ,3                         ,                ,                    ,4                 ,3                       ,              ,                 ,                  ,14                   ,                 ,              ,                ,                     ,                ,                ,1          ,                ,                  ,                   ,7                 ,39                                        ,2             ,                        ,              ,1             ,                 ,3                    ,                       ,                         ,                ,              ,                    ,             ,                  ,2                  ,                                 ,                ,               ,2                    ,                         ,                     ,             ,                     ,                    ,1                       ,               ,                            ,             ,              ,5                ,              ,                     ,               ,                  ,                      ,                       ,                            ,1          ,4                 ,                            ,1                          ,                      ,              ,                           ,                        ,                       ,               ,                      ,1                    ,2               ,                             ,2                    ,                 ,1          ,                   ,                   ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,6                       ,                            ,                   ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,5                     ,                         ,                       ,                   ,              ,                        ,                ,1                      ,                        ,              ,1                    ,                     ,10                  ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,3                 ,                    ,              ,                ,                           ,                           ,                ,                    ,17                 ,               ,               ,3                      ,                                    ,6                     ,                       ,14                ,4                   ,10                ,5                   ,1                      ,3                       ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 196  Calcareous misc. 2 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  5,H, 3,  70.00,     41.0000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1                ,               ,                   ,             ,                     ,1                     ,3                         ,                ,2                   ,4                 ,                        ,              ,                 ,                  ,5                    ,1                ,              ,                ,                     ,                ,2               ,2          ,1               ,                  ,                   ,                  ,54                                        ,              ,                        ,              ,              ,                 ,5                    ,                       ,                         ,                ,              ,                    ,             ,                  ,1                  ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,                    ,3                       ,               ,                            ,             ,              ,3                ,              ,                     ,               ,                  ,                      ,                       ,                            ,1          ,                  ,                            ,2                          ,                      ,              ,                           ,                        ,                       ,               ,1                     ,                     ,3               ,1                            ,1                    ,                 ,           ,                   ,3                  ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,4                       ,                            ,1                  ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,2                     ,                         ,                       ,1                  ,              ,                        ,                ,                       ,                        ,              ,3                    ,                     ,                    ,                  ,                         ,             ,                ,1                     ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,3                 ,                    ,              ,                ,                           ,1                          ,                ,                    ,3                  ,               ,               ,1                      ,                                    ,                      ,                       ,10                ,1                   ,1                 ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 136  Calcareous misc. 4 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  5,H, 5,  70.00,     44.0000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,2            ,3                    ,7                     ,                          ,                ,                    ,3                 ,                        ,              ,                 ,                  ,10                   ,3                ,              ,                ,                     ,1               ,3               ,3          ,                ,                  ,                   ,6                 ,44                                        ,3             ,                        ,              ,1             ,3                ,                     ,                       ,                         ,                ,              ,                    ,             ,                  ,                   ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,1                   ,                        ,               ,                            ,             ,              ,                 ,              ,                     ,               ,                  ,                      ,                       ,                            ,           ,                  ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,6                     ,29                   ,1               ,                             ,2                    ,                 ,           ,                   ,3                  ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,4                       ,1                           ,1                  ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,7                     ,1                        ,                       ,                   ,              ,                        ,                ,                       ,                        ,              ,                     ,                     ,                    ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,1                       ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,3                  ,               ,               ,                       ,                                    ,                      ,                       ,2                 ,3                   ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 158  Calcareous misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,1"
