Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylodictya sp.	Stylatractus sp.	Spongodiscus sp.	Siphocampe sp.	Lychnocanoma sp.	Larcopyle sp.	Eucyrtidium sp.	Calocycletta sp.	Botryostrobus sp.	Cyrtocapsella japonica	Thecosphaera sp.	Peripyramis sp.	Lithelius nautiloides	Eucyrtidium calvertense	Euchitonia sp.	Antarctissa strelkovi	Spongotrochus glacialis	Spongodiscus osculosus	Hexacontium sp.	Cycladophora davisiana davisiana	Botryostrobus auritus/australis	Stylatractus universus	Saccospyris antarctica	Antarctissa denticulata	Botryostrobus aquilonaris	Stylacontarium bispiculum	Prunopyle antarctica	Phorticium clevei	Axoprunum angelinum	Triceraspyris antarctica	Saturnalis circularis	Pterocanium trilobum	Dictyophimus hirundo	Carpocanistrum sp.	Spongoplegma antarcticum	Theocorythium sp.	Cycladophora davisiana cornutoides	Actinomma leptodermum	Antarctissa longa	Heliodiscus asteriscus	Stichocorys peregrina	Gondwanaria dogieli	Dictyophimus sp.	Cycladophora bicornis bicornis	Cornutella profunda	Phormostichoartus fistula	Lamprocyrtis maritalis	Actinomma sp.	Lamprocyrtis nigriniae	Comment
  IR	                 	                 	                  	              	181	1122	C	 25	X	CC	   0.00	    204.8700	rads     	Radiolarians                                 	C              	M                 	F              	F               	A               	              	                	C            	               	                	                 	                      	C               	               	                     	                       	R             	A                    	                       	T                     	               	F                               	                               	R                     	F                     	A                      	R                        	                         	                    	                 	                   	                        	                     	                    	T                   	                  	                        	                 	T                                 	R                    	                 	T                     	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 26	X	CC	   0.00	    217.9900	rads     	Radiolarians                                 	R              	M                 	R              	                	R               	              	                	             	               	                	                 	                      	R               	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 27	X	CC	  23.00	    227.1800	rads     	Radiolarians                                 	C              	M                 	C              	                	A               	              	                	C            	               	                	                 	                      	                	R              	                     	                       	              	A                    	                       	R                     	               	R                               	                               	R                     	R                     	A                      	                         	                         	R                   	R                	R                  	T                       	                     	                    	                    	                  	                        	                 	T                                 	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 28	X	CC	  13.00	    237.7300	rads     	Radiolarians                                 	R              	M                 	               	                	R               	              	                	             	               	                	                 	                      	                	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 29	X	CC	   0.00	    247.6300	rads     	Radiolarians                                 	C              	M                 	R              	                	A               	              	                	R            	               	                	                 	                      	R               	               	                     	                       	R             	A                    	R                      	R                     	               	R                               	                               	R                     	R                     	A                      	                         	                         	R                   	                 	                   	R                       	                     	T                   	                    	                  	                        	                 	                                  	T                    	R                	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 30	X	CC	  12.00	    259.1300	rads     	Radiolarians                                 	R              	M                 	C              	                	R               	              	                	             	               	                	                 	                      	                	               	T                    	                       	              	R                    	                       	                      	               	                                	                               	                      	                      	R                      	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

