Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylacontarium acquilonium,Siphocampe arachnea,Rhizosphaera aquatica,Phormostichoartus intermedium,Lamprocyrtis neoheteroporos,Lamprocyclas junonis,Eucyrtidium calvertense,Botryostrobus praetumidulus,Actinomma popofskii,Stylochlamidium  venustum,Rhopalastrum profunda group,Lamprocyrtis heteroporos,Eucyrtidium erythromystax,Clathrocyclas bicornis,Stylodictya validispina,Stylatractus universus,Stichocorys peregrina,Pseudocubus warreni,Lamprocyclas hadros,Cyrtocapsella cornuta,Botryostrobus aquilonaris,Acrosphaera murrayana,Sphaeropyle langii,Lychnocanoma nipponica sakaii,Eucyrtidium aderces,Phormostichoartus crustula,Cycladophora davisiana davisiana,Ceratospyris hyperborea,Eucyrtidium acuminatum,Ceratocyrtis histricosa,Lamprocyrtis daniellae,Eucyrtidium matuyamai,Pterocanium auritum,Prunopyle trypopyrena,Cycladophora bicincta,Eucyrtidium teuscheri group,Botryostrobus tumidulus,Pterocorys clausus,Stichocorys delmontensis,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B,  9,H,CC,  18.00,     79.5800,Caulet   ,Radiolarians                                 ,R              ,P                 ,                          ,                   ,                     ,+                            ,                           ,                    ,                       ,                           ,                   ,                         ,                           ,                        ,                         ,                      ,                       ,                      ,                     ,                   ,                   ,                     ,                         ,                     ,                  ,                             ,                   ,                          ,                                ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,+                    ,                           ,                       ,                  ,+                       ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B, 10,H,CC,  18.00,     89.2600,Caulet   ,Radiolarians                                 ,R              ,G                 ,                          ,                   ,                     ,                             ,+                          ,                    ,                       ,                           ,                   ,                         ,                           ,                        ,                         ,                      ,                       ,+                     ,                     ,                   ,                   ,                     ,+                        ,                     ,                  ,+                            ,                   ,                          ,+                               ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,+                    ,                           ,+                      ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B, 11,H,CC,  20.00,     98.7700,Caulet   ,Radiolarians                                 ,C              ,G                 ,                          ,                   ,                     ,                             ,+                          ,                    ,                       ,                           ,                   ,                         ,                           ,                        ,                         ,                      ,+                      ,+                     ,                     ,                   ,                   ,                     ,+                        ,                     ,                  ,+                            ,                   ,+                         ,+                               ,                       ,                      ,+                      ,                      ,+                    ,                   ,                     ,+                    ,                           ,+                      ,+                 ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B, 13,H,CC,  40.00,    110.8800,Caulet   ,Radiolarians                                 ,R              ,P                 ,                          ,                   ,                     ,                             ,                           ,                    ,                       ,                           ,                   ,                         ,                           ,                        ,                         ,                      ,                       ,                      ,                     ,                   ,                   ,                     ,                         ,                     ,                  ,                             ,                   ,                          ,+                               ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,+                      ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B, 14,X,CC,  18.00,    120.7600,Caulet   ,Radiolarians                                 ,F              ,G                 ,                          ,                   ,                     ,                             ,+                          ,                    ,                       ,                           ,                   ,+                        ,+                          ,                        ,                         ,                      ,+                      ,                      ,                     ,                   ,                   ,                     ,                         ,                     ,+                 ,                             ,                   ,                          ,+                               ,                       ,                      ,                       ,                      ,+                    ,                   ,                     ,+                    ,                           ,+                      ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B, 15,X,CC,  20.00,    129.5200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,                   ,+                    ,                             ,+                          ,                    ,+                      ,+                          ,                   ,+                        ,                           ,                        ,                         ,                      ,+                      ,                      ,                     ,                   ,                   ,                     ,+                        ,                     ,                  ,                             ,                   ,                          ,+                               ,                       ,                      ,                       ,                      ,+                    ,+                  ,                     ,+                    ,                           ,+                      ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B, 16,X,CC,  26.00,    139.2000,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,                   ,                     ,                             ,+                          ,                    ,                       ,+                          ,+                  ,+                        ,                           ,                        ,                         ,+                     ,+                      ,                      ,                     ,+                  ,                   ,                     ,+                        ,                     ,+                 ,                             ,                   ,                          ,+                               ,                       ,                      ,                       ,                      ,+                    ,                   ,                     ,+                    ,+                          ,+                      ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B, 17,X,CC,  21.00,    148.7100,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,                   ,+                    ,+                            ,+                          ,+                   ,                       ,+                          ,+                  ,+                        ,                           ,+                       ,                         ,                      ,+                      ,                      ,                     ,+                  ,+                  ,                     ,+                        ,                     ,+                 ,                             ,                   ,                          ,+                               ,                       ,                      ,+                      ,                      ,+                    ,+                  ,+                    ,+                    ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B, 18,X,CC,  64.00,    156.3900,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,                   ,                     ,                             ,+                          ,+                   ,+                      ,                           ,+                  ,+                        ,                           ,+                       ,+                        ,+                     ,+                      ,+                     ,                     ,                   ,                   ,                     ,+                        ,+                    ,+                 ,+                            ,                   ,                          ,+                               ,                       ,                      ,                       ,                      ,+                    ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,167,1014,B, 19,X,CC,  16.00,    165.8500,Caulet   ,Radiolarians                                 ,R              ,P                 ,                          ,                   ,                     ,                             ,                           ,+                   ,                       ,                           ,                   ,+                        ,                           ,                        ,                         ,                      ,+                      ,                      ,                     ,                   ,                   ,                     ,                         ,                     ,                  ,                             ,                   ,                          ,+                               ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,167,1014,B, 20,X,CC,  30.00,    176.8200,Caulet   ,Radiolarians                                 ,R              ,P                 ,                          ,                   ,                     ,                             ,                           ,                    ,                       ,                           ,                   ,                         ,                           ,                        ,                         ,                      ,                       ,                      ,                     ,                   ,                   ,+                    ,                         ,                     ,                  ,+                            ,                   ,                          ,                                ,                       ,                      ,                       ,+                     ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,167,1014,B, 21,X,CC,  27.00,    185.3900,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,                   ,                     ,+                            ,+                          ,+                   ,                       ,+                          ,                   ,+                        ,+                          ,+                       ,                         ,                      ,                       ,                      ,                     ,+                  ,                   ,                     ,+                        ,                     ,+                 ,                             ,                   ,+                         ,+                               ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,167,1014,B, 22,X,CC,  20.00,    192.8800,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                         ,+                  ,+                    ,                             ,+                          ,                    ,                       ,                           ,+                  ,+                        ,+                          ,+                       ,                         ,+                     ,+                      ,                      ,                     ,                   ,                   ,                     ,                         ,                     ,+                 ,                             ,                   ,+                         ,+                               ,                       ,+                     ,+                      ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,167,1014,B, 23,X,CC,  32.00,    206.5200,Caulet   ,Radiolarians                                 ,F              ,G                 ,+                         ,                   ,+                    ,                             ,+                          ,                    ,                       ,                           ,                   ,+                        ,                           ,+                       ,+                        ,+                     ,                       ,                      ,                     ,                   ,                   ,                     ,+                        ,                     ,                  ,                             ,                   ,+                         ,+                               ,+                      ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,167,1014,B, 24,X,CC,  23.00,    216.2400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,                   ,                     ,                             ,+                          ,                    ,                       ,                           ,                   ,                         ,+                          ,+                       ,                         ,+                     ,+                      ,                      ,                     ,+                  ,                   ,                     ,+                        ,                     ,+                 ,+                            ,+                  ,                          ,                                ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,167,1014,B, 25,X,CC,  36.00,    223.9500,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,                   ,                     ,                             ,+                          ,+                   ,+                      ,+                          ,                   ,+                        ,+                          ,                        ,+                        ,+                     ,+                      ,+                     ,+                    ,+                  ,+                  ,+                    ,+                        ,+                    ,                  ,                             ,                   ,                          ,                                ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,167,1014,B, 26,X,CC,  27.00,    231.3600,Caulet   ,Radiolarians                                 ,C              ,G                 ,                          ,                   ,+                    ,+                            ,+                          ,                    ,                       ,                           ,                   ,+                        ,+                          ,+                       ,+                        ,+                     ,                       ,                      ,                     ,                   ,                   ,                     ,                         ,                     ,                  ,                             ,                   ,                          ,                                ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,167,1014,B, 27,X,CC,  20.00,    239.8600,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                         ,+                  ,+                    ,+                            ,+                          ,+                   ,+                      ,+                          ,+                  ,                         ,                           ,                        ,                         ,                      ,                       ,                      ,                     ,                   ,                   ,                     ,                         ,                     ,                  ,                             ,                   ,                          ,                                ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
