Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina acostaensis (dextral)	Globorotalia limbata	Globigerinoides obliquus obliquus	Globigerinella aequilateralis	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Orbulina universa	Neogloboquadrina continuosa	Globorotaloides hexagona	Globorotalia scitula	Globorotalia crassula	Globoquadrina venezuelana	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides obliquus extremus	Globigerinoides conglobatus	Globigerina nepenthes	Globigerina bulloides	Candeina nitida	Beella digitata	Neogloboquadrina humerosa	Globorotalia conoidea	Globoquadrina dehiscens	Sphaeroidinellopsis paenedehiscens	Globorotalia sp. cf. pseudomiocenica	Globorotalia margaritae	Pulleniatina praecursor	Globorotalia crassaformis hessi	Pulleniatina primalis	Globorotalia puncticulata	Globorotalia crassaformis crassaformis	Globigerinita glutinata	Globigerina decoraperta	Globorotalia multicamerata	Sphaeroidinella dehiscens	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Globorotalia miocenica	Globorotalia crassaformis viola	Globigerinoides ruber (white)	Globorotalia menardii	Globigerinella obesa	Globigerina falconensis	Globorotalia pertenuis	Globigerina apertura	Globorotalia exilis	Globigerinoides fistulosus	Pulleniatina obliquiloculata	Globorotalia inflata	Globorotalia tumida tumida	Globorotalia tumida flexuosa	Globorotalia truncatulinoides	Comment

  SR	                 	                 	PL6               	              	108	 661	A	  5	H	 1	 135.00	     31.4500	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                      	                    	R                                	                             	                              	                         	R                	                           	                        	R                   	                     	                         	                       	F                       	R                         	                                 	R                          	                     	                     	R              	               	F                        	                     	                       	                                  	                                    	                       	R                      	                               	                     	                         	                                      	                       	R                      	                          	F                        	R                                    	C                         	                      	                               	F                            	                     	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	PL5               	              	108	 661	A	  5	H	 3	 135.00	     34.4500	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                      	                    	R                                	R                            	                              	                         	R                	                           	                        	R                   	R                    	                         	                       	C                       	C                         	                                 	                           	                     	                     	               	               	C                        	                     	                       	                                  	                                    	                       	                       	                               	                     	R                        	R                                     	R                      	F                      	                          	R                        	                                     	                          	R                     	                               	F                            	                     	                    	                       	                      	                    	R                  	R                         	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	PL5               	              	108	 661	A	  5	H	CC	  11.00	     39.0500	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                                     	                    	                                 	R                            	                              	                         	R                	                           	R                       	R                   	                     	                         	                       	F                       	F                         	R                                	R                          	                     	                     	R              	R              	                         	                     	                       	                                  	                                    	                       	                       	R                              	                     	R                        	R                                     	F                      	C                      	                          	R                        	R                                    	F                         	F                     	                               	F                            	                     	                    	                       	R                     	                    	R                  	R                         	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	PL5               	              	108	 661	A	  6	H	 1	 134.00	     40.9400	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                      	                    	R                                	                             	                              	                         	R                	                           	                        	                    	                     	                         	                       	F                       	R                         	                                 	R                          	                     	                     	               	R              	F                        	                     	                       	                                  	                                    	                       	                       	                               	                     	R                        	R                                     	R                      	C                      	                          	R                        	R                                    	                          	R                     	                               	F                            	                     	R                   	                       	R                     	R                   	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	PL4               	              	108	 661	A	  6	H	 3	 134.00	     43.9400	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                      	                    	F                                	                             	                              	                         	R                	                           	R                       	                    	R                    	R                        	C                      	C                       	R                         	F                                	R                          	                     	                     	               	               	R                        	                     	                       	                                  	                                    	                       	                       	                               	                     	R                        	                                      	                       	F                      	R                         	R                        	                                     	                          	                      	                               	R                            	C                    	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	PL3               	              	108	 661	A	  6	H	 5	 134.00	     46.9400	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                      	                    	F                                	R                            	                              	                         	F                	                           	R                       	R                   	R                    	                         	F                      	F                       	R                         	F                                	                           	                     	                     	R              	               	F                        	                     	                       	                                  	                                    	                       	                       	                               	                     	R                        	                                      	R                      	F                      	R                         	                         	                                     	                          	                      	                               	F                            	C                    	R                   	R                      	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	PL3               	              	108	 661	A	  6	H	CC	  10.00	     48.9100	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                      	F                   	R                                	R                            	R                             	                         	                 	                           	R                       	R                   	R                    	                         	R                      	F                       	F                         	F                                	                           	                     	R                    	               	               	                         	                     	                       	                                  	                                    	                       	                       	                               	                     	                         	                                      	F                      	F                      	F                         	R                        	R                                    	C                         	F                     	R                              	F                            	                     	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	PL3               	              	108	 661	A	  7	H	CC	  11.00	     58.3500	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                      	F                   	R                                	F                            	F                             	                         	R                	F                          	R                       	                    	                     	R                        	F                      	C                       	F                         	F                                	                           	                     	                     	R              	               	R                        	                     	R                      	                                  	                                    	                       	                       	                               	R                    	                         	R                                     	R                      	R                      	F                         	                         	                                     	                          	                      	                               	                             	                     	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	PL2               	              	108	 661	A	  8	H	 1	 130.00	     59.9000	Weaver   	Planktonic Foraminifers                      	A              	M                 	F                                     	F                   	F                                	R                            	F                             	                         	R                	                           	R                       	                    	                     	F                        	F                      	F                       	R                         	F                                	                           	                     	                     	               	               	C                        	R                    	                       	                                  	                                    	R                      	                       	                               	R                    	R                        	R                                     	R                      	F                      	                          	                         	                                     	                          	                      	                               	                             	                     	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	PL1               	              	108	 661	A	  8	H	 3	  89.00	     62.4900	Weaver   	Planktonic Foraminifers                      	C              	P                 	F                                     	F                   	                                 	R                            	C                             	                         	R                	F                          	F                       	                    	                     	                         	R                      	F                       	R                         	R                                	R                          	R                    	R                    	               	R              	R                        	                     	                       	                                  	                                    	                       	R                      	R                              	                     	                         	                                      	                       	                       	                          	                         	                                     	                          	                      	                               	                             	                     	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	N. humerosa       	              	108	 661	A	  8	H	 5	  50.00	     65.1000	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                      	F                   	F                                	R                            	C                             	R                        	R                	F                          	                        	                    	R                    	R                        	R                      	R                       	                          	R                                	                           	R                    	R                    	               	R              	R                        	                     	                       	R                                 	R                                   	R                      	                       	                               	                     	                         	                                      	                       	                       	                          	                         	                                     	                          	                      	                               	                             	                     	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	N. humerosa       	              	108	 661	A	  8	H	CC	  11.00	     67.8100	Weaver   	Planktonic Foraminifers                      	C              	M                 	                                      	C                   	                                 	                             	C                             	                         	R                	F                          	R                       	                    	                     	C                        	R                      	R                       	                          	                                 	                           	R                    	                     	               	               	F                        	R                    	R                      	                                  	                                    	                       	                       	                               	                     	                         	                                      	                       	                       	                          	                         	                                     	                          	                      	                               	                             	                     	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	N. humerosa       	              	108	 661	A	  9	H	 2	  13.00	     69.7300	Weaver   	Planktonic Foraminifers                      	A              	M                 	F                                     	R                   	                                 	R                            	C                             	R                        	R                	F                          	R                       	R                   	R                    	R                        	F                      	F                       	F                         	F                                	R                          	R                    	R                    	R              	R              	                         	                     	                       	                                  	                                    	                       	                       	                               	                     	                         	                                      	                       	                       	                          	                         	                                     	                          	                      	                               	                             	                     	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	N. humerosa       	              	108	 661	A	  9	H	CC	  22.00	     77.3600	Weaver   	Planktonic Foraminifers                      	R              	P                 	P                                     	P                   	P                                	P                            	                              	                         	                 	                           	                        	                    	                     	                         	                       	                        	                          	                                 	                           	                     	                     	               	               	                         	                     	                       	                                  	                                    	                       	                       	                               	                     	                         	                                      	                       	                       	                          	                         	                                     	                          	                      	                               	                             	                     	                    	                       	                      	                    	                   	                          	                            	                    	                          	                            	                             	from ODP Leg 108 SR Chapter 5 Table 8 p 82

