Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Rucinolithus terebrodentarius,Rhagodiscus asper,Rhagodiscus angustus,Cretarhabdus surirellus,Conusphaera mexicana mexicana,Braarudosphaera africana,Biscutum constans,Rucinolithus irregularis,Nannoconus truitti,Nannoconus spp.,Glaukolithus diplogrammus,Eprolithus floralis,Discorhabdus rotatorius,Zygodiscus erectus,Micrantholithus hoschulzii,Vagalapilla stradneri,Microstaurus chiastius,Lithraphidites carniolensis,Diazomatolithus lehmanii,Watznaueria britannica,Markalius circumradiatus,Comment
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 17,R, 1,  73.00,    151.1300,Erba     ,Nannofossils                                 ,C              ,M                 ,F                   ,R                            ,R                ,cf                  ,                       ,                             ,R                       ,R                ,F                       ,F                 ,F              ,                         ,R                  ,R                      ,R                 ,                          ,R                    ,R                     ,R                          ,R                       ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 17,R, 1,  78.00,    151.1800,Erba     ,Nannofossils                                 ,RR             ,P                 ,RR                  ,                             ,                 ,                    ,                       ,                             ,                        ,                 ,                        ,                  ,               ,                         ,                   ,                       ,                  ,                          ,                     ,                      ,                           ,                        ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 17,R, 1,  80.00,    151.2000,Erba     ,Nannofossils                                 ,F              ,M                 ,R                   ,                             ,                 ,                    ,                       ,                             ,R                       ,                 ,                        ,F                 ,F              ,                         ,                   ,                       ,R                 ,                          ,                     ,                      ,                           ,                        ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 17,R, 1,  97.00,    151.3700,Erba     ,Nannofossils                                 ,C              ,M                 ,R                   ,R                            ,R                ,                    ,                       ,                             ,R                       ,                 ,R                       ,F                 ,F              ,                         ,R                  ,                       ,                  ,R                         ,                     ,                      ,                           ,                        ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 17,R, 2,  25.00,    152.1500,Erba     ,Nannofossils                                 ,RR             ,P                 ,                    ,                             ,                 ,                    ,                       ,                             ,                        ,                 ,R                       ,                  ,               ,                         ,                   ,                       ,R                 ,                          ,                     ,                      ,                           ,                        ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 18,R, 1,  30.00,    160.4000,Erba     ,Nannofossils                                 ,F              ,M                 ,R                   ,                             ,                 ,                    ,                       ,                             ,R                       ,                 ,R                       ,R                 ,F              ,R                        ,R                  ,R                      ,                  ,                          ,                     ,                      ,                           ,                        ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 18,R, 1,  31.00,    160.4100,Erba     ,Nannofossils                                 ,R              ,P                 ,R                   ,R                            ,R                ,R                   ,R                      ,R                            ,R                       ,R                ,                        ,                  ,               ,                         ,                   ,                       ,                  ,                          ,                     ,                      ,                           ,                        ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
