Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tristylospyris triceros,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Thyrsocyrtis lochites,Spongatractus pachystylus,Sethochytris triconiscus,Podocyrtis chalara,Calocyclas hispida,Theocotylissa ficus,Podocyrtis  ampla,Lithocyclia ocellus,Eusyringium fistuligerum,Cryptocarpium ornatum,Artophormis barbadensis,Podocyrtis trachodes,Podocyrtis papalis,Lithochytris vespertilio,Dictyoprora mongolfieri,Podocyrtis goetheana,Lithocyclia aristotelis group,Lychnocanoma bellum,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Dictyoprora armadillo,Cryptocarpium azyx,Calocyclas turris,Calocyclas bandyca,Theocyrtis tuberosa,Comment
  IR,Middle Eocene    ,Middle Eocene    ,RP17              ,RP17          ,199,1217,B,  4,H, 1, 140.00,     40.4000,nannos   ,Radiolarians                                 ,C              ,G                 ,+                      ,+                      ,+                    ,+                    ,+                        ,                        ,+                 ,                  ,                   ,                 ,                   ,+                       ,                     ,                       ,                    ,                  ,                        ,                       ,                    ,                             ,                   ,+                        ,+                  ,                     ,+                 ,+                ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP17              ,RP17          ,199,1217,B,  4,H, 2,  50.00,     41.0000,nannos   ,Radiolarians                                 ,F              ,M                 ,+                      ,+                      ,+                    ,                     ,                         ,                        ,-                 ,                  ,                   ,                 ,                   ,+                       ,                     ,                       ,                    ,                  ,                        ,+                      ,-                   ,+                            ,                   ,+                        ,+                  ,+                    ,8                 ,+                ,-                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP16              ,RP16          ,199,1217,B,  5,H, 1,  80.00,     49.3000,nannos   ,Radiolarians                                 ,C              ,VG                ,+                      ,+                      ,+                    ,+                    ,+                        ,                        ,+                 ,+                 ,+                  ,                 ,+                  ,                        ,                     ,                       ,                    ,+                 ,                        ,                       ,+                   ,+                            ,+                  ,                         ,                   ,                     ,                  ,                 ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP16              ,RP16          ,199,1217,B,  5,H, 2,  80.00,     50.8000,nannos   ,Radiolarians                                 ,C              ,VG                ,+                      ,                       ,+                    ,+                    ,+                        ,                        ,+                 ,+                 ,                   ,                 ,+                  ,+                       ,                     ,                       ,                    ,                  ,                        ,                       ,+                   ,+                            ,                   ,                         ,                   ,                     ,                  ,                 ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP15              ,RP15          ,199,1217,B,  6,H, 1,  85.00,     58.8500,nannos   ,Radiolarians                                 ,C              ,VG                ,                       ,+                      ,+                    ,                     ,                         ,+                       ,                  ,+                 ,+                  ,                 ,+                  ,+                       ,+                    ,                       ,+                   ,+                 ,+                       ,+                      ,                    ,                             ,                   ,                         ,                   ,                     ,                  ,                 ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP15              ,RP15          ,199,1217,B,  6,H, 2, 100.00,     60.5000,nannos   ,Radiolarians                                 ,C              ,VG                ,+                      ,+                      ,+                    ,                     ,+                        ,+                       ,+                 ,+                 ,                   ,                 ,                   ,+                       ,+                    ,+                      ,                    ,                  ,                        ,                       ,                    ,                             ,                   ,                         ,                   ,                     ,                  ,                 ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP15              ,RP15          ,199,1217,B,  6,H, 6,  46.00,     65.9600,nannos   ,Radiolarians                                 ,C              ,VG                ,                       ,+                      ,+                    ,+                    ,+                        ,                        ,+                 ,+                 ,+                  ,+                ,+                  ,+                       ,                     ,                       ,                    ,                  ,                        ,                       ,                    ,                             ,                   ,                         ,                   ,                     ,                  ,                 ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP15              ,RP15          ,199,1217,B,  7,H, 2, 130.00,     70.3000,nannos   ,Radiolarians                                 ,C              ,VG                ,+                      ,+                      ,+                    ,+                    ,+                        ,+                       ,+                 ,+                 ,                   ,                 ,                   ,                        ,                     ,                       ,                    ,                  ,                        ,                       ,                    ,                             ,                   ,                         ,                   ,                     ,                  ,                 ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
