Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis rhizodon,Theocotylissa ficus,Sethochytris triconiscus,Lithocyclia ocellus,Eusyringium fistuligerum,Sethochytris bablylonis,Artophormis barbadensis,Podocyrtis chalara,Tristylospyris triceros,Theocyrtis tuberosa,Dorcadospyris sp.,Lophocyrtis pegetrum,Lithocyclia angusta,Staurolastrum sp.,Pterocanium (?) sp. A,Artophormis gracilis,Lychnocanoma sp. A,Dorcadospyris ateuchus,Didymocyrtis prismatica,Theocyrtis annosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. tuberosa       ,              ,124, 767,C,  8,R, 2, 113.00,    745.9300,Scherer  ,Radiolarians                                 ,C              ,VP                ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,                       ,                   ,?                ,?                   ,?                  ,                 ,                     ,                    ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. tuberosa       ,              ,124, 767,C,  8,R,CC,   9.00,    748.1300,Scherer  ,Radiolarians                                 ,F              ,P                 ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,C                      ,F                  ,C                ,                    ,R                  ,R                ,R                    ,F                   ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. tuberosa       ,              ,124, 767,C,  9,R, 1,  90.00,    753.9000,Scherer  ,Radiolarians                                 ,A              ,P                 ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,F                      ,C                  ,C                ,F                   ,C                  ,R                ,F                    ,F                   ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. tuberosa       ,              ,124, 767,C,  9,R,CC,  15.00,    756.5200,Scherer  ,Radiolarians                                 ,R              ,P                 ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,F                      ,                   ,F                ,R                   ,R                  ,                 ,                     ,                    ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. tuberosa       ,              ,124, 767,C, 11,R, 2, 110.00,    775.0000,Scherer  ,Radiolarians                                 ,R              ,P                 ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,R                      ,R                  ,R                ,                    ,                   ,                 ,                     ,                    ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,124, 767,C, 12,R, 1,  38.00,    782.4800,Scherer  ,Radiolarians                                 ,A              ,VP                ,?                    ,?                  ,?                       ,?                  ,?                       ,                       ,?                      ,?                 ,                       ,                   ,                 ,                    ,                   ,                 ,                     ,                    ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. chalara        ,              ,124, 767,C, 12,R, 1,  60.00,    782.7000,Scherer  ,Radiolarians                                 ,A              ,VP                ,?                    ,                   ,?                       ,?                  ,?                       ,                       ,                       ,?                 ,                       ,                   ,                 ,                    ,                   ,                 ,                     ,                    ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. chalara        ,              ,124, 767,C, 12,R, 2,  35.00,    783.9500,Scherer  ,Radiolarians                                 ,A              ,VP                ,                     ,                   ,?                       ,?                  ,                        ,?                      ,?                      ,                  ,                       ,                   ,                 ,                    ,                   ,                 ,                     ,                    ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. chalara        ,              ,124, 767,C, 12,R, 3,  20.00,    785.3000,Scherer  ,Radiolarians                                 ,C              ,VP                ,?                    ,?                  ,?                       ,?                  ,?                       ,                       ,                       ,                  ,                       ,                   ,                 ,                    ,                   ,                 ,                     ,                    ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
