Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Coccolithus pelagicus,Helicosphaera carteri,Gephyrocapsa sp. medium,Ceratolithus telesmus,Ceratolithus cristatus,Calcidiscus leptoporus,Braarudosphaera bigelowii,Helicosphaera wallichii,Gephyrocapsa sp.3 medium,Gephyrocapsa omega,Helicosphaera inversa,Pontosphaera spp.,Emiliania huxleyi,Comment
  IR,                 ,                 ,                  ,              ,172,1055,B,  6,H,CC,  24.00,     52.4100,Raffi    ,Nannofossils                                 ,               ,                  ,-                       ,                    ,A                        ,                         ,                     ,                     ,A                      ,                     ,                      ,                      ,+                        ,                       ,                        ,                  ,                     ,                 ,                 ,> 0.26< 0.46    CN 14b - NN 20- diatoms etc.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  7,H,CC,  13.00,     61.6800,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,A                        ,                         ,                     ,                     ,A                      ,                     ,                      ,                      ,                         ,                       ,                        ,                  ,                     ,                 ,                 ,> 0.26< 0.46    CN 14b - NN 20- siliceous stuff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  8,H, 7,  39.00,     70.8900,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,D                        ,                         ,                     ,                     ,A                      ,                     ,+                     ,+                     ,                         ,                       ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  8,H,CC,  21.00,     71.5900,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,A                        ,                         ,                     ,                     ,A                      ,                     ,                      ,                      ,                         ,                       ,                        ,                  ,R                    ,                 ,                 ,> 0.26< 0.46- Gephs size does not exceen 4.5-5 um- some siliceous stuff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 1,  40.00,     71.4000,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,+                    ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 1,  70.00,     71.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,C                    ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 1, 115.00,     72.1500,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,+                    ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 1, 130.00,     72.3000,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,+                    ,+                ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 2,  40.00,     72.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,+                    ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 2,  70.00,     73.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,+                    ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 2, 116.00,     73.6600,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,+                    ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,              ,172,1055,B,  9,H, 2, 130.00,     73.8000,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,+                    ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 3,  36.00,     74.3600,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,+                    ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 3,  70.00,     74.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,+                    ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 3, 110.00,     75.1000,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 3, 115.00,     75.1500,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B,  9,H, 4,  40.00,     75.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,F                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  9,H,CC,  26.00,     81.1400,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                       ,                    ,A                        ,                         ,                     ,                     ,A                      ,                     ,                      ,                      ,                         ,                       ,                        ,                  ,                     ,                 ,                 ,> 0.46< 0.96   CN 14 a(?) / NN 19 (top)- siliceous stuff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B, 10,H,CC,  34.00,     90.7200,Raffi    ,Nannofossils                                 ,A              ,G                 ,F                       ,                    ,                         ,                         ,                     ,                     ,                       ,                     ,                      ,                      ,                         ,                       ,                        ,F                 ,                     ,                 ,                 ,> 0.46< 0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B, 11,H,CC,  27.00,    100.8500,Raffi    ,Nannofossils                                 ,F              ,G                 ,A                       ,                    ,                         ,                         ,                     ,                     ,                       ,                     ,                      ,                      ,                         ,+                      ,                        ,A                 ,                     ,                 ,                 ,> 0.46< 0.96- dilution of the nanno assemblage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B, 12,H,CC,  27.00,    110.7300,Raffi    ,Nannofossils                                 ,A              ,G                 ,C                       ,                    ,A                        ,                         ,                     ,                     ,A                      ,                     ,                      ,                      ,                         ,                       ,                        ,A                 ,                     ,                 ,                 ,> 0.46< 0.96- inorganic material throughout
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 4,  70.00,    112.9600,Raffi    ,Nannofossils                                 ,C              ,M                 ,A                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,C                       ,                  ,                     ,                 ,                 ,abundant terrigenous input
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 5,  70.00,    114.4600,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,                         ,                     ,+                    ,A                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 6,  39.00,    115.6500,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,                         ,                     ,+                    ,C                      ,                     ,+                     ,+                     ,                         ,+                      ,F                       ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 6, 114.00,    116.4000,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,-                        ,                     ,+                    ,-                      ,                     ,+                     ,+                     ,                         ,+                      ,-                       ,                  ,                     ,                 ,                 ,presence of Diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 8,  39.00,    117.3700,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,-                        ,                     ,+                    ,-                      ,                     ,F                     ,+                     ,                         ,+                      ,-                       ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 8,  70.00,    117.6800,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,-                        ,                     ,+                    ,R                      ,                     ,+                     ,+                     ,                         ,+                      ,-                       ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 8, 114.00,    118.1200,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,-                        ,                     ,+                    ,-                      ,                     ,+                     ,+                     ,                         ,+                      ,-                       ,                  ,                     ,                 ,                 ,Diatoms common
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 9,  39.00,    118.8700,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,R                        ,                     ,+                    ,R                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 9,  70.00,    119.1800,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,                         ,                     ,+                    ,-                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 13,H, 9,  84.00,    119.3200,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,                         ,                     ,+                    ,-                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B, 13,H,CC,  21.00,    119.5700,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,                    ,A                        ,                         ,                     ,                     ,-                      ,                     ,                      ,                      ,                         ,                       ,                        ,                  ,                     ,                 ,                 ,> 0.96< 1.24   CN 13 b(?) / NN 19- abundant diatoms and siliceous stuff- reworked C. floridanus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 14,H, 1,  39.00,    118.8900,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,-                   ,A                        ,                         ,                     ,F                    ,R                      ,                     ,+                     ,+                     ,                         ,F                      ,                        ,                  ,                     ,                 ,                 ,abundant terrigenous input
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 14,H, 2,  29.00,    119.3200,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,C                   ,A                        ,C                        ,                     ,+                    ,C                      ,                     ,+                     ,+                     ,                         ,+                      ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 14,H, 2, 114.00,    120.1700,Raffi    ,Nannofossils                                 ,C              ,G                 ,C                       ,+                   ,C                        ,F                        ,                     ,+                    ,C                      ,                     ,+                     ,+                     ,+                        ,+                      ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 14,H, 4,  10.00,    122.1300,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,C                   ,A                        ,F                        ,                     ,+                    ,A                      ,                     ,+                     ,                      ,+                        ,                       ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1055,B, 14,H, 6,  39.00,    125.4200,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,C                   ,A                        ,F                        ,                     ,C                    ,C                      ,+                    ,+                     ,+                     ,                         ,                       ,                        ,                  ,                     ,                 ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B, 14,H,CC,  43.00,    129.3400,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,C                   ,A                        ,F                        ,C                    ,                     ,                       ,                     ,                      ,                      ,                         ,                       ,                        ,                  ,                     ,                 ,                 ,> 1.24< 1.59    CN 13 b(?) / NN 19- diatoms C/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
