Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra gelida,Discoaster neorectus,Discoaster intercalaris,Discoaster deflandrei,Coccolithus pelagicus,Triquetrorhabdulus rugosus,Discoaster variabilis,Discoaster loeblichii,Calcidiscus leptoporus,Reticulofenestra pseudoumbilica,Emiliania huxleyi,Discoaster surculus,Calcidiscus macintyrei,Reticulofenestra minuta,Discoaster challengeri,Discoaster calcaris,Amaurolithus ninae,Amaurolithus delicatus,Helicosphaera sellii,Helicosphaera kamptneri,Gephyrocapsa spp. (small),Pseudoemiliania lacunosa,Gephyrocapsa > 4.5,Comment
  IR,                 ,                 ,                  ,              ,189,1170,B,  6,H,CC,   0.00,     52.5500,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,A                     ,F                              ,                 ,                   ,C                     ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,A                        ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  7,H,CC,  14.00,     62.1800,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,A                     ,A                              ,                 ,                   ,C                     ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  8,H,CC,  10.00,     71.7800,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,A                     ,A                              ,                 ,                   ,C                     ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  9,H,CC,  29.00,     80.9600,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,A                     ,A                              ,                 ,                   ,C                     ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 10,H,CC,  18.00,     90.7800,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,A                     ,A                              ,                 ,                   ,C                     ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 11,H,CC,  20.00,    100.2400,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,A                     ,C                              ,                 ,R                  ,C                     ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 12,H,CC,  17.00,    109.7100,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,A                     ,C                              ,                 ,                   ,C                     ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,CN11b             ,CN9b          ,189,1170,B, 13,H,CC,   0.00,    118.9200,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                       ,                     ,A                    ,                          ,                     ,                     ,C                     ,F                              ,                 ,                   ,F                     ,A                      ,                      ,                   ,                  ,                      ,R                   ,R                      ,                         ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,CN10c             ,CN9b          ,189,1170,B, 14,H,CC,  13.00,    128.6100,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                       ,                     ,C                    ,                          ,                     ,                     ,A                     ,F                              ,                 ,                   ,C                     ,A                      ,                      ,                   ,                  ,F                     ,                    ,                       ,                         ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 15,H,CC,  23.00,    138.2300,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                       ,                     ,C                    ,                          ,                     ,                     ,A                     ,F                              ,                 ,                   ,C                     ,A                      ,R                     ,R                  ,R                 ,F                     ,                    ,                       ,                         ,                        ,                  ,influx of discoasters
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 16,H,CC,  13.00,    145.3000,nannos   ,Nannofossils                                 ,A              ,M                 ,C                      ,                    ,                       ,                     ,C                    ,                          ,F                    ,                     ,C                     ,C                              ,                 ,                   ,F                     ,A                      ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,"cooler than 15H, latest Miocene??"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9b              ,CN9b          ,189,1170,B, 17,H,CC,  13.00,    156.8800,nannos   ,Nannofossils                                 ,A              ,M                 ,C                      ,                    ,R                      ,                     ,A                    ,                          ,                     ,F                    ,C                     ,F                              ,F                ,F                  ,F                     ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,influx of discoasters
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9a              ,CN8b          ,189,1170,B, 18,H,CC,  16.00,    166.7000,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,R                   ,R                      ,                     ,A                    ,R                         ,F                    ,F                    ,F                     ,                               ,                 ,                   ,                      ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,flow-in?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN8b              ,CN8a          ,189,1170,B, 19,H,CC,   0.00,    176.0200,nannos   ,Nannofossils                                 ,A              ,P                 ,F                      ,C                   ,R                      ,R                    ,C                    ,                          ,                     ,                     ,                      ,                               ,                 ,                   ,                      ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,                         ,                        ,                  ,flow in???
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
