Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolith species E,Watznaueria barnesae,Vekshinella stradnerii,Tranolithus phacelosus,Stradneria crenulata,Repagalum parvidentatum,Reinhardtites levis,Prediscosphaera stoveri,Prediscosphaera spinosa,Prediscosphaera bukryi,Prediscosphaera arkhangelskyi,Placozygus sigmoides,Placozygus fibuliformis,Neocrepidolithus watkinsii,Monomarginatus spp.,Monomarginatus pectinatus,Misceomarginatus pleniporus,Micula decussata,Lucianorhabdus cayeuxii,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Cribrosphaerella ehrenbergii,Cretarhabdus sp. cf. C. conicus,Chiastozygus litterarius,Biscutum magnum,Biscutum dissimilis,Biscutum coronum,Biscutum constans,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Zeugrhabdotus pseudanthophorus,Vekshinella sp. A,Prediscosphaera intercisa,Prediscosphaera cretacea,Lapideacassis mariae,Scampanella magnifica,Lucianorhabdus arcuatus,Cretarhabdus conicus,Biscutum notaculum,Aspidolithus parcus constrictus,Teichorhabdus ethmos,Sollasites lowei,Rhagodiscus angustus,Nephrolithus corystus,Glaukolithus compactus,Eiffellithus gorkae,Calculites obscurus,Markalius inversus,Octolithus multiplus,Monomarginatus quaternarius,Cribrosphaerella daniae,Vekshinella angusta,Acuturris scotus,Nephrolithus frequens miniporus,Nephrolithus frequens,Rhombolithion rhombicum,Lithraphidites carniolensis,Lapideacassis tricornus,Broinsonia dentata,Bidiscus rotatorius,Prediscosphaera grandis,Vekshinella parma,Lithraphidites quadratus,Lapideacassis glans,Thoracosphaera spp.,Scampanella spp.,Prinsius spp.,Neocrepidolithus cohenii,Microrhabdulus decoratus,Hornibrookina sp. cf. H. teuriensis,Goniolithus fluckigeri,Glaukolithus fessus,Ericsonia subpertusa,Ellipsagelosphaera sp.,Cyclagelosphaera margerelii,Cruciplacolithus spp.,Cretarhabdus spp.,Coccolithus pelagicus,Biscutum castrorum,Cretarhabdus crenulatus,Thoracosphaera operculata,Scampanella asymmetrica,Cruciplacolithus primus,Scampanella bispinosa,Biantholithus sparsus,Thoracosphaera sp. cf. T. imperforata,Lithastrinus floralis,Cruciplacolithus tenuis,Rhagodiscus spp.,Thoracosphaera (unspecified taxon or taxa),Reinhardtites anthophorus,Prinsius (unspecified taxon or taxa),Hornbrookina (unspecified taxon or taxa),Ericsonia cava,Cruciplacolithus unspecified taxon or taxa,Scampanella wisei,Biscutum kerguelensis,Prinsius martinii,Lapideacassis blackii,Chiasmolithus danicus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP2               ,              ,120, 750,A, 15,R, 1, 132.00,    347.4200,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,A                   ,                       ,                          ,                   ,                         ,                           ,                ,                       ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,VR                          ,VR                       ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,R                 ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,A            ,                        ,                        ,C                                  ,                      ,                   ,                    ,                      ,                           ,R                    ,                 ,                     ,R                 ,                       ,R                        ,                       ,C                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,VR            ,                                          ,                 ,R                    ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 1, 140.00,    347.5000,Zachos   ,Nannofossils                                 ,               ,                  ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,                    ,                       ,                          ,                   ,                         ,                           ,                ,                       ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,                            ,                         ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,49                                        ,                         ,335                                 ,4                                       ,              ,22                                        ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 54 Table 2 p 967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 1, 150.00,    347.6000,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,48.6%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,3.5%                   ,.0%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.0%                         ,.0%                      ,                              ,                 ,                         ,.0%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,1.0%              ,                    ,                           ,                       ,                   ,                ,                               ,.3%                  ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,2.2%               ,.0%             ,94.6%        ,.0%                     ,.0%                     ,5.8%                               ,.0%                   ,.0%                ,.0%                 ,.3%                   ,.0%                        ,28.1%                ,.0%              ,.3%                  ,2.9%              ,                       ,R                        ,                       ,C                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP2               ,              ,120, 750,A, 15,R, 2,  27.00,    347.8700,Aubry    ,Nannofossils                                 ,A              ,M                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,C                   ,                       ,                          ,                   ,                         ,                           ,                ,                       ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,                            ,                         ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,A            ,                        ,                        ,C                                  ,                      ,                   ,                    ,                      ,                           ,C                    ,                 ,                     ,R                 ,                       ,R                        ,                       ,C                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,VR            ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 2,  50.00,    348.1000,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,18.8%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.0%                    ,.0%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.0%                         ,.0%                      ,                              ,                 ,                         ,.0%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,.3%               ,                    ,                           ,                       ,                   ,                ,                               ,.0%                  ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,13.3%              ,.0%             ,63.3%        ,.0%                     ,.0%                     ,1.4%                               ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,69.8%                ,.0%              ,.3%                  ,1.1%              ,                       ,R                        ,                       ,A                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,R             ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 2,  95.00,    348.5500,Zachos   ,Nannofossils                                 ,               ,                  ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,                    ,                       ,                          ,                   ,                         ,                           ,                ,                       ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,                            ,                         ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,43                                        ,                         ,273                                 ,8                                       ,              ,117                                       ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 54 Table 2 p 967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 2, 100.00,    348.6000,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.3%                    ,.0%                    ,                      ,                             ,19.9%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.3%                    ,.0%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.0%                         ,.0%                      ,                              ,                 ,                         ,.0%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,.0%               ,                    ,                           ,                       ,                   ,                ,                               ,.0%                  ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,12.5%              ,.0%             ,42.5%        ,.0%                     ,.0%                     ,.6%                                ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,61.7%                ,.0%              ,1.6%                 ,4.7%              ,                       ,R                        ,                       ,A                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,R             ,                                          ,                 ,R                    ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP2               ,              ,120, 750,A, 15,R, 2, 111.00,    348.7100,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,C                   ,                       ,                          ,                   ,                         ,                           ,                ,                       ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,                            ,                         ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,A            ,                        ,                        ,R                                  ,                      ,                   ,R                   ,                      ,                           ,C                    ,                 ,                     ,R                 ,                       ,R                        ,                       ,A                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,R             ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 2, 150.00,    349.1000,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,14.5%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.0%                    ,.0%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.0%                         ,.0%                      ,                              ,                 ,                         ,.0%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,.0%               ,                    ,                           ,                       ,                   ,                ,                               ,.0%                  ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,4.5%               ,.0%             ,86.6%        ,1.0%                    ,.0%                     ,.0%                                ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,79.1%                ,.0%              ,1.6%                 ,1.9%              ,                       ,C                        ,                       ,A                      ,                     ,                     ,R                                    ,                     ,R                      ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP2               ,              ,120, 750,A, 15,R, 3,   5.00,    349.1500,Aubry    ,Nannofossils                                 ,A              ,M                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,R                      ,                       ,                      ,                             ,C                   ,                       ,                          ,                   ,                         ,                           ,                ,VR                     ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,                            ,                         ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,R                 ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,AA           ,R                       ,                        ,                                   ,                      ,VR                 ,VR                  ,                      ,                           ,C                    ,                 ,R                    ,C                 ,VR                     ,R                        ,                       ,A                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,   7.00,    349.1700,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.3%                    ,.0%                    ,                      ,                             ,15.3%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.3%                    ,.0%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.0%                         ,.0%                      ,                              ,                 ,                         ,.0%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,.3%               ,                    ,                           ,                       ,                   ,                ,                               ,.0%                  ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,.0%                ,.0%             ,91.3%        ,1.0%                    ,.0%                     ,.0%                                ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,76.4%                ,.3%              ,1.0%                 ,2.6%              ,                       ,                         ,                       ,A                      ,                     ,                     ,VR                                   ,                     ,R                      ,                ,46                                        ,                         ,303                                 ,6                                       ,              ,166                                       ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
