Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina woodi	Zeaglobigerina druryi	Zeaglobigerina connecta	Sphaeroidinellopsis disjuncta	Globorotalia praescitula	Globorotalia miozea	Globoquadrina dehiscens	Globigerinoides trilobus	Globigerinoides bisphericus	Globigerina quinqueloba	Globigerina praebulloides	Catapsydrax stainforthi	Globorotalia praemenardii	Globorotalia conica	Globigerina bulloides	Globorotalia zealandica	Globorotalia panda	Globorotalia amuria	Globoquadrina venezuelana	Globoquadrina praedehiscens	Catapsydrax parvulus	Paragloborotalia mayeri	Orbulina suturalis	Neogloboquadrina continuosa	Globorotalia miotumida	Sphaeroidinellopsis seminulina	Orbulina universa	Globorotalia miotumida conoidea	Zeaglobigerina nepenthes	Globigerinita glutinata	Neogloboquadrina pachyderma	Sphaeroidinellopsis paenedehiscens	Globigerinoides bollii	Bolboforma pentaspinosa	Globigerina spp.	Globorotalia scitula	Globorotalia sphericomiozea	Globorotalia mons	Globorotalia pliozea	Globorotalia juanai	Globorotalia crassaformis	Globorotalia puncticulata	Globorotalia crassaconica	Sphaeroidinella dehiscens	Globorotalia puncticuloides	Globorotalia inflata triangula	Globorotalia inflata	Globorotalia crassula	Globorotalia tosaensis	Globorotalia crassaformis dextral	Neogloboquadrina pachyderma (sinistral)	Globorotalia truncatulinoides	Globorotalia pseudopima	Comment

  IR	                 	                 	                  	              	181	1123	B	 18	X	CC	  18.00	    163.6900	forams   	Planktonic Foraminifers                      	C              	G                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	F                      	                         	                       	                         	                   	R                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	F                	                               	                        	                       	F                          	                                  	                      	                       	                	P                   	                           	R                	R                   	                   	R                        	A                        	R                        	P                        	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 19	X	CC	  23.00	    172.3100	forams   	Planktonic Foraminifers                      	R              	M                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	F                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	P                	                               	                        	P                      	P                          	                                  	                      	                       	                	P                   	                           	R                	R                   	                   	R                        	R                        	R                        	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 20	X	CC	  20.00	    182.0000	forams   	Planktonic Foraminifers                      	R              	G                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	F                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	P                     	                              	R                	                               	                        	                       	A                          	                                  	                      	                       	                	P                   	R                          	R                	R                   	R                  	R                        	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 21	X	CC	  13.00	    191.2700	forams   	Planktonic Foraminifers                      	C              	G                 	A                   	                     	                       	                             	                        	                   	                       	                        	                           	F                      	                         	                       	                         	                   	F                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	R                	                               	                        	R                      	A                          	                                  	                      	                       	                	R                   	F                          	P                	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 22	X	CC	  19.00	    201.3000	forams   	Planktonic Foraminifers                      	               	                  	F                   	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	F                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	R                	                               	                        	P                      	                           	                                  	                      	                       	                	R                   	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 22	X	CC	  26.00	    201.3700	forams   	Planktonic Foraminifers                      	R              	M                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	F                      	                         	                       	                         	                   	R                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	                 	                               	                        	                       	A                          	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 23	X	CC	  21.00	    208.9100	forams   	Planktonic Foraminifers                      	R              	M                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	R                	F                              	                        	                       	R                          	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 25	X	CC	  22.00	    230.0000	forams   	Planktonic Foraminifers                      	T              	M                 	F                   	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	P                	                               	                        	                       	R                          	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 27	X	CC	  26.00	    249.3200	forams   	Planktonic Foraminifers                      	T              	P                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	P                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	                 	                               	                        	                       	R                          	P                                 	                      	R                      	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 28	X	CC	  18.00	    258.7400	forams   	Planktonic Foraminifers                      	T              	M                 	R                   	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	R                	                               	                        	P                      	                           	                                  	                      	                       	R               	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 29	X	CC	  27.00	    268.4900	forams   	Planktonic Foraminifers                      	T              	M                 	R                   	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	R                	                               	                        	                       	P                          	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 30	X	CC	  25.00	    278.0000	forams   	Planktonic Foraminifers                      	T              	M                 	P                   	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	P                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	P                     	                              	R                	                               	F                       	                       	                           	                                  	                      	R                      	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 31	X	CC	  17.00	    287.5400	forams   	Planktonic Foraminifers                      	T              	M                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	P                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	R                	                               	F                       	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 32	X	CC	  23.00	    296.3100	forams   	Planktonic Foraminifers                      	T              	M                 	R                   	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	R                     	P                             	F                	                               	R                       	P                      	P                          	                                  	F                     	P                      	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 34	X	CC	  19.00	    316.5300	forams   	Planktonic Foraminifers                      	C              	M                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	R                	R                              	R                       	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 35	X	CC	   9.00	    326.0200	forams   	Planktonic Foraminifers                      	C              	M                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	R                	R                              	R                       	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 36	X	CC	  13.00	    335.4700	forams   	Planktonic Foraminifers                      	T              	P                 	                    	                     	                       	                             	                        	                   	P                      	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	P                              	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 37	X	CC	  22.00	    345.2000	forams   	Planktonic Foraminifers                      	R              	M                 	                    	                     	                       	                             	                        	                   	R                      	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	F                     	                              	P                	R                              	F                       	                       	R                          	R                                 	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 38	X	CC	  31.00	    354.7900	forams   	Planktonic Foraminifers                      	R              	M                 	                    	                     	                       	                             	                        	                   	F                      	                        	                           	                       	                         	                       	                         	                   	R                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	R                     	                              	P                	R                              	F                       	P                      	                           	P                                 	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 39	X	CC	  29.00	    364.4800	forams   	Planktonic Foraminifers                      	R              	M                 	                    	P                    	                       	                             	                        	                   	R                      	                        	                           	                       	                         	                       	                         	                   	P                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	P                              	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 40	X	CC	  22.00	    374.0600	forams   	Planktonic Foraminifers                      	T              	M                 	                    	F                    	                       	                             	                        	                   	R                      	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	P                   	                       	                  	                           	F                     	P                             	                 	R                              	                        	                       	P                          	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 41	X	CC	  28.00	    382.2000	forams   	Planktonic Foraminifers                      	R              	M                 	                    	R                    	                       	                             	                        	                   	P                      	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	P                              	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 42	X	CC	  24.00	    388.4400	forams   	Planktonic Foraminifers                      	T              	M                 	                    	F                    	                       	                             	                        	                   	R                      	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	R                      	                  	P                          	F                     	                              	R                	                               	F                       	P                      	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 43	X	CC	  14.00	    399.5200	forams   	Planktonic Foraminifers                      	T              	M                 	                    	R                    	                       	                             	                        	                   	F                      	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	R                      	                  	F                          	F                     	R                             	                 	                               	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 44	X	CC	  20.00	    408.3200	forams   	Planktonic Foraminifers                      	T              	M                 	                    	                     	                       	                             	                        	                   	R                      	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	R                      	                  	F                          	F                     	R                             	                 	                               	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 45	X	CC	  18.00	    416.5600	forams   	Planktonic Foraminifers                      	F              	M                 	                    	                     	                       	P                            	                        	P                  	                       	                        	                           	                       	                         	                       	                         	P                  	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	P                             	P                	P                              	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 46	X	CC	  20.00	    428.3600	forams   	Planktonic Foraminifers                      	T              	M                 	                    	                     	                       	                             	                        	                   	F                      	                        	                           	                       	                         	                       	F                        	                   	                     	                       	                  	                   	                         	                           	                    	F                      	P                 	F                          	F                     	                              	                 	                               	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 47	X	CC	   0.00	    436.9600	forams   	Planktonic Foraminifers                      	T              	G                 	                    	                     	                       	F                            	                        	                   	F                      	                        	                           	                       	                         	                       	R                        	P                  	                     	R                      	                  	P                  	                         	R                          	                    	                       	                  	                           	                      	                              	                 	                               	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 48	X	CC	   0.00	    445.6000	forams   	Planktonic Foraminifers                      	T              	G                 	                    	                     	                       	F                            	                        	                   	P                      	                        	                           	                       	                         	                       	F                        	P                  	                     	R                      	P                 	P                  	R                        	F                          	P                   	                       	                  	                           	                      	                              	                 	                               	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 49	X	CC	  26.00	    457.0600	forams   	Planktonic Foraminifers                      	R              	M                 	R                   	                     	                       	R                            	                        	                   	F                      	P                       	                           	                       	                         	                       	F                        	P                  	P                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	                               	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 50	X	CC	  39.00	    468.6000	forams   	Planktonic Foraminifers                      	T              	M                 	                    	                     	                       	R                            	                        	                   	R                      	R                       	                           	R                      	                         	F                      	F                        	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	                               	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 51	X	CC	  17.00	    479.6300	forams   	Planktonic Foraminifers                      	R              	M                 	R                   	                     	                       	R                            	P                       	F                  	R                      	R                       	                           	R                      	                         	A                      	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	                               	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 52	X	CC	  26.00	    488.5600	forams   	Planktonic Foraminifers                      	C              	M                 	R                   	P                    	R                      	R                            	P                       	F                  	F                      	P                       	P                          	R                      	P                        	F                      	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	                               	                        	                       	                           	                                  	                      	                       	                	                    	                           	                 	                    	                   	                         	                         	                         	                         	                           	                              	                    	                     	                      	                                 	                                       	                             	                       	       

