Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Operculinella venosa,Ladoronia vermicularis,Amphistegina radiata,Rotaliid taxa,Lepidocyclina howchini howchini,Cycloclypeus (Cycloclypeus) carpenteri,Sphaerogypsina globula,Operculina complanata,Biarritzina carpenteriaeformis,Cycloclypeus (Katacycloclypeus) annulatus,Textularina genus indet.,Miliolids species,Rotalia sp.,Discogypsina howchini,Sporadotrema sp.,Comment
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  4,R, 1,  34.00,    108.5400,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                    ,+                     ,+                   ,+            ,                               ,+                                     ,                      ,?                    ,+                             ,+                                        ,                        ,+                ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  5,R, 1,  10.00,    117.9000,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,+                     ,+                   ,             ,                               ,                                      ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  5,R, 1,  19.00,    117.9900,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                    ,+                     ,+                   ,+            ,                               ,+                                     ,                      ,                     ,                              ,                                         ,                        ,+                ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  5,R, 1,  23.00,    118.0300,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                    ,+                     ,                    ,+            ,                               ,                                      ,                      ,                     ,+                             ,                                         ,                        ,                 ,           ,+                    ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  6,R, 1,   7.00,    127.5700,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                    ,+                     ,+                   ,+            ,                               ,                                      ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  7,R, 1,   1.00,    137.2100,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,                      ,+                   ,             ,+                              ,                                      ,+                     ,                     ,                              ,                                         ,+                       ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  9,R, 1,   1.00,    156.6100,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,                      ,+                   ,+            ,                               ,+                                     ,                      ,+                    ,?                             ,                                         ,+                       ,+                ,+          ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 11,R, 1,  10.00,    175.5000,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                    ,                      ,+                   ,             ,                               ,                                      ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 11,R, 1,  24.00,    175.6400,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,                      ,+                   ,             ,+                              ,                                      ,                      ,+                    ,                              ,                                         ,                        ,+                ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 11,R, 1,  45.00,    175.8500,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                    ,                      ,+                   ,             ,                               ,                                      ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 11,R, 1,  54.00,    175.9400,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,                      ,+                   ,             ,+                              ,                                      ,                      ,                     ,                              ,                                         ,+                       ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 11,R, 1,  58.00,    175.9800,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                    ,                      ,+                   ,+            ,+                              ,+                                     ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 12,R, 1,   4.00,    185.0400,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,                      ,+                   ,             ,+                              ,+                                     ,                      ,+                    ,                              ,+                                        ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 14,R, 1,   6.00,    204.0600,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                    ,+                     ,                    ,+            ,                               ,+                                     ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 14,R, 1,  12.00,    204.1200,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                    ,                      ,+                   ,+            ,+                              ,+                                     ,+                     ,+                    ,+                             ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 14,R, 1,  17.00,    204.1700,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,+                     ,+                   ,+            ,+                              ,+                                     ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A, 16,R,CC,  10.00,    223.5000,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,+                     ,+                   ,             ,                               ,                                      ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
