Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Discoaster pentaradiatus,Amaurolithus spp.,Helicosphaera carteri,Discoaster brouweri,Ceratolithus telesmus,Ceratolithus spp.,Ceratolithus rugosus,Calcidiscus macintyrei (>11 um),Discoaster tamalis,Discoaster surculus,Discoaster asymmetricus,Coccolithus pelagicus,Calcidiscus leptoporus,Reticulofenestra spp.,Discoaster triradiatus,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa (small),Gephyrocapsa oceanica s.l.,Gephyrocapsa large,Gephyrocapsa sp. 3,Emiliania huxleyi,Comment
  IR,                 ,                 ,CN14a             ,              ,167,1012,A,  5,H,CC,  22.00,     43.2900,Fornaciari,Nannofossils                                 ,C              ,M                 ,                                ,                        ,                 ,C                    ,                   ,                     ,R                ,                    ,                               ,                  ,                   ,                       ,                     ,R                     ,                     ,                      ,C                       ,                    ,+                   ,R                         ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1012,A,  6,H,CC,  23.00,     52.8800,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,C                    ,R                     ,                     ,                      ,C                       ,                    ,+                   ,R                         ,                  ,R                 ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1012,A,  7,H,CC,  24.00,     62.3400,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,R                    ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,R                    ,R                     ,                     ,                      ,F                       ,                    ,A                   ,R                         ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A,  8,H,CC,  23.00,     71.7500,Fornaciari,Nannofossils                                 ,A              ,M                 ,                                ,                        ,                 ,R                    ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,                     ,R                     ,                     ,                      ,C                       ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A,  9,H,CC,  28.00,     81.2500,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,C                    ,                   ,                     ,                 ,                    ,RR                             ,                  ,                   ,                       ,                     ,F/C                   ,                     ,                      ,C/A                     ,                    ,+                   ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A, 10,H,CC,  24.00,     90.6000,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,                     ,R                     ,                     ,                      ,+                       ,C                   ,+                   ,C                         ,+                 ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A, 11,H,CC,  27.00,    100.3400,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,                     ,                   ,                     ,R                ,                    ,                               ,                  ,                   ,                       ,                     ,F                     ,                     ,                      ,C                       ,F/C                 ,+                   ,C                         ,+                 ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A, 12,H, 1, 100.00,    100.7000,Fornaciari,Nannofossils                                 ,C              ,P                 ,                                ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,                     ,F                     ,                     ,                      ,C                       ,                    ,C                   ,R                         ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A, 12,H, 2, 105.00,    102.4200,Fornaciari,Nannofossils                                 ,A              ,M/G               ,                                ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,                     ,                      ,                     ,                      ,C                       ,C                   ,                    ,+                         ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A, 12,H, 4, 100.00,    105.3700,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,                     ,                      ,                     ,                      ,C                       ,                    ,                    ,R                         ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A, 12,H, 5, 100.00,    106.8700,Fornaciari,Nannofossils                                 ,C              ,P                 ,                                ,                        ,                 ,                     ,                   ,                     ,R                ,                    ,                               ,                  ,                   ,                       ,                     ,                      ,                     ,                      ,C                       ,                    ,                    ,+                         ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A, 12,H, 6, 114.00,    108.5100,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                                ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,                     ,                      ,                     ,                      ,                        ,                    ,                    ,RR                        ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A, 12,H, 7,  45.00,    109.3200,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,                     ,C                     ,                     ,                      ,C                       ,                    ,C                   ,                          ,                  ,                  ,                 ,questionable zonal assignment. from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1012,A, 12,H,CC,  24.00,    109.9900,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,F                    ,F                     ,                     ,                      ,A                       ,                    ,+                   ,                          ,                  ,                  ,                 ,questionable zonal assignment. from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13a             ,              ,167,1012,A, 13,H,CC,  16.00,    119.2500,Fornaciari,Nannofossils                                 ,A              ,M/G               ,                                ,                        ,                 ,                     ,RR                 ,                     ,R                ,                    ,F/C                            ,                  ,                   ,                       ,                     ,F                     ,                     ,                      ,C                       ,R                   ,+                   ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13a             ,              ,167,1012,A, 14,X,CC,  22.00,    127.6000,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,F                              ,                  ,                   ,                       ,                     ,R                     ,                     ,                      ,C                       ,R                   ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1012,A, 15,X,CC, 101.00,    137.5100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,                     ,R                  ,                     ,                 ,                    ,C                              ,                  ,                   ,                       ,                     ,C                     ,                     ,R                     ,                        ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1012,A, 16,X,CC,  17.00,    147.1300,Fornaciari,Nannofossils                                 ,A              ,M/G               ,                                ,                        ,                 ,                     ,F                  ,                     ,                 ,                    ,C                              ,                  ,                   ,                       ,                     ,                      ,                     ,                      ,C                       ,F                   ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1012,A, 17,X,CC,  21.00,    156.2800,Fornaciari,Nannofossils                                 ,C/A            ,P/M               ,                                ,                        ,                 ,                     ,F                  ,                     ,                 ,                    ,F                              ,                  ,                   ,                       ,                     ,F                     ,                     ,                      ,R                       ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12c             ,              ,167,1012,A, 18,X,CC,  24.00,    166.3500,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,R                       ,                 ,C                    ,F                  ,                     ,                 ,                    ,+                              ,                  ,                   ,                       ,                     ,                      ,                     ,                      ,C                       ,C                   ,                    ,                          ,                  ,                  ,                 ,questionable zonal assignment. from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12c             ,              ,167,1012,A, 19,X,CC,  14.00,    169.9000,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,F/C                     ,                 ,C                    ,+                  ,                     ,R                ,                    ,R                              ,                  ,                   ,                       ,                     ,                      ,                     ,R                     ,C                       ,C                   ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12b             ,              ,167,1012,A, 20,X,CC,  15.00,    179.3900,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,F                       ,                 ,+                    ,+                  ,                     ,                 ,                    ,+                              ,                  ,C                  ,                       ,                     ,+                     ,                     ,                      ,                        ,R                   ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12b             ,              ,167,1012,A, 21,X,CC,  73.00,    187.0500,Fornaciari,Nannofossils                                 ,A              ,M                 ,                                ,C                       ,                 ,                     ,F                  ,                     ,                 ,                    ,                               ,                  ,C                  ,                       ,                     ,                      ,                     ,                      ,+                       ,+                   ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1012,A, 22,X,CC,  30.00,    195.1800,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,+                       ,                 ,                     ,+                  ,                     ,                 ,                    ,+                              ,R                 ,+                  ,                       ,C                    ,+                     ,                     ,                      ,                        ,                    ,                    ,                          ,                  ,                  ,                 ,questionable zonal assignment. from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1012,A, 23,X,CC,  28.00,    205.9200,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,F/C                     ,                 ,                     ,+                  ,                     ,                 ,                    ,+                              ,F                 ,F                  ,                       ,F                    ,+                     ,                     ,                      ,+                       ,R                   ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1012,A, 24,X,CC,  25.00,    215.7800,Fornaciari,Nannofossils                                 ,C/A            ,M/G               ,                                ,R                       ,                 ,                     ,                   ,                     ,                 ,                    ,+                              ,C                 ,C                  ,C                      ,F                    ,+                     ,                     ,                      ,                        ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN11              ,CN12a         ,167,1012,A, 25,X,CC,  31.00,    225.4600,Fornaciari,Nannofossils                                 ,A              ,M/G               ,RR                              ,                        ,                 ,                     ,+                  ,                     ,+                ,                    ,+                              ,R                 ,+                  ,                       ,F/C                  ,C                     ,                     ,                      ,F                       ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN11              ,CN12a         ,167,1012,A, 26,X,CC,  32.00,    236.0500,Fornaciari,Nannofossils                                 ,A              ,G                 ,R                               ,                        ,                 ,                     ,+                  ,                     ,                 ,                    ,C                              ,F                 ,                   ,                       ,                     ,                      ,C                    ,+                     ,                        ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN11              ,CN12a         ,167,1012,A, 27,X,CC,  20.00,    243.4300,Fornaciari,Nannofossils                                 ,C              ,P                 ,R                               ,                        ,                 ,                     ,                   ,                     ,                 ,                    ,+                              ,                  ,+                  ,                       ,                     ,                      ,                     ,                      ,                        ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN11              ,CN12a         ,167,1012,A, 28,X,CC,  30.00,    253.5700,Fornaciari,Nannofossils                                 ,A              ,P/M               ,R                               ,                        ,                 ,                     ,                   ,                     ,R                ,                    ,C                              ,F/C               ,F                  ,F/C                    ,C                    ,C                     ,                     ,                      ,                        ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10b             ,CN10c         ,167,1012,A, 29,X,CC,  33.00,    262.8500,Fornaciari,Nannofossils                                 ,A              ,P/M               ,R/F                             ,                        ,R                ,C                    ,F                  ,R                    ,R/F              ,R                   ,F                              ,                  ,                   ,                       ,                     ,                      ,                     ,                      ,                        ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1012,A, 30,X,CC,  57.00,    273.9400,Fornaciari,Nannofossils                                 ,C              ,P                 ,C                               ,+                       ,C                ,                     ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,                     ,                      ,                     ,                      ,                        ,                    ,                    ,                          ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
