Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Thoracosphaera spp.	Syracosphaera spp.	Rhabdosphaera spp.	Reticulofenestrid taxa	Pseudoemiliania lacunosa	Pontosphaera spp.	Helicosphaera carteri	Geminilithella rotula	Discoaster variabilis	Discoaster tamalis	Discoaster surculus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster decorus	Discoaster brouweri	Discoaster asymmetricus	Dictyococcites spp.	Coccolithus radiatus	Calcidiscus macintyrei	Calcidiscus leptoporus	Scyphosphaera spp.	Ceratolithus cristatus	Discoaster triradiatus	Coccolithus pelagicus	Helicosphaera sellii	Ceratolithus rugosus	Gephyrocapsa (small)	Gephyrocapsa oceanica s.l.	Gephyrocapsa (large)	Comment
  SR	                 	                 	CN12c             	              	115	 705	A	  2	H	 3	 130.00	     12.8000	Rio      	Nannofossils                                 	A              	G                 	C                   	R                  	C                 	C                 	C                     	C                       	                 	C                    	C                    	                     	                  	R                  	C                       	R                      	                  	C                  	                       	                   	C                   	F                     	C                     	                  	R                     	R                     	R                    	R                   	                    	                    	                          	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN12b             	              	115	 705	A	  2	H	 4	 130.00	     14.3000	Rio      	Nannofossils                                 	A              	G                 	F                   	R                  	C                 	F                 	C                     	C                       	                 	C                    	C                    	                     	                  	C                  	C                       	R                      	                  	C                  	                       	                   	C                   	C                     	C                     	                  	                      	R                     	C                    	F                   	                    	                    	                          	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN12a             	              	115	 705	A	  2	H	 5	 130.00	     15.8000	Rio      	Nannofossils                                 	A              	G                 	R                   	R                  	C                 	F                 	C                     	C                       	                 	C                    	C                    	                     	R                 	C                  	C                       	R                      	                  	C                  	F                      	R                  	C                   	F                     	C                     	                  	                      	R                     	                     	R                   	R                   	                    	                          	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN12a             	              	115	 705	A	  2	H	 6	  40.00	     16.4000	Rio      	Nannofossils                                 	A              	M                 	F                   	R                  	C                 	R                 	C                     	C                       	R                	C                    	C                    	F                    	C                 	C                  	C                       	R                      	R                 	C                  	F                      	R                  	C                   	F                     	C                     	                  	                      	R                     	R                    	R                   	                    	                    	                          	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN12a             	              	115	 705	A	  2	H	CC	  11.00	     16.7300	Rio      	Nannofossils                                 	A              	G                 	F                   	R                  	C                 	R                 	C                     	C                       	                 	C                    	C                    	                     	F                 	C                  	C                       	                       	                  	C                  	F                      	R                  	C                   	R                     	C                     	                  	                      	R                     	R                    	                    	                    	                    	                          	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN12a             	              	115	 705	A	  3	H	 1	 130.00	     19.3000	Rio      	Nannofossils                                 	A              	M                 	C                   	R                  	C                 	F                 	C                     	C                       	                 	C                    	C                    	                     	F                 	C                  	C                       	                       	                  	C                  	R                      	F                  	F                   	F                     	C                     	                  	R                     	                      	                     	                    	                    	                    	                          	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN12a             	              	115	 705	A	  3	H	 2	  70.00	     20.2000	Rio      	Nannofossils                                 	A              	M                 	F                   	R                  	C                 	R                 	C                     	C                       	                 	C                    	C                    	F                    	                  	C                  	C                       	R                      	F                 	C                  	R                      	F                  	F                   	R                     	C                     	R                 	                      	                      	                     	                    	                    	                    	                          	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN12a             	              	115	 705	A	  3	H	CC	   0.00	     20.2500	Rio      	Nannofossils                                 	A              	M                 	F                   	R                  	F                 	R                 	C                     	C                       	R                	C                    	C                    	F                    	R                 	C                  	C                       	F                      	R                 	C                  	C                      	F                  	F                   	F                     	C                     	                  	                      	                      	                     	                    	                    	                    	                          	                    	from 115 SR. Chapter 15. Table 3. page 185.

