Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Saturnalis circularis	Lamprocyrtis heteroporos	Didymocyrtis tetrathalamus tetrathalamus	Cyrtocapsella tetrapera	Axoprunum angelinum	Eucyrtidium calvertense	Stichocorys peregrina	Stichocorys delmontensis	Lamprocyrtis neoheteroporos	Lamprocyclas hannai	Cycladophora davisiana	Eucyrtidium teuscheri teuscheri	Eucyrtidium acuminatum	Cycladophora pliocenica	Spongurus pylomaticus	Amphirhopalum ypsilon	Pterocanium trilobum	Pterocanium praetextum eucolpum	Cycladophora sakaii	Theocorythium trachelium trachelium	Cycladophora cornutoides	Comment
  IR	                 	                 	                  	              	175	1085	A	 10	H	CC	  22.00	     89.6700	Motoyama 	Radiolarians                                 	A              	M                 	+                    	                        	1                                       	                       	+                  	+                      	                     	                        	                           	+                  	+                     	+                              	+                     	                       	+                    	+                    	+                   	+                              	                   	1                                  	1                       	       

  IR	                 	                 	                  	              	175	1085	A	 11	H	CC	  21.00	     98.6900	Motoyama 	Radiolarians                                 	A              	M                 	                     	1                       	+                                       	                       	+                  	+                      	                     	                        	                           	+                  	+                     	                               	+                     	                       	                     	+                    	1                   	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	 12	H	CC	  19.00	    108.4900	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                       	+                                       	                       	+                  	+                      	                     	                        	                           	+                  	+                     	+                              	+                     	                       	1                    	+                    	+                   	+                              	1                  	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	 13	H	CC	  22.00	    117.8200	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                       	+                                       	                       	+                  	+                      	                     	                        	1                          	+                  	                      	1                              	                      	                       	1                    	1                    	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	 14	H	CC	  14.00	    127.4500	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                       	+                                       	                       	+                  	+                      	                     	                        	                           	                   	                      	1                              	1                     	+                      	                     	                     	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	 15	H	CC	  21.00	    137.0700	Motoyama 	Radiolarians                                 	A              	M                 	                     	                        	                                        	                       	+                  	+                      	                     	                        	                           	+                  	+                     	                               	                      	                       	                     	                     	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	 22	H	CC	  18.00	    203.5900	Motoyama 	Radiolarians                                 	R              	M                 	                     	                        	                                        	                       	                   	1                      	                     	                        	                           	                   	                      	                               	                      	                       	                     	                     	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	 23	H	CC	  14.00	    213.2200	Motoyama 	Radiolarians                                 	C              	M                 	                     	+                       	                                        	                       	1                  	+                      	+                    	1                       	+                          	+                  	                      	                               	                      	                       	                     	                     	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	 34	X	CC	  24.00	    314.6400	Motoyama 	Radiolarians                                 	R              	P                 	                     	                        	                                        	                       	                   	+                      	                     	                        	                           	                   	                      	                               	                      	                       	                     	                     	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	 35	X	CC	  27.00	    324.5700	Motoyama 	Radiolarians                                 	C              	M                 	+                    	1                       	1                                       	+                      	+                  	                       	                     	                        	                           	                   	                      	                               	                      	                       	                     	                     	                    	                               	                   	                                   	                        	       

