Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vaughanina sp.	Sulcoperculina sp.	Sulcoperculina globosa	Pseudorbitoides trechmanni	Foraminifers (small)	Foraminifers (encrusting)	Foraminifers (agglutinated taxa)	Asterorbis rooki	Nubecularia sp.	Marssonella oxycona	Rotaliid taxa	Dicyclina sp.	Sulcoperculina vermunti	Sulcoperculina dickersoni	Miliolids species	Lagenid taxa	Bolivinid taxa	Lepidorbitoides sp.	Omphalocyclus macroporus	Vidalina sp. cf. V. hispanica	Istriloculina sp.	Discorbid taxa	Pseudocyclammina sp.	Planorbulina sp.	Aciculammina (?) sp.	Acervulinid taxa	Comment
  SR	Maestrichtian    	                 	                  	              	144	 875	C	  6	M	 1	  93.00	     47.3300	Premoli Silva	Benthic Foraminifers                         	               	                  	              	                  	                      	                          	                    	1                        	                                	C               	               	1                  	2            	             	                       	                         	                 	?           	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  7	M	 1	  29.00	     56.2900	Premoli Silva	Benthic Foraminifers                         	               	                  	              	VR                	                      	                          	                    	R                        	                                	F               	               	                   	1            	             	                       	                         	                 	            	              	                   	?                       	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  7	M	 1	  30.00	     56.3000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	VR                	                      	                          	                    	VR                       	                                	VA              	               	                   	VR           	             	                       	                         	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  8	M	 1	  18.00	     65.8800	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	C                     	                          	                    	C                        	                                	C               	               	                   	             	             	C                      	                         	                 	            	              	                   	                        	                             	                 	              	1                   	                	2                   	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  9	M	 1	   0.00	     75.3000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	                      	                          	                    	                         	                                	F               	               	?                  	R            	             	C                      	                         	                 	VR          	              	                   	?                       	                             	                 	R             	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  9	M	 1	   0.00	     75.3000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	F                 	F                     	                          	                    	R                        	VR                              	F               	               	VR                 	             	             	F                      	                         	                 	            	              	                   	                        	                             	                 	F             	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  9	M	 1	  29.00	     75.5900	Premoli Silva	Benthic Foraminifers                         	               	                  	              	                  	                      	                          	                    	F                        	                                	VA              	               	                   	             	             	                       	                         	                 	            	              	                   	1                       	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 10	M	 1	  50.00	     85.5000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	C                     	                          	R                   	F                        	                                	C               	F              	                   	             	             	C                      	C                        	                 	            	              	                   	A                       	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 10	M	 1	 122.00	     86.2200	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	F                     	                          	                    	F                        	                                	C               	               	                   	             	             	C                      	F                        	                 	            	              	                   	F                       	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 10	M	 2	  94.00	     87.4400	Premoli Silva	Benthic Foraminifers                         	               	                  	              	A                 	F                     	                          	R                   	                         	                                	C               	               	R                  	R            	             	C                      	                         	                 	            	              	R                  	F                       	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 11	M	 1	  68.00	     95.3800	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	F                     	                          	                    	F                        	                                	A               	               	1                  	             	             	C                      	                         	                 	            	              	R                  	C                       	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 11	M	 1	 121.00	     95.9100	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	C                     	                          	                    	                         	                                	VA              	               	                   	             	             	C                      	                         	                 	            	              	                   	C                       	                             	                 	              	                    	                	                    	1               	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 11	M	 2	  61.00	     96.7800	Premoli Silva	Benthic Foraminifers                         	               	                  	              	F                 	F                     	                          	                    	                         	                                	A               	               	2                  	             	             	F                      	                         	                 	            	              	?                  	C                       	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 11	M	 3	  49.00	     98.1600	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	F                     	                          	                    	                         	                                	C               	               	1                  	             	             	                       	F                        	                 	F           	              	?                  	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 11	M	 3	  93.00	     98.6000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	F                     	                          	1                   	                         	                                	C               	               	                   	             	             	C                      	F                        	                 	            	              	?                  	                        	                             	                 	              	                    	                	1                   	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 12	M	 1	   0.00	    104.3000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	A                 	F                     	                          	                    	                         	                                	r               	               	                   	             	             	                       	C                        	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 12	M	 1	  30.00	    104.6000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	F                     	                          	                    	F                        	                                	A               	               	1                  	1            	             	C                      	F                        	                 	            	              	VR                 	                        	                             	                 	              	?                   	1               	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 12	M	 1	 131.00	    105.6100	Premoli Silva	Benthic Foraminifers                         	               	                  	              	A                 	F                     	                          	                    	F                        	                                	A               	               	                   	F            	             	C                      	F                        	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 12	M	 2	  24.00	    106.0400	Premoli Silva	Benthic Foraminifers                         	               	                  	              	                  	                      	                          	                    	                         	F                               	                	               	                   	C            	             	                       	                         	R                	            	              	                   	                        	1                            	A                	A             	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 12	M	 2	  34.00	    106.1400	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	F                     	                          	                    	                         	                                	A               	               	                   	1            	             	C                      	F                        	                 	            	              	R                  	1                       	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 13	M	 1	   0.00	    113.9000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	                  	                      	                          	                    	                         	                                	C               	               	                   	             	             	                       	C                        	                 	            	              	?                  	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 13	M	 1	  24.00	    114.1400	Premoli Silva	Benthic Foraminifers                         	               	                  	              	A                 	F                     	                          	                    	                         	                                	A               	               	                   	             	             	A                      	F                        	1                	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 13	M	 1	  67.00	    114.5700	Premoli Silva	Benthic Foraminifers                         	               	                  	?             	C                 	C                     	                          	                    	R                        	                                	VA              	               	1                  	F            	             	F                      	C                        	                 	            	C             	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 13	M	 1	  68.00	    114.5800	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	C                     	                          	                    	                         	                                	C               	               	                   	F            	             	C                      	                         	                 	F           	R             	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 13	M	 1	 123.00	    115.1300	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	C                     	                          	                    	                         	F                               	A               	               	R                  	F            	             	C                      	                         	F                	F           	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 13	M	 1	 125.00	    115.1500	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	F                     	R                         	1                   	                         	R                               	VA              	               	1                  	             	             	F                      	F                        	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 13	M	 2	  61.00	    115.8100	Premoli Silva	Benthic Foraminifers                         	               	                  	              	C                 	F                     	                          	                    	                         	R                               	A               	               	R                  	             	             	F                      	F                        	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 14	M	 1	  15.00	    123.7500	Premoli Silva	Benthic Foraminifers                         	               	                  	              	F                 	                      	                          	F                   	                         	R                               	                	               	1                  	1            	?            	                       	                         	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	 14	M	 1	  50.00	    124.1000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	F                 	F                     	                          	                    	VR                       	                                	R               	R              	1                  	             	             	                       	                         	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	                 	                 	                  	              	144	 875	C	 14	M	 1	  59.00	    124.1900	Premoli Silva	Benthic Foraminifers                         	               	                  	C             	F                 	?                     	VA                        	                    	1                        	F                               	                	               	                   	             	             	                       	                         	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	                 	                 	                  	              	144	 875	C	 14	M	 1	  59.00	    124.1900	Premoli Silva	Benthic Foraminifers                         	               	                  	F             	                  	                      	VA                        	R                   	                         	                                	R               	               	                   	             	             	                       	                         	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

