Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeropyle langii	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Eucyrtidium matuyamai	Cycladophora davisiana davisiana	Clathrocyclas bicornis	Botryostrobus praetumidulus	Stylatractus universus	Stylacontarium acquilonium	Botryostrobus aquilonaris	Stichocorys delmontensis	Lychnocanoma nipponica sakaii	Lamprocyrtis nigriniae	Cycladophora bicincta	Actinomma popofskii	Pterocanium korotnevi	Dictyophimus crisiae	Botryostrobus tumidulus	Eucyrtidium teuscheri group	Spongotrochus glacialis	Rhizosphaera antarctica	Pterocorys clausus	Ceratospyris hyperborea	Comment
  IR	                 	                 	S. universus      	              	167	1017	B	 11	H	CC	  33.00	    100.4700	Caulet   	Radiolarians                                 	R              	P                 	                  	                           	                        	                     	+                               	                      	                           	+                     	                          	                         	                        	+                            	                      	                     	                   	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	S. universus      	              	167	1017	B	 12	H	CC	  12.00	    110.2900	Caulet   	Radiolarians                                 	R              	M                 	+                 	                           	                        	                     	+                               	                      	                           	+                     	                          	+                        	                        	                             	                      	                     	                   	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	S. universus      	              	167	1017	B	 15	X	CC	  46.00	    127.6900	Caulet   	Radiolarians                                 	R              	P                 	                  	                           	                        	                     	                                	                      	                           	                      	                          	                         	+                       	                             	                      	                     	                   	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	S. universus      	              	167	1017	B	 16	X	CC	  29.00	    134.2400	Caulet   	Radiolarians                                 	R              	P                 	                  	                           	                        	                     	                                	                      	+                          	                      	                          	+                        	                        	                             	                      	                     	                   	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	S. universus      	              	167	1017	B	 19	X	CC	  24.00	    165.6100	Caulet   	Radiolarians                                 	R              	M                 	                  	                           	                        	                     	+                               	                      	+                          	                      	+                         	                         	                        	                             	                      	                     	                   	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	E. matuyamai (N Pac)	              	167	1017	B	 20	X	CC	  60.00	    175.2800	Caulet   	Radiolarians                                 	R              	M                 	                  	                           	                        	+                    	+                               	                      	                           	+                     	                          	                         	                        	                             	                      	                     	                   	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	E. matuyamai (N Pac)	              	167	1017	B	 21	X	CC	  33.00	    184.7300	Caulet   	Radiolarians                                 	R              	M                 	                  	                           	                        	+                    	+                               	                      	+                          	+                     	+                         	                         	                        	                             	                      	                     	                   	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	E. matuyamai (N Pac)	              	167	1017	B	 22	X	CC	  29.00	    194.4000	Caulet   	Radiolarians                                 	F              	G                 	+                 	+                          	+                       	+                    	+                               	+                     	+                          	                      	                          	                         	                        	                             	                      	                     	                   	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

