Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina senticosa,Uvigerina hispidocostata,Tosaia hanzawai,Stilostomella spp.,Pyrgo murrhina,Pullenia bulloides,Pleurostomella spp.,Oridorsalis umbonatus,Melonis pompilioides,Melonis barleeanus,Hoeglundina elegans,Bolivina spp.,Sphaeroidina bulloides,Sigmoilopsis schlumbergeri,Lenticulina spp.,Fissurina spp.,Chilostomella oolina,Bulimina striata,Bulimina rostrata,Amphicoryna scalaris,Martinottiella spp.,Globobulimina affinis,Bulimina aculeata,Uvigerina hispida,Globocassidulina spp.,Cibicidoides spp.,Comment
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H,CC,  18.00,     46.5000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                   ,F                       ,               ,                  ,F             ,C                 ,                   ,F                    ,                    ,A                 ,                   ,             ,F                     ,                          ,F               ,              ,                    ,                ,                 ,                    ,R                  ,F                    ,F                ,                 ,                     ,                 ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  7,H, 1,  59.00,     57.1900,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                   ,C                       ,F              ,                  ,              ,                  ,                   ,C                    ,                    ,C                 ,                   ,             ,                      ,F                         ,                ,F             ,R                   ,R               ,F                ,R                   ,                   ,                     ,                 ,                 ,                     ,                 ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  8,H, 1,  93.00,     66.9300,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                   ,                        ,               ,C                 ,R             ,F                 ,R                  ,C                    ,R                   ,                  ,                   ,             ,                      ,                          ,                ,R             ,                    ,                ,                 ,                    ,                   ,                     ,                 ,                 ,                     ,                 ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  9,H,CC,  27.00,     80.1000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                   ,                        ,F              ,                  ,R             ,                  ,                   ,                     ,                    ,                  ,A                  ,             ,F                     ,F                         ,R               ,R             ,                    ,                ,                 ,                    ,                   ,                     ,                 ,                 ,                     ,                 ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A, 10,H, 3,  62.00,     87.7300,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,C                  ,F                       ,R              ,C                 ,R             ,F                 ,C                  ,C                    ,C                   ,F                 ,R                  ,C            ,                      ,                          ,                ,              ,                    ,                ,                 ,                    ,                   ,                     ,                 ,                 ,                     ,                 ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
