Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (dex.),Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia tosaensis (dex.),Globorotalia scitula,Globorotalia menardii,Globorotalia inflata (4 chambered),Globorotalia inflata (3 chambered),Globorotalia crassaformis,Globorotalia cf. tosaensis (dex.),Globigerinoides trilobus,Globigerinoides ruber (white),Globigerinoides conglobatus,Globigerinita glutinata,Globigerina falconensis,Globigerina cryophila (dex.),Globigerina bulloides,Globorotalia truncatulinoides (dex.),Globorotalia flexuosa,Globigerinoides tenellus,Globigerinoides gomitulus,Globigerinita iota,Globigerina digitata,Globigerina calida,Globigerinoides sacculifer,Globigerinella aequilateralis (symmetrical),Globigerinella aequilateralis (asymmetrical),Globigerina quinqueloba,Globorotalia scitula gigantea,Globorotalia anfracta,Globoquadrina conglomerata,Globigerinita uvula,Globigerina hermanae (dex.),Neogloboquadrina humerosa,Bolliella adamsi,Globorotalia truncatulinoides (sin.),Orbulina bilobata,Globoquadrina hexagona,Globigerinita humilis          ,Globigerina rubescens,Globorotalia pumilio,Hastigerina pelagica,Globorotalia hirsuta,Globigerinoides ruber (pink),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  2,H, 3,  57.00,     13.2700,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,+                        ,                                 ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,+                                   ,                     ,                        ,+                        ,+                 ,+                   ,+                 ,+                         ,+                                          ,                                            ,+                      ,                             ,                     ,                          ,                   ,                           ,                         ,                ,                                    ,                 ,                      ,                               ,+                    ,                    ,                    ,                    ,+                           ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  2,H, 3,  70.00,     13.4000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,+                                   ,                     ,                        ,+                        ,                  ,                    ,                  ,                          ,+                                          ,                                            ,                       ,                             ,                     ,                          ,+                  ,                           ,                         ,                ,                                    ,                 ,                      ,                               ,+                    ,                    ,                    ,+                   ,+                           ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  2,H,CC,  10.00,     15.4200,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,                            ,                 ,                                  ,                          ,                   ,                             ,                    ,                     ,                                  ,                                  ,                         ,                                 ,+                       ,                             ,                           ,                       ,                       ,                            ,                     ,                                    ,                     ,                        ,                         ,                  ,                    ,                  ,+                         ,                                           ,                                            ,                       ,                             ,                     ,                          ,                   ,                           ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H, 2,  70.00,     21.3000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,                 ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,+                        ,                                 ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,                                    ,                     ,                        ,                         ,+                 ,                    ,                  ,+                         ,+                                          ,                                            ,+                      ,                             ,                     ,                          ,+                  ,+                          ,                         ,                ,                                    ,                 ,+                     ,+                              ,+                    ,                    ,                    ,+                   ,+                           ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H, 4,  70.00,     24.3000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,                     ,+                                 ,+                                 ,+                        ,                                 ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,+                                   ,                     ,                        ,+                        ,+                 ,                    ,+                 ,+                         ,+                                          ,+                                           ,+                      ,                             ,                     ,                          ,+                  ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,+                    ,                    ,                    ,+                   ,+                           ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H,CC,  26.00,     28.8300,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,                         ,                                 ,+                       ,+                            ,+                          ,+                      ,                       ,                            ,+                    ,+                                   ,+                    ,                        ,+                        ,+                 ,                    ,                  ,                          ,+                                          ,+                                           ,                       ,                             ,                     ,                          ,                   ,                           ,                         ,                ,                                    ,                 ,                      ,+                              ,                     ,                    ,                    ,                    ,+                           ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  4,H, 2,  70.00,     30.6000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,                            ,                 ,+                                 ,                          ,                   ,                             ,                    ,                     ,+                                 ,+                                 ,                         ,                                 ,                        ,                             ,                           ,                       ,                       ,+                           ,                     ,                                    ,                     ,                        ,                         ,                  ,                    ,                  ,                          ,                                           ,                                            ,                       ,                             ,                     ,                          ,                   ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  4,H, 4,  70.00,     33.6000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,+                        ,                                 ,+                       ,                             ,+                          ,+                      ,+                      ,+                           ,+                    ,                                    ,                     ,+                       ,+                        ,+                 ,                    ,+                 ,+                         ,                                           ,                                            ,+                      ,                             ,                     ,                          ,+                  ,+                          ,                         ,                ,                                    ,                 ,                      ,+                              ,+                    ,                    ,+                   ,+                   ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  4,H,CC,  27.00,     38.1700,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,                   ,                             ,                    ,+                    ,+                                 ,+                                 ,+                        ,                                 ,+                       ,+                            ,+                          ,+                      ,                       ,+                           ,+                    ,+                                   ,                     ,                        ,+                        ,+                 ,                    ,                  ,                          ,                                           ,+                                           ,+                      ,+                            ,                     ,                          ,+                  ,+                          ,                         ,                ,                                    ,                 ,+                     ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H, 2,  70.00,     40.0000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,                          ,+                  ,                             ,                    ,+                    ,+                                 ,+                                 ,+                        ,+                                ,                        ,+                            ,                           ,+                      ,                       ,                            ,+                    ,+                                   ,                     ,                        ,+                        ,+                 ,                    ,                  ,                          ,                                           ,                                            ,+                      ,                             ,                     ,                          ,+                  ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H, 4,  69.00,     42.9900,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,                   ,+                            ,                    ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                            ,                           ,+                      ,+                      ,                            ,+                    ,+                                   ,                     ,                        ,+                        ,+                 ,+                   ,                  ,+                         ,                                           ,                                            ,                       ,                             ,                     ,                          ,                   ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H, 4,  91.00,     43.2100,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,                 ,+                                 ,+                         ,                   ,+                            ,                    ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                            ,                           ,+                      ,+                      ,                            ,+                    ,+                                   ,                     ,                        ,+                        ,+                 ,                    ,                  ,                          ,                                           ,                                            ,+                      ,+                            ,+                    ,                          ,                   ,+                          ,                         ,                ,                                    ,                 ,                      ,+                              ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H, 5,  93.00,     44.7300,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,+                            ,                    ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                            ,+                          ,+                      ,+                      ,                            ,+                    ,+                                   ,+                    ,+                       ,+                        ,+                 ,+                   ,                  ,+                         ,+                                          ,+                                           ,+                      ,                             ,                     ,                          ,+                  ,+                          ,                         ,                ,                                    ,                 ,+                     ,                               ,                     ,+                   ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H, 6,  86.00,     46.1600,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,                 ,+                                 ,+                         ,+                  ,+                            ,                    ,+                    ,+                                 ,+                                 ,+                        ,+                                ,                        ,+                            ,+                          ,+                      ,+                      ,                            ,+                    ,+                                   ,                     ,+                       ,+                        ,+                 ,+                   ,+                 ,                          ,                                           ,                                            ,+                      ,+                            ,                     ,                          ,                   ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,+                    ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H,CC,  18.00,     46.5000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,                   ,+                            ,                    ,+                    ,+                                 ,+                                 ,+                        ,+                                ,                        ,+                            ,+                          ,+                      ,                       ,                            ,                     ,+                                   ,                     ,                        ,+                        ,                  ,+                   ,                  ,+                         ,                                           ,                                            ,                       ,+                            ,                     ,                          ,                   ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,+                    ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  6,H, 1, 108.00,     48.2800,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,+                                   ,+                    ,+                       ,+                        ,+                 ,+                   ,+                 ,+                         ,+                                          ,+                                           ,+                      ,                             ,+                    ,                          ,+                  ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,+                    ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  6,H,CC,  12.00,     54.6700,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,                    ,+                    ,+                                 ,+                                 ,+                        ,                                 ,+                       ,+                            ,+                          ,                       ,                       ,                            ,                     ,+                                   ,                     ,                        ,+                        ,                  ,                    ,+                 ,+                         ,                                           ,                                            ,                       ,                             ,                     ,                          ,                   ,                           ,                         ,                ,+                                   ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  7,H, 1,  59.00,     57.1900,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,                 ,+                                 ,+                         ,+                  ,+                            ,                    ,                     ,+                                 ,+                                 ,+                        ,+                                ,+                       ,                             ,                           ,+                      ,+                      ,                            ,                     ,+                                   ,                     ,+                       ,+                        ,+                 ,                    ,+                 ,                          ,                                           ,                                            ,                       ,                             ,                     ,                          ,                   ,                           ,                         ,                ,                                    ,                 ,+                     ,+                              ,+                    ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  7,H, 2,   2.00,     58.1200,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,                          ,+                  ,                             ,                    ,+                    ,+                                 ,+                                 ,+                        ,                                 ,                        ,                             ,                           ,+                      ,                       ,+                           ,+                    ,                                    ,                     ,                        ,                         ,+                 ,                    ,                  ,+                         ,                                           ,                                            ,+                      ,                             ,                     ,                          ,                   ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  7,H, 3,   2.00,     59.6200,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,                                    ,                     ,+                       ,+                        ,                  ,+                   ,                  ,+                         ,                                           ,+                                           ,+                      ,+                            ,                     ,                          ,                   ,+                          ,                         ,                ,                                    ,+                ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  7,H,CC,   9.00,     64.0100,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,                   ,                             ,                    ,+                    ,+                                 ,+                                 ,+                        ,                                 ,+                       ,+                            ,+                          ,                       ,+                      ,+                           ,+                    ,                                    ,                     ,                        ,+                        ,                  ,                    ,                  ,+                         ,+                                          ,+                                           ,                       ,                             ,                     ,                          ,                   ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  8,H, 1,  93.00,     66.9300,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,                   ,                             ,+                   ,+                    ,+                                 ,+                                 ,+                        ,                                 ,                        ,+                            ,+                          ,+                      ,+                      ,                            ,+                    ,                                    ,                     ,+                       ,                         ,                  ,                    ,                  ,+                         ,+                                          ,                                            ,                       ,                             ,                     ,                          ,                   ,                           ,                         ,                ,+                                   ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  8,H, 1,  97.00,     66.9700,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,+                        ,                                 ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,                                    ,                     ,+                       ,+                        ,+                 ,+                   ,                  ,                          ,+                                          ,                                            ,+                      ,+                            ,                     ,                          ,+                  ,+                          ,+                        ,+               ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  8,H,CC,  11.00,     69.4100,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,                   ,                             ,                    ,                     ,+                                 ,+                                 ,                         ,                                 ,+                       ,+                            ,                           ,+                      ,                       ,                            ,+                    ,+                                   ,                     ,                        ,+                        ,                  ,+                   ,                  ,                          ,                                           ,+                                           ,+                      ,                             ,                     ,                          ,                   ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  9,H, 2,  70.00,     77.5200,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,+                            ,+                   ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,+                                   ,                     ,+                       ,+                        ,+                 ,+                   ,+                 ,+                         ,                                           ,+                                           ,+                      ,+                            ,+                    ,+                         ,+                  ,+                          ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  9,H, 4,  36.00,     79.5500,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,+                            ,                    ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                            ,+                          ,+                      ,                       ,+                           ,+                    ,+                                   ,                     ,+                       ,+                        ,                  ,+                   ,+                 ,+                         ,+                                          ,+                                           ,+                      ,                             ,                     ,                          ,                   ,                           ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  9,H,CC,  27.00,     80.1000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,+                            ,+                   ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,                             ,                           ,+                      ,+                      ,                            ,+                    ,+                                   ,                     ,+                       ,                         ,                  ,                    ,+                 ,+                         ,+                                          ,+                                           ,+                      ,                             ,                     ,                          ,                   ,                           ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A, 10,H, 1,  70.00,     86.0000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,+                  ,+                            ,                    ,+                    ,+                                 ,+                                 ,+                        ,                                 ,+                       ,+                            ,+                          ,+                      ,+                      ,                            ,+                    ,+                                   ,+                    ,+                       ,+                        ,+                 ,+                   ,+                 ,                          ,                                           ,                                            ,                       ,                             ,                     ,                          ,                   ,                           ,                         ,                ,                                    ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
