Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera pulchra,Rhabdosphaera spp.,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera spp.,Helicosphaera inversa,Gephyrocapsa sp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Coccolithus pelagicus,Calcidiscus leptoporus,Comment
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H,CC,  28.00,      9.6800,Firth    ,Nannofossils                                 ,A              ,G                 ,9                      ,0                         ,2                  ,0                    ,1                 ,0                      ,0                       ,3                 ,0                    ,91                      ,84                   ,58                       ,42               ,0                    ,9                     ,Total Count = 299; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  2,H,CC,  10.00,     15.4200,Firth    ,Nannofossils                                 ,C              ,M                 ,3                      ,0                         ,0                  ,0                    ,1                 ,0                      ,0                       ,1                 ,0                    ,184                     ,66                   ,16                       ,22               ,1                    ,6                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H, 1,  63.00,     19.7300,Firth    ,Nannofossils                                 ,A              ,G                 ,2                      ,0                         ,0                  ,0                    ,1                 ,0                      ,0                       ,2                 ,0                    ,57                      ,87                   ,32                       ,104              ,1                    ,14                    ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H, 3,  86.00,     22.9600,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,1                 ,0                      ,0                       ,0                 ,0                    ,22                      ,8                    ,239                      ,29               ,0                    ,1                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H, 5,  61.00,     25.7100,Firth    ,Nannofossils                                 ,A              ,G                 ,1                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,35                      ,3                    ,233                      ,28               ,0                    ,0                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H, 6,  42.00,     27.0200,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,1                 ,0                      ,0                       ,1                 ,0                    ,26                      ,6                    ,259                      ,3                ,0                    ,4                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H,CC,  26.00,     28.8300,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,58                      ,8                    ,230                      ,0                ,1                    ,3                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  4,H, 1,  40.00,     28.8000,Firth    ,Nannofossils                                 ,A              ,G                 ,2                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,93                      ,5                    ,194                      ,1                ,1                    ,4                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  4,H, 3,  40.00,     31.8000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,1                 ,0                    ,19                      ,2                    ,274                      ,0                ,0                    ,4                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  4,H,CC,  27.00,     38.1700,Firth    ,Nannofossils                                 ,A              ,M-G               ,0                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,36                      ,4                    ,258                      ,0                ,0                    ,2                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H, 3,  40.00,     41.2000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,0                      ,2                       ,0                 ,0                    ,57                      ,1                    ,239                      ,1                ,0                    ,0                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H, 6,  40.00,     45.7000,Firth    ,Nannofossils                                 ,A              ,G                 ,1                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,1                 ,0                    ,19                      ,8                    ,269                      ,0                ,0                    ,2                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H,CC,  18.00,     46.5000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,3                 ,0                    ,6                       ,15                   ,272                      ,0                ,1                    ,3                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  7,H, 1,  41.00,     57.0100,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,0                      ,1                       ,0                 ,0                    ,219                     ,38                   ,41                       ,0                ,0                    ,1                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  7,H, 2,  41.00,     58.5100,Firth    ,Nannofossils                                 ,A              ,G                 ,3                      ,0                         ,1                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,206                     ,30                   ,53                       ,1                ,0                    ,6                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  7,H,CC,   9.00,     64.0100,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,264                     ,17                   ,19                       ,0                ,0                    ,0                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  8,H, 1, 105.00,     67.0500,Firth    ,Nannofossils                                 ,A              ,G                 ,1                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,280                     ,11                   ,6                        ,0                ,0                    ,2                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  8,H, 2,  85.00,     68.2200,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,1                    ,0                 ,0                      ,0                       ,1                 ,0                    ,250                     ,29                   ,18                       ,0                ,0                    ,1                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  9,H, 1,  64.00,     76.2400,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,3                      ,0                       ,1                 ,0                    ,164                     ,26                   ,103                      ,0                ,0                    ,3                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  9,H, 3,  39.00,     78.7100,Firth    ,Nannofossils                                 ,A              ,G                 ,1                      ,0                         ,0                  ,0                    ,0                 ,5                      ,0                       ,0                 ,0                    ,229                     ,7                    ,57                       ,0                ,0                    ,1                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  9,H,CC,  27.00,     80.1000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,11                     ,2                       ,0                 ,0                    ,190                     ,6                    ,91                       ,0                ,0                    ,0                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A, 10,H, 1,  25.00,     85.5500,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,1                      ,0                       ,3                 ,0                    ,244                     ,27                   ,24                       ,0                ,0                    ,0                     ,Total Count = 299; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A, 10,H, 3,  50.00,     87.6100,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,256                     ,17                   ,24                       ,0                ,0                    ,3                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
