Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria lenticula,Notoplanulina rakauroana,Marssonella oxycona,Lenticulina sp.,Gavelinella eriksdalensis,Cibicides ribbingi,Alabamina dorsoplana,Stensioina beccariiformis,Lenticulina macrodisca,Pyramidina szajnochae,Pullenia cretacea,Praebulimina reussi,Notoplanulina aff. compressa,Lenticulina sp. 1,Lenticulina navicula,Gyroidinoides quadratus,Gyroidinoides globosa,Gaudryina rugosa,Valvulineria sp.,Spiroplectammina paula,Osangularia texana,Nodosaria aff. affinis,Loxostomum eleyi,Lagena sp. indet.,Dorothia conicula,Dentalina sp. A.,Dentalina cf. sororia,Dentalina cf. inornata,Bolivinopsis rosula,Anomalinoides sp.,Neoflabellina rugosa,Ramulina sp.,Gyroidinoides nitidus,Gyroidina noda,Globorotalites umbilicatus,Frondicularia aff. lanceola,Dentalina catenula,Dentalina basitorta,Quadrimorphina allomorphinoides,Nuttallinella coronula,Gavelinella velascoensis,Palmula =(indet. juv. sp.),Gavelinella sp. 1,Dentalina sp.,Valvulina spinosa,Uvigerina spp.,Uvigerina hispidocostata,Uvigerina havanensis,Uvigerina graciliformis,Uvigerina elongata,Turrilina robertsi/brevispira,Turrilina alsatica,Tritaxia spp.,Trifarina sp.,Tappanina selmensis,Stilostomella spp.,Spiroplectammina spectabilis,Siphotextularia sp.,Rhabdammina/Hyperammina (unspecified taxon or taxa),Rectuvigerina multicostata,Quadrimorphina spp.,Pyramidina rudita,Pullenia subcarinata,Pullenia eocaenica,Pullenia coryelli,Pullenia bulloides,Pleurostomella sp.,Plectofrondicularia sp.,Plectina elongata,Osangularia velascoensis,Osangularia mexicana,Osangularia culter,Orthomorphina sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Nuttallides truempyi,Nonion sp. 6,Nonion havanensis,Nodosaria sp.,Neoeponides hillebrandti,Neoeponides cf. lunata,Melonis affinis,Martinottiella nodulosa,Marginulina spp.,Lenticulina whitei,Lenticulina spp.,Laticarinina pauperata,Lagena sp.,Karreriella subglabra,Karreriella spp.,Karreriella chapapotensis,Karreriella bradyi,Hanzawaia spp.,Hanzawaia cushmani,Gyroidinoides spp.,Gyroidinoides soldanii,Gyroidina spp.,"Gyroidina sp. ""small""",Gyroidina lamarckiana,Glomospira charoides,Globocassidulina subglobosa,Gavelinella danica,Gaudryina cf. laevigata,Fursenkoina spp.,Fissurina spp.,Eponides sp. 31,Epistominella exigua,Eggerella sp.,Eggerella bradyi,Dentalina spp.,Coryphostoma midwayensis,Cibicidoides velascoensis,Cibicidoides subspiratus,Cibicidoides sp.,Cibicidoides praemundulus,Cibicidoides pachyderma,Cibicidoides mundulus,Cibicidoides micrus,Cibicidoides laurisae,Cibicidoides eocaenus,Cibicidoides bradyi,Cassidulina cf. havanense,Buliminella grata,Bulimina trinitatensis,Bulimina trihedra,Bulimina thanetensis,Bulimina striata,Bulimina spp.,Bulimina semicostata,Bulimina navarroensis,Bulimina macilenta,Bulimina jarvisi,Bulimina elongata,Bulimina bradburyi,Bulimina alazanensis,Bolivinoides delicatulus,Bolivina spp.,Astrononion pusillum,Aragonia velascoensis,Aragonia aragonensis,Anomalinoides spp.,Anomalinoides spissiformis,Anomalinoides semicribratus,Anomalinoides capitatus,Anomalina praeacuta,Alabamina dissonata,Alabamina creta,Abyssamina poagi,Nodosaria spp.,Neoflabellina semireticulata,Dorothia trochoides,Bulimina velascoensis,Bolivinoides sp. 4,Clinapertina complanata,Bulimina tuxpamensis,Heronallenina sp.,Cyclammina spp.,Karreriella sp.,Valvulineria laevigata,Sigmoilopsis sp.,Cibicidoides grimsdalei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  2,R, 4,   4.00,    173.0400,Mackensen,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,.0%                      ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,4                    ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,1.3%             ,.0%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,1.3%                         ,.0%               ,.0%          ,.0%          ,.0%                ,.6%               ,.0%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,.0%                 ,1.9%              ,.0%              ,.0%               ,.6%               ,.0%                    ,.0%              ,.0%                     ,1.3%                ,.0%               ,.0%              ,.0%                  ,.0%                   ,38.1%               ,.0%         ,1.3%             ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,5.8%            ,.0%                   ,.6%       ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,2.6%              ,.0%               ,2.6%                  ,.0%           ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,3.2%                   ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,.0%             ,.0%                      ,.0%                    ,.0%                  ,.0%                ,.0%                  ,7.1%                 ,.0%                ,.0%                      ,.0%              ,1.9%                  ,.0%              ,.0%                 ,.0%             ,.6%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.6%                 ,.0%               ,4.5%                      ,3.2%                       ,1.9%                   ,.0%                ,12.9%              ,.0%            ,.0%             ,              ,                            ,                   ,                     ,                  ,                       ,6                   ,                 ,               ,               ,                      ,                ,                       ,Indeterminant specimens = 1.3%; All others = 4.5%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  2,R, 4,  49.00,    173.4900,Mackensen,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,.0%                      ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,2                    ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,1.7%             ,.0%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.8%                          ,.0%               ,.0%          ,.0%          ,.0%                ,5.0%              ,.0%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,.0%                 ,3.4%              ,.0%              ,.0%               ,1.7%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,1.7%                 ,.0%                   ,28.6%               ,.8%         ,2.5%             ,.8%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,10.1%           ,.0%                   ,1.7%      ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,2.5%              ,.0%               ,1.7%                  ,.0%           ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,5.0%                   ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,3.4%                    ,.0%             ,.0%                      ,.0%                    ,.0%                  ,.0%                ,.0%                  ,5.9%                 ,.0%                ,.0%                      ,1.7%             ,.0%                   ,.0%              ,2.5%                ,.0%             ,.0%          ,3.4%                ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,5.0%                ,.0%               ,4.2%                      ,.8%                        ,1.7%                   ,.0%                ,.8%                ,.0%            ,.0%             ,1             ,                            ,                   ,                     ,                  ,2                      ,                    ,                 ,               ,               ,                      ,                ,                       ,Indeterminant specimens = 0%; All others = 2.5%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  2,R, 4,  90.00,    173.9000,Mackensen,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,.0%                      ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,                     ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,.9%              ,.0%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,2.6%                         ,.0%               ,.0%          ,.0%          ,.0%                ,1.4%              ,.2%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,.0%                 ,.9%               ,.0%              ,.0%               ,.0%               ,.0%                    ,.0%              ,.0%                     ,.9%                 ,.0%               ,.0%              ,3.1%                 ,.0%                   ,49.8%               ,.0%         ,.0%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.5%             ,.0%                   ,.2%       ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.5%               ,.0%               ,.0%                   ,2.1%          ,.0%                  ,.0%                  ,.0%                 ,.5%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,1.2%                    ,1.2%            ,1.2%                     ,.0%                    ,.0%                  ,.0%                ,.0%                  ,10.8%                ,.0%                ,.0%                      ,.0%              ,2.8%                  ,.0%              ,.0%                 ,.0%             ,.0%          ,4.5%                ,.0%                  ,.0%               ,1.7%            ,.0%              ,1.7%              ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,2.8%                ,.0%               ,3.3%                      ,1.9%                       ,.0%                    ,.0%                ,1.4%               ,.0%            ,1.2%            ,              ,                            ,                   ,                     ,                  ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,Indeterminant specimens = 0%; All others = 0.7%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  2,R, 5, 117.00,    175.6700,Mackensen,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,28.1%                    ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,                     ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,.2%              ,.0%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.2%          ,.0%          ,.2%                ,.5%               ,.0%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,2.5%             ,.0%                 ,.0%               ,11.9%            ,.0%               ,.0%               ,.0%                    ,.0%              ,.5%                     ,.0%                 ,.0%               ,.0%              ,1.0%                 ,.0%                   ,23.0%               ,.0%         ,.5%              ,4.9%         ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,3.2%              ,.0%             ,.0%                   ,.0%       ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,.5%               ,.0%                   ,2.5%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,1.2%            ,.0%                      ,.0%                    ,.0%                  ,.0%                ,.0%                  ,.0%                  ,.0%                ,.0%                      ,.0%              ,5.4%                  ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,3.7%                    ,.0%          ,.0%                 ,.2%                  ,.0%                 ,.0%               ,.0%                       ,.5%                        ,.0%                    ,6.2%               ,.0%                ,.0%            ,.0%             ,20            ,1                           ,2                  ,5                    ,11                ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,Indeterminant specimens = 0.7%; All others = 2.2%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  3,R, 2,   9.00,    179.5900,Mackensen,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,27.6%                    ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,5                    ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,.0%              ,.0%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,2.3%              ,.0%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,3.0%             ,.0%                 ,.0%               ,11.6%            ,.0%               ,.0%               ,.0%                    ,.0%              ,1.3%                    ,.0%                 ,.0%               ,.0%              ,2.3%                 ,.0%                   ,14.6%               ,.0%         ,.3%              ,.0%          ,4.0%                    ,.0%                   ,.0%            ,.0%                    ,.0%             ,1.3%              ,.0%             ,.0%                   ,1.7%      ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,.0%               ,1.7%                  ,3.0%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.7%                     ,1.7%                     ,.0%                     ,4.3%            ,.0%                      ,.0%                    ,.0%                  ,.0%                ,.0%                  ,.0%                  ,.0%                ,.0%                      ,.0%              ,6.3%                  ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,5.3%                    ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,.0%                       ,.0%                        ,.0%                    ,5.3%               ,.0%                ,.0%            ,.0%             ,              ,                            ,                   ,                     ,                  ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,Indeterminant specimens = 1.3%; All others = 0.3%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  6,R, 1,  28.00,    252.2800,Quilty   ,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,                         ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,                     ,                ,+               ,                      ,                  ,                      ,+               ,+                ,                 ,+               ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,+                         ,+                ,+            ,                 ,              ,                        ,                    ,                       ,                  ,                             ,                  ,             ,             ,                   ,                  ,                            ,                   ,                                                   ,                          ,                   ,                 ,                    ,                  ,                 ,                  ,                  ,                       ,                 ,                        ,                    ,                  ,                 ,                     ,                      ,                    ,            ,                 ,             ,                        ,                      ,               ,                       ,                ,                  ,                ,                      ,          ,                     ,                ,                         ,                  ,              ,                  ,                  ,                      ,              ,                     ,                     ,                    ,                           ,                  ,                       ,                ,              ,               ,                    ,             ,                ,              ,                        ,                         ,                        ,                ,                         ,                       ,                     ,                   ,                     ,                     ,                   ,                         ,                 ,                      ,                 ,                    ,                ,             ,                    ,                     ,                  ,                ,                 ,                  ,                    ,                        ,             ,                    ,                     ,                    ,                  ,                          ,                           ,                       ,                   ,                   ,               ,                ,              ,                            ,                   ,                     ,                  ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,from ODP Leg 120 SR Vol 1 Chapter 23 Table 1 p 396-399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  6,R,CC,   9.00,    253.5900,Quilty   ,Benthic Foraminifers                         ,               ,                  ,                      ,+                       ,                   ,               ,                         ,                  ,                    ,+                        ,                      ,                     ,+                ,                   ,                            ,                 ,                    ,+                      ,                     ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,+               ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,+                         ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,                 ,              ,                        ,                    ,                       ,                  ,                             ,                  ,             ,             ,                   ,                  ,                            ,                   ,                                                   ,                          ,                   ,                 ,                    ,                  ,                 ,                  ,                  ,                       ,                 ,                        ,                    ,                  ,                 ,                     ,                      ,                    ,            ,                 ,             ,                        ,                      ,               ,                       ,                ,                  ,                ,                      ,          ,                     ,                ,                         ,                  ,              ,                  ,                  ,                      ,              ,                     ,                     ,                    ,                           ,                  ,                       ,                ,              ,               ,                    ,             ,                ,              ,                        ,                         ,                        ,                ,                         ,                       ,                     ,                   ,                     ,                     ,                   ,                         ,                 ,                      ,                 ,                    ,                ,             ,                    ,                     ,                  ,                ,                 ,                  ,                    ,                        ,             ,                    ,                     ,                    ,                  ,                          ,                           ,                       ,                   ,                   ,               ,                ,              ,                            ,                   ,                     ,                  ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,from ODP Leg 120 SR Vol 1 Chapter 23 Table 1 p 396-399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  7,R, 1,  27.00,    261.7700,Quilty   ,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,+                 ,                    ,+                        ,                      ,                     ,+                ,+                  ,                            ,                 ,                    ,+                      ,                     ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,+                    ,                      ,                   ,                 ,                    ,            ,                     ,              ,+                         ,                           ,                  ,                   ,+                              ,+                     ,+                       ,                          ,                 ,             ,                 ,              ,                        ,                    ,                       ,                  ,                             ,                  ,             ,             ,                   ,                  ,                            ,                   ,                                                   ,                          ,                   ,                 ,                    ,                  ,                 ,                  ,                  ,                       ,                 ,                        ,                    ,                  ,                 ,                     ,                      ,                    ,            ,                 ,             ,                        ,                      ,               ,                       ,                ,                  ,                ,                      ,          ,                     ,                ,                         ,                  ,              ,                  ,                  ,                      ,              ,                     ,                     ,                    ,                           ,                  ,                       ,                ,              ,               ,                    ,             ,                ,              ,                        ,                         ,                        ,                ,                         ,                       ,                     ,                   ,                     ,                     ,                   ,                         ,                 ,                      ,                 ,                    ,                ,             ,                    ,                     ,                  ,                ,                 ,                  ,                    ,                        ,             ,                    ,                     ,                    ,                  ,                          ,                           ,                       ,                   ,                   ,               ,                ,              ,                            ,                   ,                     ,                  ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,from ODP Leg 120 SR Vol 1 Chapter 23 Table 1 p 396-399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  8,R, 1,  25.00,    271.2500,Quilty   ,Benthic Foraminifers                         ,               ,                  ,                      ,+                       ,                   ,               ,                         ,                  ,                    ,+                        ,+                     ,                     ,+                ,                   ,                            ,                 ,                    ,                       ,+                    ,                ,                ,                      ,                  ,                      ,                ,                 ,+                ,                ,                     ,                      ,                   ,                 ,                    ,+           ,+                    ,+             ,+                         ,+                          ,+                 ,+                  ,                               ,                      ,                        ,                          ,                 ,             ,                 ,              ,                        ,                    ,                       ,                  ,                             ,                  ,             ,             ,                   ,                  ,                            ,                   ,                                                   ,                          ,                   ,                 ,                    ,                  ,                 ,                  ,                  ,                       ,                 ,                        ,                    ,                  ,                 ,                     ,                      ,                    ,            ,                 ,             ,                        ,                      ,               ,                       ,                ,                  ,                ,                      ,          ,                     ,                ,                         ,                  ,              ,                  ,                  ,                      ,              ,                     ,                     ,                    ,                           ,                  ,                       ,                ,              ,               ,                    ,             ,                ,              ,                        ,                         ,                        ,                ,                         ,                       ,                     ,                   ,                     ,                     ,                   ,                         ,                 ,                      ,                 ,                    ,                ,             ,                    ,                     ,                  ,                ,                 ,                  ,                    ,                        ,             ,                    ,                     ,                    ,                  ,                          ,                           ,                       ,                   ,                   ,               ,                ,              ,                            ,                   ,                     ,                  ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,from ODP Leg 120 SR Vol 1 Chapter 23 Table 1 p 396-399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  8,R,CC,  11.00,    272.2200,Quilty   ,Benthic Foraminifers                         ,               ,                  ,                      ,+                       ,                   ,               ,                         ,                  ,                    ,                         ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,+                      ,                     ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,+                   ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,                 ,              ,                        ,                    ,                       ,                  ,                             ,                  ,             ,             ,                   ,                  ,                            ,                   ,                                                   ,                          ,                   ,                 ,                    ,                  ,                 ,                  ,                  ,                       ,                 ,                        ,                    ,                  ,                 ,                     ,                      ,                    ,            ,                 ,             ,                        ,                      ,               ,                       ,                ,                  ,                ,                      ,          ,                     ,                ,                         ,                  ,              ,                  ,                  ,                      ,              ,                     ,                     ,                    ,                           ,                  ,                       ,                ,              ,               ,                    ,             ,                ,              ,                        ,                         ,                        ,                ,                         ,                       ,                     ,                   ,                     ,                     ,                   ,                         ,                 ,                      ,                 ,                    ,                ,             ,                    ,                     ,                  ,                ,                 ,                  ,                    ,                        ,             ,                    ,                     ,                    ,                  ,                          ,                           ,                       ,                   ,                   ,               ,                ,              ,                            ,                   ,                     ,                  ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,from ODP Leg 120 SR Vol 1 Chapter 23 Table 1 p 396-399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  9,R, 1,  38.00,    280.8800,Quilty   ,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,+                        ,+                     ,                     ,+                ,                   ,                            ,                 ,                    ,+                      ,                     ,                ,+               ,+                     ,+                 ,+                     ,+               ,+                ,+                ,+               ,+                    ,+                     ,+                  ,+                ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,                 ,              ,                        ,                    ,                       ,                  ,                             ,                  ,             ,             ,                   ,                  ,                            ,                   ,                                                   ,                          ,                   ,                 ,                    ,                  ,                 ,                  ,                  ,                       ,                 ,                        ,                    ,                  ,                 ,                     ,                      ,                    ,            ,                 ,             ,                        ,                      ,               ,                       ,                ,                  ,                ,                      ,          ,                     ,                ,                         ,                  ,              ,                  ,                  ,                      ,              ,                     ,                     ,                    ,                           ,                  ,                       ,                ,              ,               ,                    ,             ,                ,              ,                        ,                         ,                        ,                ,                         ,                       ,                     ,                   ,                     ,                     ,                   ,                         ,                 ,                      ,                 ,                    ,                ,             ,                    ,                     ,                  ,                ,                 ,                  ,                    ,                        ,             ,                    ,                     ,                    ,                  ,                          ,                           ,                       ,                   ,                   ,               ,                ,              ,                            ,                   ,                     ,                  ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,from ODP Leg 120 SR Vol 1 Chapter 23 Table 1 p 396-399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
