Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculodinium vancampoae	Tectatodinium sp. 3	Tectatodinium sp. 2	Tectatodinium psilatum	Systematophora placacantha	Sumatradinium? sp. C	Spiniferites spp.	Spiniferites ramosus brevifurcatus	Spiniferites ramosus	Spiniferites pseudofurcatus	Spiniferites cf. mirabilis	Spiniferites bentorii	Pyxidinopsis sp.1	Platycystidia (?) sp. II	Pentadinium laticinctum imaginatum	Palaeocystodinium sp. A	Palaeocystodinium golzowense	Operculodinium sp. 3	Operculodinium sp. 1	Operculodinium sp.	Operculodinium placitum	Operculodinium longispinigerum	Operculodinium israelianum	Operculodinium crassum	Operculodinium cf. giganteum 	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Melitasphaeridium choanophorum	Litosphaeridium sp. 1	Lingulodinium sp. 1	Lingulodinium machaerophorum	Labyrinthodinium truncatum	Labyrinthodinium cf. truncatum	Invertocysta tabulata	Invertocysta lacrymosa	Impletosphaeridium spp.	Impagidinium velorum	Impagidinium spp.	Impagidinium sp.3	Impagidinium sp.2	Impagidinium patulum	Impagidinium paradoxum	Impagidinium pallidum	Impagidinium maculatum	Impagidinium aquaeductum	Hystrichostrogylon sp.	Hystrichostrogylon cf. membraniphorum	Hystrichosphaeropsis obscura	Hystrichosphaeridium latirictum	Hystrichokolpoma rigaudiae	Homotryblium vallum	Homotryblium floripes	Gen. et sp. indet	Filisphaera filifera	Evittosphaerula? sp. 2 	Distatodinium paradoxum	Dinocyst II	Dinocyst 7	Dinocyst 6	Dapsilidinium pseudocolligerum	Dapsilidinium pastielsii	Cordosphaeridium sp. I	Cleistosphaeridium sp. 1	Cannosphaeropsis utinensis	Cannosphaeropsis sp. A	Bitectatodinium tepikiense	Batiacasphaera sphaerica	Batiacasphaera sp. 2	Batiacasphaera sp. 1	Batiacasphaera hirsuta	Ascostomocystis granosa	Areosphaeridium actinocoronatum 	Apteodinium tectatum	Amiculosphaera umbracula	Amiculosphaera cf. umbracula	Achomosphaera ramulifera	Achomosphaera andalousiensis	Tectatodinium sp. III	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium simplex	Tectatodinium pellitum	Spiniferites sp. "TS"	Spiniferites rubinus	Spiniferites elongatus	Selenopemphix quanta	Selenopemphix nephroides	Reticulatosphaera actinocoronata	Quinquecuspis spp.	Polysphaeridium zoharyi	Platycystidia sp. 1	Operculodinium wallii	Operculodinium sp.	Operculodinium echigoense	Nematosphaeropsis oblonga	Invertocysta spp.	Impagidinium spp.	Impagidinium sphaericum	Hystrichosphaeropsis pontiana	Hystrichokolpoma sp. 1	Hystrichokolpoma sp.	Dinocyst sp. 1	Cymatiosphaera sp. 1	Corrudinium harlandii	Brigantedinium sp. group A	Achomosphaera sp. A	?Pyxidiella sp. 1	Comment

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 1	 108.00	     74.0800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	R                         	-                     	                             	R                          	R                           	R                            	R                             	                     	                   	R                           	                          	                              	                     	                      	C                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	R                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	R                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	R                           	R                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	R                   	-                       	R                               	-                 	R                      	C                  	-                    	-                 	R                        	R                        	-                	-                	-                      	-                            	-                     	R                   	-             	R                   	-                    	R                         	-                  	-                	Black spores =  R; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 1	 142.00	     74.4200	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	R                          	R                           	-                            	-                             	                     	                   	R                           	                          	                              	                     	                      	C                      	                    	                 	                 	                 	                    	                      	R                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	R                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	R                       	R                           	-                    	R                   	R                  	C                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	C                  	-                    	-                 	R                        	-                        	-                	-                	-                      	-                            	-                     	-                   	-             	R                   	-                    	R                         	-                  	-                	Black spores =  R; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 2	  18.00	     74.6800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	-                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	-                          	-                           	-                            	C                             	                     	                   	-                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	C                       	                            	-                       	-                           	-                    	C                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	C                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	-                     	-                   	R             	-                   	-                    	-                         	-                  	-                	Black spores =  C; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 2	  38.00	     74.8800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	R                          	-                           	R                            	R                             	                     	                   	R                           	                          	                              	                     	                      	C                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	R                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	R                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	R                       	R                           	-                    	R                   	R                  	R                    	R                     	-                    	R                   	-                     	R                   	-                       	-                               	-                 	-                      	C                  	-                    	-                 	-                        	-                        	-                	-                	R                      	?                            	R                     	-                   	-             	R                   	-                    	R                         	-                  	-                	Black spores =  R; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 2	 108.00	     75.5800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	-                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	C                          	-                           	R                            	-                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	R                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	R                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	-                       	R                           	-                    	R                   	R                  	-                    	-                     	-                    	R                   	-                     	-                   	R                       	-                               	-                 	-                      	C                  	-                    	R                 	R                        	-                        	-                	R                	R                      	-                            	-                     	-                   	-             	R                   	-                    	C                         	-                  	-                	Black spores =  R; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 2	 142.00	     75.9200	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	C                          	-                           	-                            	-                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	R                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	R                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	R                           	-                    	4                   	R                  	R                    	-                     	-                    	R                   	R                     	R                   	-                       	R                               	-                 	-                      	C                  	-                    	-                 	R                        	-                        	-                	R                	-                      	-                            	-                     	-                   	-             	R                   	R                    	-                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 3	  18.00	     76.1800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	R                         	-                     	                             	C                          	-                           	-                            	-                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	R                       	R                           	-                    	R                   	-                  	R                    	-                     	-                    	R                   	-                     	R                   	R                       	-                               	-                 	R                      	C                  	-                    	R                 	-                        	-                        	-                	R                	-                      	-                            	-                     	-                   	-             	-                   	R                    	R                         	-                  	-                	Black spores =  C; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 3	  42.00	     76.4200	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	C                          	-                           	-                            	-                             	                     	                   	-                           	                          	                              	                     	                      	C                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	R                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	R                   	R                  	-                    	-                     	-                    	R                   	-                     	-                   	-                       	-                               	-                 	R                      	A                  	-                    	R                 	R                        	-                        	-                	-                	-                      	-                            	-                     	-                   	-             	-                   	-                    	R                         	-                  	-                	Black spores =  R; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 3	  55.00	     76.5500	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	C                          	-                           	R                            	-                             	                     	                   	R                           	                          	                              	                     	                      	C                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	R                   	R                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	R                      	C                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	-                     	-                   	-             	-                   	-                    	R                         	-                  	-                	Black spores =  R; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 3	  72.00	     76.7200	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	C                          	-                           	-                            	-                             	                     	                   	C                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	C                  	-                    	-                 	C                        	-                        	-                	R                	-                      	?                            	-                     	-                   	-             	-                   	-                    	-                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 3	  86.00	     76.8600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	C                          	-                           	-                            	-                             	                     	                   	C                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	C                       	                            	-                       	C                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	-                    	-                 	C                        	-                        	-                	R                	R                      	-                            	-                     	-                   	-             	-                   	-                    	R                         	-                  	-                	Black spores =  R; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 3	  95.00	     76.9500	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	C                          	-                           	R                            	-                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	R                       	R                           	-                    	R                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	R                               	-                 	-                      	-                  	-                    	-                 	-                        	-                        	-                	R                	R                      	-                            	-                     	-                   	R             	-                   	-                    	-                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	                 	                 	                  	              	104	 642	C	 11	H	 3	 108.00	     77.0800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	                  	                          	                   	                   	                      	                          	                    	-                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	-                          	-                           	-                            	-                             	                     	                   	-                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	-                     	-                   	-             	-                   	-                    	-                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	                 	                 	                  	              	104	 642	C	 11	H	 3	 136.00	     77.3600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	                  	                          	                   	                   	                      	                          	                    	-                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	-                          	-                           	-                            	-                             	                     	                   	-                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	-                     	-                   	-             	-                   	-                    	-                         	-                  	-                	Black spores =  A; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 4	   5.00	     77.5500	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	C                          	-                           	C                            	-                             	                     	                   	C                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	-                    	-                 	R                        	-                        	-                	-                	-                      	-                            	-                     	-                   	-             	-                   	-                    	-                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 4	  20.00	     77.7000	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	C                          	-                           	-                            	-                             	                     	                   	C                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	C                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	-                    	-                 	R                        	-                        	-                	R                	-                      	-                            	-                     	-                   	-             	-                   	-                    	-                         	-                  	-                	Black spores =  C; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 4	  42.00	     77.9200	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	C                          	-                           	R                            	R                             	                     	                   	-                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	R                       	R                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	-                    	-                 	C                        	R                        	-                	R                	-                      	-                            	-                     	-                   	-             	-                   	-                    	R                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 4	  55.00	     78.0500	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	R                         	C                     	                             	R                          	-                           	R                            	R                             	                     	                   	-                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	R                       	R                           	-                    	-                   	-                  	-                    	-                     	R                    	-                   	-                     	-                   	-                       	R                               	-                 	-                      	-                  	R                    	-                 	-                        	-                        	-                	R                	R                      	-                            	-                     	-                   	-             	-                   	R                    	R                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

