Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocorys redondoensis	Stylatractus universus	Stichocorys peregrina	Stichocorys delmontensis	Phormostichoartus fistula	Lychnocanoma nipponica nipponica	Lychnocanoma nipponica magnacornuta	Dictyophimus splendens	Anthocyrtella (?) callopisma	Amphymenium amphistylium	Actinomma popofskii	Sphaeropyle robusta	Prunopyle hayesi	Cyrtocapsella tetrapera	Cycladophora cosma cosma	Stylacontarium acquilonium	Cycladophora pliocenica	Eucyrtidium calvertense	Cyrtocapsella cornuta	Lamprocyrtis heteroporos	Sphaeropyle langii	Dictyophimus bullatus	Botryostrobus aquilonaris	Phormostichoartus crustula	Haliommetta miocenica	Lamprocyrtis neoheteroporos	Cycladophora davisiana davisiana	Phormostichoartus pitomorphus	Didymocyrtis tetrathalamus	Lychnocanoma nipponica sakaii	Eucyrtidium matuyamai	Lamprocyrtis nigriniae	Comment
  SR	                 	                 	                  	              	145	 886	C	  2	H	 1	 114.00	      7.9400	Morley   	Radiolarians                                 	A              	G                 	                      	R                     	                     	                        	                         	                                	                                   	                      	+                           	                        	                   	+                  	                	                       	F                       	F                         	F                      	                       	                     	T                       	+                 	                     	R                        	                          	R                    	                           	F                               	                             	-                         	T                            	T                    	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  2	H	 2	 114.00	      9.4400	Morley   	Radiolarians                                 	A              	G                 	                      	R                     	                     	                        	                         	                                	                                   	                      	                            	                        	T                  	+                  	                	                       	F                       	R                         	F                      	+                      	                     	R                       	+                 	                     	C                        	                          	F                    	                           	R                               	+                            	-                         	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  2	H	 3	 114.00	     10.9400	Morley   	Radiolarians                                 	A              	M-G               	                      	T                     	                     	                        	                         	                                	                                   	                      	+                           	                        	                   	+                  	                	                       	F                       	F                         	F                      	                       	                     	F                       	T                 	                     	T                        	                          	R                    	                           	F                               	+                            	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  2	H	 4	 114.00	     12.4400	Morley   	Radiolarians                                 	A              	G                 	                      	R                     	                     	                        	                         	                                	                                   	                      	T                           	                        	                   	+                  	                	                       	F                       	R                         	R                      	                       	                     	F                       	+                 	                     	T                        	                          	                     	                           	R                               	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  2	H	 5	 114.00	     13.9400	Morley   	Radiolarians                                 	A              	G                 	                      	R                     	                     	                        	                         	                                	                                   	                      	                            	                        	                   	+                  	                	                       	F                       	F                         	R                      	+                      	                     	R                       	+                 	                     	R                        	                          	                     	                           	R                               	T                            	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  3	H	 1	 114.00	     17.4400	Morley   	Radiolarians                                 	A              	G                 	                      	F                     	                     	                        	                         	                                	                                   	                      	                            	                        	                   	T                  	                	                       	R                       	F                         	R                      	T                      	                     	R                       	T                 	                     	R                        	                          	R                    	T                          	+                               	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  3	H	 2	 118.00	     18.9800	Morley   	Radiolarians                                 	A              	M-G               	                      	T                     	                     	                        	                         	                                	                                   	                      	T                           	                        	R                  	                   	                	                       	T                       	F                         	R                      	                       	                     	R                       	T                 	                     	                         	                          	R                    	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  3	H	 3	 114.00	     20.4400	Morley   	Radiolarians                                 	A              	G                 	                      	F                     	                     	                        	R                        	                                	                                   	                      	T                           	                        	                   	                   	                	                       	R                       	F                         	T                      	                       	                     	F                       	                  	                     	R                        	                          	T                    	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  3	H	 4	 114.00	     21.9400	Morley   	Radiolarians                                 	A              	M                 	                      	F                     	                     	                        	T                        	                                	                                   	                      	T                           	                        	R                  	                   	                	                       	                        	F                         	R                      	                       	                     	R                       	R                 	                     	T                        	                          	T                    	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  3	H	 5	 114.00	     23.4400	Morley   	Radiolarians                                 	C              	M-G               	                      	F                     	                     	                        	T                        	                                	                                   	                      	                            	                        	                   	R                  	                	                       	T                       	F                         	                       	                       	                     	F                       	T                 	                     	R                        	                          	R                    	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  3	H	 6	 112.00	     24.9200	Morley   	Radiolarians                                 	A              	M                 	                      	F                     	                     	                        	                         	                                	                                   	                      	                            	                        	                   	T                  	                	                       	R                       	F                         	R                      	T                      	                     	F                       	T                 	                     	                         	                          	T                    	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  4	H	 1	 114.00	     26.9400	Morley   	Radiolarians                                 	A              	M                 	                      	R                     	                     	                        	                         	                                	                                   	                      	T                           	                        	                   	R                  	                	                       	R                       	R                         	F                      	                       	                     	                        	                  	                     	R                        	T                         	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  4	H	 2	 114.00	     28.4400	Morley   	Radiolarians                                 	C              	M-G               	                      	F                     	                     	                        	                         	                                	                                   	                      	                            	                        	                   	+                  	                	                       	F                       	T                         	F                      	+                      	                     	T                       	T                 	                     	                         	                          	R                    	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  4	H	 3	 114.00	     29.9400	Morley   	Radiolarians                                 	A              	M                 	                      	F                     	                     	                        	R                        	                                	                                   	                      	T                           	                        	                   	                   	                	                       	F                       	T                         	R                      	R                      	                     	T                       	T                 	F                    	R                        	T                         	T                    	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  4	H	 4	 114.00	     31.4400	Morley   	Radiolarians                                 	A              	M                 	                      	F                     	                     	                        	T                        	                                	                                   	                      	T                           	                        	T                  	T                  	                	                       	F                       	R                         	R                      	                       	                     	                        	                  	F                    	T                        	T                         	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  4	H	 5	 114.00	     32.9400	Morley   	Radiolarians                                 	A              	M                 	                      	R                     	                     	                        	R                        	                                	                                   	                      	T                           	                        	                   	T                  	                	                       	F                       	T                         	R                      	R                      	                     	T                       	                  	F                    	R                        	R                         	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  4	H	CC	  13.00	     35.1200	Morley   	Radiolarians                                 	A              	P-M               	                      	C                     	T                    	                        	+                        	                                	                                   	                      	                            	                        	                   	R                  	                	                       	T                       	F                         	F                      	+                      	                     	                        	                  	F                    	T                        	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  5	H	 1	 114.00	     36.4400	Morley   	Radiolarians                                 	A              	P-M               	                      	F                     	C                    	F                       	R                        	                                	                                   	                      	R                           	                        	                   	T                  	                	rT                     	R                       	F                         	F                      	                       	                     	F                       	                  	T                    	                         	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  5	H	 2	 114.00	     37.9400	Morley   	Radiolarians                                 	A              	M                 	                      	F                     	F                    	R                       	                         	                                	                                   	                      	                            	                        	                   	                   	                	rT                     	R                       	                          	R                      	                       	                     	F                       	T                 	T                    	                         	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  5	H	 3	  98.00	     39.2800	Morley   	Radiolarians                                 	A              	M                 	                      	F                     	C                    	R                       	                         	-                               	                                   	                      	+                           	                        	T                  	R                  	                	rT                     	R                       	R                         	R                      	T                      	                     	F                       	                  	                     	                         	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  6	H	 1	 114.00	     45.9400	Morley   	Radiolarians                                 	A              	M                 	T                     	F                     	F                    	                        	T                        	T                               	                                   	T                     	T                           	                        	R                  	T                  	                	rT                     	T                       	F                         	T                      	T                      	rT                   	                        	                  	                     	                         	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  6	H	 2	 114.00	     47.4400	Morley   	Radiolarians                                 	A              	M                 	T                     	F                     	C                    	                        	T                        	+                               	                                   	                      	T                           	                        	                   	R                  	                	                       	                        	R                         	R                      	                       	                     	                        	                  	                     	                         	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  6	H	 3	 112.00	     48.9200	Morley   	Radiolarians                                 	C              	M                 	                      	F                     	F                    	?                       	T                        	+                               	                                   	T                     	+                           	                        	R                  	+                  	                	                       	                        	R                         	                       	+                      	                     	                        	                  	                     	                         	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  6	H	 4	 114.00	     50.4400	Morley   	Radiolarians                                 	A              	P-M               	                      	R                     	F                    	F                       	T                        	+                               	                                   	T                     	                            	+                       	R                  	T                  	R               	                       	R                       	T                         	R                      	                       	                     	                        	                  	                     	                         	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  6	H	 5	 114.00	     51.9400	Morley   	Radiolarians                                 	A              	P-M               	T                     	F                     	F                    	C                       	                         	+                               	                                   	T                     	+                           	+                       	F                  	R                  	R               	rT                     	T                       	                          	                       	                       	                     	                        	                  	                     	                         	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  6	H	 6	 114.00	     53.4400	Morley   	Radiolarians                                 	R              	P                 	R                     	F                     	R                    	F                       	+                        	R                               	C                                  	T                     	R                           	+                       	R                  	                   	                	                       	                        	                          	                       	                       	                     	                        	                  	                     	                         	                          	                     	                           	                                	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

