Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Unidentified benthic forams,Oridorsalis umbonatus,Nodosaria spp.,Lenticulina spp.,Guttulina spp.,Globocassidulina subglobosa,Elphidium saginatum,Discammina spp.,Cyclammina spp.,Cibicidoides spp.,Bolivinopsis spp.,Anomalinoides spp.,Vaginulinopsis spp.,Pleurostomella spp.,Ostracoda spp.,Gyroidinoides spp.,Bulimina spp.,Uvigerina peregrina,Spirillina spp.,Pullenia bulloides,Cribrostomoides spp.,Anomalinoides spissiformis,Uvigerina hispida,Plectofrondicularia spp.,Melonis barleeanus,Eggerelloides spp.,Dentalina spp.,Bathysiphon spp.,Quinqueloculina spp.,Pullenia spp.,Haplophragmoides spp.,Globobulimina spp.,Stilostomella spp.,Textularia spp.,Osangularia culter,Karreriella bradyi,Hoeglundina elegans,Parrelloides bradyi,Ceratobulimina spp.,Nonion spp.,Cassidulina spp.,Orthomorphina spp.,Nuttallides umbonifera,Laticarinina pauperata,Eggerella bradyi,Pyrulina spp.,Pullenia quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 10,R,CC,  10.00,    506.4100,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,                           ,                   ,T              ,               ,T                ,                 ,T                 ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,T               ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 12,R,CC,  16.00,    524.5900,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,T                          ,                     ,              ,T               ,              ,                           ,                   ,               ,               ,                 ,                 ,T                 ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and few aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 13,R,CC,  16.00,    534.8300,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,                           ,                     ,              ,                ,              ,T                          ,T                  ,               ,               ,T                ,                 ,T                 ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,T               ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 14,R,CC,   0.00,    548.3600,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,                           ,                     ,              ,T               ,              ,                           ,T                  ,               ,T              ,                 ,                 ,                  ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,T                   ,                          ,                 ,                        ,                  ,                  ,              ,T               ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 15,R,CC,   6.00,    558.4900,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,R                          ,                     ,              ,T               ,              ,                           ,T                  ,               ,               ,                 ,                 ,R                 ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 16,R,CC,  20.00,    567.2900,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,                           ,T                  ,               ,               ,                 ,                 ,                  ,                   ,                   ,              ,                  ,T            ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,mainly aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 17,R,CC,  17.00,    577.7700,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,                           ,                   ,               ,               ,                 ,                 ,                  ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,T               ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,T                  ,T                  ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,mainly aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 18,R,CC,   0.00,    585.1000,benthics ,Benthic Foraminifers                         ,F              ,P                 ,T                 ,R                          ,                     ,C             ,F               ,              ,                           ,R                  ,               ,               ,T                ,                 ,                  ,                   ,                   ,T             ,R                 ,             ,R                  ,T              ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,T              ,T                 ,R                 ,T                  ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 19,R,CC,  15.00,    596.9700,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,                           ,                   ,               ,               ,                 ,                 ,                  ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,T                    ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,aggl. species only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 20,R,CC,  12.00,    606.5500,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,                           ,                   ,               ,T              ,                 ,                 ,                  ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,T                    ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,few calc. trochosp. strongly dissolved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 21,R,CC,   0.00,    615.1700,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,T                          ,                   ,               ,T              ,T                ,                 ,R                 ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,F                 ,              ,T               ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,mainly calc.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 22,R,CC,  18.00,    625.9200,benthics ,Benthic Foraminifers                         ,F              ,P                 ,T                 ,R                          ,                     ,              ,T               ,              ,T                          ,                   ,T              ,T              ,T                ,                 ,R                 ,                   ,                   ,              ,                  ,             ,                   ,T              ,                  ,                    ,                          ,                 ,                        ,                  ,R                 ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 23,R,CC,  10.00,    635.2200,benthics ,Benthic Foraminifers                         ,F              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,                           ,T                  ,               ,R              ,                 ,                 ,R                 ,                   ,                   ,              ,R                 ,             ,                   ,T              ,                  ,                    ,                          ,                 ,                        ,                  ,T                 ,T             ,                ,                    ,             ,T                    ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 24,R,CC,  11.00,    645.0200,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,                           ,                   ,               ,               ,                 ,                 ,                  ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,"tiny sample, few aggl. species"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 25,R,CC,  15.00,    654.6600,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,R                          ,                     ,T             ,                ,              ,                           ,                   ,T              ,T              ,T                ,                 ,                  ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,T             ,T               ,                    ,             ,                     ,                  ,T                 ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 26,R,CC,   8.00,    664.3200,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                  ,R                          ,                     ,              ,R               ,              ,                           ,R                  ,               ,R              ,R                ,                 ,R                 ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,R                   ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,T                    ,                  ,T                 ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and few aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 27,R,CC,  11.00,    671.4600,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                  ,R                          ,                     ,              ,R               ,              ,                           ,T                  ,               ,R              ,                 ,                 ,R                 ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,T               ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 28,R,CC,   9.00,    681.9600,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                  ,R                          ,                     ,              ,R               ,              ,                           ,T                  ,               ,               ,                 ,                 ,R                 ,                   ,                   ,              ,                  ,R            ,                   ,               ,                  ,R                   ,                          ,                 ,                        ,                  ,                  ,T             ,                ,                    ,             ,                     ,T                 ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 29,R,CC,  21.00,    693.3800,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                  ,R                          ,                     ,              ,                ,              ,                           ,                   ,R              ,T              ,                 ,                 ,T                 ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 30,R,CC,  17.00,    701.4100,benthics ,Benthic Foraminifers                         ,F              ,P                 ,                  ,R                          ,                     ,T             ,                ,              ,                           ,                   ,               ,R              ,                 ,                 ,R                 ,                   ,                   ,              ,                  ,             ,                   ,R              ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,R               ,                    ,             ,R                    ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 31,R,CC,  20.00,    712.7500,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,                           ,                   ,               ,               ,                 ,                 ,                  ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,"barren?, aggl. species only"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 32,R,CC,  18.00,    722.1500,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,                           ,                   ,               ,               ,                 ,                 ,                  ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,T                   ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,aggl. species only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 33,R,CC,  13.00,    731.7400,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                  ,R                          ,                     ,T             ,R               ,R             ,                           ,                   ,R              ,T              ,R                ,                 ,R                 ,T                  ,                   ,T             ,T                 ,R            ,                   ,T              ,                  ,                    ,                          ,                 ,T                       ,                  ,                  ,T             ,T               ,T                   ,T            ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 34,R,CC,  21.00,    741.4800,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                  ,T                          ,                     ,R             ,F               ,T             ,                           ,                   ,               ,               ,R                ,                 ,R                 ,F                  ,                   ,              ,                  ,T            ,                   ,               ,R                 ,                    ,                          ,                 ,                        ,                  ,T                 ,              ,T               ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and few aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 35,R,CC,   0.00,    749.5500,benthics ,Benthic Foraminifers                         ,F              ,P                 ,T                 ,R                          ,                     ,              ,R               ,R             ,                           ,R                  ,R              ,R              ,T                ,                 ,F                 ,R                  ,                   ,              ,                  ,             ,                   ,               ,                  ,T                   ,                          ,R                ,T                       ,R                 ,R                 ,T             ,T               ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 36,R,CC,  19.00,    760.5600,benthics ,Benthic Foraminifers                         ,F              ,P                 ,                  ,R                          ,                     ,T             ,R               ,R             ,                           ,R                  ,               ,T              ,R                ,                 ,                  ,T                  ,                   ,              ,                  ,T            ,R                  ,T              ,R                 ,T                   ,R                         ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 37,R,CC,   0.00,    768.7300,benthics ,Benthic Foraminifers                         ,F              ,P                 ,T                 ,R                          ,                     ,T             ,F               ,R             ,                           ,R                  ,T              ,T              ,R                ,T                ,                  ,T                  ,R                  ,T             ,R                 ,R            ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 38,R,CC,  25.00,    779.6900,benthics ,Benthic Foraminifers                         ,F              ,P                 ,T                 ,R                          ,T                    ,T             ,F               ,T             ,T                          ,R                  ,R              ,R              ,R                ,R                ,F                 ,                   ,                   ,              ,                  ,             ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,                  ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,                  ,                      ,                      ,                ,             ,                    ,calc. and aggl. species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
