Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira torokina	Thalassiosira striata	Thalassiosira oliverana	Thalassiosira oestrupii	Nitzschia interfrigidaria	Nitzschia barronii	Thalassiosira fasciculata	Nitzschia ritscherii	Thalassiosira inura	Thalassiosira insigna	Paralia sulcata	Actinocyclus maccollumii	Actinocyclus karstenii	Thalassiosira vulnifica	Odontella aurita	Denticulopsis simonsenii	Nitzschia kerguelenis	Thalassiosira elliptipora	Thalassiosira complicata	Rouxia antarctica	Thalassiosira lentiginosa	Thalassiosira antarctica	Eucampia antarctica	Actinocyclus actinochilus	Nitzschia obliquecostata	Nitzschia curta	Comment
  IR	                 	                 	                  	              	178	1101	A	 11	H	CC	   0.00	     94.1900	Winter   	Diatoms                                      	T              	P                 	                      	                     	                       	                       	                         	                  	                         	                    	                   	                     	               	                        	                      	                       	T               	T                       	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	 12	H	 7	  54.00	    104.7400	Winter   	Diatoms                                      	R              	P                 	                      	                     	R                      	T                      	                         	                  	                         	                    	                   	                     	               	                        	T                     	                       	T               	                        	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	 14	H	CC	  24.00	    124.0000	Winter   	Diatoms                                      	R              	P                 	                      	                     	                       	T                      	                         	                  	                         	                    	                   	                     	               	                        	                      	                       	T               	T                       	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	 18	X	CC	  18.00	    160.0700	Winter   	Diatoms                                      	R              	P                 	R                     	                     	                       	+                      	+                        	                  	                         	                    	                   	                     	               	                        	                      	+                      	                	                        	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	 20	X	CC	  32.00	    179.3400	Winter   	Diatoms                                      	F              	MP                	                      	                     	                       	                       	                         	                  	                         	                    	                   	F                    	               	                        	                      	                       	                	                        	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	many centers of T. insigna - few whole

  IR	                 	                 	                  	              	178	1101	A	 21	X	CC	  18.00	    188.9300	Winter   	Diatoms                                      	C              	M                 	+                     	                     	R                      	                       	                         	                  	R                        	                    	R                  	C                    	R              	+                       	+                     	                       	                	                        	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	 22	X	CC	  14.00	    198.4800	Winter   	Diatoms                                      	R              	M                 	R                     	                     	                       	                       	+                        	+                 	R                        	+                   	R                  	+                    	               	                        	                      	                       	                	                        	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	 23	X	CC	  25.00	    208.1800	Winter   	Diatoms                                      	F              	P                 	R                     	+                    	+                      	                       	                         	                  	R                        	F                   	                   	                     	               	                        	                      	                       	                	                        	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	 24	X	CC	  12.00	    217.8600	Winter   	Diatoms                                      	C              	MG                	+                     	R                    	+                      	+                      	R                        	F                 	                         	                    	                   	                     	               	                        	                      	                       	                	                        	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	A Thalassiothrix spp. frags F Rouxia frags NO T. insigna

