Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerinoides sacculifer	Globigerinoides ruber	Globigerina bulloides	Neogloboquadrina humerosa	Neogloboquadrina asanoi	Globorotalia crassula	Neogloboquadrina sp. "rounded"	Neogloboquadrina pachyderma (dextral)	Globorotalia tumida	Sphaeroidinella dehiscens	Globorotalia inflata	Globorotalia crassaformis	Globorotalia puncticulata	Neogloboquadrina pachyderma (sinistral)	Globigerina umbilicata	Globorotalia truncatulinoides	Globorotalia tosaensis	Globigerinoides obliquus	Neogloboquadrina dutertrei	Comment
  IR	                 	                 	                  	              	167	1011	C	  9	H	CC	  24.00	     79.7100	Kennett  	Planktonic Foraminifers                      	A              	M                 	                          	                     	C                    	A                        	A                      	                     	C                             	R                                    	R                  	R                        	C                   	C                        	                         	A                                      	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	 10	H	CC	  35.00	     89.2700	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	                     	A                    	C                        	A                      	                     	A                             	F                                    	                   	                         	R                   	                         	F                        	                                       	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	 11	H	CC	  13.00	     98.2100	Kennett  	Planktonic Foraminifers                      	F              	P                 	                          	                     	R                    	R                        	R                      	                     	A                             	A                                    	R                  	                         	                    	                         	                         	                                       	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	 12	H	CC	  27.00	    108.2500	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	R                    	A                    	A                        	A                      	                     	R                             	                                     	R                  	R                        	F                   	R                        	                         	                                       	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	 13	H	CC	  21.00	    117.5700	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	                     	                     	A                        	C                      	                     	A                             	A                                    	R                  	                         	                    	                         	                         	                                       	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	 14	H	CC	  21.00	    126.6200	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	R                    	A                    	A                        	A                      	                     	C                             	R                                    	                   	                         	                    	                         	                         	                                       	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	 15	H	CC	  29.00	    136.6900	Kennett  	Planktonic Foraminifers                      	F              	P                 	                          	                     	A                    	A                        	A                      	R                    	                              	                                     	                   	                         	                    	                         	                         	                                       	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	 16	X	CC	  14.00	    145.8900	Kennett  	Planktonic Foraminifers                      	F              	P                 	R                         	R                    	C                    	                         	                       	                     	                              	                                     	                   	                         	                    	                         	                         	                                       	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

