Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Helicosphaera carteri,Calcidiscus leptoporus,Discoaster brouweri,Coccolithus pelagicus,Dictyococcites productus,Helicosphaera sellii,Calcidiscus macintyrei,Thoracosphaera saxea,Scyphosphaera apsteinii,Reticulofenestra minutula,Pseudoemiliania lacunosa,Thoracosphaera heimii,Umbilicosphaera sibogae,Zeugrhabdotus acanthus,Watznaueria supracretacea,Watznaueria biporta,Watznaueria barnesae,Vekshinella stradnerii,Tranolithus phacelosus,Tranolithus exiguus,Stradneria crenulata,Stoverius asymmetricus,Rhagodiscus angustus,Reinhardtites anthophorus,Quadrum gartneri,Prediscosphaera intercisa,Prediscosphaera honjoi,Placozygus fibuliformis,Micula decussata 2,Micula decussata 1,Micula concava,Microrhabdulus belgicus,Marthasterites furcatus,Manivitella pemmatoidea,Lithraphidites carniolensis,Lithastrinus grillii,Glaukolithus diplogrammus,Glaukolithus bicrescenticus,Gephyrorhabdus coronadventis,Gartnerago obliquum,Gartnerago diversum,Flabellites oblongus,Eiffellithus turriseiffelii,Eiffellithus gorkae,Eiffellithus eximius,Discorhabdus ignotus,Cribrosphaerella ehrenbergii,Corollithion signum,Chiastozygus litterarius,Aspidolithus bevieri,Ahmuellerella octoradiata,Gephyrocapsa caribbeanica,Tranolithus gabalus,Stoverius coronatus,Stoverius biarcus,Rotelapillus crenulatus,Rhagodiscus splendens,Prediscosphaera spinosa,Prediscosphaera cretacea,Microrhabdulus decoratus,Helicolithus trabeculatus,Chiastozygus platyrhethus,Pontosphaera indooceanica,Gephyrocapsa oceanica,Scyphosphaera pulcherrima,Pontosphaera japonica,Braarudosphaera bigelowii,Ceratolithus cristatus,Reticulofenestra pseudoumbilicus,Gephyrocapsa omega,Emiliania huxleyi,Sphenolithus abies,Gephyrocapsa aperta,Rhabdosphaera clavigera,Scapholithus fossilis,Helicosphaera carteri var. hyalina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN19B             ,NN19C/D       ,180,1108,B,  4,R,CC,   2.00,     24.1200,Siesser  ,Nannofossils                                 ,R              ,P                 ,R                    ,R                     ,                   ,R                    ,                        ,R                   ,r1                    ,                    ,                       ,R                        ,R                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,r1                ,R                  ,                       ,                     ,                                  ,Small golf-ball-size sample recovered.  May not be in place.  Hard. C. macintyrei -- 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN19B         ,180,1108,B, 10,R, 1,  94.00,     82.8400,Siesser  ,Nannofossils                                 ,R              ,P                 ,R                    ,R                     ,                   ,                     ,R                       ,                    ,R                     ,                    ,                       ,F                        ,R                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,R                        ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,R                    ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN19A             ,NN19B         ,180,1108,B, 15,R,CC,  15.00,    132.2000,Siesser  ,Nannofossils                                 ,R              ,P                 ,R                    ,R                     ,                   ,R                    ,                        ,                    ,                      ,R                   ,                       ,R                        ,R0                      ,                     ,R                      ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,R                        ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN19A             ,NN19B         ,180,1108,B, 16,R, 2,  83.00,    141.7300,Siesser  ,Nannofossils                                 ,F              ,M                 ,F                    ,F                     ,                   ,F                    ,                        ,                    ,R                     ,R                   ,R                      ,C                        ,F                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,R                        ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN19B         ,180,1108,B, 16,R,CC,   7.00,    142.1100,Takahashi,Nannofossils                                 ,A              ,G                 ,C                    ,C                     ,-                  ,                     ,                        ,-                   ,R                     ,                    ,                       ,                         ,C                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,-                        ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,-                    ,                         ,                     ,                         ,                      ,-                               ,-                 ,-                ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN19A             ,NN19B         ,180,1108,B, 17,R, 1,  45.00,    149.4500,Siesser  ,Nannofossils                                 ,A              ,M                 ,F                    ,F                     ,                   ,F                    ,                        ,                    ,R                     ,R                   ,R                      ,C                        ,F                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,F                        ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,R                     ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN19A             ,NN19B         ,180,1108,B, 17,R, 2,  72.00,    150.7900,Siesser  ,Nannofossils                                 ,A              ,M                 ,F                    ,R                     ,                   ,F                    ,                        ,R                   ,R                     ,R                   ,R                      ,C                        ,F                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,R                        ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,R                    ,R                        ,R                    ,R                        ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,180,1108,B, 17,R,CC,  17.00,    150.9900,Siesser  ,Nannofossils                                 ,F              ,M                 ,F                    ,F                     ,-                  ,F                    ,                        ,R                   ,R                     ,                    ,                       ,F                        ,F                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,R                    ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,No Discoasters found
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN18          ,180,1108,B, 18,R, 1,  99.00,    159.5900,Siesser  ,Nannofossils                                 ,C              ,M                 ,F                    ,F                     ,R7                 ,F                    ,                        ,                    ,F                     ,R                   ,                       ,C                        ,F                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,Small G. spp. -R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,180,1108,B, 18,R, 3,  96.00,    162.5600,Siesser  ,Nannofossils                                 ,F              ,M                 ,F                    ,R                     ,                   ,F                    ,                        ,                    ,R                     ,R                   ,R                      ,                         ,R                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,S. pulcherrima
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN19B         ,180,1108,B, 18,R,CC,  21.00,    164.7600,Takahashi,Nannofossils                                 ,A              ,G                 ,C                    ,C                     ,                   ,                     ,                        ,R                   ,R                     ,                    ,                       ,                         ,F                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,R                    ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,Rare occuring Discoaster is judged to be reworked. Because their preservation is much poorer than the other.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN18          ,180,1108,B, 19,R, 1,  38.00,    168.6800,Siesser  ,Nannofossils                                 ,F              ,M                 ,F                    ,R                     ,R5                 ,                     ,                        ,                    ,                      ,                    ,R                      ,F                        ,F                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,S. pulcherrima - T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN18          ,180,1108,B, 19,R, 3,  97.00,    170.7700,Siesser  ,Nannofossils                                 ,F              ,M                 ,F                    ,R                     ,R12                ,F                    ,                        ,                    ,R                     ,                    ,                       ,F                        ,                        ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,"Most Discoasters seen, cores 1-27. S.deflandrei -T"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,180,1108,B, 19,R, 5,  59.00,    172.8900,Siesser  ,Nannofossils                                 ,R              ,M                 ,R                    ,R                     ,                   ,R                    ,                        ,                    ,R                     ,                    ,                       ,R                        ,R                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN19B         ,180,1108,B, 19,R,CC,  20.00,    173.1100,Takahashi,Nannofossils                                 ,C              ,G                 ,F                    ,F                     ,                   ,                     ,                        ,                    ,R                     ,                    ,                       ,                         ,R                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,-                    ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN19C/D       ,180,1108,B, 20,R, 1, 120.00,    179.2000,Takahashi,Nannofossils                                 ,F              ,M                 ,F                    ,R                     ,                   ,R                    ,                        ,R                   ,                      ,                    ,                       ,                         ,                        ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,180,1108,B, 20,R, 2,  13.00,    179.6300,Takahashi,Nannofossils                                 ,R              ,G                 ,R                    ,R                     ,                   ,                     ,                        ,                    ,                      ,                    ,                       ,                         ,                        ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN19B         ,180,1108,B, 21,R, 1,  48.00,    188.0800,Takahashi,Nannofossils                                 ,F              ,M                 ,F                    ,F                     ,                   ,R                    ,                        ,                    ,R                     ,                    ,                       ,                         ,                        ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,180,1108,B, 21,R, 1, 122.00,    188.8200,Takahashi,Nannofossils                                 ,F              ,G                 ,F                    ,R                     ,                   ,R                    ,                        ,                    ,                      ,                    ,                       ,                         ,                        ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,                     ,                         ,                     ,                         ,                      ,                                ,                  ,                 ,                  ,                   ,                       ,                     ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
