Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira zabellinae	Thalassiosira trifulta	Thalassiosira oestrupii	Thalassiosira jacksonii	Thalassiosira hyalina	Thalassionema nitzschioides	Stephanopyxis turris	Stephanopyxis spp.	Rhizosolenia styliformis	Rhizosolenia hebetata	Odontella aurita	Nitzschia sp. 1	Neodenticula kamtschatica	Melosira albicans	Grammatophora spp.	Delphineis ischaboensis	Coscinodiscus marginatus	Cocconeis scutellum	Cocconeis costata	Chaetoceros spp.	Actinoptychus senarius	Thalassiosira nidulus	Thalassiosira marujamica	Thalassiosira leptopus	Thalassiosira gravida	Thalassiosira antiqua	Rhizosolenia barboi	Paralia sulcata	Navicula sp. 1	Melosira polaris	Denticulopsis dimorpha	Delphineis surirella	Cymatosira debyi	Coscinodiscus obscurus	Calloneis bacillum	Thalassiosira manifesta	Rouxia californica	Rossiella tatsunokuchiensis	Pseudopodosira elegans	Denticulopsis hustedtii	Cocconeis pseudomarginatus	Cocconeis californica	Bacillaria paradoxa	Rhizosolenia setigera	Rhizosolenia alata	Rhaphoneis amphiceros	Nitzschia cylindrica	Coscinodiscus stellaris	Cocconeis placentula var. euglypta	Thalassiosira nordenskioeldii	Navicula directa	Lithodesmium undulatum	Coscinodiscus oculus-iridis	Thalassiosira pacifica	Thalassiosira eccentrica	Thalassionema schraderi	Hemidiscus cuneiformis	Asteromphalus darwinii	Thalassiosira temperei	Rhabdonema japonicum	Gomphonema lanceolata	Thalassiosira lineata	Pinnularia borealis	Delphineis angustata	Asteromphalus flabellatus	Actinocyclus ochotensis	Thalassiosira glacilis	Nitzschia rolandii	Actinocyclus curvatulus	Nitzschia fossilis	Cocconeis disculus	Actinocyclus ingens	Coscinodiscus elegans	Aulacoseira granulata	Thalassionema nitzschioides var. nitzschioides	Opephora martyi	Coscinodiscus marginatus (girdles)	Coscinodiscus radiatus	Neodenticula koizumii	Bacterosira fragilis	Asteromphalus robustus	Rhizosolenia curvirostris	Chaetoceros spores	Azpeitia endoi	Thalassiosira sp. 1	Nitzschia reinholdii	Thalassiothrix frauenfeldii	Synedra jouseana	Nitzschia extincta	Denticulopsis hyalina	Actinocyclus sp.	Goniothecium tenue	Actinocyclus oculatus	Actinocyclus octonarius	Thalassiosira yabei	Thalassiosira convexa	Diploneis bombus	Diploneis smithii	Trachyneis aspera	Plagiogramma staurophorum	Nitzschia granulata	Navicula pygmaea	Mediaria splendida	Cocconeis antiqua	Stephanodiscus niagarae	Porosira glacialis	Diploneis suborbicularis	Coscinodiscus symbolophorus	Cocconeis decipiens	Thalassiosira plicata	Neodenticula seminae	Denticulopsis katayamae	Cyclotella striata	Coscinodiscus subtilis	Cyclotella kutzingiana	Azpeitia nodulifer	Thalassiosira lacustris	Tetracyclus lacustris	Epithemia argus	Rhizosolenia bergonii	Thalassionema hirosakiensis	Thalassionema bacillaris	Pinnularia alphina	Achnanthes brevipes	Thalassiosira sp.	Synedra ulna	Gomphonema angustatum	Fragilaria construens	Diploneis coffeiformis	Pseudoeunotia doliolus	Nitzschia marina	Nitzschia grunowii	Amphora ovalis	Stephanodiscus astraea	Cyclotella chaetoceras	Diploneis interrupta	Rhizosolenia  semispina	Rhizosolenia imbricata	Nitzschia sicula	Diploneis oculata	Azpeitia tabularis	Actinoptychus splendens	Comment

  SR	Quaternary       	                 	R. curvirostris   	              	127	 795	A	  3	H	 5	  29.00	     25.0900	Koizumi  	Diatoms                                      	               	                  	                         	                        	3                     	                       	                       	                     	3                          	37                  	12                	2                       	1                    	                	               	r6                       	                 	                  	                       	5                       	                   	1                	5               	                      	                     	r1                      	                      	1                    	                     	                   	1              	              	                	                      	1                   	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	2                      	                  	                  	                   	                     	                     	                                              	               	                                  	                      	r3                   	                    	                      	12                       	                  	              	                   	                    	                           	                	                  	                     	                	                  	r1                   	2                      	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	1                       	                           	                   	                     	3                   	                       	1                 	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	1                     	1                     	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	R. curvirostris   	              	127	 795	A	  4	H	 4	  30.00	     33.1000	Koizumi  	Diatoms                                      	               	                  	                         	                        	8                     	7                      	                       	                     	3                          	104                 	36                	                        	3                    	                	               	r2                       	                 	                  	                       	1                       	                   	                 	24              	2                     	                     	                        	                      	11                   	                     	2                  	2              	              	                	                      	2                   	                	                      	                  	                       	                  	                           	1                     	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	3                      	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	5                        	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	2               	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	4                   	r2                     	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	R. curvirostris   	              	127	 795	A	  5	H	 1	  30.00	     38.1000	Koizumi  	Diatoms                                      	               	                  	                         	                        	                      	                       	                       	                     	                           	                    	                  	1                       	                     	1               	               	r2                       	                 	                  	                       	1                       	                   	1                	13              	3                     	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	r1                     	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	1                     	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	1                        	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	1                   	                       	                  	                      	                      	                  	                       	                     	               	                     	3                          	                        	                  	                   	                 	            	                     	                     	                      	                      	                	1                 	1             	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	R. curvirostris   	              	127	 795	A	  5	H	 5	  30.00	     44.1000	Koizumi  	Diatoms                                      	               	                  	4                        	r1                      	6                     	3                      	                       	1                    	16                         	83                  	12                	                        	                     	                	               	r3                       	                 	2                 	                       	7                       	                   	1                	87              	2                     	                     	r1                      	                      	5                    	                     	                   	4              	              	                	                      	3                   	                	                      	                  	                       	                  	                           	                      	r1                     	1                         	                     	                   	                     	                  	1                    	                    	2                      	                                  	                             	                	                      	1                          	                      	2                       	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	1                 	                  	                   	                     	3                    	                                              	               	                                  	                      	r2                   	                    	                      	1                        	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	1                      	                   	                     	5               	                 	                 	                         	                   	                	                  	                 	                       	                  	1                       	                           	                   	                     	18                  	                       	1                 	                      	                      	                  	1                      	                     	               	1                    	                           	                        	                  	                   	                 	            	                     	                     	                      	1                     	1               	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	A. oculatus       	              	127	 795	A	  6	H	 2	  30.00	     49.1000	Koizumi  	Diatoms                                      	               	                  	1                        	                        	6                     	                       	                       	                     	10                         	118                 	24                	                        	2                    	                	               	r4                       	1                	                  	                       	                        	1                  	                 	177             	1                     	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	1                    	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	1                 	                   	                     	                     	                                              	               	                                  	                      	r3                   	                    	2                     	14                       	                  	              	                   	                    	                           	                	                  	                     	                	                  	1                    	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	8                   	                       	1                 	                      	                      	2                 	                       	                     	               	                     	                           	1                       	                  	                   	                 	            	                     	1                    	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	A. oculatus       	              	127	 795	A	  6	H	 6	  30.00	     55.1000	Koizumi  	Diatoms                                      	               	                  	                         	                        	2                     	5                      	r1                     	2                    	31                         	29                  	3                 	2                       	1                    	                	               	r7                       	3                	4                 	                       	4                       	1                  	8                	296             	6                     	1                    	                        	                      	9                    	r1                   	                   	7              	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	r1                     	                          	1                    	                   	                     	                  	                     	3                   	1                      	1                                 	1                            	                	                      	1                          	2                     	1                       	                       	                      	                      	                      	                    	1                    	5                    	                   	                    	                         	                       	                      	                  	5                      	                  	1                 	                   	                     	2                    	                                              	               	                                  	                      	r6                   	1                   	1                     	1                        	                  	              	                   	                    	1                          	                	                  	                     	                	                  	                     	                       	                   	                     	5               	1                	                 	                         	                   	                	                  	                 	                       	7                 	                        	                           	                   	                     	17                  	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	2                       	                  	                   	2                	1           	1                    	1                    	1                     	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	A. oculatus       	              	127	 795	A	  7	H	 4	  29.00	     61.5900	Koizumi  	Diatoms                                      	               	                  	6                        	                        	2                     	4                      	                       	                     	95                         	32                  	1                 	3                       	3                    	                	               	                         	                 	                  	                       	1                       	                   	1                	76              	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	2                    	                   	                    	                         	                       	                      	                  	7                      	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	4                        	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	39                  	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	A. oculatus       	              	127	 795	A	  8	H	 2	  30.00	     68.1000	Koizumi  	Diatoms                                      	               	                  	1                        	                        	                      	3                      	                       	                     	43                         	55                  	5                 	3                       	                     	                	               	r5                       	                 	1                 	                       	3                       	                   	2                	137             	                      	                     	                        	                      	2                    	                     	4                  	33             	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	1                    	                   	11                   	                  	                     	                    	                       	1                                 	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	1                    	                   	                    	                         	                       	                      	                  	1                      	                  	                  	                   	                     	1                    	3                                             	               	                                  	                      	                     	1                   	                      	1                        	                  	              	                   	                    	                           	                	                  	r1                   	                	                  	2                    	3                      	                   	                     	1               	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	1                   	                       	1                 	                      	                      	                  	                       	                     	               	                     	r1                         	6                       	1                 	1                  	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	A. oculatus       	              	127	 795	A	  8	H	 6	  30.00	     74.1000	Koizumi  	Diatoms                                      	               	                  	1                        	                        	                      	1                      	r1                     	                     	10                         	4                   	                  	2                       	3                    	                	               	17                       	                 	2                 	1                      	5                       	                   	2                	13              	3                     	                     	1                       	                      	                     	r3                   	                   	2              	              	                	                      	1                   	                	                      	                  	                       	r1                	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	1                       	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	1                      	                  	                  	                   	                     	1                    	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	1                      	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	2                     	1                 	                       	                     	               	3                    	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281
