Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus xenotus,Watznaueria barnesae,Tranolithus phacelosus,Staurolithus sp.,Reinhardtites levis,Prediscosphaera spinosa,Prediscosphaera grandis,Prediscosphaera cretacea,Phanulithus obscurus,Micula decussata,Microrhabdulus decoratus,Lucianorhabdus cayeuxii,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus gorkae,Cribrosphaerella ehrenbergii,Biscutum magnum,Biscutum dissimilis,Biscutum constans,Aspidolithus parcus constrictus,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Vekshinella parma,Thoracosphaera sp.,Stradneria crenulata,Rhagodiscus angustus,Reinhardtites anthophorus,Prediscosphaera stoveri,Misceomarginatus pleniporus,Chiastozygus garrisonii,Broinsonia enormis,Placozygus fibuliformis,Lucianorhabdus arcuatus,Chiastozygus sp.,Chiastozygus amphipons,Cretarhabdus conicus,Broinsonia furtiva,Biscutum castrorum,Corollithion signum,Biscutum coronum,Manivitella pemmatoidea,Repagalum parvidentatum,Glaukolithus compactus,Lithraphidites carniolensis,Prediscosphaera bukryi,Monomarginatus pectinatus,Markalius inversus,Prediscosphaera arkhangelskyi,Nephrolithus corystus,Thoracosphaera operculata,Quadrum sissinghii,Monomarginatus quaternarius,Placozygus sigmoides,Prediscosphaera honjoi,Quadrum trifidum,Biscutum notaculum,Nephrolithus frequens,Cribrosphaerella daniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 21,R, 1, 135.00,    307.6500,Resiwati ,Nannofossils                                 ,R              ,P/M               ,                  ,C                   ,F                     ,R               ,                   ,F                      ,                       ,R                       ,                    ,C               ,R                       ,R                      ,R                     ,F                  ,F                          ,                   ,R                           ,               ,                   ,F                ,                               ,F                          ,                            ,                         ,                 ,                  ,R                   ,                    ,F                        ,                       ,R                          ,                       ,C                 ,R                      ,                       ,F               ,F                     ,R                   ,F                 ,F                 ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 22,R, 1, 106.00,    317.0600,Resiwati ,Nannofossils                                 ,R              ,P/M               ,                  ,R                   ,                      ,                ,                   ,                       ,                       ,R                       ,                    ,R               ,                        ,R                      ,                      ,                   ,                           ,                   ,                            ,               ,                   ,                 ,                               ,                           ,                            ,                         ,                 ,                  ,                    ,                    ,                         ,                       ,                           ,                       ,                  ,                       ,                       ,                ,R                     ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 24,R, 2,  20.00,    337.0000,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,C                   ,R                     ,F               ,F                  ,                       ,?                      ,F                       ,                    ,C               ,F                       ,                       ,R                     ,                   ,                           ,                   ,                            ,R              ,F                  ,R                ,?                              ,R                          ,                            ,R                        ,                 ,                  ,                    ,                    ,F                        ,                       ,?                          ,R                      ,C                 ,R                      ,C                      ,?               ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 25,R, 1,  27.00,    345.2700,Resiwati ,Nannofossils                                 ,C              ,P/M               ,?                 ,C                   ,F                     ,                ,F                  ,R                      ,                       ,R                       ,                    ,A               ,                        ,A                      ,F                     ,R                  ,                           ,                   ,                            ,               ,R                  ,F                ,                               ,R                          ,                            ,                         ,?                ,?                 ,F                   ,?                   ,R                        ,F                      ,?                          ,?                      ,C                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 25,R,CC,   0.00,    345.5800,Resiwati ,Nannofossils                                 ,C              ,P                 ,R                 ,A                   ,R                     ,R               ,C                  ,R                      ,R                      ,F                       ,F                   ,C               ,F                       ,F                      ,C                     ,F                  ,R                          ,R                  ,R                           ,R              ,?                  ,F                ,?                              ,F                          ,F                           ,R                        ,                 ,                  ,                    ,                    ,                         ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
