Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus xenotus,Watznaueria barnesae,Tranolithus phacelosus,Staurolithus sp.,Reinhardtites levis,Prediscosphaera spinosa,Prediscosphaera grandis,Prediscosphaera cretacea,Phanulithus obscurus,Micula decussata,Microrhabdulus decoratus,Lucianorhabdus cayeuxii,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus gorkae,Cribrosphaerella ehrenbergii,Biscutum magnum,Biscutum dissimilis,Biscutum constans,Aspidolithus parcus constrictus,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Vekshinella parma,Thoracosphaera sp.,Stradneria crenulata,Rhagodiscus angustus,Reinhardtites anthophorus,Prediscosphaera stoveri,Misceomarginatus pleniporus,Chiastozygus garrisonii,Broinsonia enormis,Placozygus fibuliformis,Lucianorhabdus arcuatus,Chiastozygus sp.,Chiastozygus amphipons,Cretarhabdus conicus,Broinsonia furtiva,Biscutum castrorum,Corollithion signum,Biscutum coronum,Manivitella pemmatoidea,Repagalum parvidentatum,Glaukolithus compactus,Lithraphidites carniolensis,Prediscosphaera bukryi,Monomarginatus pectinatus,Markalius inversus,Prediscosphaera arkhangelskyi,Nephrolithus corystus,Thoracosphaera operculata,Quadrum sissinghii,Monomarginatus quaternarius,Placozygus sigmoides,Prediscosphaera honjoi,Quadrum trifidum,Biscutum notaculum,Nephrolithus frequens,Cribrosphaerella daniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  9,R, 6,  76.00,    198.5600,Resiwati ,Nannofossils                                 ,C              ,P/M               ,R                 ,                    ,                      ,                ,A                  ,F                      ,C                      ,                        ,C                   ,A               ,                        ,A                      ,?                     ,R                  ,F                          ,R                  ,                            ,               ,                   ,F                ,                               ,R                          ,R                           ,C                        ,                 ,R                 ,F                   ,                    ,R                        ,?                      ,R                          ,R                      ,F                 ,F                      ,                       ,                ,                      ,R                   ,R                 ,                  ,                   ,R               ,                       ,?                      ,F                     ,R                          ,                      ,                         ,R                 ,                             ,R                    ,                         ,                  ,R                          ,                    ,?                     ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B, 10,R, 1, 102.00,    201.0200,Resiwati ,Nannofossils                                 ,F              ,M                 ,R                 ,R                   ,                      ,                ,C                  ,?                      ,                       ,                        ,                    ,A               ,R                       ,C                      ,                      ,R                  ,R                          ,                   ,                            ,               ,                   ,R                ,                               ,                           ,                            ,                         ,                 ,                  ,F                   ,                    ,                         ,                       ,                           ,                       ,R                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,R                      ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B, 10,R, 3, 102.00,    204.0200,Resiwati ,Nannofossils                                 ,F              ,M                 ,                  ,                    ,                      ,                ,A                  ,                       ,                       ,                        ,                    ,A               ,R                       ,A                      ,                      ,                   ,                           ,                   ,                            ,               ,                   ,                 ,                               ,                           ,                            ,R                        ,                 ,                  ,R                   ,                    ,                         ,                       ,R                          ,                       ,                  ,                       ,                       ,                ,                      ,?                   ,                  ,                  ,                   ,                ,                       ,R                      ,                      ,F                          ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,R                   ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B, 10,R,CC,  20.00,    206.5600,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,                    ,                      ,                ,F                  ,                       ,                       ,                        ,C                   ,                ,F                       ,C                      ,                      ,                   ,C                          ,                   ,                            ,R              ,R                  ,                 ,                               ,                           ,                            ,                         ,                 ,                  ,R                   ,                    ,                         ,                       ,                           ,                       ,                  ,R                      ,                       ,R               ,                      ,R                   ,                  ,                  ,                   ,                ,                       ,C                      ,                      ,F                          ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,R                          ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B, 11,R, 1,  47.00,    210.0700,Resiwati ,Nannofossils                                 ,C              ,M                 ,                  ,C                   ,                      ,                ,R                  ,                       ,                       ,                        ,F                   ,A               ,R                       ,C                      ,                      ,                   ,                           ,                   ,                            ,               ,                   ,C                ,                               ,                           ,                            ,R                        ,                 ,                  ,R                   ,                    ,                         ,                       ,                           ,R                      ,                  ,                       ,                       ,                ,                      ,?                   ,                  ,                  ,                   ,                ,                       ,R                      ,                      ,?                          ,                      ,                         ,                  ,                             ,                     ,R                        ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
