Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia siakensis	Globorotalia obesa	Globorotalia mayeri	Globorotalia fohsi peripheroronda	Globorotalia acrostoma	Globoquadrina venezuelana	Globoquadrina spp.	Globoquadrina dehiscens dehiscens	Globoquadrina altispira conica	Globigerinita naparimaensis	Globigerina praebulloides	Catapsydrax unicavus	Catapsydrax dissimilis	Globorotalia continuosa	Globoquadrina baroemoenensis	Globoquadrina altispira globosa	Globoquadrina altispira altispira	Globigerinoides trilobus/immaturus	Globigerinoides subquadratus	Globigerinoides sacculifer	Globigerina woodi woodi	Catapsydrax stainforthi	Globorotalia scitula	Globorotalia miozea	Cassigerinella chipolensis	Globorotalia praemenardii	Globorotalia conoidea	Globorotalia archeomenardii	Globigerinoides spp.	Globigerinoides ruber (white)	Globigerina venezuelana	Sphaeroidinellopsis seminulina	Orbulina suturalis	Orbulina bilobata	Globorotalia menardii	Sphaeroidinellopsis disjuncta	Globorotalia spp.	Globigerina nepenthes	Neogloboquadrina acostaensis	Globigerina bulloides	Orbulina universa	Globorotalia merotumida	Neogloboquadrina pachyderma	Sphaeroidinellopsis paenedehiscens	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Morozovella spinulosa	Morozovella aragonensis	Marginotruncana spp.	Hastigerina siphonifera	Globorotalia plesiotumida	Globorotalia opima opima	Globigerinoides obliquus obliquus	Globigerina eocaena	Globigerina decoraperta	Acarinina bullbrooki	Globorotalia margaritae margaritae	Globorotalia crassaformis ronda	Globorotalia crassaformis crassaformis	Globigerinoides elongatus/obliquus extremus	Globotruncana spp.	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia cf. Gr. hirsuta	Globorotalia bononiensis	Globoquadrina altispira	Globigerina apertura	Beella praedigitata	Globorotalia triangula	Globigerinelloides spp.	Neogloboquadrina atlantica	Hastigerina aequilateralis	Candeina nitida	Truncorotaloides topilensis	Globorotaloides spp.	Globorotalia pseudomiocenica	Globigerina megastoma cariacoensis	Globigerina falconensis	Globorotalia inflata	Globigerinoides conglobatus	Comment

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 899	A	  4	R	 2	 118.00	    113.0800	Gervais  	Planktonic Foraminifers                      	C              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	R                   	                   	                          	                         	                     	                           	                    	R                            	                       	                              	F                 	R                	                     	                             	                 	                     	R                           	F                    	F                	                       	C                          	                                  	R                        	                          	                     	                       	                    	F                      	                         	                        	R                                	                   	                       	                    	                                  	R                              	F                                     	                                           	                  	F                        	R                        	                            	                        	                       	                    	                   	                      	                       	R                         	R                         	R              	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 899	A	  4	R	CC	  11.00	    113.5100	Gervais  	Planktonic Foraminifers                      	A              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	R                   	                   	                          	                         	                     	                           	                    	                             	                       	                              	R                 	                 	                     	                             	                 	                     	R                           	                     	F                	                       	F                          	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	C                                     	                                           	                  	                         	R                        	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 899	A	  5	R	 2	 103.00	    122.6300	Gervais  	Planktonic Foraminifers                      	C              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	R                                 	                            	                          	                       	                       	R                   	                   	                          	                         	                     	                           	                    	R                            	                       	                              	R                 	                 	                     	                             	                 	                     	                            	R                    	R                	                       	R                          	                                  	                         	                          	r                    	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	R                        	R                        	                            	C                       	                       	                    	                   	R                     	r                      	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 899	A	  5	R	CC	  10.00	    124.4000	Gervais  	Planktonic Foraminifers                      	A              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	                     	R                           	                     	F                	                       	F                          	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	F                                     	                                           	                  	R                        	F                        	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Early Pliocene   	                 	N19               	              	149	 899	A	  6	R	 3	   0.00	    132.5500	Gervais  	Planktonic Foraminifers                      	A              	G                 	r                     	                  	                   	                                 	                      	                         	                  	                                 	                              	R                          	                         	                    	                      	                       	                            	                               	R                                	F                                 	                            	R                         	R                      	                       	R                   	                   	                          	                         	                     	                           	                    	F                            	                       	                              	R                 	                 	                     	                             	                 	                     	F                           	                     	F                	                       	F                          	                                  	R                        	R                         	r                    	                       	r                   	R                      	?                        	                        	F                                	                   	C                      	                    	C                                 	?                              	C                                     	R                                          	r                 	F                        	R                        	R                           	C                       	R                      	F                   	R                  	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Early Pliocene   	                 	N19               	              	149	 899	A	  6	R	CC	   6.00	    134.7900	Gervais  	Planktonic Foraminifers                      	A              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	R                          	                         	                    	                      	                       	                            	                               	                                 	R                                 	                            	R                         	                       	                       	R                   	                   	                          	                         	                     	                           	                    	                             	                       	R                             	                  	                 	                     	                             	                 	R                    	R                           	                     	R                	R                      	F                          	                                  	                         	                          	                     	                       	                    	                       	                         	                        	R                                	                   	                       	                    	R                                 	R                              	F                                     	R                                          	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Late Miocene     	                 	N16               	N17           	149	 899	A	  7	R	 1	  50.00	    139.5000	Gervais  	Planktonic Foraminifers                      	F              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	                              	R                 	                 	                     	                             	                 	R                    	                            	                     	R                	                       	F                          	R                                 	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Late Miocene     	                 	N16               	N17           	149	 899	A	  7	R	CC	   0.00	    140.0000	Gervais  	Planktonic Foraminifers                      	C              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	R                             	                  	R                	                     	                             	                 	R                    	                            	                     	R                	                       	F                          	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Late Miocene     	                 	N16               	N17           	149	 899	A	  8	R	 2	  57.00	    150.7700	Gervais  	Planktonic Foraminifers                      	F              	M                 	                      	                  	r                  	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	R                   	                   	                          	                         	                     	                           	                    	                             	                       	                              	R                 	                 	                     	                             	                 	R                    	                            	R                    	R                	                       	F                          	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Late Miocene     	                 	N16               	N17           	149	 899	A	  8	R	 2	  65.00	    150.8500	Gervais  	Planktonic Foraminifers                      	A              	G                 	r                     	R                 	                   	                                 	r                     	F                        	                  	F                                	                              	                           	                         	                    	r                     	                       	                            	R                              	F                                	F                                 	r                           	                          	                       	                       	F                   	                   	                          	                         	                     	                           	                    	F                            	                       	R                             	F                 	                 	                     	R                            	                 	F                    	C                           	C                    	F                	?                      	C                          	R                                 	R                        	R                         	r                    	r                      	r                   	R                      	R                        	r                       	F                                	r                  	F                      	r                   	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Late Miocene     	                 	N16               	N17           	149	 899	A	  8	R	CC	  13.00	    151.6400	Gervais  	Planktonic Foraminifers                      	C              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	R                             	                  	                 	                     	                             	                 	R                    	                            	                     	                 	                       	R                          	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Late Miocene     	                 	N16               	N17           	149	 899	A	  9	R	 1	  97.00	    159.2700	Gervais  	Planktonic Foraminifers                      	F              	M                 	r                     	                  	                   	                                 	                      	                         	                  	R                                	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	R                             	R                 	                 	                     	                             	                 	F                    	                            	                     	R                	R                      	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Late Miocene     	                 	N16               	N17           	149	 899	A	  9	R	 3	  68.00	    161.9800	Gervais  	Planktonic Foraminifers                      	R              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	                     	R                           	R                    	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Middle Miocene   	Late Miocene     	N14               	N16           	149	 899	A	  9	R	CC	  12.00	    162.7200	Gervais  	Planktonic Foraminifers                      	F              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	F                    	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Middle Miocene   	Late Miocene     	N14               	N16           	149	 899	A	 10	R	 1	  61.00	    168.6100	Gervais  	Planktonic Foraminifers                      	R              	P                 	                      	                  	                   	                                 	                      	                         	                  	R                                	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Middle Miocene   	Late Miocene     	N14               	N16           	149	 899	A	 10	R	CC	   0.00	    168.8500	Gervais  	Planktonic Foraminifers                      	C              	M                 	                      	                  	                   	                                 	                      	R                        	                  	R                                	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	R                    	                           	                    	                             	                       	                              	                  	                 	                     	R                            	                 	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Middle Miocene   	                 	N13               	              	149	 899	A	 11	R	 2	  14.00	    179.2400	Gervais  	Planktonic Foraminifers                      	F              	P                 	                      	                  	R                  	                                 	                      	                         	                  	R                                	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	R                  	                          	                         	                     	                           	                    	                             	                       	R                             	                  	                 	                     	R                            	R                	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Middle Miocene   	                 	N13               	              	149	 899	A	 11	R	CC	  13.00	    179.7700	Gervais  	Planktonic Foraminifers                      	F              	M                 	                      	                  	R                  	                                 	                      	F                        	                  	R                                	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	R                    	                           	                    	                             	                       	                              	                  	                 	                     	R                            	                 	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Middle Miocene   	                 	                  	              	149	 899	A	 13	R	CC	   5.00	    197.0500	Gervais  	Planktonic Foraminifers                      	F              	P                 	                      	                  	R                  	                                 	                      	                         	                  	R                                	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	F                    	                           	                    	                             	                       	R                             	R                 	R                	R                    	                             	                 	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	Zonal assignment uncertain. from 149 SR. Chapter 6. Table 7. page 176.

  SR	Middle Miocene   	                 	N12               	              	149	 899	A	 14	R	 2	  71.00	    208.8100	Gervais  	Planktonic Foraminifers                      	F              	M                 	                      	                  	                   	                                 	                      	                         	                  	F                                	                              	                           	R                        	                    	                      	R                      	                            	                               	R                                	F                                 	                            	                          	R                      	                       	R                   	F                  	                          	R                        	R                    	R                          	R                   	F                            	R                      	                              	                  	                 	                     	                             	                 	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Middle Miocene   	                 	N12               	              	149	 899	A	 14	R	CC	   7.00	    211.0400	Gervais  	Planktonic Foraminifers                      	C              	M                 	                      	                  	R                  	                                 	                      	                         	                  	                                 	                              	R                          	                         	                    	                      	R                      	R                           	                               	                                 	                                  	                            	                          	R                      	                       	R                   	                   	R                         	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Middle Miocene   	                 	N10               	N12           	149	 899	A	 15	R	 1	 134.00	    217.6400	Gervais  	Planktonic Foraminifers                      	F              	M                 	R                     	                  	F                  	                                 	R                     	R                        	                  	R                                	                              	                           	                         	                    	                      	                       	                            	R                              	R                                	R                                 	                            	                          	                       	                       	R                   	R                  	                          	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Early Miocene    	                 	N7                	              	149	 899	A	 15	R	CC	  17.00	    223.9700	Gervais  	Planktonic Foraminifers                      	A              	M                 	C                     	F                 	                   	                                 	                      	R                        	                  	F                                	                              	                           	                         	                    	                      	F                      	R                           	R                              	R                                	F                                 	R                           	F                         	R                      	R                      	                    	                   	                          	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Early Miocene    	                 	N5                	N6            	149	 899	A	 16	R	 1	  39.00	    226.2900	Gervais  	Planktonic Foraminifers                      	F              	G                 	R                     	?                 	F                  	R                                	R                     	R                        	R                 	F                                	R                             	R                          	R                        	R                   	R                     	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	                     	                            	                     	                 	                       	                           	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

