Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus spp.	Reticulofenestra pseudoumbilica	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra gelida	Discoaster pentaradiatus	Discoaster brouweri	Dictyococcites productus	Dictyococcites perplexus	Coccolithus pelagicus	Calcidiscus leptoporus	Amaurolithus delicatus	Discoaster triradiatus	Discoaster surculus	Calcidiscus macintyrei	Amaurolithus tricorniculatus	Helicosphaera carteri	Geminilithella rotula	Discoaster variabilis	Discoaster intercalaris	Discoaster challengeri	Pseudoemiliania lacunosa	Helicosphaera sellii	Discoaster tamalis	Discoaster asymmetricus	Gephyrocapsa sp.	Gephyrocapsa spp. (<3 microns)	Reticulofenestra doronicoides	Oolithotus fragilis	Thoracosphaera sp.	Ceratolithus cristatus	Pontosphaera discopora	Helicosphaera acuta	Rhabdosphaera clavigera	Pontosphaera japonica	Helicosphaera wallichii	Syracosphaera pulchra	Pontosphaera anisotrema	Gephyrocapsa caribbeanica	Comment
  SR	Late Pliocene    	                 	NN18              	              	149	 899	A	  2	R	 1	  43.00	     91.5300	Liu      	Nannofossils                                 	A              	G                 	                 	                               	C                        	C                      	                       	                        	F                  	C                       	                        	C                    	C                     	                      	R                     	                   	C                     	                            	                     	                     	                     	                       	                      	C                       	                    	                  	r                      	C               	F                             	C                            	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	R                        	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN18              	              	149	 899	A	  2	R	 2	  52.00	     93.1200	Liu      	Nannofossils                                 	A              	G                 	                 	                               	C                        	C                      	R                      	                        	F                  	C                       	F                       	C                    	C                     	                      	                      	                   	C                     	                            	C                    	F                    	                     	                       	                      	C                       	C                   	                  	r                      	C               	C                             	C                            	                   	                  	                      	                      	C                  	                       	C                    	                       	F                    	R                      	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN18              	              	149	 899	A	  3	R	 3	 109.00	    104.8900	Liu      	Nannofossils                                 	V              	M                 	                 	                               	C                        	C                      	                       	                        	F                  	F                       	                        	C                    	C                     	                      	                      	                   	C                     	                            	                     	                     	                     	                       	                      	C                       	                    	                  	                       	                	                              	C                            	                   	                  	                      	                      	                   	                       	                     	                       	R                    	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN18              	              	149	 899	A	  3	R	CC	  15.00	    105.4500	Liu      	Nannofossils                                 	V              	M                 	                 	                               	C                        	F                      	                       	                        	                   	F                       	                        	C                    	C                     	                      	                      	                   	C                     	                            	R                    	                     	                     	                       	                      	C                       	R                   	                  	                       	                	                              	C                            	                   	                  	                      	                      	                   	R                      	R                    	R                      	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN18              	              	149	 899	A	  4	R	 1	  40.00	    110.8000	Liu      	Nannofossils                                 	V              	G                 	                 	                               	C                        	C                      	                       	                        	F                  	F                       	                        	C                    	C                     	                      	                      	                   	C                     	                            	C                    	                     	                     	                       	                      	C                       	C                   	                  	                       	                	                              	C                            	                   	                  	                      	                      	F                  	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN17              	              	149	 899	A	  4	R	 1	  61.00	    111.0100	Liu      	Nannofossils                                 	V              	G                 	                 	                               	A                        	A                      	                       	F                       	                   	C                       	                        	C                    	C                     	                      	                      	                   	C                     	                            	F                    	                     	                     	                       	                      	C                       	F                   	                  	                       	                	                              	C                            	                   	                  	                      	F                     	F                  	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  4	R	 2	  79.00	    112.6900	Liu      	Nannofossils                                 	V              	G                 	                 	                               	C                        	A                      	                       	C                       	F                  	C                       	                        	C                    	A                     	                      	                      	R                  	F                     	                            	                     	                     	                     	                       	                      	C                       	                    	                  	                       	                	                              	C                            	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  4	R	 2	 114.00	    113.0400	Liu      	Nannofossils                                 	C              	G                 	                 	                               	C                        	A                      	                       	C                       	C                  	F                       	                        	A                    	C                     	                      	                      	F                  	C                     	                            	R                    	                     	                     	                       	                      	C                       	F                   	                  	                       	                	                              	C                            	                   	                  	R                     	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  4	R	CC	  11.00	    113.5100	Liu      	Nannofossils                                 	V              	M                 	                 	                               	C                        	C                      	                       	C                       	C                  	R                       	                        	C                    	C                     	                      	                      	F                  	C                     	                            	R                    	                     	                     	                       	                      	C                       	C                   	                  	F                      	                	                              	F                            	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  5	R	 1	  72.00	    120.8200	Liu      	Nannofossils                                 	V              	M                 	                 	                               	A                        	A                      	                       	F                       	C                  	R                       	                        	C                    	A                     	                      	                      	C                  	C                     	                            	                     	                     	                     	                       	                      	C                       	                    	R                 	F                      	                	                              	F                            	                   	                  	R                     	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  5	R	 1	 116.00	    121.2600	Liu      	Nannofossils                                 	V              	G                 	                 	                               	C                        	A                      	                       	F                       	C                  	R                       	                        	C                    	C                     	                      	R                     	F                  	C                     	                            	                     	                     	                     	                       	                      	C                       	                    	F                 	F                      	R               	                              	F                            	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  5	R	 2	   6.00	    121.6600	Liu      	Nannofossils                                 	V              	G                 	                 	                               	C                        	C                      	                       	                        	C                  	F                       	                        	A                    	A                     	                      	                      	C                  	C                     	                            	                     	                     	                     	                       	                      	C                       	                    	F                 	F                      	                	                              	R                            	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  5	R	 2	  44.00	    122.0400	Liu      	Nannofossils                                 	V              	M                 	                 	                               	C                        	A                      	                       	R                       	C                  	C                       	R                       	C                    	A                     	                      	F                     	F                  	F                     	                            	                     	                     	                     	                       	                      	C                       	                    	F                 	F                      	                	                              	F                            	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  5	R	 2	  99.00	    122.5900	Liu      	Nannofossils                                 	A              	G                 	                 	r                              	A                        	A                      	                       	                        	C                  	C                       	C                       	A                    	A                     	                      	                      	F                  	F                     	                            	                     	R                    	                     	                       	                      	A                       	R                   	R                 	                       	                	                              	F                            	                   	R                 	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  5	R	 3	  17.00	    123.2700	Liu      	Nannofossils                                 	V              	G                 	                 	                               	C                        	A                      	                       	                        	C                  	C                       	F                       	C                    	C                     	                      	F                     	F                  	R                     	                            	R                    	                     	                     	                       	                      	C                       	                    	R                 	                       	                	                              	C                            	R                  	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  5	R	 3	  49.00	    123.5900	Liu      	Nannofossils                                 	V              	G                 	                 	                               	A                        	A                      	                       	                        	C                  	C                       	C                       	A                    	C                     	                      	                      	C                  	F                     	                            	                     	                     	                     	                       	                      	A                       	F                   	                  	                       	                	                              	F                            	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  5	R	CC	  10.00	    124.4000	Liu      	Nannofossils                                 	A              	M                 	                 	                               	C                        	A                      	R                      	C                       	C                  	C                       	F                       	C                    	C                     	                      	                      	F                  	F                     	                            	                     	R                    	                     	                       	                      	C                       	                    	F                 	F                      	                	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  6	R	 1	   7.00	    129.7700	Liu      	Nannofossils                                 	V              	G                 	                 	                               	A                        	A                      	                       	                        	C                  	                        	                        	A                    	A                     	                      	F                     	C                  	C                     	                            	                     	                     	R                    	                       	                      	C                       	                    	A                 	                       	                	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN16              	              	149	 899	A	  6	R	 1	  86.00	    130.5600	Liu      	Nannofossils                                 	V              	G                 	                 	                               	A                        	A                      	                       	R                       	C                  	F                       	C                       	C                    	C                     	                      	F                     	C                  	F                     	                            	F                    	                     	R                    	                       	                      	A                       	C                   	C                 	C                      	                	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Early Pliocene   	                 	NN14              	NN15          	149	 899	A	  6	R	 2	 104.00	    132.2400	Liu      	Nannofossils                                 	V              	M                 	                 	C                              	A                        	A                      	F                      	F                       	C                  	C                       	F                       	C                    	C                     	C                     	F                     	C                  	F                     	                            	F                    	C                    	                     	                       	                      	A                       	C                   	C                 	C                      	C               	F                             	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Early Pliocene   	                 	NN14              	NN15          	149	 899	A	  6	R	 3	   2.00	    132.5700	Liu      	Nannofossils                                 	V              	M                 	                 	C                              	A                        	A                      	F                      	C                       	C                  	C                       	C                       	C                    	C                     	C                     	F                     	C                  	F                     	                            	F                    	C                    	                     	                       	                      	C                       	F                   	C                 	C                      	F               	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Early Pliocene   	                 	NN14              	NN15          	149	 899	A	  6	R	 3	  97.00	    133.5200	Liu      	Nannofossils                                 	V              	M                 	                 	C                              	C                        	C                      	C                      	F                       	C                  	C                       	C                       	C                    	C                     	C                     	F                     	C                  	F                     	                            	F                    	F                    	                     	                       	                      	F                       	R                   	F                 	F                      	                	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Early Pliocene   	                 	NN14              	NN15          	149	 899	A	  6	R	 4	  40.00	    134.4500	Liu      	Nannofossils                                 	V              	M                 	                 	A                              	C                        	A                      	C                      	C                       	F                  	C                       	C                       	C                    	C                     	C                     	                      	C                  	F                     	                            	F                    	F                    	                     	                       	                      	F                       	                    	                  	                       	                	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Early Pliocene   	                 	NN14              	NN15          	149	 899	A	  6	R	CC	   6.00	    134.7900	Liu      	Nannofossils                                 	V              	M                 	                 	C                              	C                        	A                      	C                      	                        	C                  	F                       	F                       	F                    	C                     	C                     	F                     	C                  	F                     	                            	F                    	R                    	                     	F                      	                      	F                       	R                   	C                 	C                      	                	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Early Pliocene   	                 	                  	              	149	 899	A	  7	R	 1	  40.00	    139.4000	Liu      	Nannofossils                                 	V              	M                 	                 	C                              	C                        	C                      	C                      	A                       	C                  	F                       	A                       	F                    	A                     	C                     	R                     	C                  	F                     	                            	R                    	F                    	R                    	F                      	R                     	                        	                    	                  	                       	                	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	Zonal assignment uncertain. from 149 SR. Chapter 5. Table 7. page 156.

  SR	Early Pliocene   	                 	                  	              	149	 899	A	  7	R	 1	  81.00	    139.8100	Liu      	Nannofossils                                 	V              	M                 	F                	C                              	C                        	A                      	C                      	A                       	F                  	F                       	A                       	F                    	A                     	C                     	R                     	F                  	R                     	R                           	                     	                     	                     	                       	                      	                        	                    	                  	                       	                	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	Zonal assignment uncertain. from 149 SR. Chapter 5. Table 7. page 156.

  SR	Early Pliocene   	                 	                  	              	149	 899	A	  7	R	CC	   0.00	    140.0000	Liu      	Nannofossils                                 	A              	G                 	F                	C                              	C                        	C                      	C                      	R                       	F                  	F                       	C                       	R                    	C                     	C                     	                      	                   	                      	                            	                     	                     	                     	                       	                      	                        	                    	                  	                       	                	                              	                             	                   	                  	                      	                      	                   	                       	                     	                       	                     	                       	                         	Zonal assignment uncertain. from 149 SR. Chapter 5. Table 7. page 156.

