Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Subbotina angiporoides,Globigerinatheka index,Chiloguembelina cubensis,Globigerina euapertura,Catapsydrax unicavus,Catapsydrax dissimilis,Globorotaloides suteri,Globoconella nana,Zeaglobigerina brazieri,Globorotalia zealandica,Globorotalia praescitula,Globorotalia incognita,Globoconella miozea,Globorotalia miozea,Neogloboquadrina pachyderma,Globorotalia scitula,Neogloboquadrina pachyderma (sinistral),Globigerina bulloides,Comment
  IR,                 ,Early Miocene    ,                  ,NK2           ,183,1137,A,  8,R,CC,   0.00,     70.0000,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                      ,                        ,                      ,                    ,                      ,                      ,                 ,                       ,+                      ,-                       ,+                     ,                   ,                   ,                           ,                    ,                                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,NK1           ,183,1137,A, 11,R,CC,  10.00,    103.4600,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                      ,                        ,-                     ,                    ,+                     ,+                     ,                 ,+                      ,                       ,                        ,                      ,                   ,                   ,                           ,                    ,                                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,              ,183,1137,A, 14,R,CC,   0.00,    126.6300,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                      ,                        ,F                     ,                    ,                      ,+                     ,+                ,                       ,                       ,                        ,                      ,                   ,                   ,                           ,                    ,                                       ,                     ,Zone AP16.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,              ,183,1137,A, 16,R,CC,   0.00,    148.6000,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                      ,+                       ,-                     ,+                   ,+                     ,                      ,                 ,                       ,                       ,                        ,                      ,                   ,                   ,                           ,                    ,                                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,              ,183,1137,A, 18,R,CC,   0.00,    162.5000,Coxall   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,+                     ,                      ,+                       ,                      ,                    ,                      ,                      ,                 ,                       ,                       ,                        ,                      ,                   ,                   ,                           ,                    ,                                       ,                     ,Zone AP13.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,              ,183,1137,A, 20,R,CC,   0.00,    180.5800,Coxall   ,Planktonic Foraminifers                      ,A              ,VG                ,+                  ,+                     ,-                     ,                        ,                      ,                    ,                      ,                      ,                 ,                       ,                       ,                        ,                      ,                   ,                   ,                           ,                    ,                                       ,                     ,Zone AP13. P. champmanni?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,              ,183,1137,A, 21,R,CC,   7.00,    191.3100,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,+                  ,+                     ,+                     ,+                       ,                      ,                    ,                      ,                      ,                 ,                       ,                       ,                        ,                      ,                   ,                   ,                           ,                    ,                                       ,                     ,Zones AP11-AP12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
