Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina woodi	Orbulina universa	Neogloboquadrina continuosa	Globorotalia praemenardii	Globoquadrina dehiscens	Globigerinoides trilobus	Fohsella peripheroronda	Zeaglobigerina nepenthes	Neogloboquadrina nympha	Jenkinsella mayeri	Globorotalia cibaoensis	Globoconella conoidea	Globigerinita glutinata	Sphaeroidinellopsis seminulina	Orbulina suturalis	Globorotalia scitula	Globorotalia plesiotumida	Globoquadrina venezuelana	Globoconella miozea	Globoconella conomiozea	Globigerinella siphonifera	Dentoglobigerina altispira	Neogloboquadrina pachyderma (dextral)	Globorotalia puncticulata	Globorotalia crassula	Globorotalia crassaformis	Globigerinoides ruber	Globigerina quinqueloba	Globigerina falconensis	Globigerina bulloides	Globorotalia inflata	Neogloboquadrina dutertrei	Globigerinella obesa	Globorotalia truncatulinoides	Globigerinoides quadrilobatus	Globorotalia ungulata	Globorotalia sp. cf. tosaensis	Globorotalia tosaensis	Globorotalia menardii	Beella digitata	Globorotalia hirsuta	Comment
  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	  5	H	CC	  17.00	     44.8000	Li       	Planktonic Foraminifers                      	F              	G                 	                    	                 	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	F                      	                              	                  	                    	                         	                         	                   	                       	                          	                          	F                                    	                         	                     	                         	F                    	F                      	F                      	F                    	A                   	                          	                    	P                            	                             	                     	                              	                      	                     	               	P                   	bryozoans, ben. forams, gastropods

  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	  6	H	CC	   8.00	     52.3500	Li       	Planktonic Foraminifers                      	F              	G                 	                    	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	F                      	                              	                  	                    	                         	                         	                   	                       	P                         	                          	F                                    	                         	                     	P                        	A                    	                       	F                      	                     	A                   	                          	                    	P                            	                             	                     	                              	                      	                     	               	                    	bryozoans, ben. forams, gastropods

  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	  7	H	CC	  13.00	     64.1100	Li       	Planktonic Foraminifers                      	F              	M                 	                    	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	F                      	                              	P                 	                    	                         	                         	                   	                       	                          	                          	F                                    	                         	                     	                         	A                    	                       	F                      	F                    	A                   	                          	                    	P                            	                             	                     	                              	                      	                     	               	                    	bryozoans, ben. forams, gastropods

  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	  8	H	CC	   6.00	     73.3200	Li       	Planktonic Foraminifers                      	F              	M                 	                    	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	                          	                          	F                                    	                         	                     	P                        	F                    	                       	P                      	F                    	A                   	                          	                    	P                            	P                            	                     	                              	                      	                     	               	P                   	ben forams, bryozoans, shell hash

  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	  9	H	CC	  17.00	     82.9000	Li       	Planktonic Foraminifers                      	F              	M                 	                    	P                	                           	                         	                       	P                       	                       	                        	                       	                  	                       	                     	F                      	                              	                  	                    	                         	                         	                   	                       	                          	                          	F                                    	                         	                     	P                        	A                    	                       	                       	F                    	A                   	                          	                    	P                            	                             	                     	                              	                      	P                    	P              	                    	ben forams, bryozoans, shell hash

  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	 10	H	CC	  13.00	     91.6500	Li       	Planktonic Foraminifers                      	C              	M                 	                    	                 	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	F                      	                              	                  	                    	                         	                         	                   	                       	                          	                          	F                                    	                         	                     	                         	F                    	F                      	F                      	F                    	A                   	                          	                    	R                            	                             	                     	                              	                      	                     	               	                    	ben forams, shell hash

  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	 11	H	CC	   0.00	    101.7400	Li       	Planktonic Foraminifers                      	C              	P                 	                    	                 	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	                          	                          	F                                    	                         	                     	                         	F                    	                       	                       	                     	A                   	                          	                    	P                            	                             	P                    	                              	                      	                     	               	                    	frosted and warty forams

  IR	                 	Pleistocene      	                  	              	182	1132	B	 12	H	CC	   4.00	    111.1000	Li       	Planktonic Foraminifers                      	F              	M                 	                    	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	                          	                          	F                                    	P                        	                     	                         	P                    	P                      	P                      	P                    	F                   	P                         	                    	P                            	                             	                     	                              	                      	                     	               	                    	       

  IR	                 	Pleistocene      	                  	              	182	1132	B	 13	H	CC	   0.00	    121.0500	Li       	Planktonic Foraminifers                      	A              	M                 	                    	R                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	P                      	                              	                  	                    	                         	                         	                   	                       	P                         	                          	P                                    	F                        	                     	                         	F                    	F                      	A                      	F                    	A                   	                          	P                   	F                            	                             	                     	                              	                      	                     	               	                    	       

  IR	                 	Pleistocene      	                  	              	182	1132	B	 14	H	CC	   6.00	    129.6000	Li       	Planktonic Foraminifers                      	C              	M                 	                    	P                	                           	                         	                       	P                       	                       	                        	                       	                  	                       	                     	P                      	                              	                  	                    	                         	                         	                   	                       	                          	                          	P                                    	F                        	                     	P                        	F                    	F                      	A                      	R                    	A                   	                          	P                   	F                            	                             	                     	                              	                      	                     	               	                    	       

  IR	                 	Pleistocene      	                  	              	182	1132	B	 15	H	CC	  14.00	    139.1700	Li       	Planktonic Foraminifers                      	C              	M                 	                    	R                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	                          	                          	P                                    	A                        	                     	P                        	F                    	F                      	A                      	F                    	P                   	                          	P                   	F                            	                             	                     	P                             	P                     	                     	               	                    	chalky

  IR	                 	Pleistocene      	                  	              	182	1132	B	 16	H	CC	  12.00	    149.9300	Li       	Planktonic Foraminifers                      	C              	P                 	                    	F                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	                          	                          	P                                    	F                        	                     	P                        	F                    	P                      	F                      	F                    	P                   	                          	                    	F                            	                             	                     	                              	                      	                     	               	                    	       

  IR	                 	Pleistocene      	                  	              	182	1132	B	 17	H	CC	   9.00	    159.0800	Li       	Planktonic Foraminifers                      	C              	M                 	                    	R                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	P                      	                              	                  	                    	                         	                         	                   	                       	P                         	                          	F                                    	A                        	P                    	P                        	F                    	F                      	A                      	R                    	P                   	P                         	P                   	R                            	                             	P                    	P                             	                      	                     	               	                    	       

  IR	                 	Pleistocene      	                  	              	182	1132	B	 18	H	CC	   0.00	    168.3600	Li       	Planktonic Foraminifers                      	C              	P                 	                    	                 	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	P                         	                          	P                                    	F                        	P                    	P                        	P                    	P                      	A                      	P                    	F                   	                          	P                   	P                            	                             	                     	                              	                      	                     	               	                    	       

  IR	                 	Pleistocene      	                  	              	182	1132	B	 19	X	CC	  13.00	    171.2600	Li       	Planktonic Foraminifers                      	R              	P                 	                    	                 	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	P                         	                          	P                                    	F                        	P                    	                         	F                    	F                      	F                      	P                    	P                   	                          	                    	P                            	                             	                     	                              	                      	                     	               	                    	       

  IR	                 	Pleistocene      	                  	              	182	1132	B	 21	X	CC	  28.00	    188.6300	Li       	Planktonic Foraminifers                      	A              	G                 	                    	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	P                      	                              	                  	                    	                         	                         	                   	                       	P                         	                          	F                                    	A                        	F                    	P                        	F                    	A                      	A                      	F                    	A                   	P                         	R                   	P                            	P                            	                     	                              	                      	                     	               	                    	       

  IR	Pliocene         	Pleistocene      	                  	              	182	1132	B	 22	X	CC	  33.00	    199.4200	Li       	Planktonic Foraminifers                      	C              	P                 	P                   	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	R                         	                          	P                                    	A                        	P                    	R                        	F                    	P                      	F                      	F                    	F                   	R                         	P                   	                             	                             	                     	                              	                      	                     	               	                    	reworked sphericomiozea, pliozea

  IR	Pliocene         	Pleistocene      	                  	              	182	1132	B	 23	X	CC	  18.00	    208.8900	Li       	Planktonic Foraminifers                      	C              	P                 	P                   	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	P                      	                              	                  	                    	                         	                         	                   	                       	R                         	                          	P                                    	A                        	P                    	R                        	P                    	P                      	F                      	F                    	F                   	P                         	                    	                             	                             	                     	                              	                      	                     	               	                    	reworked peripheroronda, conoidea

  IR	Pliocene         	Pleistocene      	                  	              	182	1132	B	 24	X	CC	  33.00	    217.9000	Li       	Planktonic Foraminifers                      	C              	P                 	                    	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	P                         	                          	                                     	A                        	                     	R                        	P                    	P                      	F                      	P                    	P                   	                          	                    	                             	                             	                     	                              	                      	                     	               	                    	       

  IR	Pliocene         	Pleistocene      	                  	              	182	1132	B	 25	X	CC	  48.00	    222.9100	Li       	Planktonic Foraminifers                      	T              	P                 	P                   	                 	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	                          	                          	                                     	P                        	                     	                         	P                    	                       	                       	P                    	P                   	                          	                    	                             	                             	                     	                              	                      	                     	               	                    	       

  IR	Pliocene         	Pleistocene      	                  	              	182	1132	B	 26	X	CC	  25.00	    236.5500	Li       	Planktonic Foraminifers                      	C              	P                 	P                   	                 	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	P                      	                              	                  	                    	                         	                         	                   	                       	                          	                          	P                                    	P                        	P                    	P                        	P                    	P                      	P                      	F                    	                    	                          	                    	                             	                             	                     	                              	                      	                     	               	                    	reworked margaritae?

  IR	                 	Late Miocene     	                  	              	182	1132	B	 27	X	CC	  34.00	    241.8000	Li       	Planktonic Foraminifers                      	A              	P                 	P                   	P                	P                          	                         	                       	P                       	                       	                        	                       	P                 	                       	P                    	                       	P                             	P                 	P                   	P                        	P                        	P                  	P                      	P                         	P                         	                                     	                         	                     	                         	                     	                       	                       	                     	                    	                          	                    	                             	                             	                     	                              	                      	                     	               	                    	mixed assemblage?

  IR	Late Miocene     	Middle Miocene   	Mt9               	Mt8           	182	1132	B	 28	X	CC	  32.00	    250.7300	Li       	Planktonic Foraminifers                      	A              	P                 	                    	P                	P                          	P                        	P                      	P                       	                       	P                       	P                      	P                 	P                      	P                    	P                      	                              	                  	                    	                         	                         	                   	                       	                          	                          	                                     	                         	                     	                         	                     	                       	                       	                     	                    	                          	                    	                             	                             	                     	                              	                      	                     	               	                    	       

  IR	                 	Middle Miocene   	Mt6               	Mt7           	182	1132	B	 29	X	CC	  23.00	    257.4300	Li       	Planktonic Foraminifers                      	C              	P                 	P                   	P                	P                          	P                        	P                      	P                       	P                      	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	                          	                          	                                     	                         	                     	                         	                     	                       	                       	                     	                    	                          	                    	                             	                             	                     	                              	                      	                     	               	                    	some sediment with chert pebbles

