Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Coccolithus pelagicus	Gephyrocapsa Group 4	Gephyrocapsa Group 1	Gephyrocapsa (small)	Emiliania huxleyi	Calcidiscus leptoporus	Emiliania pujosae	Gephyrocapsa caribbeanica	Gephyrocapsa Group 2	Coccolithus crassipons	Pontosphaera sp.	Pontosphaera japonica	Braarudosphaera bigelowii	Comment
  SR	Late Pleistocene 	                 	NN21              	              	139	 858	D	  1	H	 5	  68.00	      6.6800	Mao      	Nannofossils                                 	C              	P                 	F                    	R                   	C                   	                    	F                	                      	R                	                         	R                   	                      	                	                     	                         	from ODP Leg 139 SR; Chapter 5; Table 10; p. 71

  IR	Late Pleistocene 	Holocene         	NN21B             	              	139	 858	D	  1	H	 5	 120.00	      7.2000	Mao      	Nannofossils                                 	A              	M                 	C                    	                    	                    	C                   	C                	                      	F                	R                        	                    	                      	                	                     	                         	from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  IR	Late Pleistocene 	Holocene         	NN21B             	              	139	 858	D	  1	H	 6	   6.00	      7.5600	Mao      	Nannofossils                                 	C              	P                 	F                    	                    	                    	F                   	R                	                      	R                	                         	                    	                      	                	                     	                         	from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	D	  1	H	 6	  86.00	      8.3600	Mao      	Nannofossils                                 	F              	P                 	F                    	                    	                    	                    	                 	                      	                 	                         	                    	                      	                	                     	                         	zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 10; p. 71

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	D	  1	H	CC	   6.00	      9.0600	Mao      	Nannofossils                                 	R              	P                 	R                    	                    	R                   	R                   	R                	R                     	                 	                         	                    	                      	                	                     	                         	zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 10; p. 71

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	D	  2	H	 1	  58.00	      9.8800	Mao      	Nannofossils                                 	F              	P                 	F                    	R                   	R                   	                    	                 	                      	                 	                         	                    	                      	                	                     	                         	zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 10; p. 71

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	D	  2	H	 2	 103.00	     11.8300	Mao      	Nannofossils                                 	R              	P                 	R                    	                    	                    	                    	                 	                      	                 	                         	                    	                      	                	                     	                         	zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 10; p. 71

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	D	  2	H	CC	  54.00	     19.3600	Mao      	Nannofossils                                 	F              	VP                	R                    	R                   	R                   	                    	                 	                      	                 	                         	                    	                      	                	                     	                         	zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 10; p. 71

  IR	                 	                 	                  	              	139	 858	D	  4	H	CC	  12.00	     28.1500	Mao      	Nannofossils                                 	R              	P                 	R                    	                    	                    	                    	                 	                      	                 	                         	                    	                      	                	                     	                         	from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

