Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma	Neogloboquadrina humerosa	Neogloboquadrina acostaensis	Globorotalia inflata	Globorotalia crassaformis	Globigerinoides sacculifer	Globigerinoides ruber	Globigerina bulloides	Globorotalia hirsuta	Globigerinoides obliquus	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Menardella menardii	Globorotalia tosaensis	Globigerinoides conglobatus	Hastigerina siphonifera	Globorotalia truncatulinoides	Globorotalia scitula	Globorotalia puncticulata	Globorotalia conglomerata	Globigerina quinqueloba	Globigerinella siphonifera	Globigerinella calida	Globorotalia tumida	Globigerinoides ruber (pink)	Globigerina umbilicata	Globigerina falconensis	Beella digitata	Comment
  IR	                 	                 	                  	              	175	1083	A	  6	H	CC	  28.00	     42.4200	Christensen	Planktonic Foraminifers                      	A              	G                 	                 	A                                      	+                          	                         	                            	D                   	+                        	                          	                     	A                    	+                   	                        	                            	                          	                   	                      	                           	+                      	+                            	+                   	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	some dissolution etching

  IR	                 	                 	                  	              	175	1083	A	  7	H	CC	  28.00	     59.0800	Christensen	Planktonic Foraminifers                      	C              	M                 	                 	                                       	                           	                         	                            	D                   	+                        	                          	                     	+                    	                    	                        	                            	                          	                   	                      	                           	                       	                             	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	evidence for dissolution of pf- only G. inflata and G. crassaformis survive

  IR	                 	Pleistocene      	                  	              	175	1083	A	  8	H	CC	  21.00	     68.6900	Christensen	Planktonic Foraminifers                      	A              	VG                	+                	+                                      	                           	                         	                            	D                   	+                        	                          	                     	D                    	+                   	                        	                            	                          	+                  	+                     	                           	                       	+                            	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	       

  IR	                 	                 	                  	              	175	1083	A	  9	H	CC	  28.00	     77.8400	Christensen	Planktonic Foraminifers                      	               	                  	+                	                                       	D                          	                         	                            	A                   	+                        	                          	                     	                     	                    	                        	                            	+                         	                   	+                     	                           	                       	+                            	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	       

  IR	                 	Pleistocene      	                  	              	175	1083	A	 11	H	CC	  39.00	     96.5300	Christensen	Planktonic Foraminifers                      	A              	VG                	+                	                                       	+                          	                         	                            	A                   	+                        	+                         	D                    	D                    	                    	                        	                            	A                         	+                  	+                     	                           	+                      	+                            	+                   	+                        	                         	                       	                          	                     	                   	                            	                      	                       	               	G. crassaformis viola

  IR	                 	                 	                  	              	175	1083	A	 13	H	CC	  24.00	    115.1900	Christensen	Planktonic Foraminifers                      	A              	VG                	+                	                                       	+                          	                         	                            	A                   	+                        	+                         	D                    	D                    	                    	                        	                            	+                         	                   	                      	+                          	                       	                             	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	Presence of Gs. extremus and lack of trunc. possible Pliocene

  IR	                 	Pleistocene      	                  	              	175	1083	A	 15	H	CC	  21.00	    134.7900	Christensen	Planktonic Foraminifers                      	A              	VG                	+                	+                                      	D                          	                         	                            	A                   	+                        	                          	                     	D                    	+                   	                        	                            	+                         	+                  	+                     	+                          	                       	                             	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	       

  IR	                 	Pleistocene      	                  	              	175	1083	A	 16	H	CC	  20.00	    144.4700	Christensen	Planktonic Foraminifers                      	C              	G                 	                 	+                                      	                           	                         	                            	D                   	D                        	                          	+                    	                     	+                   	                        	+                           	+                         	                   	                      	                           	                       	                             	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	dissolution fauna

  IR	                 	                 	                  	              	175	1083	A	 17	H	CC	  22.00	    154.1200	Christensen	Planktonic Foraminifers                      	               	                  	+                	                                       	                           	                         	                            	D                   	                         	                          	                     	D                    	                    	                        	                            	                          	                   	                      	                           	                       	                             	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	       

  IR	                 	                 	                  	              	175	1083	A	 18	H	CC	  17.00	    162.6100	Christensen	Planktonic Foraminifers                      	C              	G                 	+                	+                                      	+                          	                         	                            	+                   	+                        	                          	                     	D                    	+                   	+                       	                            	                          	                   	                      	                           	                       	                             	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	       

  IR	                 	Late Pliocene    	                  	              	175	1083	A	 19	H	CC	  21.00	    173.2200	Christensen	Planktonic Foraminifers                      	F              	M                 	+                	                                       	                           	                         	                            	D                   	+                        	                          	                     	A                    	                    	                        	                            	                          	                   	                      	                           	                       	                             	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	       

  IR	                 	                 	                  	              	175	1083	A	 22	H	CC	  25.00	    201.4500	Christensen	Planktonic Foraminifers                      	C              	G                 	+                	+                                      	+                          	+                        	+                           	+                   	+                        	+                         	+                    	D                    	                    	                        	                            	                          	                   	                      	                           	                       	                             	                    	                         	                         	                       	                          	                     	                   	                            	                      	                       	               	transitional inflata

