Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tripilidium clavipes,Tricolocapsa sp.,Theocyrtis diabloensis,Stylodictya targaeformis,Spongomelissa sp.,Siphocampe pachyderma,Siphocampe imbricata,Pseudodictyophimus galeatus,Prunopyle polyacantha,Prunopyle monikae,Prunopyle hayesi,Prunopyle frakesi,Periphaena decora,Perichlamydium praetextum,Lophocyrtis longiventer,Lithomelissa robusta,Lithomelissa ehrenbergi,Lithomelissa dupliphysa,Lithomelissa challengerae,Lithelius aff. Lithelius formanae,Eurystomoskevos petrushevskayaae,Eucyrtidium (?) mariae,Eucyrtidium antiquum,Dictyoprora physothorax,Dictyophimus(?) callosus,Dictyophimus(?) archipilium,Cymaetron sinolampas,Ceratocyrtis mashae,Ceratocyrtis amplus,Cenosphaera oceanica,Calocyclas asperum,Botryostrobus rednosus,Botryostrobus kerguelensis,Axoprunum sp.,Archipilium sp.,Amphymenium splendiarmatum,Actinomma kerguelenensis,Velicucullus sp.,Prunopyle trypopyrena,Cyrtocapsella robusta,Actinomma campylacantha,Theocorys sp.,Stylodictya ocellata,Lithomelissa sphaerocephalis,Cycladophora cabrilloensis subhumerus,Stylosphaera hispida,Stylodictya hastata,Saturnalis circularis,Mitrocalpis sp.,Lamprocyclas inexpectata,Dictyophimus pocillum,Cycladophora conica,Stylatractus universus,Spongodiscus osculosus,Phormostichoartus marylandicus,Lipmanella sp.,Ceratocyrtis cucullaris,Tholospyris (all generic taxa),Stylosphaera radiosa,Lithomelissa cheni,Lychnocanoma conica,Cyrtocapsella longithorax,Antarctissa sp.,Actinomma medusa,Stylosphaera angelina,Eucyrtidium teuscheri,Acrosphaera sp.,Lophophaena thaumasia,Lamprocyclas prionotocodon,Theocyrtis robusta,Lychnocanoma elongata,Gondwanaria hister,Cycladophora campanula,Velicucullus (all generic taxa),Stichocorys delmontensis,Rhizosphaera antarctica,Lithocarpium fragilis,Cycladophora humerus,Carpocanistrum brevispina,Dendrospyris megalocephalis,Cyrtocapsella tetrapera,Cycladophora golli regipileus,Cycladophora golli golli,Lampromitra coronata,Hexalonche philosophica?,Druppatractus hastatus,Cycladophora antiqua,Circodiscus ellipticus,Amphistylus angelinus,Stylatractus santaeannae,Lithartractus timmsi?,Eucyrtidium cienkowskii,Actinomma magnifenestra,Dictyophimus crisiae,Desmospyris rhodospyroides,Acrosphaera mercurius,Ceratocyrtis sp.,Stauroxiphos communis,Spongomelissa dilli,Cycladophora cosma cosma,Stylacontarium bispiculum,Lithomelissa stigi,Eucyrtidium punctatum,Cyrtocapsella cornuta,Triceraspyris coronata,Stichopilium bicorne?,Eucyrtidium calvertense,Acrosphaera australis,Siphonosphaera vesuvius,Siphonosphaera magnisphaera,Antarctissa deflandrei,Cycladophora bicornis,Thyrsocyrtis clausa,Dendrospyris cf. megalocephalis,Calocyclas humerus,Actinomma golownini,Spongodiscus craticulatus,Prunopyle tetrapila,Cycladophora spongothorax,Botryopera deflandrei,Pterocanium korotnevi,Acrosphaera murrayana,Stylatractus universus var. transparum,Spongotrochus glacialis,Phormostichoartus fistula,Antarctissa robusta,Rhopalastrum spp.,Prunopyle titan,Eucyrtidium pseudoinflatum,Eucyrtidium inflatum,Cycladophora pliocenica,Antarctissa strelkovi,Lychnocanium grande,Desmospyris spongiosa,Acrosphaera labrata,Stichocorys peregrina,Siphocampe arachnea,Helotholus praevema,Eucyrtidium biconicum,Botryostrobus auritus/australis,Antarctissa cylindrica,Helotholus vema,Antarctissa denticulata,Triceraspyris antarctica,Cycladophora davisiana,Saccospyris conithorax,Prunopyle antarctica,Gondwanaria dogieli,Cyrtolagena laguncula,Pterocanium charybdeum trilobum,Spongodiscus setosus,Pterocanium trilobum,Phormostichoartus pitomorphus,Lithelius nautiloides,Ceratocyrtis histricosa,Spongoplegma antarcticum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NR10              ,NR9           ,119, 744,A,  4,H,CC,  20.00,     28.6400,Caulet   ,Radiolarians                                 ,C              ,M                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,                ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,C                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,T                              ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,R                      ,                       ,                    ,C                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,C                        ,                   ,A                        ,                     ,                     ,                     ,                                      ,R                      ,                         ,                   ,                 ,C              ,                          ,A                   ,R                      ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. australais     ,              ,119, 744,A,  5,H, 1,  53.00,     33.2300,Lazarus  ,Radiolarians                                 ,A              ,MG                ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,+                    ,               ,                        ,                     ,                   ,C                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,R                     ,                    ,                      ,                     ,                        ,                     ,F                      ,                       ,                    ,F                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,R                    ,                       ,                           ,                      ,C                    ,                   ,                               ,                  ,                   ,                         ,                   ,C                        ,                     ,F                    ,R                    ,                                      ,                       ,                         ,                   ,                 ,R              ,C                         ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,up. C. spongothorax,              ,119, 744,A,  5,H, 3,  53.00,     36.2300,Lazarus  ,Radiolarians                                 ,A              ,MG                ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,F               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,+                    ,               ,                        ,                     ,                   ,R                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,+                   ,                        ,F                     ,                    ,                      ,                     ,R                       ,                     ,                       ,                       ,                    ,F                         ,+                    ,                ,                     ,                   ,                        ,                         ,C                 ,                     ,                     ,                      ,                     ,R                      ,+                    ,                       ,                           ,R                     ,                     ,                   ,                               ,F                 ,                   ,                         ,                   ,C                        ,                     ,R                    ,C                    ,R                                     ,R                      ,                         ,                   ,                 ,+              ,R                         ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,mid. C. spongothorax,              ,119, 744,A,  5,H, 4,  40.00,     37.6000,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,R                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,F                   ,                        ,R                     ,                    ,F                     ,                     ,R                       ,                     ,F                      ,                       ,                    ,C                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,F                     ,                     ,R                      ,+                    ,                       ,+                          ,C                     ,                     ,                   ,                               ,C                 ,                   ,                         ,                   ,F                        ,                     ,F                    ,F                    ,                                      ,F                      ,                         ,                   ,+                ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NR10              ,NR9           ,119, 744,A,  5,H,CC,  18.00,     37.8400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,R               ,R                ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,C                   ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,R                     ,                     ,                        ,                     ,R                      ,                       ,                    ,C                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,R                  ,R                        ,R                  ,A                        ,                     ,                     ,                     ,                                      ,R                      ,T                        ,R                  ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. C. spongothorax,              ,119, 744,A,  6,H, 1,  53.00,     42.7300,Lazarus  ,Radiolarians                                 ,C              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,R               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,R                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,+                     ,                    ,+                     ,                     ,                        ,                     ,R                      ,                       ,                    ,F                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,C                     ,                     ,                   ,+                              ,C                 ,R                  ,                         ,                   ,C                        ,                     ,                     ,F                    ,R                                     ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. C. spongothorax,              ,119, 744,A,  6,H, 3,  53.00,     45.7300,Lazarus  ,Radiolarians                                 ,A              ,MG                ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,C                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,R                      ,                       ,                    ,C                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,R                     ,                     ,                   ,                               ,C                 ,F                  ,                         ,                   ,C                        ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. C. spongothorax,              ,119, 744,A,  6,H, 4,  53.00,     47.2300,Lazarus  ,Radiolarians                                 ,C              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,F                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,+                   ,                        ,R                     ,                    ,+                     ,R                    ,                        ,                     ,R                      ,                       ,                    ,C                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,F                     ,                     ,                   ,                               ,C                 ,F                  ,                         ,                   ,C                        ,                     ,R                    ,+                    ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR10              ,NR9           ,119, 744,A,  6,H,CC,  16.00,     48.2800,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,                ,A                ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,R                 ,                      ,                               ,                        ,                       ,R                    ,R                   ,R                        ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,C                      ,                       ,                    ,A                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,C                  ,C                        ,R                  ,R                        ,C                    ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,upper A. golownina,              ,119, 744,A,  7,H, 1,  95.00,     52.6500,Lazarus  ,Radiolarians                                 ,A              ,P-M               ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,+                    ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,C                  ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,R                          ,                       ,                             ,                        ,                    ,                        ,R                     ,                    ,R                     ,R                    ,                        ,R                    ,F                      ,                       ,+                   ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,C                 ,R                  ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. humerus        ,              ,119, 744,A,  7,H, 3,  53.00,     55.2300,Lazarus  ,Radiolarians                                 ,A              ,P-M               ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,C               ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,R                    ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,C                  ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,R                      ,                             ,                        ,                    ,                        ,R                     ,                    ,R                     ,F                    ,                        ,F                    ,F                      ,C                      ,                    ,F                         ,                     ,                ,                     ,                   ,                        ,R                        ,                  ,                     ,                     ,                      ,                     ,F                      ,                     ,                       ,                           ,                      ,                     ,+                  ,R                              ,F                 ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. golli regipileus,              ,119, 744,A,  7,H, 4,  53.00,     56.7300,Lazarus  ,Radiolarians                                 ,A              ,M                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,F               ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,+                        ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,C                      ,                             ,                        ,                    ,                        ,F                     ,                    ,                      ,C                    ,R                       ,C                    ,C                      ,                       ,                    ,R                         ,                     ,                ,                     ,                   ,                        ,R                        ,                  ,                     ,                     ,                      ,R                    ,                       ,                     ,                       ,                           ,                      ,+                    ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
