Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Syracosphaera pulchra,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Emiliania huxleyi,Coccolithus pelagicus,Calcidiscus leptoporus,Pontosphaera japonica,Helicosphaera wallichii,Helicosphaera kamptneri,Gephyrocapsa Group 3,Gephyrocapsa Group 2,Gephyrocapsa Group 1,Crenalithus doronicoides,Coccolithus crassipons,Gephyrocapsa Group 4,Braarudosphaera bigelowii,Pontosphaera sp.,Emiliania pujosae,Coccolithus streckerii,Umbilicosphaera mirabilis,Thoracosphaera sp.,Comment
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,A,  3,R,CC,   0.00,     21.4300,Mao      ,Nannofossils                                 ,C              ,P                 ,R                    ,R                        ,C                   ,R                ,F                    ,                      ,                     ,                       ,                       ,                    ,                    ,                    ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  4,R, 1,  19.00,     26.1900,Mao      ,Nannofossils                                 ,C              ,P                 ,                     ,                         ,                    ,R                ,F                    ,                      ,                     ,                       ,                       ,                    ,F                   ,C                   ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  4,R, 2,  20.00,     27.7000,Mao      ,Nannofossils                                 ,C              ,P                 ,                     ,                         ,                    ,R                ,C                    ,                      ,                     ,                       ,                       ,                    ,                    ,F                   ,                        ,                      ,                    ,                         ,R               ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  4,R, 3,  22.00,     29.2200,Mao      ,Nannofossils                                 ,A              ,P                 ,                     ,                         ,                    ,R                ,C                    ,                      ,                     ,                       ,                       ,F                   ,C                   ,A                   ,C                       ,R                     ,                    ,                         ,R               ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  4,R, 4,  48.00,     30.9800,Mao      ,Nannofossils                                 ,F              ,P                 ,                     ,                         ,                    ,R                ,C                    ,                      ,                     ,                       ,                       ,                    ,                    ,F                   ,                        ,                      ,                    ,                         ,R               ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,A,  4,R,CC,   5.00,     31.8900,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,                         ,F                   ,                 ,C                    ,R                     ,                     ,                       ,                       ,                    ,                    ,                    ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  5,R, 1,  13.00,     35.6300,Mao      ,Nannofossils                                 ,C              ,P                 ,                     ,                         ,                    ,F                ,F                    ,                      ,                     ,                       ,                       ,                    ,F                   ,C                   ,R                       ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,A,  5,R,CC,  10.00,     37.7600,Mao      ,Nannofossils                                 ,C              ,P                 ,                     ,R                        ,C                   ,R                ,F                    ,                      ,                     ,                       ,                       ,                    ,                    ,                    ,                        ,                      ,                    ,R                        ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  6,R, 1,  91.00,     46.4100,Mao      ,Nannofossils                                 ,C              ,P                 ,                     ,                         ,                    ,R                ,F                    ,                      ,                     ,                       ,                       ,                    ,F                   ,C                   ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  6,R, 2,   0.00,     47.0000,Mao      ,Nannofossils                                 ,C              ,M                 ,                     ,                         ,                    ,R                ,F                    ,                      ,                     ,                       ,                       ,                    ,R                   ,C                   ,                        ,                      ,R                   ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
