Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Jenkinsella siakensis	Globoquadrina binaiensis	Catapsydrax dissimilis	Globorotalia praescitula	Globorotalia peripheroronda	Globorotalia birnageae	Praeorbulina glomerosa	Globigerinatella insueta	Praeorbulina sicana	Paragloborotalia mayeri	Orbulina universa	Globorotalia peripheroacuta	Globoquadrina dehiscens	Globigerinoides ruber	Fohsella praefohsi	Fohsella fohsi fohsi	Sphaeroidinellopsis kochi	Dentoglobigerina altispira	Globigerinoides obliquus	Zeaglobigerina nepenthes	Neogloboquadrina acostaensis	Globorotalia merotumida	Globorotalia lenguaensis	Sphaeroidinellopsis seminulina	Globorotalia plesiotumida	Globigerinoides extremus	Globigerinoides conglobatus	Globorotalia tumida	Sphaeroidinella dehiscens	Globorotalia multicamerata	Globorotalia margaritae	Pulleniatina (S)	Pulleniatina (D)	Pulleniatina obliquiloculata	Globorotalia menardii	Globorotalia tosaensis	Globigerinoides fistulosus	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globorotalia inflata	Globorotalia crassaformis	Globigerinoides ruber (pink)	Comment
  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	  5	H	CC	  20.00	     42.1800	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	F                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	R                          	                   	P                        	                          	                       	                	                	F                           	A                    	                      	                          	F                         	F                            	R                   	                         	P                           	>0.12 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	  6	H	CC	  35.00	     50.8700	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	F                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	A                           	F                    	                      	                          	A                         	                             	F                   	                         	R                           	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	  7	H	CC	  36.00	     61.3200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	F                           	                     	                      	                          	A                         	R                            	A                   	                         	P                           	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	  8	H	CC	   0.00	     70.0600	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	F                           	                     	                      	                          	A                         	                             	                    	P                        	                            	>0.4 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	  9	H	CC	  26.00	     80.2200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	P                           	F                    	                      	                          	A                         	                             	F                   	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 10	H	CC	  26.00	     89.5700	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	F                        	                          	                       	                	                	A                           	F                    	                      	                          	A                         	R                            	                    	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 11	H	CC	  44.00	     99.4700	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	R                           	                     	                      	                          	A                         	P                            	A                   	                         	                            	>0.75 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 12	H	CC	  26.00	    108.5700	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	A                           	F                    	                      	                          	                          	P                            	F                   	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 13	H	CC	  22.00	    118.3000	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	A                         	P                            	A                   	R                        	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 14	H	CC	  20.00	    127.6400	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	F                        	                          	                       	                	                	A                           	F                    	                      	                          	                          	P                            	                    	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 15	H	CC	  25.00	    137.2800	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	F                          	                   	F                        	                          	                       	                	                	A                           	F                    	                      	                          	                          	P                            	                    	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 16	H	CC	  25.00	    144.8300	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	R                          	                   	R                        	                          	                       	                	                	R                           	                     	                      	                          	A                         	P                            	F                   	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 17	H	CC	  32.00	    155.7200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	R                        	                          	                       	                	                	                            	                     	                      	                          	A                         	P                            	F                   	                         	                            	<1.6 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 18	H	CC	  24.00	    165.4100	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	F                        	                          	                       	                	                	A                           	                     	                      	P                         	                          	P                            	                    	                         	                            	>1.6 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	 19	H	CC	  20.00	    175.2800	forams   	Planktonic Foraminifers                      	A              	G                 	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	R                        	                          	                       	                	                	                            	R                    	                      	P                         	A                         	P                            	                    	                         	                            	<2.0 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1146	A	 20	H	CC	  25.00	    184.6700	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	F                	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	P                       	R                          	                   	F                        	                          	                       	                	                	A                           	F                    	                      	P                         	                          	                             	                    	                         	                            	>2.0 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1146	A	 21	H	CC	   0.00	    193.7700	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	F                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	R                          	                   	F                        	F                         	                       	                	                	A                           	                     	                      	                          	                          	                             	                    	                         	                            	2.0~2.5

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1146	A	 22	X	CC	  30.00	    203.6200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	F                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	R                  	F                        	R                         	                       	                	                	F                           	                     	P                     	                          	                          	                             	                    	                         	                            	>2.5 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1146	A	 23	X	CC	  22.00	    212.7500	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	P                       	                           	R                  	R                        	R                         	                       	                	                	R                           	F                    	                      	                          	                          	                             	                    	                         	                            	       

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1146	A	 24	X	CC	  28.00	    222.3400	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	P                       	                           	R                  	R                        	R                         	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	<3.09 Ma

  IR	Late Pliocene    	Late Pliocene    	N20               	N20           	184	1146	A	 26	X	CC	  35.00	    241.9200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	                         	R                         	                        	                        	                            	                       	                        	R                             	                         	                        	                           	F                  	R                        	R                         	                       	                	F               	                            	                     	                      	                          	                          	                             	                    	                         	                            	>3.35 Ma, <3.95 Ma

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1146	A	 27	X	CC	  23.00	    251.3300	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	                         	F                         	                        	                        	                            	                       	                        	                              	                         	A                       	                           	R                  	                         	R                         	P                      	A               	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	>3.95 Ma, <4.2 Ma

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1146	A	 28	X	CC	  16.00	    260.9500	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	                         	R                         	                        	P                       	                            	                       	                        	                              	                         	                        	                           	P                  	P                        	R                         	P                      	R               	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	>4.2 Ma

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1146	A	 29	X	CC	  16.00	    270.3600	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	R                        	                          	                        	P                       	                            	                       	                        	                              	                         	                        	                           	R                  	P                        	                          	P                      	R               	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1146	A	 30	X	CC	  37.00	    280.2200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	P                        	R                         	                        	P                       	                            	                       	                        	                              	                         	                        	                           	R                  	P                        	R                         	P                      	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1146	A	 31	X	CC	  23.00	    289.9000	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	R                        	R                         	                        	                        	                            	                       	                        	                              	                         	                        	P                          	P                  	P                        	R                         	P                      	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1146	A	 32	X	CC	  38.00	    299.4700	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	R                        	R                         	                        	P                       	                            	                       	                        	                              	                         	F                       	P                          	P                  	P                        	P                         	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1146	A	 33	X	CC	  15.00	    309.0300	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	R                        	R                         	                        	                        	                            	                       	                        	                              	                         	                        	P                          	P                  	P                        	P                         	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1146	A	 34	X	CC	  23.00	    318.7700	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	R                        	R                         	                        	                        	                            	                       	                        	                              	                         	                        	                           	P                  	P                        	P                         	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	<5.54 Ma

  IR	Late Miocene     	Late Miocene     	N18               	N18           	184	1146	A	 35	X	CC	  17.00	    328.2900	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	P                        	R                         	                        	P                       	                            	                       	                        	R                             	                         	                        	P                          	P                  	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N17b              	N17b          	184	1146	A	 36	X	CC	  37.00	    338.2000	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	P                      	                     	                  	                    	P                        	F                         	                        	                        	                            	                       	                        	                              	                         	                        	P                          	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	<6.2 Ma

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	184	1146	A	 37	X	CC	  35.00	    347.9200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	R                        	F                         	                        	                        	                            	                       	                        	R                             	P                        	P                       	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	184	1146	A	 38	X	CC	  36.00	    357.5000	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	R                        	R                         	                        	                        	                            	                       	                        	R                             	R                        	F                       	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	184	1146	A	 39	X	CC	  24.00	    366.9800	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	R                        	                          	                        	P                       	P                           	                       	                        	                              	P                        	F                       	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	184	1146	A	 40	X	CC	  35.00	    376.6200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	P                        	R                         	                        	                        	                            	                       	                        	P                             	P                        	R                       	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	<8.58 Ma

  IR	Late Miocene     	Late Miocene     	N16               	N16           	184	1146	A	 41	X	CC	  24.00	    386.2200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	P                        	                          	R                       	                        	P                           	R                      	                        	P                             	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	>8.58 Ma

  IR	Late Miocene     	Late Miocene     	N16               	N16           	184	1146	A	 42	X	CC	  28.00	    395.4600	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	R                      	                     	                  	                    	P                        	                          	P                       	R                       	P                           	R                      	P                       	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N15               	N15           	184	1146	A	 43	X	CC	  33.00	    405.0300	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	                         	R                         	P                       	R                       	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	>9.98 Ma, <10.49 Ma

  IR	Late Miocene     	Late Miocene     	N15               	N15           	184	1146	A	 44	X	CC	  44.00	    414.5400	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	R                      	                     	                  	                    	                         	R                         	A                       	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Late Miocene     	Late Miocene     	N14               	N14           	184	1146	A	 45	X	CC	  33.00	    424.6800	forams   	Planktonic Foraminifers                      	A              	VG                	R                    	                        	                      	                        	                           	                      	                      	                        	                   	R                      	                 	                           	R                      	                     	                  	                    	                         	R                         	F                       	P                       	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	>10.49 Ma

  IR	Late Miocene     	Late Miocene     	N14               	N14           	184	1146	A	 46	X	CC	  55.00	    434.4300	forams   	Planktonic Foraminifers                      	A              	VG                	P                    	                        	                      	                        	                           	                      	                      	                        	                   	P                      	                 	                           	                       	A                    	                  	                    	R                        	R                         	P                       	P                       	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N13               	N13           	184	1146	A	 47	X	CC	  46.00	    443.9300	forams   	Planktonic Foraminifers                      	A              	VG                	A                    	                        	                      	                        	                           	                      	                      	                        	                   	A                      	                 	                           	                       	                     	                  	                    	                         	                          	A                       	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N13               	N13           	184	1146	A	 48	X	CC	  37.00	    453.5400	forams   	Planktonic Foraminifers                      	A              	VG                	A                    	                        	                      	                        	                           	                      	                      	                        	                   	A                      	                 	                           	                       	A                    	                  	                    	R                        	R                         	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N12               	N12           	184	1146	A	 49	X	CC	  37.00	    463.1400	forams   	Planktonic Foraminifers                      	A              	VG                	F                    	                        	                      	                        	                           	                      	                      	                        	                   	A                      	                 	                           	F                      	F                    	                  	P                   	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N12               	N12           	184	1146	A	 50	X	CC	  31.00	    472.6300	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	F                	                           	F                      	F                    	P                 	P                   	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N11               	N11           	184	1146	A	 51	X	CC	  32.00	    482.0900	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	P                          	F                      	F                    	P                 	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N10               	N10           	184	1146	A	 52	X	CC	  37.00	    491.7700	forams   	Planktonic Foraminifers                      	A              	VG                	F                    	                        	                      	                        	P                          	                      	                      	                        	                   	F                      	F                	R                          	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N9                	N9            	184	1146	A	 53	X	CC	  24.00	    501.2700	forams   	Planktonic Foraminifers                      	A              	VG                	F                    	                        	                      	                        	R                          	                      	                      	                        	                   	R                      	P                	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1146	A	 54	X	CC	  27.00	    509.3300	forams   	Planktonic Foraminifers                      	A              	VG                	R                    	                        	                      	                        	R                          	                      	P                     	P                       	                   	P                      	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1146	A	 55	X	CC	  35.00	    520.6400	forams   	Planktonic Foraminifers                      	A              	G                 	                     	                        	                      	                        	R                          	                      	P                     	P                       	P                  	                       	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1146	A	 56	X	CC	   0.00	    529.4800	forams   	Planktonic Foraminifers                      	A              	G                 	                     	                        	                      	                        	R                          	                      	P                     	P                       	P                  	                       	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1146	A	 57	X	CC	  34.00	    539.7600	forams   	Planktonic Foraminifers                      	A              	G                 	                     	                        	                      	P                       	P                          	                      	P                     	P                       	                   	                       	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1146	A	 58	X	CC	  24.00	    549.2200	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	P                          	                      	P                     	P                       	                   	                       	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Middle Miocene   	Middle Miocene   	N8                	N8            	184	1146	A	 59	X	CC	  34.00	    558.9000	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	P                       	                           	                      	P                     	P                       	                   	                       	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

  IR	Early Miocene    	Early Miocene    	N7                	N7            	184	1146	A	 60	X	CC	  27.00	    568.4900	forams   	Planktonic Foraminifers                      	A              	VG                	R                    	                        	                      	P                       	                           	P                     	                      	                        	                   	                       	                 	                           	                       	                     	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	                           	                   	                         	                          	                       	                	                	                            	                     	                      	                          	                          	                             	                    	                         	                            	       

