Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella eggeri,Schackoina cenomana,Pseudotextularia nuttalli,Laeviheterohelix pulchra,Heterohelix planata,Heterohelix globulosa,Heterohelix dentata,Heterohelix carinata,Hedbergella holmdelensis,Globotruncanita stuartiformis,Globotruncanita elevata,Globotruncanita atlantica,Globotruncana orientalis,Globotruncana morozovae,Globotruncana mariei,Globotruncana linneiana,Globotruncana bulloides,Globotruncana arca,Globigerinelloides ultramicrus,Globigerinelloides subcarinatus,Globigerinelloides prairiehillensis,Globigerinelloides messinae,Contusotruncana fornicata,Archaeoglobigerina cretacea,Schackoina multispinata,Rugoglobigerina rugosa,Globotruncana rosetta,Radotruncana subspinosa,Heterohelix labellosa,Globigerinelloides bollii,Contusotruncana patelliformis,Hedbergella monmouthensis,Globotruncanita subspinosa,Fohsella peripheroronda,Globigerinelloides ferreolensis,Sphaeroidinellopsis disjuncta,Praeorbulina glomerosa,Orbulina universa,Globorotalia praemenardii,Globorotalia miozea,Globigerinatella insueta,Globorotalia panda,Globorotalia birnageae,Globoquadrina dehiscens,Fohsella peripheroacuta,Orbulina suturalis,Globorotalia lenguaensis,Globorotalia juanai,Globigerina bulloides,Fohsella praefohsi,Dentoglobigerina altispira,Globoturborotalita druryi,Globoquadrina venezuelana,Sphaeroidinellopsis seminulina,Globoturborotalita woodi,Globoturborotalita nepenthes,Catapsydrax parvulus,Neogloboquadrina continuosa,Globorotalia merotumida,Globorotalia menardii,Globorotalia conoidea,Globigerinoides sacculifer,Globigerinita glutinata,Neogloboquadrina acostaensis,Globigerinoides obliquus,Globigerinoides bollii,Sphaeroidinellopsis subdehiscens,Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerinoides subquadratus,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina humerosa,Globorotalia challengeri,Neogloboquadrina dutertrei,Globorotalia margaritae,Globorotalia tumida,Globorotalia plesiotumida,Globigerinoides conglobatus,Globorotalia puncticulata,Globigerinoides extremus,Globorotalia crassula,Sphaeroidinellopsis kochi,Globigerinella aequilateralis,Globorotalia conomiozea,Truncorotalia crassaformis,Globigerinoides trilobus,Globigerinoides ruber,Sphaeroidinella dehiscens s.l.,Truncorotalia tosaensis,Globorotalia inflata,Pulleniatina obliquiloculata,Truncorotalia truncatulinoides,Pulleniatina primalis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1207,A,  5,H, 1,  80.00,     34.1000,planks   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,P                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,P                    ,                  ,                          ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,P                    ,                     ,P                         ,                       ,                            ,                        ,                      ,                                ,P                                    ,                    ,                            ,                                       ,                         ,                        ,P                         ,                       ,                   ,                         ,P                          ,                         ,                        ,                     ,                         ,                             ,                       ,P                         ,                        ,                     ,                              ,                       ,P                   ,                            ,                              ,                     ,diatomaceous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1207,A,  5,H, 4,  80.00,     38.6000,planks   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,P                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,P                    ,                  ,                          ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,                     ,                     ,                          ,                       ,                            ,                        ,                      ,                                ,P                                    ,P                   ,                            ,                                       ,                         ,                        ,P                         ,                       ,P                  ,                         ,P                          ,                         ,                        ,                     ,                         ,                             ,                       ,P                         ,                        ,                     ,                              ,                       ,P                   ,                            ,                              ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,N21               ,N22           ,198,1207,A,  5,H,CC,   4.00,     42.8500,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,R                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,A                    ,                  ,                          ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,R                    ,                     ,R                         ,                       ,                            ,R                       ,                      ,                                ,                                     ,R                   ,                            ,                                       ,                         ,                        ,F                         ,                       ,F                  ,                         ,R                          ,                         ,                        ,                     ,                         ,                             ,                       ,F                         ,R                       ,R                    ,R                             ,R                      ,                    ,                            ,                              ,                     ,Rads 50%+ Diatom A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1207,A,  6,H,CC,   5.00,     52.5500,planks   ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,F                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,A                    ,                  ,                          ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,                     ,                     ,P                         ,                       ,                            ,R                       ,                      ,                                ,R                                    ,                    ,                            ,                                       ,                         ,                        ,A                         ,                       ,R                  ,                         ,R                          ,                         ,R                       ,                     ,                         ,                             ,                       ,F                         ,P                       ,R                    ,P                             ,R                      ,                    ,                            ,                              ,                     ,"Rads +Diatom, Planks high fragmented"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1207,A,  7,H,CC,  18.00,     62.0000,planks   ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,R                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,F                 ,                        ,                   ,A                    ,                  ,R                         ,                         ,                         ,+                             ,P                       ,                            ,                    ,                           ,                       ,R                    ,                     ,                          ,                       ,R                           ,R                       ,                      ,                                ,R                                    ,R                   ,                            ,                                       ,P                        ,                        ,P                         ,                       ,                   ,                         ,P                          ,                         ,R                       ,                     ,                         ,                             ,                       ,F                         ,P                       ,F                    ,R                             ,                       ,                    ,                            ,                              ,                     ,"Rads+ pytite, planks fragmented"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1207,A,  8,H, 1,  77.00,     62.5700,planks   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,P                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,P                    ,                  ,                          ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,P                    ,                     ,P                         ,                       ,                            ,                        ,                      ,                                ,P                                    ,P                   ,                            ,                                       ,                         ,                        ,P                         ,                       ,P                  ,                         ,                           ,                         ,                        ,P                    ,                         ,                             ,                       ,P                         ,                        ,P                    ,P                             ,R                      ,                    ,                            ,                              ,                     ,abund. rads and diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N19-N20           ,N19-N20       ,198,1207,A,  8,H, 4,  77.00,     67.0700,planks   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,P                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,P                    ,                  ,P                         ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,P                    ,                     ,                          ,                       ,                            ,                        ,                      ,                                ,                                     ,                    ,                            ,                                       ,                         ,                        ,                          ,                       ,P                  ,                         ,                           ,P                        ,                        ,P                    ,                         ,                             ,                       ,P                         ,                        ,P                    ,P                             ,                       ,                    ,                            ,                              ,                     ,abund. rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N19-N20           ,N19-N20       ,198,1207,A,  8,H,CC,   8.00,     71.4800,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,F                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,A                    ,                  ,F                         ,                         ,                         ,                              ,P                       ,                            ,                    ,                           ,                       ,                     ,                     ,                          ,                       ,                            ,R                       ,                      ,                                ,R                                    ,R                   ,                            ,                                       ,                         ,                        ,F                         ,                       ,R                  ,R                        ,R                          ,                         ,                        ,R                    ,                         ,                             ,                       ,F                         ,R                       ,F                    ,R                             ,                       ,                    ,                            ,                              ,                     ,"Rads40%, plank fragmented"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N19-N20           ,N19-N20       ,198,1207,A,  9,H, 1,  77.00,     72.0700,planks   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,P                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,P                    ,                  ,                          ,                         ,                         ,R                             ,                        ,                            ,                    ,                           ,                       ,P                    ,                     ,P                         ,                       ,                            ,P                       ,                      ,                                ,                                     ,P                   ,                            ,                                       ,                         ,                        ,P                         ,                       ,P                  ,                         ,P                          ,P                        ,                        ,                     ,                         ,                             ,                       ,P                         ,                        ,                     ,                              ,                       ,                    ,                            ,                              ,                     ,abund. rads and diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N19-N20           ,N19-N20       ,198,1207,A,  9,H, 4,  77.00,     76.5700,planks   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,                 ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,P                    ,                  ,                          ,                         ,                         ,P                             ,                        ,                            ,                    ,                           ,                       ,                     ,                     ,                          ,                       ,                            ,                        ,                      ,                                ,                                     ,                    ,                            ,                                       ,                         ,                        ,                          ,                       ,                   ,                         ,                           ,P                        ,                        ,                     ,                         ,                             ,P                      ,                          ,                        ,                     ,                              ,                       ,                    ,                            ,                              ,                     ,v. abund. large rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N19-N20           ,N19-N20       ,198,1207,A,  9,H,CC,   6.00,     81.0500,planks   ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,                 ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,A                    ,                  ,                          ,                         ,                         ,R                             ,                        ,                            ,                    ,                           ,                       ,R                    ,                     ,                          ,                       ,                            ,R                       ,                      ,                                ,                                     ,                    ,                            ,                                       ,                         ,                        ,                          ,R                      ,                   ,                         ,                           ,F                        ,R                       ,                     ,                         ,                             ,F                      ,+                         ,P                       ,R                    ,                              ,                       ,                    ,                            ,                              ,                     ,Rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N19-N20           ,N19-N20       ,198,1207,A, 10,H, 1,  78.00,     81.5800,planks   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,P                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,P                    ,                  ,P                         ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,                     ,                     ,                          ,                       ,                            ,                        ,                      ,                                ,                                     ,                    ,                            ,                                       ,                         ,                        ,                          ,P                      ,                   ,                         ,                           ,P                        ,P                       ,                     ,                         ,                             ,P                      ,                          ,                        ,                     ,                              ,                       ,                    ,                            ,                              ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,N19-N20           ,N18           ,198,1207,A, 10,H,CC,   3.00,     90.6200,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,                 ,                         ,+                  ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,R                    ,                  ,                          ,                         ,                         ,R                             ,                        ,R                           ,                    ,                           ,                       ,R                    ,                     ,                          ,                       ,                            ,                        ,                      ,                                ,R                                    ,                    ,                            ,                                       ,                         ,                        ,R                         ,                       ,                   ,                         ,                           ,A                        ,R                       ,                     ,                         ,                             ,R                      ,                          ,                        ,                     ,                              ,                       ,                    ,                            ,                              ,                     ,"abund. rads and foram fragments, echinoderm spines"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N19-N20           ,N18           ,198,1207,A, 11,H, 1,  78.00,     91.0800,planks   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,P                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,P                    ,                  ,                          ,                         ,                         ,P                             ,                        ,                            ,                    ,                           ,                       ,                     ,                     ,                          ,                       ,                            ,                        ,                      ,P                               ,                                     ,                    ,                            ,                                       ,                         ,                        ,                          ,                       ,                   ,                         ,                           ,P                        ,P                       ,                     ,                         ,                             ,P                      ,                          ,                        ,                     ,                              ,                       ,                    ,                            ,                              ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N19-N20           ,N18           ,198,1207,A, 11,H, 4,  77.00,     95.5700,planks   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,P                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,P                    ,                  ,P                         ,                         ,                         ,P                             ,                        ,                            ,                    ,                           ,                       ,P                    ,                     ,                          ,                       ,P                           ,                        ,                      ,P                               ,                                     ,                    ,                            ,                                       ,                         ,                        ,P                         ,P                      ,P                  ,P                        ,P                          ,                         ,P                       ,                     ,P                        ,P                            ,                       ,                          ,                        ,                     ,                              ,                       ,                    ,                            ,                              ,                     ,       
