Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina proboscidea,Trifarina angulosa,Sphaeroidina bulloides,Pyrgo spp.,Pullenia salisburyi,Pullenia bulloides,Oridorsalis spp.,Nuttallides umbonifera,Nodosariidae (taxa),Melonis barleeanus,Laticarinina pauperata,Laryngosigma hyalascidia,Gyroidina soldanii,Globocassidulina subglobosa,Fontbotia wuellerstorfi,Epistominella exigua,Ehrenbergina trigona,Eggerella bradyi,Bolivina decussata,Stilostomella lepidula,Pullenia quinqueloba,Pleurostomella acuta,Nonionella sp.,Gyroidina lamarckiana,Cibicidoides kullenbergi,Chilostomella argentae,Anomalina sp.,Melonis pompilioides,Karreriella bradyi,Gyroidina zealandica,Cibicidoides cicatricosus,Stainforthia complanata,Cassidulina laevigata,Hyperammina sp,Anomalinoides sp.,Valvulineria sp.,Quinqueloculina venusta,Osangularia sp.,Lenticulina sp.,Bulimina alazanensis,Cassidulina sp.,Textularia abbreviata,Species 1,Bolivina pseudopunctata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,  45.00,    103.2500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,                     ,                  ,                      ,1         ,1                  ,7                 ,1               ,4                     ,1                  ,2                 ,                      ,                        ,                  ,2                          ,                       ,1                   ,                    ,11              ,                  ,                      ,                    ,                    ,              ,1                    ,                        ,                      ,             ,2                   ,                  ,                    ,                         ,                       ,1                    ,              ,                 ,                ,                       ,               ,               ,                    ,               ,                     ,         ,                       ,Total count = 35; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,  65.00,    103.4500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,                     ,                  ,                      ,2         ,                   ,4                 ,3               ,12                    ,4                  ,3                 ,                      ,                        ,                  ,7                          ,1                      ,2                   ,                    ,12              ,                  ,                      ,                    ,                    ,              ,1                    ,                        ,                      ,             ,                    ,                  ,                    ,                         ,1                      ,                     ,              ,                 ,                ,                       ,               ,               ,                    ,               ,                     ,         ,                       ,Total count = 52; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,  85.00,    103.6500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,6                    ,                  ,                      ,          ,                   ,14                ,10              ,37                    ,13                 ,14                ,                      ,                        ,                  ,53                         ,11                     ,5                   ,                    ,15              ,                  ,                      ,2                   ,2                   ,2             ,4                    ,                        ,2                     ,             ,1                   ,3                 ,1                   ,1                        ,                       ,                     ,              ,                 ,                ,                       ,               ,               ,                    ,               ,                     ,         ,                       ,Total count = 196; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1, 105.00,    103.8500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,                     ,                  ,2                     ,2         ,11                 ,7                 ,4               ,15                    ,                   ,                  ,2                     ,                        ,                  ,9                          ,1                      ,3                   ,1                   ,6               ,                  ,                      ,1                   ,                    ,              ,4                    ,                        ,                      ,             ,4                   ,                  ,                    ,                         ,                       ,                     ,              ,                 ,                ,                       ,               ,               ,                    ,               ,                     ,         ,                       ,Total count = 72; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1, 125.00,    104.0500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,11                   ,                  ,1                     ,6         ,                   ,41                ,51              ,67                    ,24                 ,32                ,4                     ,                        ,                  ,49                         ,16                     ,24                  ,2                   ,11              ,8                 ,1                     ,7                   ,2                   ,1             ,3                    ,5                       ,1                     ,1            ,                    ,                  ,                    ,                         ,                       ,                     ,              ,                 ,                ,                       ,               ,               ,                    ,               ,                     ,         ,                       ,Total count = 368; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1, 145.00,    104.2500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,13                   ,1                 ,1                     ,1         ,1                  ,16                ,25              ,50                    ,5                  ,17                ,1                     ,1                       ,6                 ,35                         ,6                      ,30                  ,1                   ,17              ,4                 ,                      ,                    ,                    ,              ,                     ,                        ,                      ,             ,                    ,                  ,                    ,                         ,                       ,                     ,              ,                 ,                ,                       ,               ,               ,                    ,               ,                     ,         ,                       ,Total count = 231; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
