Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella spp.	Pleurostomella spp.	Plectofrondicularia spp.	Orthomorphina spp.	Comment
  SR	                 	                 	                  	              	108	 658	A	 23	X	 1	  70.00	    196.6000	Weinholz 	Benthic Foraminifers                         	               	                  	                  	1                  	1                       	                  	Total account = 229; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 23	X	 3	  61.00	    199.5100	Weinholz 	Benthic Foraminifers                         	               	                  	2                 	2                  	7                       	                  	Total account = 179; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 23	X	 9	  70.00	    206.5600	Weinholz 	Benthic Foraminifers                         	               	                  	                  	4                  	8                       	                  	Total account = 175; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 24	X	 3	  70.00	    207.9200	Weinholz 	Benthic Foraminifers                         	               	                  	                  	3                  	4                       	4                 	Total account = 134; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 24	X	 5	  63.00	    210.8500	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	4                       	                  	Total account = 49; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 24	X	 7	  83.00	    214.0500	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	                        	1                 	Total account = 130; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 25	X	 1	  70.00	    215.6000	Weinholz 	Benthic Foraminifers                         	               	                  	4                 	                   	                        	                  	Total account = 162; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 25	X	 3	  70.00	    218.6000	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	2                  	                        	59                	Total account = 176; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 25	X	 6	  69.00	    223.0900	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	                   	2                       	1                 	Total account = 242; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 26	X	 1	  46.00	    224.8600	Weinholz 	Benthic Foraminifers                         	               	                  	                  	1                  	3                       	3                 	Total account = 222; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 26	X	 4	  54.00	    228.6400	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	                        	2                 	Total account = 180; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 26	X	 7	  69.00	    233.2900	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	7                       	3                 	Total account = 118; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 27	X	 1	  70.00	    234.6000	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	                   	2                       	1                 	Total account = 211; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 27	X	 4	  59.00	    238.7200	Weinholz 	Benthic Foraminifers                         	               	                  	                  	1                  	2                       	                  	Total account = 202; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

