Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sp. A,Triquetrorhabdulus farnsworthii,Syracosphaera spp.,Sphenolithus neoabies,Sphenolithus abies,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilica,Reticulofenestra producta,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra gelida,Reticulofenestra bisecta,Pontosphaera spp.,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Neosphaera coccolithomorpha,Helicosphaera carteri,Florisphaera profunda,Discoaster variabilis,Discoaster surculus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster intercalaris,Discoaster brouweri,Discoaster berggrenii,Coccolithus pelagicus,Calcidiscus leptoporus,Amaurolithus delicatus,Amaurolithus amplificus,Schyphosphaera sp.,Reticulofenestra perplexa,Chiasmolithus solitus,Coccolithus streckerii,Triquetrorhabdulus rugosus,Helicosphaera euphratis,Calciosolenia murrayi,Amaurolithus primus,Micula decussata,Sphenolithus grandis,Helicosphaera intermedia,Cyclicargolithus floridanus,Calcidiscus macintyrei,Braarudosphaera bigelowii,Reticulofenestra umbilica,Prediscosphaera cretacea,Discoaster barbadiensis,Discoaster prepentaradiatus,Chiasmolithus altus,Amaurolithus tricorniculatus,Zygrhablithus bijugatus,Tetralithoides quadrilaminata,Umbilicosphaera sibogae var. foliosa,Placozygus sigmoides,Lithostromation perdurum,Ceratolithus atlanticus,Ceratolithus separatus,Discoaster blackstockae,Ceratolithus acutus,Ceratolithus armatus,Gephyrocapsa spp. (small),Sphenolithus moriformis,Ceratolithus rugosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN10b             ,              ,164, 997,B,  9,X, 1,   0.00,    452.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,F                 ,F                    ,C                 ,R                      ,C                              ,R                        ,A                        ,A                      ,F                      ,                        ,F                ,                      ,R                    ,                      ,F                          ,C                    ,A                    ,F                    ,F                  ,                       ,C                       ,F                      ,F                  ,                     ,F                    ,C                     ,R                     ,                       ,                  ,A                        ,                     ,                      ,                          ,R                      ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,                         ,                         ,                        ,                       ,                           ,                   ,R                           ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,R                  ,R                   ,                         ,rR                     ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN10b             ,              ,164, 997,B, 11,X, 5, 114.00,    470.3400,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,                               ,R                 ,C                    ,A                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,R                ,R                     ,                     ,                      ,R                          ,F                    ,A                    ,C                    ,F                  ,                       ,F                       ,R                      ,R                  ,                     ,F                    ,F                     ,                      ,                       ,                  ,C                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,rR                         ,R                     ,                         ,                         ,                        ,                       ,                           ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,R                      ,                      ,                       ,R                  ,R                   ,R                        ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN10b             ,              ,164, 997,B, 12,X,CC,  18.00,    477.1900,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,F                 ,C                    ,C                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,R                ,R                     ,                     ,R                     ,F                          ,F                    ,A                    ,F                    ,C                  ,                       ,C                       ,F                      ,F                  ,                     ,C                    ,C                     ,R                     ,                       ,                  ,C                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,                         ,                         ,                        ,                       ,                           ,rR                 ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,R                  ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN10b             ,              ,164, 997,B, 13,X,CC,   0.00,    486.6400,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,F                 ,C                    ,C                 ,R                      ,C                              ,F                        ,A                        ,A                      ,C                      ,                        ,F                ,                      ,                     ,R                     ,F                          ,F                    ,A                    ,F                    ,C                  ,                       ,F                       ,R                      ,F                  ,                     ,C                    ,C                     ,                      ,                       ,                  ,A                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,R                        ,                         ,                        ,                       ,                           ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,R                  ,R                   ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN10b             ,              ,164, 997,B, 14,X, 3,  31.00,    494.1200,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,F                 ,C                    ,A                 ,R                      ,C                              ,A                        ,A                        ,A                      ,F                      ,                        ,R                ,R                     ,                     ,R                     ,R                          ,F                    ,A                    ,C                    ,C                  ,                       ,C                       ,F                      ,F                  ,                     ,C                    ,C                     ,                      ,                       ,                  ,C                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,rR                         ,                      ,                         ,                         ,                        ,                       ,R                          ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,R                      ,                      ,R                      ,R                  ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN10a             ,              ,164, 997,B, 14,X,CC,  23.00,    496.2400,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,R                 ,C                    ,A                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,R                ,                      ,                     ,R                     ,R                          ,C                    ,A                    ,C                    ,F                  ,                       ,C                       ,F                      ,F                  ,                     ,C                    ,C                     ,R                     ,                       ,R                 ,A                        ,                     ,                      ,                          ,                       ,R                    ,                   ,                ,                    ,                        ,                           ,                      ,R                        ,                         ,                        ,                       ,                           ,                   ,R                           ,                       ,                             ,                                    ,                    ,                        ,R                      ,R                     ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN10a             ,              ,164, 997,B, 16,X,CC,   0.00,    511.1700,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,R                 ,C                    ,A                 ,F                      ,F                              ,A                        ,A                        ,A                      ,F                      ,                        ,F                ,                      ,R                    ,R                     ,C                          ,C                    ,A                    ,C                    ,C                  ,                       ,F                       ,F                      ,F                  ,                     ,C                    ,C                     ,R                     ,                       ,R                 ,C                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,rR                         ,                      ,                         ,rR                       ,                        ,                       ,                           ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,R                      ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN10a             ,              ,164, 997,B, 17,X,CC,   0.00,    512.2100,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,                               ,R                 ,F                    ,C                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,R                ,R                     ,                     ,                      ,F                          ,F                    ,A                    ,C                    ,C                  ,                       ,C                       ,F                      ,C                  ,                     ,F                    ,F                     ,R                     ,                       ,                  ,C                        ,                     ,R                     ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,                      ,R                        ,                         ,                        ,                       ,R                          ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN10a             ,              ,164, 997,B, 18,X,CC,  17.00,    529.4600,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,R                 ,C                    ,C                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,F                ,R                     ,R                    ,R                     ,F                          ,C                    ,A                    ,F                    ,F                  ,                       ,F                       ,F                      ,C                  ,                     ,F                    ,F                     ,R                     ,                       ,R                 ,C                        ,                     ,                      ,                          ,R                      ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,                         ,                         ,                        ,                       ,                           ,                   ,                            ,                       ,                             ,                                    ,rR                  ,R                       ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN10a             ,              ,164, 997,B, 19,X,CC,  22.00,    536.6200,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,R                 ,C                    ,C                 ,R                      ,F                              ,C                        ,A                        ,A                      ,F                      ,                        ,R                ,                      ,R                    ,R                     ,F                          ,F                    ,A                    ,F                    ,F                  ,                       ,F                       ,F                      ,C                  ,                     ,C                    ,C                     ,R                     ,                       ,                  ,F                        ,rR                   ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,                         ,                         ,                        ,                       ,                           ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN10a             ,              ,164, 997,B, 20,X,CC,   0.00,    545.2000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,                               ,F                 ,C                    ,A                 ,R                      ,C                              ,A                        ,A                        ,A                      ,F                      ,                        ,R                ,                      ,                     ,                      ,R                          ,F                    ,A                    ,F                    ,C                  ,rR                     ,C                       ,F                      ,F                  ,                     ,F                    ,F                     ,R                     ,                       ,                  ,A                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,R                       ,                           ,                      ,                         ,                         ,                        ,                       ,                           ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN10a             ,              ,164, 997,B, 22,X, 1,  40.00,    550.2000,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,R                 ,C                    ,C                 ,                       ,F                              ,A                        ,A                        ,A                      ,F                      ,                        ,R                ,                      ,                     ,R                     ,F                          ,C                    ,A                    ,C                    ,R                  ,rR                     ,F                       ,F                      ,R                  ,C                    ,C                    ,F                     ,                      ,                       ,R                 ,A                        ,                     ,R                     ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,                      ,                         ,                         ,                        ,                       ,R                          ,                   ,                            ,                       ,                             ,R                                   ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN9b              ,              ,164, 997,B, 22,X, 2,  30.00,    551.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,A                    ,                               ,R                 ,F                    ,C                 ,R                      ,C                              ,C                        ,A                        ,A                      ,C                      ,                        ,R                ,R                     ,R                    ,R                     ,F                          ,C                    ,A                    ,C                    ,F                  ,C                      ,C                       ,F                      ,F                  ,F                    ,F                    ,C                     ,R                     ,                       ,                  ,A                        ,                     ,                      ,                          ,                       ,R                    ,                   ,                ,                    ,                        ,                           ,                      ,                         ,                         ,                        ,                       ,                           ,                   ,                            ,                       ,R                            ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN9b              ,              ,164, 997,B, 22,X,CC,   0.00,    558.3600,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,R                 ,C                    ,C                 ,                       ,C                              ,C                        ,A                        ,A                      ,C                      ,                        ,R                ,R                     ,                     ,                      ,F                          ,F                    ,A                    ,C                    ,C                  ,C                      ,C                       ,F                      ,F                  ,F                    ,C                    ,F                     ,                      ,                       ,                  ,C                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,                      ,                         ,                         ,                        ,                       ,                           ,                   ,R                           ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN9b              ,              ,164, 997,B, 23,X,CC,   0.00,    567.6800,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,R                 ,C                    ,C                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,R                ,R                     ,R                    ,R                     ,F                          ,C                    ,A                    ,F                    ,C                  ,F                      ,C                       ,F                      ,F                  ,R                    ,F                    ,F                     ,R                     ,                       ,                  ,C                        ,                     ,                      ,                          ,                       ,R                    ,                   ,                ,                    ,                        ,                           ,                      ,                         ,                         ,                        ,                       ,R                          ,                   ,R                           ,                       ,R                            ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN9b              ,              ,164, 997,B, 24,X,CC,   0.00,    575.2500,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                               ,R                 ,C                    ,C                 ,R                      ,A                              ,A                        ,A                        ,A                      ,C                      ,                        ,R                ,R                     ,R                    ,R                     ,F                          ,C                    ,A                    ,F                    ,C                  ,C                      ,C                       ,F                      ,R                  ,F                    ,F                    ,F                     ,                      ,                       ,R                 ,C                        ,                     ,                      ,R                         ,                       ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,                         ,rR                       ,                        ,                       ,R                          ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN9b              ,              ,164, 997,B, 26,X,CC,   0.00,    583.5400,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,R                              ,R                 ,C                    ,C                 ,                       ,C                              ,C                        ,A                        ,A                      ,C                      ,rR                      ,R                ,R                     ,                     ,                      ,F                          ,F                    ,A                    ,C                    ,C                  ,F                      ,C                       ,F                      ,R                  ,F                    ,C                    ,F                     ,R                     ,R                      ,R                 ,C                        ,rR                   ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,                         ,rR                       ,                        ,                       ,                           ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN9b              ,              ,164, 997,B, 27,X,CC,  19.00,    596.3800,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,R                              ,F                 ,C                    ,C                 ,                       ,F                              ,C                        ,A                        ,A                      ,F                      ,                        ,R                ,R                     ,                     ,R                     ,F                          ,F                    ,A                    ,C                    ,F                  ,C                      ,F                       ,F                      ,F                  ,C                    ,C                    ,C                     ,                      ,R                      ,                  ,C                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,rR                         ,R                     ,                         ,                         ,                        ,                       ,                           ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN9b              ,              ,164, 997,B, 28,X,CC,   0.00,    602.7700,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,R                              ,R                 ,C                    ,C                 ,R                      ,C                              ,A                        ,A                        ,A                      ,C                      ,                        ,R                ,R                     ,                     ,R                     ,F                          ,F                    ,A                    ,C                    ,C                  ,F                      ,F                       ,F                      ,F                  ,F                    ,F                    ,C                     ,R                     ,R                      ,R                 ,F                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,                      ,                         ,                         ,                        ,                       ,R                          ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN9b              ,              ,164, 997,B, 29,X,CC,   0.00,    614.5300,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,R                              ,R                 ,F                    ,C                 ,R                      ,C                              ,F                        ,A                        ,A                      ,C                      ,                        ,R                ,R                     ,R                    ,R                     ,F                          ,C                    ,A                    ,C                    ,F                  ,C                      ,F                       ,F                      ,F                  ,C                    ,C                    ,F                     ,                      ,R                      ,R                 ,C                        ,rR                   ,R                     ,                          ,                       ,                     ,                   ,                ,R                   ,                        ,                           ,                      ,                         ,                         ,                        ,                       ,R                          ,                   ,                            ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN9b              ,              ,164, 997,B, 30,X,CC,   0.00,    620.0000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,R                              ,F                 ,C                    ,A                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,F                ,R                     ,R                    ,R                     ,F                          ,F                    ,A                    ,C                    ,F                  ,A                      ,C                       ,R                      ,F                  ,F                    ,C                    ,C                     ,R                     ,                       ,R                 ,C                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,                      ,                         ,rR                       ,                        ,                       ,R                          ,                   ,                            ,rR                     ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,                   ,                    ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
