Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Neogloboquadrina pachyderma (sinistral),Globorotaloides hexagona,Globorotalia merotumida,Globorotalia limbata,Globoquadrina altispira,Globigerinoides trilobus,Globigerinoides obliquus obliquus,Globigerina nepenthes,Sphaeroidinellopsis kochi,Orbulina universa,Neogloboquadrina humerosa,Neogloboquadrina continuosa (dextral),Neogloboquadrina acostaensis (sinistral),Globorotalia scitula,Globoquadrina dehiscens,Globigerinita glutinata,Globoquadrina venezuelana,Sphaeroidinellopsis paenedehiscens,Neogloboquadrina acostaensis (dextral),Globigerinoides sacculifer,Neogloboquadrina pachyderma (dextral),Pulleniatina primalis,Globorotalia menardii,Globorotalia cibaoensis,Globorotalia miocenica,Globorotalia exilis,Globigerinoides obliquus extremus,Globorotalia margaritae,Globigerina decoraperta,Beella digitata,Globorotalia crassula,Pulleniatina praecursor,Neogloboquadrina continuosa (sinistral),Globorotalia tumida tumida,Globigerinella aequilateralis,Globigerina bulloides,Globorotalia puncticulata,Globigerina falconensis,Globorotalia crassaformis crassaformis,Globigerinoides conglobatus,Globorotalia tumida flexuosa,Globigerinoides ruber (white),Sphaeroidinella dehiscens,Globorotalia multicamerata,Neogloboquadrina pseudopima,Globigerinoides fistulosus,Globigerinoides sp. cf. G. fistulosus,Globigerinoides tenellus,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia triangula,Globorotalia inflata,Globigerinella calida,Globorotalia ungulata,Globigerinoides ruber (pink),Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 664,D,  5,H,CC,  12.00,     40.4400,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,R                       ,                       ,                    ,                       ,C                       ,                                 ,                     ,                         ,R                ,                         ,                                     ,                                        ,                    ,                       ,F                      ,                         ,                                  ,                                      ,R                         ,C                                    ,                     ,R                    ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,R                            ,                     ,                         ,                       ,                                      ,                           ,                            ,F                            ,R                        ,                          ,                           ,                          ,                                     ,                        ,R                              ,F                           ,F                         ,R                            ,                      ,R                   ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 664,D,  6,H,CC,  10.00,     49.8900,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,                        ,                       ,                    ,                       ,F                       ,                                 ,                     ,                         ,R                ,                         ,                                     ,                                        ,R                   ,                       ,R                      ,                         ,                                  ,                                      ,R                         ,                                     ,                     ,R                    ,                       ,                      ,                   ,R                                ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,R                            ,R                    ,                         ,R                      ,                                      ,                           ,                            ,A                            ,R                        ,                          ,                           ,                          ,                                     ,                        ,                               ,F                           ,F                         ,R                            ,                      ,R                   ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 664,D,  7,H,CC,   9.00,     59.2900,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,                        ,                       ,                    ,                       ,F                       ,R                                ,                     ,                         ,R                ,                         ,                                     ,                                        ,R                   ,                       ,R                      ,                         ,                                  ,                                      ,R                         ,R                                    ,                     ,F                    ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,C                            ,                         ,                          ,                           ,                          ,                                     ,                        ,R                              ,C                           ,C                         ,R                            ,                      ,R                   ,R                    ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 664,D,  8,H,CC,  16.00,     68.9400,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,                        ,                       ,                    ,                       ,F                       ,                                 ,                     ,                         ,R                ,                         ,                                     ,                                        ,R                   ,                       ,R                      ,                         ,                                  ,                                      ,                          ,                                     ,                     ,                     ,                       ,                      ,                   ,R                                ,                       ,                       ,               ,F                    ,                       ,                                       ,                          ,                             ,R                    ,                         ,                       ,                                      ,R                          ,                            ,C                            ,R                        ,                          ,F                          ,                          ,P                                    ,                        ,                               ,C                           ,C                         ,R                            ,R                     ,F                   ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 664,D,  9,H,CC,  11.00,     78.3700,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,                        ,                       ,                    ,                       ,F                       ,R                                ,                     ,                         ,R                ,F                        ,                                     ,                                        ,                    ,                       ,R                      ,                         ,                                  ,                                      ,R                         ,                                     ,                     ,C                    ,                       ,                      ,                   ,                                 ,                       ,F                      ,               ,R                    ,                       ,                                       ,                          ,R                            ,R                    ,                         ,                       ,                                      ,                           ,                            ,C                            ,R                        ,                          ,F                          ,                          ,                                     ,                        ,                               ,F                           ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 664,D, 10,H,CC,   5.00,     87.9200,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                                       ,                        ,                       ,                    ,                       ,C                       ,R                                ,                     ,                         ,R                ,C                        ,                                     ,                                        ,                    ,                       ,R                      ,                         ,                                  ,                                      ,R                         ,R                                    ,                     ,C                    ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,R                    ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,F                            ,R                        ,                          ,                           ,                          ,                                     ,                        ,R                              ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 664,D, 11,H,CC,  16.00,     97.5800,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,R                       ,                       ,                    ,                       ,C                       ,R                                ,                     ,                         ,                 ,C                        ,                                     ,                                        ,                    ,                       ,R                      ,                         ,                                  ,                                      ,F                         ,                                     ,                     ,                     ,                       ,                      ,R                  ,                                 ,                       ,R                      ,               ,R                    ,R                      ,                                       ,                          ,                             ,                     ,                         ,                       ,R                                     ,R                          ,                            ,C                            ,R                        ,                          ,R                          ,                          ,P                                    ,R                       ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 664,D, 12,H,CC,  17.00,    107.0700,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,                        ,                       ,                    ,                       ,F                       ,R                                ,                     ,                         ,R                ,C                        ,                                     ,                                        ,R                   ,                       ,R                      ,                         ,                                  ,                                      ,R                         ,                                     ,                     ,                     ,                       ,R                     ,R                  ,                                 ,                       ,R                      ,               ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,R                                     ,                           ,                            ,F                            ,R                        ,                          ,C                          ,                          ,P                                    ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL1               ,              ,108, 664,D, 13,H,CC,  16.00,    116.3600,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,                                       ,                        ,                       ,                    ,C                      ,R                       ,R                                ,R                    ,R                        ,R                ,                         ,C                                    ,                                        ,R                   ,                       ,                       ,                         ,                                  ,                                      ,                          ,C                                    ,                     ,R                    ,                       ,                      ,                   ,F                                ,R                      ,R                      ,               ,F                    ,                       ,                                       ,                          ,R                            ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 664,D, 14,H,CC,   7.00,    125.6800,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,                        ,                       ,                    ,                       ,R                       ,R                                ,                     ,                         ,R                ,C                        ,                                     ,                                        ,R                   ,                       ,R                      ,                         ,                                  ,                                      ,R                         ,C                                    ,                     ,                     ,                       ,R                     ,R                  ,R                                ,                       ,F                      ,               ,F                    ,                       ,                                       ,                          ,                             ,                     ,R                        ,                       ,R                                     ,R                          ,                            ,C                            ,                         ,                          ,R                          ,R                         ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL3               ,              ,108, 664,D, 15,H,CC,  23.00,    135.6200,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,                                       ,R                       ,                       ,F                   ,C                      ,R                       ,                                 ,                     ,                         ,R                ,F                        ,                                     ,                                        ,R                   ,                       ,F                      ,                         ,                                  ,                                      ,F                         ,F                                    ,                     ,                     ,                       ,R                     ,                   ,F                                ,                       ,F                      ,               ,R                    ,                       ,                                       ,R                         ,R                            ,R                    ,R                        ,                       ,                                      ,R                          ,                            ,F                            ,R                        ,R                         ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL3               ,              ,108, 664,D, 16,H,CC,  15.00,    145.2600,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,R                             ,                                       ,R                       ,                       ,F                   ,F                      ,C                       ,                                 ,                     ,                         ,R                ,C                        ,                                     ,                                        ,R                   ,                       ,F                      ,                         ,                                  ,                                      ,F                         ,R                                    ,                     ,                     ,                       ,R                     ,                   ,R                                ,                       ,R                      ,               ,                     ,                       ,                                       ,                          ,                             ,F                    ,                         ,F                      ,                                      ,R                          ,                            ,R                            ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL3               ,              ,108, 664,D, 17,H,CC,  21.00,    154.5300,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,                                       ,R                       ,                       ,R                   ,C                      ,F                       ,                                 ,                     ,                         ,R                ,C                        ,                                     ,                                        ,                    ,                       ,F                      ,                         ,                                  ,                                      ,R                         ,                                     ,                     ,                     ,                       ,                      ,                   ,F                                ,                       ,                       ,               ,                     ,                       ,                                       ,F                         ,R                            ,R                    ,R                        ,R                      ,F                                     ,R                          ,R                           ,R                            ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL3               ,              ,108, 664,D, 18,H,CC,  13.00,    163.8300,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                                      ,R                       ,                       ,R                   ,F                      ,F                       ,F                                ,                     ,                         ,                 ,C                        ,R                                    ,                                        ,R                   ,                       ,F                      ,R                        ,                                  ,                                      ,F                         ,R                                    ,                     ,                     ,                       ,                      ,                   ,F                                ,                       ,R                      ,               ,                     ,F                      ,                                       ,F                         ,R                            ,R                    ,                         ,R                      ,F                                     ,R                          ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL3               ,              ,108, 664,D, 19,H,CC,  15.00,    173.3600,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                                      ,R                       ,                       ,                    ,C                      ,R                       ,F                                ,                     ,                         ,R                ,F                        ,                                     ,                                        ,R                   ,                       ,F                      ,                         ,                                  ,                                      ,F                         ,R                                    ,                     ,                     ,                       ,R                     ,                   ,F                                ,                       ,R                      ,               ,                     ,                       ,                                       ,F                         ,                             ,R                    ,                         ,                       ,R                                     ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL2               ,              ,108, 664,D, 20,H,CC,  17.00,    182.7500,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,                                       ,R                       ,                       ,F                   ,C                      ,F                       ,F                                ,                     ,                         ,R                ,R                        ,F                                    ,                                        ,                    ,                       ,F                      ,                         ,R                                 ,                                      ,R                         ,R                                    ,                     ,                     ,                       ,R                     ,                   ,F                                ,F                      ,F                      ,               ,                     ,R                      ,                                       ,R                         ,R                            ,R                    ,                         ,                       ,R                                     ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL1               ,              ,108, 664,D, 21,H,CC,  16.00,    192.2600,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,                                       ,R                       ,                       ,F                   ,R                      ,F                       ,F                                ,R                    ,                         ,R                ,R                        ,                                     ,                                        ,                    ,                       ,R                      ,                         ,R                                 ,                                      ,                          ,F                                    ,R                    ,                     ,                       ,                      ,                   ,F                                ,F                      ,C                      ,R              ,                     ,F                      ,                                       ,                          ,                             ,R                    ,R                        ,R                      ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL1               ,              ,108, 664,D, 22,H,CC,  19.00,    201.9200,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,R                             ,F                                      ,                        ,                       ,R                   ,F                      ,R                       ,                                 ,R                    ,                         ,R                ,F                        ,C                                    ,                                        ,                    ,                       ,F                      ,                         ,R                                 ,                                      ,R                         ,                                     ,                     ,                     ,                       ,R                     ,                   ,R                                ,R                      ,R                      ,               ,                     ,                       ,C                                      ,                          ,R                            ,R                    ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL1               ,              ,108, 664,D, 23,H,CC,  21.00,    211.5300,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,                                       ,R                       ,                       ,R                   ,C                      ,R                       ,F                                ,R                    ,                         ,R                ,R                        ,F                                    ,                                        ,                    ,                       ,F                      ,                         ,                                  ,                                      ,R                         ,C                                    ,                     ,R                    ,                       ,R                     ,                   ,F                                ,R                      ,F                      ,               ,R                    ,R                      ,F                                      ,R                         ,R                            ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL1               ,              ,108, 664,D, 24,H,CC,  15.00,    220.9700,Weaver   ,Planktonic Foraminifers                      ,A              ,P                 ,F                             ,C                                      ,                        ,                       ,F                   ,R                      ,                        ,F                                ,F                    ,                         ,R                ,F                        ,                                     ,                                        ,                    ,                       ,                       ,R                        ,                                  ,                                      ,                          ,R                                    ,                     ,                     ,                       ,                      ,                   ,F                                ,                       ,R                      ,               ,R                    ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL1               ,              ,108, 664,D, 25,H,CC,  18.00,    230.5600,Weaver   ,Planktonic Foraminifers                      ,A              ,P                 ,C                             ,                                       ,R                       ,R                      ,                    ,F                      ,F                       ,F                                ,R                    ,                         ,R                ,                         ,R                                    ,                                        ,                    ,                       ,R                      ,                         ,                                  ,                                      ,F                         ,C                                    ,                     ,                     ,R                      ,                      ,                   ,R                                ,R                      ,R                      ,R              ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M13               ,              ,108, 664,D, 26,H,CC,  16.00,    239.9400,Weaver   ,Planktonic Foraminifers                      ,C              ,P                 ,C                             ,                                       ,                        ,R                      ,                    ,C                      ,F                       ,F                                ,F                    ,                         ,R                ,                         ,                                     ,                                        ,R                   ,F                      ,R                      ,                         ,                                  ,                                      ,                          ,R                                    ,                     ,                     ,                       ,R                     ,R                  ,R                                ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M13               ,              ,108, 664,D, 27,H,CC,  13.00,    249.4600,Weaver   ,Planktonic Foraminifers                      ,C              ,P                 ,A                             ,F                                      ,                        ,                       ,R                   ,R                      ,R                       ,R                                ,F                    ,                         ,R                ,                         ,                                     ,                                        ,R                   ,R                      ,                       ,                         ,                                  ,                                      ,                          ,F                                    ,R                    ,R                    ,R                      ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
