Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Pullenia sp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Melonis pompilioides,Laticarinina pauperata,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Discorbinella bertheloti,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Bolivina pacifica,Alabaminella weddellensis,Tosaia hanzawai,Siphotextularia catenata,Schackoinella sp.,Oridorsalis tenera,Miliolid taxa,Gyroidina orbicularis,Cibicides  bradyi,Bulimina sp. A,Pyrgo murrhina,Pullenia zaandamae,Gyroidinoides neosoldanii,Uvigerina hispida,Melonis barleeanus,Gyroidina regularis,Miliolid taxa (thin-walled),Cassidulina spp.,Bolivina spp.,Astrononion echolsi,Nonionella sp.,Abditodentrix pseudothalmanni,Sphaeroidina bulloides,Gyroidina spp.,Pyrgo sp.,Cibicidoides kullenbergi,Anomalinoides globulosus,Stainforthia fusiformis,Pullenia bulloides,Orthomorphina sp.,Pseudoparrella sp.,Cibicides lobatulus,Uvigerina spp.,Nodogenerina sp.,Uvigerina peregrina,Oridorsalis sp.,Cibicidoides robertsonianus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  2,H, 3,  60.00,      8.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,7           ,53                  ,3                 ,                  ,23                   ,14                    ,1                   ,                      ,15               ,2                         ,12                ,                           ,                   ,22                  ,                        ,2                         ,11                   ,                 ,49                       ,6              ,                        ,                 ,                  ,             ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,1        ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 1; Total count = 234; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  2,H, 4,  60.00,      9.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,10                ,1           ,3                   ,11                ,                  ,3                    ,28                    ,                    ,                      ,9                ,                          ,3                 ,5                          ,                   ,94                  ,                        ,1                         ,                     ,                 ,16                       ,               ,2                       ,2                ,1                 ,4            ,                     ,                 ,              ,2             ,                  ,                         ,                 ,                  ,                   ,1                          ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 202; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  2,H, 5,  60.00,     11.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,20                ,5           ,7                   ,5                 ,                  ,14                   ,10                    ,1                   ,                      ,9                ,5                         ,6                 ,7                          ,                   ,34                  ,                        ,2                         ,4                    ,                 ,36                       ,1              ,5                       ,                 ,6                 ,4            ,                     ,                 ,              ,              ,3                 ,                         ,                 ,1                 ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 188; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  2,H, 6,  60.00,     12.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,16                ,            ,11                  ,4                 ,                  ,9                    ,62                    ,                    ,                      ,                 ,                          ,3                 ,3                          ,                   ,12                  ,                        ,2                         ,8                    ,                 ,15                       ,3              ,9                       ,1                ,3                 ,2            ,                     ,                 ,              ,              ,1                 ,                         ,                 ,1                 ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,1        ,                        ,                        ,1                      ,                  ,                 ,1                 ,                   ,              ,                ,1                  ,               ,                           ,Other taxa = 14; Total count = 183; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  3,H, 1,  54.00,     14.5400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,6                 ,1           ,4                   ,3                 ,                  ,40                   ,93                    ,                    ,                      ,8                ,2                         ,1                 ,21                         ,                   ,126                 ,                        ,5                         ,7                    ,                 ,13                       ,2              ,                        ,2                ,4                 ,4            ,                     ,                 ,              ,              ,                  ,                         ,2                ,                  ,                   ,1                          ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,1                 ,                   ,              ,                ,                   ,               ,1                          ,Other taxa = 7; Total count = 354; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  3,H, 2,  60.00,     16.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,5                 ,1           ,4                   ,10                ,                  ,11                   ,54                    ,                    ,                      ,6                ,                          ,                  ,                           ,                   ,24                  ,                        ,6                         ,4                    ,                 ,51                       ,               ,                        ,                 ,4                 ,2            ,                     ,                 ,              ,1             ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,1                     ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 13; Total count =197; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  3,H, 3,  60.00,     17.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,4                 ,            ,3                   ,1                 ,                  ,4                    ,8                     ,                    ,                      ,1                ,                          ,                  ,                           ,                   ,                    ,                        ,                          ,6                    ,                 ,18                       ,1              ,1                       ,                 ,                  ,2            ,                     ,                 ,              ,1             ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 53; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  3,H, 4,  60.00,     19.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,            ,12                  ,7                 ,                  ,14                   ,47                    ,                    ,                      ,7                ,2                         ,                  ,5                          ,                   ,44                  ,                        ,6                         ,7                    ,                 ,12                       ,1              ,3                       ,                 ,5                 ,4            ,                     ,1                ,              ,              ,1                 ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,2                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 205; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  3,H, 4,  93.00,     19.4300,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,9                 ,2           ,14                  ,13                ,                  ,6                    ,27                    ,2                   ,                      ,1                ,11                        ,6                 ,29                         ,2                  ,17                  ,                        ,11                        ,12                   ,                 ,30                       ,1              ,4                       ,                 ,2                 ,             ,                     ,                 ,              ,              ,1                 ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,1                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 18; Total count = 219; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  3,H, 5,  60.00,     20.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,2           ,11                  ,3                 ,                  ,28                   ,63                    ,5                   ,                      ,6                ,                          ,                  ,3                          ,                   ,24                  ,                        ,6                         ,11                   ,                 ,10                       ,4              ,3                       ,                 ,10                ,             ,                     ,1                ,              ,              ,1                 ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,2                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 10; Total count = 211; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  3,H, 6,  60.00,     22.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,14                ,2           ,23                  ,12                ,                  ,16                   ,13                    ,3                   ,                      ,10               ,4                         ,1                 ,3                          ,                   ,63                  ,                        ,6                         ,5                    ,                 ,51                       ,4              ,6                       ,                 ,5                 ,             ,4                    ,                 ,              ,              ,                  ,                         ,                 ,6                 ,                   ,1                          ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 10; Total count = 265; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  3,H, 6, 111.00,     22.6100,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1                 ,            ,6                   ,14                ,                  ,10                   ,34                    ,4                   ,                      ,7                ,9                         ,                  ,                           ,                   ,69                  ,                        ,9                         ,4                    ,                 ,16                       ,4              ,3                       ,                 ,                  ,             ,1                    ,                 ,              ,              ,2                 ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 8; Total count = 201; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 1,  60.00,     24.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,14                ,1           ,10                  ,5                 ,                  ,9                    ,44                    ,1                   ,                      ,8                ,                          ,                  ,10                         ,8                  ,36                  ,                        ,2                         ,14                   ,                 ,11                       ,3              ,2                       ,                 ,5                 ,             ,8                    ,                 ,              ,              ,1                 ,                         ,                 ,                  ,                   ,                           ,                ,1            ,                   ,              ,1                            ,                      ,              ,         ,1                       ,                        ,3                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 15; Total count = 220; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 2,  60.00,     25.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,3           ,17                  ,9                 ,                  ,21                   ,85                    ,3                   ,                      ,3                ,1                         ,                  ,7                          ,2                  ,19                  ,                        ,2                         ,10                   ,                 ,21                       ,4              ,4                       ,3                ,12                ,1            ,3                    ,                 ,              ,              ,1                 ,                         ,                 ,1                 ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,10             ,                           ,Other taxa = 4; Total count = 260; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 2,  75.00,     25.7500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,1           ,8                   ,7                 ,                  ,2                    ,140                   ,1                   ,                      ,1                ,4                         ,1                 ,7                          ,                   ,42                  ,                        ,4                         ,2                    ,                 ,8                        ,1              ,2                       ,4                ,1                 ,1            ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,1                  ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 253; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 3,  60.00,     27.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,9                 ,            ,11                  ,3                 ,                  ,11                   ,41                    ,1                   ,                      ,6                ,                          ,                  ,2                          ,2                  ,26                  ,                        ,1                         ,4                    ,                 ,17                       ,3              ,10                      ,                 ,2                 ,3            ,12                   ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,4             ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 176; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 4,  12.00,     28.1200,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,1           ,11                  ,16                ,                  ,13                   ,11                    ,                    ,                      ,10               ,7                         ,                  ,13                         ,                   ,15                  ,                        ,3                         ,12                   ,                 ,65                       ,10             ,4                       ,1                ,2                 ,5            ,                     ,                 ,              ,1             ,1                 ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,1             ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 13; Total count = 232; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 4,  60.00,     28.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,3                 ,1           ,                    ,12                ,                  ,3                    ,184                   ,2                   ,                      ,10               ,1                         ,                  ,7                          ,                   ,44                  ,                        ,2                         ,14                   ,                 ,22                       ,4              ,4                       ,                 ,1                 ,1            ,2                    ,                 ,              ,              ,                  ,1                        ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,3                  ,               ,                           ,Other taxa = 4; Total count = 325; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 5,  14.00,     29.6400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,16                ,            ,11                  ,12                ,                  ,11                   ,76                    ,                    ,                      ,1                ,                          ,1                 ,3                          ,                   ,42                  ,                        ,2                         ,2                    ,                 ,27                       ,               ,5                       ,5                ,3                 ,3            ,1                    ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,1             ,                             ,1                     ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 8; Total count = 232; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 5,  60.00,     30.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,2                 ,            ,12                  ,6                 ,                  ,                     ,109                   ,4                   ,                      ,39               ,                          ,                  ,                           ,                   ,16                  ,                        ,                          ,5                    ,                 ,26                       ,1              ,2                       ,                 ,                  ,             ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 229; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 5, 142.00,     30.9200,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,                  ,1           ,                    ,                  ,                  ,                     ,171                   ,                    ,                      ,                 ,                          ,                  ,2                          ,                   ,21                  ,                        ,9                         ,                     ,                 ,                         ,               ,                        ,                 ,                  ,             ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 0; Total count = 204; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  4,H, 6,  60.00,     31.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,1           ,20                  ,8                 ,                  ,19                   ,60                    ,1                   ,                      ,7                ,2                         ,                  ,21                         ,4                  ,4                   ,                        ,3                         ,11                   ,                 ,46                       ,3              ,4                       ,1                ,1                 ,2            ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,1        ,                        ,                        ,1                      ,1                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 11; Total count = 245; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  5,H, 1,  60.00,     33.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,7                 ,            ,6                   ,7                 ,                  ,12                   ,61                    ,1                   ,                      ,1                ,12                        ,4                 ,12                         ,3                  ,22                  ,                        ,4                         ,10                   ,                 ,44                       ,1              ,4                       ,2                ,2                 ,3            ,1                    ,1                ,              ,              ,1                 ,                         ,                 ,                  ,1                  ,                           ,1               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 229; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  5,H, 1, 130.00,     34.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,14                ,4           ,14                  ,11                ,                  ,13                   ,34                    ,3                   ,                      ,16               ,6                         ,                  ,33                         ,                   ,25                  ,                        ,8                         ,9                    ,                 ,47                       ,6              ,6                       ,                 ,                  ,3            ,                     ,                 ,              ,1             ,                  ,1                        ,                 ,                  ,                   ,                           ,                ,             ,1                  ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,7                 ,                 ,                  ,                   ,              ,                ,                   ,10             ,                           ,Other taxa = 9; Total count = 281; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  5,H, 2,  60.00,     35.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,17                ,            ,11                  ,9                 ,                  ,31                   ,26                    ,1                   ,                      ,4                ,10                        ,3                 ,22                         ,2                  ,27                  ,                        ,5                         ,22                   ,                 ,52                       ,4              ,6                       ,                 ,1                 ,7            ,                     ,                 ,              ,1             ,3                 ,3                        ,                 ,                  ,                   ,                           ,5               ,             ,                   ,              ,                             ,2                     ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 12; Total count = 286; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  5,H, 2, 134.00,     35.8400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,20                ,2           ,12                  ,9                 ,                  ,32                   ,9                     ,4                   ,                      ,14               ,11                        ,3                 ,31                         ,7                  ,17                  ,                        ,                          ,8                    ,                 ,54                       ,4              ,4                       ,                 ,                  ,3            ,1                    ,                 ,1             ,              ,                  ,                         ,                 ,1                 ,                   ,                           ,5               ,             ,                   ,              ,                             ,3                     ,              ,2        ,                        ,                        ,                       ,4                 ,                 ,                  ,                   ,              ,                ,1                  ,4              ,                           ,Other taxa = 6; Total count = 272; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
