Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stylosphaera minor,Stichocorys peregrina,Prunopyle hayesi,Ommatartus sp D,Eucyrtidium cienkowskii,Cyrtocapsella tetrapera,Cyrtocapsella japonica,Cannartus sp. C,Stichocorys delmontensis,Lychnocanoma nipponica nipponica,Stylacontarium acquilonium,Spongoplegma haeckeli,Spongoplegma antarcticum,Sphaeropyle robusta,Prunopyle titan,Eucyrtidium biconicum,Druppatractus irregularis,Carpocanistrum ob,Botryostrobus auritus/australis,Phormostichoartus fistula,Lithelius nautiloides,Eucyrtidium teuscheri group,Dictyophimus splendens,Axoprunum angelinum,Acrosphaera murrayana,Antarctissa denticulata,Theocorythium vetulum,Spongoplegma churchii,Sphaeropyle langii,Lamprocyrtis heteroporos,Desmospyris spongiosa,Botryostrobus bramlettei pretumidulus,Antarctissa deflandrei,Thecosphaera japonica,Spongotrochus glacialis,Cycladophora humerus,Botryostrobus bramlettei tumidulus,Theocorythium trachelium trachelium,Theocorys longithorax,Lipmanella japonica,Eucyrtidium punctatum,Sphaeropyle antarctica,Pterocanium prismatium,Lychnocanoma grande,Lipmanella deflandrei,Cycladophora spongothorax,Spongoplegma variabile,Lamprocyrtis nigriniae,Cycladophora pliocenica,Cycladophora davisiana,Stylatractus neptunus,Lychnocanoma aff. grande,Lamprocyrtis hannai,Haliommetta miocenica,Botryostrobus bramlettei seriatus,Triceraspyris antarctica,Saccospyris antarctica,Eucyrtidium calvertense,Botryostrobus aquilonaris,Antarctissa sp. G,Pseudocubus warreni,Antarctissa strelkovi,Stylatractus universus,Sphaeropyle boreale,Cycladophora antiqua,Actinomma popofskii,Lampromitra coronata,Saturnalis circularis,Spongoplegma medianum,Pterocanium charybdeum trilobum,Pseudocubus vema,Anthocyrtidium ehrenbergi,Anthocyrtidium angulare,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,Upsilon           ,Upsilon       ,,189,1169,A,  5,H,CC,  11.00,     46.7900,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,                       ,                       ,                      ,               ,                        ,                                ,R                         ,                     ,F                       ,R                  ,               ,C                    ,                         ,T                ,R                              ,                         ,R                    ,R                          ,                      ,R                  ,                     ,R                      ,T                    ,                     ,                  ,R                       ,                     ,                                     ,R                     ,                     ,                       ,T                   ,                                  ,R                                  ,                     ,                   ,                     ,                      ,                      ,                   ,                     ,R                        ,                      ,                      ,C                      ,T                     ,T                    ,                        ,T                  ,                     ,                                 ,R                       ,                      ,F                      ,                         ,R                ,                   ,                     ,                      ,                   ,                    ,R                  ,                    ,                     ,R                    ,                               ,T               ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,Upsilon           ,Upsilon       ,,189,1169,A,  6,H,CC,  14.00,     56.1100,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,+                      ,                       ,                      ,               ,                        ,                                ,                          ,                     ,                        ,R                  ,               ,+                    ,                         ,                 ,T                              ,                         ,R                    ,R                          ,                      ,                   ,                     ,R                      ,F                    ,                     ,                  ,R                       ,                     ,T                                    ,F                     ,                     ,                       ,                    ,                                  ,                                   ,                     ,                   ,T                    ,                      ,                      ,                   ,                     ,F                        ,                      ,                      ,F                      ,T                     ,T                    ,                        ,                   ,                     ,T                                ,F                       ,T                     ,                       ,                         ,F                ,                   ,                     ,R                     ,                   ,                    ,R                  ,                    ,T                    ,                     ,T                              ,                ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Pliocene    ,Upsilon           ,Upsilon       ,,189,1169,A,  7,H,CC,  14.00,     66.0000,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,T               ,               ,F                      ,                       ,                      ,               ,                        ,                                ,R                         ,T                    ,F                       ,R                  ,               ,C                    ,                         ,T                ,F                              ,                         ,R                    ,R                          ,                      ,R                  ,                     ,R                      ,F                    ,                     ,T                 ,F                       ,                     ,                                     ,T                     ,                     ,                       ,R                   ,T                                 ,                                   ,                     ,                   ,T                    ,                      ,                      ,                   ,T                    ,T                        ,                      ,                      ,R                      ,T                     ,R                    ,                        ,R                  ,F                    ,T                                ,F                       ,                      ,                       ,                         ,R                ,                   ,                     ,T                     ,                   ,                    ,T                  ,T                   ,                     ,T                    ,R                              ,T               ,T                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,Tau               ,Tau           ,,189,1169,A,  8,H,CC,   0.00,     75.3200,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,F                      ,                       ,                      ,               ,                        ,                                ,                          ,                     ,R                       ,R                  ,               ,C                    ,                         ,                 ,                               ,                         ,R                    ,R                          ,                      ,T                  ,                     ,                       ,R                    ,                     ,                  ,F                       ,                     ,                                     ,R                     ,                     ,T                      ,T                   ,                                  ,                                   ,                     ,                   ,                     ,                      ,                      ,                   ,                     ,F                        ,T                     ,                      ,F                      ,T                     ,                     ,                        ,                   ,                     ,                                 ,                        ,                      ,                       ,                         ,                 ,R                  ,                     ,                      ,                   ,                    ,                   ,T                   ,                     ,                     ,                               ,                ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,Tau               ,Tau           ,,189,1169,A,  9,H,CC,   9.00,     84.4100,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,F                      ,                       ,                      ,               ,                        ,                                ,F                         ,T                    ,R                       ,                   ,               ,C                    ,                         ,T                ,F                              ,                         ,                     ,R                          ,                      ,                   ,                     ,                       ,                     ,                     ,T                 ,F                       ,R                    ,                                     ,                      ,                     ,                       ,R                   ,                                  ,                                   ,                     ,                   ,                     ,                      ,T                     ,                   ,T                    ,F                        ,                      ,                      ,                       ,                      ,                     ,T                       ,                   ,                     ,                                 ,R                       ,                      ,                       ,                         ,                 ,T                  ,                     ,T                     ,                   ,T                   ,                   ,                    ,T                    ,                     ,                               ,                ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,Tau               ,Tau           ,,189,1169,A, 10,H,CC,  22.00,     94.5000,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,F                      ,                       ,                      ,               ,                        ,                                ,                          ,T                    ,                        ,R                  ,               ,C                    ,                         ,                 ,F                              ,                         ,                     ,R                          ,                      ,                   ,                     ,R                      ,R                    ,                     ,                  ,F                       ,                     ,                                     ,R                     ,                     ,T                      ,R                   ,T                                 ,                                   ,                     ,                   ,                     ,T                     ,T                     ,                   ,                     ,F                        ,                      ,                      ,F                      ,T                     ,R                    ,T                       ,                   ,                     ,                                 ,R                       ,                      ,F                      ,                         ,F                ,T                  ,R                    ,                      ,                   ,                    ,                   ,T                   ,                     ,                     ,                               ,                ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,Tau               ,Tau           ,,189,1169,A, 11,H,CC,  21.00,    104.1000,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,R                      ,                       ,                      ,               ,                        ,                                ,                          ,T                    ,T                       ,R                  ,               ,C                    ,                         ,                 ,R                              ,                         ,                     ,T                          ,                      ,                   ,                     ,                       ,R                    ,T                    ,                  ,                        ,                     ,T                                    ,R                     ,                     ,T                      ,R                   ,                                  ,                                   ,                     ,                   ,                     ,T                     ,T                     ,                   ,                     ,R                        ,                      ,                      ,C                      ,T                     ,                     ,                        ,                   ,                     ,                                 ,R                       ,                      ,F                      ,                         ,R                ,                   ,                     ,T                     ,R                  ,T                   ,R                  ,                    ,                     ,                     ,                               ,                ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 12,H,CC,  23.00,    113.5000,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,R                      ,                       ,                      ,               ,                        ,                                ,R                         ,T                    ,R                       ,                   ,               ,C                    ,T                        ,                 ,T                              ,                         ,R                    ,T                          ,                      ,T                  ,                     ,                       ,F                    ,                     ,                  ,F                       ,F                    ,                                     ,                      ,                     ,                       ,T                   ,                                  ,R                                  ,                     ,                   ,                     ,                      ,                      ,                   ,                     ,F                        ,                      ,                      ,R                      ,                      ,                     ,                        ,                   ,R                    ,                                 ,                        ,R                     ,                       ,                         ,                 ,R                  ,T                    ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,Antarctissa very rare
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 13,H,CC,  20.00,    122.3000,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,F                      ,                       ,                      ,               ,                        ,                                ,C                         ,                     ,                        ,F                  ,               ,C                    ,F                        ,                 ,                               ,                         ,F                    ,F                          ,                      ,T                  ,                     ,                       ,                     ,                     ,T                 ,F                       ,F                    ,                                     ,                      ,                     ,                       ,T                   ,                                  ,                                   ,                     ,                   ,T                    ,T                     ,                      ,                   ,                     ,                         ,                      ,                      ,                       ,                      ,R                    ,                        ,F                  ,F                    ,                                 ,                        ,                      ,                       ,T                        ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,The fauna =1168A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 14,H,CC,  73.00,    132.1600,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,T                 ,T                    ,T               ,               ,C                      ,                       ,                      ,               ,                        ,                                ,R                         ,                     ,                        ,R                  ,T              ,                     ,F                        ,R                ,R                              ,                         ,R                    ,T                          ,                      ,T                  ,                     ,T                      ,T                    ,T                    ,                  ,                        ,T                    ,                                     ,                      ,R                    ,                       ,                    ,T                                 ,                                   ,                     ,                   ,                     ,                      ,                      ,                   ,T                    ,T                        ,T                     ,                      ,                       ,                      ,                     ,                        ,                   ,C                    ,                                 ,T                       ,T                     ,F                      ,T                        ,T                ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 15,H,CC,  20.00,    142.0900,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,C                      ,T                      ,                      ,               ,                        ,                                ,R                         ,                     ,C                       ,                   ,               ,C                    ,                         ,                 ,F                              ,                         ,R                    ,T                          ,                      ,F                  ,                     ,                       ,F                    ,C                    ,F                 ,F                       ,                     ,R                                    ,                      ,T                    ,                       ,                    ,                                  ,                                   ,                     ,                   ,                     ,                      ,F                     ,                   ,                     ,R                        ,                      ,                      ,C                      ,                      ,R                    ,R                       ,C                  ,F                    ,T                                ,                        ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,Weak mixing of Antarcitca & temprate fauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 16,H,CC,  13.00,    151.4600,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,C                      ,                       ,                      ,               ,                        ,                                ,R                         ,                     ,F                       ,R                  ,               ,                     ,T                        ,                 ,C                              ,                         ,R                    ,T                          ,                      ,T                  ,                     ,                       ,F                    ,                     ,R                 ,F                       ,                     ,                                     ,                      ,                     ,T                      ,T                   ,                                  ,                                   ,                     ,                   ,                     ,                      ,R                     ,                   ,T                    ,                         ,T                     ,F                     ,F                      ,T                     ,                     ,                        ,                   ,                     ,                                 ,                        ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,Less occurrence of Cycladophra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 17,H,CC,  11.00,    161.0500,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,R                      ,                       ,                      ,               ,                        ,                                ,R                         ,                     ,T                       ,                   ,               ,C                    ,F                        ,F                ,                               ,                         ,R                    ,T                          ,                      ,T                  ,                     ,                       ,                     ,                     ,R                 ,R                       ,F                    ,                                     ,T                     ,T                    ,R                      ,                    ,                                  ,F                                  ,                     ,                   ,                     ,T                     ,R                     ,F                  ,T                    ,T                        ,                      ,                      ,                       ,                      ,                     ,                        ,                   ,                     ,                                 ,                        ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,16/17. LO L.grande?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 18,H,CC,  13.00,    170.3700,rads     ,Radiolarians                                 ,C              ,M                 ,                      ,                  ,                     ,                ,               ,R                      ,                       ,                      ,               ,                        ,                                ,R                         ,                     ,R                       ,                   ,               ,R                    ,R                        ,F                ,                               ,T                        ,                     ,T                          ,                      ,                   ,                     ,                       ,                     ,                     ,                  ,                        ,R                    ,                                     ,                      ,R                    ,                       ,                    ,                                  ,R                                  ,T                    ,T                  ,F                    ,                      ,                      ,                   ,                     ,                         ,                      ,                      ,                       ,                      ,                     ,                        ,                   ,                     ,                                 ,                        ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,Lacking Antarctica fauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 19,H,CC,   8.00,    178.1600,rads     ,Radiolarians                                 ,C              ,M                 ,                      ,                  ,T                    ,T               ,               ,R                      ,                       ,                      ,               ,                        ,                                ,C                         ,                     ,T                       ,                   ,               ,F                    ,R                        ,R                ,R                              ,                         ,R                    ,                           ,                      ,                   ,                     ,T                      ,T                    ,                     ,F                 ,                        ,R                    ,T                                    ,                      ,R                    ,T                      ,R                   ,T                                 ,                                   ,                     ,                   ,                     ,                      ,                      ,                   ,                     ,                         ,                      ,                      ,                       ,                      ,                     ,                        ,                   ,                     ,                                 ,                        ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 20,H,CC,  23.00,    189.3200,rads     ,Radiolarians                                 ,C              ,M                 ,                      ,                  ,R                    ,T               ,               ,F                      ,                       ,                      ,               ,                        ,                                ,R                         ,T                    ,T                       ,                   ,               ,F                    ,T                        ,                 ,R                              ,                         ,                     ,T                          ,                      ,T                  ,                     ,T                      ,T                    ,T                    ,F                 ,R                       ,T                    ,T                                    ,T                     ,                     ,                       ,                    ,                                  ,                                   ,                     ,                   ,                     ,                      ,                      ,                   ,                     ,                         ,                      ,                      ,                       ,                      ,                     ,                        ,                   ,                     ,                                 ,                        ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 21,H,CC,  21.00,    198.1900,rads     ,Radiolarians                                 ,F              ,P                 ,                      ,                  ,R                    ,                ,               ,R                      ,                       ,                      ,               ,                        ,                                ,R                         ,                     ,                        ,                   ,               ,F                    ,C                        ,R                ,                               ,                         ,                     ,                           ,                      ,                   ,                     ,T                      ,                     ,                     ,                  ,                        ,                     ,                                     ,                      ,                     ,                       ,                    ,                                  ,                                   ,                     ,                   ,                     ,                      ,                      ,                   ,                     ,                         ,                      ,                      ,                       ,                      ,                     ,                        ,                   ,                     ,                                 ,                        ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,"Sponge spicules. Poor fauna, abruptly"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 22,X,CC,   0.00,    202.0600,rads     ,Radiolarians                                 ,F              ,M                 ,                      ,                  ,R                    ,                ,               ,F                      ,T                      ,C                     ,               ,                        ,                                ,F                         ,                     ,                        ,T                  ,               ,T                    ,R                        ,F                ,T                              ,F                        ,T                    ,T                          ,T                     ,T                  ,T                    ,                       ,                     ,                     ,                  ,                        ,                     ,                                     ,                      ,                     ,                       ,                    ,                                  ,                                   ,                     ,                   ,                     ,                      ,                      ,                   ,                     ,                         ,                      ,                      ,                       ,                      ,                     ,                        ,                   ,                     ,                                 ,                        ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,"Reworked C. japonica. 21/22, LO D. splendeus"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Pliocene   ,                  ,              ,,189,1169,A, 23,X,CC,  12.00,    214.1900,rads     ,Radiolarians                                 ,F              ,M                 ,                      ,T                 ,                     ,T               ,T              ,                       ,T                      ,C                     ,               ,                        ,                                ,C                         ,T                    ,T                       ,T                  ,T              ,R                    ,R                        ,T                ,T                              ,                         ,                     ,                           ,                      ,                   ,                     ,                       ,                     ,                     ,                  ,                        ,                     ,                                     ,                      ,                     ,                       ,                    ,                                  ,                                   ,                     ,                   ,                     ,                      ,                      ,                   ,                     ,                         ,                      ,                      ,                       ,                      ,                     ,                        ,                   ,                     ,                                 ,                        ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,                   ,                    ,                   ,                    ,                     ,                     ,                               ,                ,                         ,                       ,"Reworked C. japonica, C tetrapera, Om. sp D"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
