Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra perplexa,Discoaster variabilis,Cyclicargolithus floridanus,Calcidiscus macintyrei,Reticulofenestra pseudoumbilica,Reticulofenestra minuta,Calcidiscus premacintyrei,Dictyococcites productus,Coccolithus pelagicus,Discoaster brouweri,Discoaster asymmetricus,Amaurolithus delicatus,Calcidiscus leptoporus,Helicosphaera sellii,Discoaster surculus,Ceratolithus rugosus,Amaurolithus primus,Discoaster tamalis,Discoaster challengeri,Helicosphaera kamptneri,Ceratolithus armatus,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  6,H,CC,  14.00,     56.1100,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                     ,                           ,C                     ,                               ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,                    ,                   ,                    ,                   ,                  ,R                     ,C                      ,R                   ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  7,H,CC,  14.00,     66.0000,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,C                     ,                               ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,                    ,R                  ,                    ,                   ,                  ,                      ,F                      ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  8,H,CC,   0.00,     75.3200,nannos   ,Nannofossils                                 ,A              ,M                 ,F                        ,                     ,                           ,F                     ,C                              ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,                      ,                    ,                   ,R                   ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  9,H,CC,   9.00,     84.4100,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,F                     ,                               ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,                    ,                   ,R                   ,R                  ,                  ,R                     ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 10,H,CC,  22.00,     94.5000,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,F                     ,                               ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 11,H,CC,  21.00,    104.1000,nannos   ,Nannofossils                                 ,A              ,P                 ,                         ,                     ,                           ,F                     ,                               ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 12,H,CC,  23.00,    113.5000,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,F                     ,                               ,                       ,                         ,                        ,                     ,                   ,                       ,                      ,                      ,                    ,R                  ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 13,H,CC,  20.00,    122.3000,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,F                     ,                               ,                       ,                         ,                        ,                     ,R                  ,                       ,                      ,                      ,                    ,R                  ,                    ,                   ,R                 ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 14,H,CC,  73.00,    132.1600,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,F                     ,                               ,                       ,                         ,A                       ,A                    ,                   ,                       ,                      ,                      ,                    ,R                  ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 15,H,CC,  20.00,    142.0900,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                     ,                           ,C                     ,                               ,                       ,                         ,                        ,C                    ,                   ,                       ,                      ,                      ,                    ,R                  ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 16,H,CC,  13.00,    151.4600,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                     ,                           ,                      ,                               ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 17,H,CC,  11.00,    161.0500,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                     ,                           ,C                     ,                               ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,R                   ,R                  ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,                  ,              ,189,1169,A, 18,H,CC,  13.00,    170.3700,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,C                     ,F                              ,                       ,                         ,                        ,A                    ,R                  ,R                      ,                      ,A                     ,R                   ,R                  ,R                   ,R                  ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,CN10              ,CN9b          ,189,1169,A, 19,H,CC,   8.00,    178.1600,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,C                     ,C                              ,                       ,                         ,                        ,A                    ,                   ,                       ,R                     ,A                     ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,CN10c             ,CN9b          ,189,1169,A, 20,H,CC,  23.00,    189.3200,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,C                     ,C                              ,                       ,                         ,                        ,                     ,R                  ,                       ,R                     ,                      ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 21,H,CC,  21.00,    198.1900,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,C                     ,                               ,                       ,                         ,                        ,                     ,R                  ,R                      ,                      ,                      ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 22,X,CC,   0.00,    202.0600,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,C                     ,C                              ,                       ,                         ,A                       ,A                    ,                   ,                       ,                      ,                      ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,CN10              ,CN9b          ,189,1169,A, 23,X,CC,  12.00,    214.1900,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,C                     ,C                              ,                       ,                         ,A                       ,A                    ,                   ,                       ,                      ,                      ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,CN5b              ,CN5a          ,189,1169,A, 24,X,CC,   8.00,    222.3300,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,C                          ,C                     ,                               ,                       ,R                        ,                        ,                     ,                   ,                       ,                      ,                      ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 25,X,CC,  14.00,    231.5800,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                     ,                           ,C                     ,C                              ,A                      ,                         ,                        ,                     ,                   ,                       ,                      ,                      ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,CN5b              ,CN5a          ,189,1169,A, 26,X,CC,  11.00,    243.6300,nannos   ,Nannofossils                                 ,A              ,M                 ,C                        ,R                    ,A                          ,C                     ,                               ,                       ,                         ,                        ,                     ,                   ,                       ,                      ,                      ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
