Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera wallichii,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Calcidiscus leptoporus,Gephyrocapsa sp. medium,Gephyrocapsa sp.3 medium,Scyphosphaera spp.,Helicosphaera inversa,Emiliania huxleyi,Gephyrocapsa omega,Ceratolithus telesmus,Comment
  IR,                 ,                 ,                  ,              ,172,1057,A,  7,H,CC,  28.00,     65.2300,Raffi    ,Nannofossils                                 ,C              ,M                 ,                       ,C                       ,                       ,                     ,A                        ,                         ,                      ,                       ,F                       ,                  ,                     ,                 ,                  ,                     ,> 0.46< 0.96- common terrigenous input
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  8,H,CC,  28.00,     74.7000,Raffi    ,Nannofossils                                 ,               ,                  ,                       ,A                       ,                       ,                     ,+                        ,                         ,                      ,                       ,A                       ,                  ,                     ,                 ,                  ,                     ,> 0.46< 0.96 - minerals and other terrigenous stuff- F diatom frags and other SiO2 stuff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  9,H,CC,  26.00,     84.1600,Raffi    ,Nannofossils                                 ,C              ,M                 ,                       ,A                       ,                       ,                     ,C                        ,                         ,                      ,                       ,C                       ,                  ,                     ,                 ,                  ,                     ,> 0.46< 0.96- few diatom frags- giant P lacunosa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A, 10,H,CC,  36.00,     93.8000,Raffi    ,Nannofossils                                 ,A              ,M                 ,                       ,A                       ,                       ,                     ,                         ,                         ,                      ,+                      ,F                       ,                  ,                     ,                 ,                  ,                     ,> 0.46< 0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A, 11,H, 8,  86.00,    103.6000,Raffi    ,Nannofossils                                 ,               ,                  ,+                      ,A                       ,                       ,                     ,A                        ,                         ,                      ,C                      ,                        ,                  ,                     ,                 ,                  ,                     ,> 0.46< 0.96- prob close to 0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A, 12,H,CC,  23.00,    113.4000,Raffi    ,Nannofossils                                 ,               ,                  ,A                      ,A                       ,                       ,                     ,D                        ,-                        ,A                     ,                       ,                        ,                  ,                     ,                 ,                  ,                     ,> 0.96< 1.24 - prob close to 0.96 - acme of small Geph
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A, 14,H,CC,  21.00,    131.7600,Raffi    ,Nannofossils                                 ,A              ,G                 ,F                      ,A                       ,R                      ,F                    ,A                        ,-                        ,C                     ,                       ,                        ,                  ,                     ,                 ,                  ,                     ,> 0.96< 1.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
