Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina universa,Globoturborotalita nepenthes,Globorotaloides variabilis,Globorotaloides hexagona,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides obliquus s.l.,Globigerinoides quadrilobatus s.l.,Dentoglobigerina altispira altispira,Globorotalia limbata,Dentoglobigerina altispira globosa,Globorotalia menardii,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Globigerinella siphonifera,Globorotalia scitula,Globoquadrina dehiscens,Orbulina suturalis,Globigerinoides conglobatus,Globorotalia tumida,Sphaeroidinellopsis disjuncta,Turborotalita humilis,Sphaeroidinellopsis paenedehiscens,Sphaeroidinella dehiscens,Pulleniatina primalis (sin.),Pulleniatina primalis (dex.),Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Neogloboquadrina dutertrei,Globorotalia menardii (sin.),Globorotalia menardii (dex.),Globigerinoides sacculifer (without sack),Globigerinoides sacculifer,Globigerinoides obliquus,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina woodi,Globigerina nepenthes,Globigerina bulloides,Globigerina apertura,Dentoglobigerina altispira,Beella praedigitata,Globorotalia ungulata,Globorotalia crassula,Globigerinoides ruber,Globigerinoides fistulosus,Pulleniatina obliquiloculata,Globorotalia tosaensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N19-N20           ,              ,138, 852,B,  5,H, 4,  20.00,     42.1000,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,23                            ,                         ,1                ,                            ,                          ,1                       ,5                        ,0                           ,                             ,                                  ,                                    ,                    ,                                  ,                     ,7                           ,                         ,                          ,1                   ,                       ,                  ,0                          ,7                  ,                             ,0                    ,5                                 ,0                        ,0                           ,0                           ,0                                 ,1                                 ,41                        ,10                          ,12                          ,7                                        ,2                         ,4                       ,26                     ,2                            ,12               ,2                    ,0                    ,4                   ,3                         ,0                  ,1                    ,                     ,                     ,                          ,                            ,                      ,Total count = 177; from ODP Leg 138 SR Chapter 25 Appendix A p 590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,N19           ,138, 852,B,  6,H, 4,  20.00,     51.6000,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,33                            ,2                        ,0                ,                            ,                          ,2                       ,8                        ,0                           ,                             ,                                  ,                                    ,                    ,                                  ,                     ,64                          ,9                        ,                          ,0                   ,                       ,                  ,0                          ,14                 ,                             ,2                    ,3                                 ,0                        ,3                           ,0                           ,10                                ,5                                 ,0                         ,8                           ,18                          ,14                                       ,5                         ,0                       ,48                     ,7                            ,20               ,5                    ,2                    ,20                  ,7                         ,0                  ,                     ,                     ,                     ,                          ,                            ,                      ,Total count = 309; from ODP Leg 138 SR Chapter 25 Appendix A p 590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,N19           ,138, 852,B,  7,H, 4,  20.00,     60.8900,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,11                            ,2                        ,3                ,                            ,                          ,1                       ,3                        ,0                           ,                             ,                                  ,                                    ,                    ,                                  ,                     ,22                          ,10                       ,                          ,1                   ,                       ,                  ,1                          ,0                  ,                             ,0                    ,3                                 ,0                        ,0                           ,0                           ,0                                 ,1                                 ,0                         ,3                           ,17                          ,9                                        ,5                         ,8                       ,19                     ,1                            ,11               ,13                   ,1                    ,0                   ,0                         ,0                  ,                     ,                     ,                     ,                          ,                            ,                      ,Total count = 145; from ODP Leg 138 SR Chapter 25 Appendix A p 590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,              ,138, 852,B,  7,H,CC,  23.00,     66.3600,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,+                             ,+                        ,+                ,                            ,                          ,                        ,+                        ,                            ,+                            ,+                                 ,T                                   ,+                   ,                                  ,                     ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,+                  ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 852,B,  8,H, 1,  90.00,     66.8000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,+                        ,+                ,                            ,                          ,+                       ,+                        ,+                           ,+                            ,+                                 ,+                                   ,+                   ,                                  ,                     ,+                           ,+                        ,T                         ,                    ,                       ,                  ,T                          ,                   ,+                            ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 852,B,  8,H, 2,  90.00,     68.3000,Vincent  ,Planktonic Foraminifers                      ,C              ,P/M               ,+                             ,+                        ,+                ,                            ,                          ,+                       ,+                        ,+                           ,+                            ,+                                 ,T                                   ,+                   ,                                  ,+                    ,+                           ,+                        ,                          ,T                   ,                       ,                  ,T                          ,                   ,+                            ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 852,B,  8,H, 3,  90.00,     69.8000,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,+                             ,+                        ,+                ,                            ,                          ,+                       ,+                        ,T                           ,+                            ,+                                 ,T                                   ,+                   ,                                  ,                     ,+                           ,+                        ,+                         ,+                   ,T                      ,                  ,+                          ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 852,B,  8,H, 4,  20.00,     70.6000,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,22                            ,0                        ,4                ,                            ,                          ,0                       ,10                       ,0                           ,                             ,                                  ,                                    ,                    ,                                  ,                     ,112                         ,10                       ,                          ,5                   ,2                      ,                  ,0                          ,                   ,                             ,0                    ,0                                 ,0                        ,0                           ,0                           ,15                                ,3                                 ,0                         ,11                          ,0                           ,15                                       ,10                        ,9                       ,45                     ,0                            ,17               ,5                    ,2                    ,5                   ,0                         ,0                  ,                     ,                     ,                     ,                          ,                            ,                      ,Total count = 302; from ODP Leg 138 SR Chapter 25 Appendix A p 590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 852,B,  8,H, 4,  90.00,     71.3000,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,+                             ,T                        ,+                ,                            ,                          ,+                       ,+                        ,+                           ,+                            ,+                                 ,+                                   ,+                   ,T                                 ,+                    ,+                           ,T                        ,T                         ,+                   ,T                      ,                  ,                           ,                   ,T                            ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 852,B,  8,H, 5,  90.00,     72.8000,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,+                             ,+                        ,+                ,                            ,                          ,+                       ,+                        ,+                           ,+                            ,T                                 ,+                                   ,+                   ,T                                 ,T                    ,+                           ,+                        ,                          ,                    ,                       ,                  ,+                          ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 852,B,  8,H, 6,  90.00,     74.3000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,+                        ,+                ,                            ,                          ,                        ,+                        ,T                           ,+                            ,+                                 ,T                                   ,+                   ,T                                 ,+                    ,+                           ,T                        ,T                         ,T                   ,                       ,                  ,T                          ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 852,B,  8,H, 7,  47.00,     75.3700,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,T                        ,+                ,                            ,                          ,+                       ,+                        ,T                           ,+                            ,+                                 ,                                    ,+                   ,                                  ,T                    ,+                           ,+                        ,                          ,T                   ,                       ,                  ,T                          ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B,  8,H,CC,  25.00,     76.0200,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,                         ,T                ,T                           ,                          ,T                       ,+                        ,                            ,T                            ,T                                 ,                                    ,T                   ,T                                 ,T                    ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,                   ,T                            ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B,  9,H, 1,  90.00,     76.3000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,T                        ,T                ,                            ,+                         ,+                       ,+                        ,+                           ,T                            ,+                                 ,T                                   ,+                   ,                                  ,T                    ,+                           ,+                        ,                          ,                    ,T                      ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B,  9,H, 2,  90.00,     77.8000,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,+                             ,T                        ,+                ,                            ,                          ,+                       ,+                        ,T                           ,+                            ,+                                 ,T                                   ,+                   ,                                  ,                     ,+                           ,+                        ,                          ,                    ,T                      ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B,  9,H, 3,  90.00,     79.3000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,T                        ,T                ,                            ,                          ,T                       ,+                        ,                            ,+                            ,+                                 ,+                                   ,+                   ,T                                 ,                     ,T                           ,+                        ,                          ,                    ,T                      ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B,  9,H, 4,  90.00,     80.8000,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,+                             ,                         ,+                ,                            ,T                         ,+                       ,+                        ,                            ,+                            ,+                                 ,T                                   ,+                   ,                                  ,                     ,+                           ,+                        ,T                         ,                    ,                       ,                  ,T                          ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B,  9,H, 5,  90.00,     82.3000,Vincent  ,Planktonic Foraminifers                      ,C              ,P/M               ,+                             ,                         ,+                ,                            ,                          ,+                       ,+                        ,T                           ,T                            ,+                                 ,+                                   ,+                   ,T                                 ,T                    ,+                           ,+                        ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B,  9,H, 6,  90.00,     83.8000,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,+                             ,                         ,+                ,                            ,                          ,+                       ,+                        ,T                           ,+                            ,+                                 ,T                                   ,+                   ,                                  ,                     ,T                           ,+                        ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B,  9,H, 7,  46.00,     84.8600,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,T                        ,+                ,                            ,                          ,+                       ,+                        ,T                           ,+                            ,+                                 ,T                                   ,+                   ,                                  ,                     ,T                           ,+                        ,T                         ,                    ,T                      ,                  ,T                          ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B,  9,H,CC,  24.00,     85.4400,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,T                        ,                 ,                            ,                          ,T                       ,+                        ,+                           ,+                            ,+                                 ,T                                   ,+                   ,T                                 ,                     ,                            ,+                        ,                          ,                    ,                       ,                  ,T                          ,T                  ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 10,H, 1,  90.00,     85.8000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,                         ,T                ,                            ,T                         ,T                       ,+                        ,+                           ,+                            ,+                                 ,                                    ,+                   ,T                                 ,+                    ,T                           ,+                        ,                          ,                    ,                       ,                  ,T                          ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 10,H, 2,  90.00,     87.3000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,                         ,+                ,                            ,                          ,+                       ,+                        ,+                           ,+                            ,+                                 ,T                                   ,T                   ,T                                 ,                     ,+                           ,+                        ,                          ,T                   ,                       ,                  ,T                          ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 10,H, 3,  90.00,     88.8000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,T                             ,T                        ,T                ,                            ,                          ,                        ,+                        ,T                           ,+                            ,T                                 ,                                    ,T                   ,                                  ,                     ,T                           ,T                        ,                          ,T                   ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 10,H, 4,  90.00,     90.3000,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,+                             ,T                        ,+                ,+                           ,                          ,T                       ,+                        ,+                           ,+                            ,+                                 ,T                                   ,                    ,T                                 ,                     ,+                           ,                         ,                          ,T                   ,                       ,+                 ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 10,H, 5,  90.00,     91.8000,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,+                             ,+                        ,+                ,T                           ,T                         ,+                       ,+                        ,+                           ,+                            ,+                                 ,                                    ,+                   ,                                  ,T                    ,                            ,T                        ,                          ,T                   ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
