Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum giganteus,Distephanus boliviensis,Dictyocha varia,Dictyocha extensa extensa,Distephanus crux,Dictyocha perlaevis,Dictyocha fibula mutabilis,Dictyocha fibula fibula,Dictyocha calida calida,Bachmannocena circulus,Distephanus speculum speculum,Bachmannocena elliptica,Distephanus quinquangellus,Distephanus speculum tenuis,Dictyocha messanensis,Dictyocha delicata,Dictyocha aculeata subaculeata,Dictyocha aculeata aculeata,Bachmannocena quadrangula,Comment
  SR,Early Pliocene   ,                 ,D. extensa        ,              ,138, 852,B,  5,H, 1, 120.00,     38.6000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                       ,               ,                         ,1               ,                   ,                          ,1                      ,                       ,                      ,1                            ,                       ,                          ,                           ,                     ,                  ,                              ,                           ,                         ,Total count = 3; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. extensa        ,              ,138, 852,B,  6,H, 1, 120.00,     48.1000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                       ,               ,10                       ,                ,                   ,3                         ,3                      ,                       ,2                     ,                             ,                       ,                          ,                           ,                     ,                  ,                              ,                           ,                         ,Total count = 28; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. extensa        ,              ,138, 852,B,  7,H, 1, 116.00,     57.5600,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                       ,6              ,13                       ,                ,17                 ,3                         ,2                      ,                       ,2                     ,2                            ,                       ,                          ,                           ,                     ,                  ,                              ,                           ,                         ,Total count = 45; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 852,B,  8,H, 1, 120.00,     67.1000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                       ,               ,10                       ,7               ,96                 ,49                        ,3                      ,                       ,2                     ,16                           ,                       ,7                         ,5                          ,                     ,                  ,                              ,                           ,                         ,Total count = 193; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. varia          ,              ,138, 852,B,  9,H, 1,  50.00,     75.9000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                             ,3                      ,               ,69                       ,                ,147                ,5                         ,27                     ,                       ,2                     ,50                           ,                       ,3                         ,                           ,                     ,                  ,                              ,                           ,                         ,Total count = 300; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. varia          ,              ,138, 852,B, 10,H, 1, 120.00,     86.1000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,3                      ,               ,13                       ,1               ,                   ,125                       ,6                      ,3                      ,                      ,3                            ,6                      ,                          ,                           ,                     ,                  ,                              ,                           ,                         ,Total count = 168; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. varia          ,              ,138, 852,B, 11,H, 1, 120.00,     95.6000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                             ,13                     ,10             ,25                       ,2               ,33                 ,22                        ,18                     ,5                      ,1                     ,                             ,                       ,                          ,                           ,                     ,                  ,                              ,                           ,                         ,Total count = 130; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. varia          ,              ,138, 852,B, 12,H, 1, 120.00,    105.1000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,2                             ,4                      ,53             ,1                        ,                ,                   ,                          ,                       ,                       ,                      ,                             ,                       ,                          ,                           ,                     ,                  ,                              ,                           ,                         ,Total count = 60; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
