leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,05%,  ,1,c7cdeb7b7a425af45fbb00be3af5b04c,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPTER0010,Pterocarya sp.,03%,  ,1,adb5e350a5a7620eead2832c5a26427b,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,09%,  ,1,553150a42bddaae272e880143d95abe1,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,02%,  ,1,3dda1de3e243fe6e57dca7694224fb87,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,02%,  ,1,b6a8362a880ef3567c1f53f23d1addf4,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCORY0010,Corylus sp.,02%,  ,1,79a6f353fb6a39a86b648c7ff08c76b2,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PFAGU0010,Fagus sp.,01%,  ,1,a98b555d53184a716290b5ab240dc723,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,01%,  ,1,9ad23e6758bb4430240000608aed5a87,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,01%,  ,2,4b550a391f45d3dc9f668fc392f833e1,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCHEN0010,Chenopodiaceae,01%,  ,2,a8b7fefdf110173da7b775872c1caf29,56-436-3-1
