Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocorythium vetulum	Theocorythium trachelium	Theocalyptra davisiana	Stylatractus universus	Stichocorys peregrina	Stichocorys johnsoni	Stichocorys delmontensis	Spongodiscus ambus	Spongaster tetras	Spongaster pentas	Spirocyrtis scalaris	Spirocyrtis gyroscalaris	Solenosphaera omnitubus	Siphostichartus corona	Pterocorys minythorax	Pterocorys hertwigii	Pterocanium prismatium	Pterocanium audax	Phormostichoartus doliolum	Nephrospyris renilla renilla	Lithopera bacca	Lamprocyrtis nigriniae	Lamprocyrtis neoheteroporos	Didymocyrtis penultima	Didymocyrtis avita	Didymocyrtis antepenultima	Dictyocoryne ontongensis	Collosphaera tuberosa	Collosphaera orthoconus	Collosphaera invaginata	Centrobotrys thermophila	Botryostrobus miralestensis	Botryostrobus euporus	Anthocyrtidium angulare	Androspyris huxleyi	Androspyris fenestrata	Androspyris anthropiscus	Amphirhopalum ypsilon	Acrobotrys tritubus	Comment
  SR	                 	                 	                  	              	111	 677	B	  3	H	 1	  83.00	     17.9300	Alexandrovich	Radiolarians                                 	               	                  	-                    	1                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	1                   	-                       	-                      	-                     	+                    	1                   	-                     	-                	-                         	+                           	Fg             	+                     	-                          	-                     	-                 	-                         	-                       	+                    	-                      	-                      	-                       	-                          	+                    	-                      	1                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  4	H	 7	  31.00	     35.9100	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	1                           	-              	+                     	Fg                         	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	-                      	-                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  5	H	 1	  33.00	     36.4300	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	+                    	1                   	-                     	-                	-                         	1                           	+              	+                     	3                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	-                      	Fg                 	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  5	H	 3	 133.00	     40.4300	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	1                           	+              	+                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	2                       	-                          	+                    	-                      	-                  	-                     	1                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  5	H	 4	  83.00	     41.4300	Alexandrovich	Radiolarians                                 	               	                  	-                    	1                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	1                   	-                       	-                      	-                     	+                    	1                   	-                     	-                	-                         	1                           	1              	+                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	2                       	-                          	+                    	-                      	1                  	-                     	2                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  5	H	 4	 133.00	     41.9300	Alexandrovich	Radiolarians                                 	               	                  	-                    	1                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	+                    	3                   	-                     	-                	-                         	-                           	-              	+                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	2                      	1                  	-                     	2                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  5	H	 5	  33.00	     42.4300	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	-                           	1              	+                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	1                       	-                          	+                    	4                      	-                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  5	H	 6	 133.00	     44.9300	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	1                    	-                   	-                     	-                	-                         	-                           	-              	+                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	+                      	2                  	-                     	2                       	1                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  5	H	 7	  33.00	     45.4300	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	-                           	1              	+                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	+                      	-                  	-                     	-                       	-                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  6	H	 1	  33.00	     45.9300	Alexandrovich	Radiolarians                                 	               	                  	+                    	1                       	+                     	1                     	-                    	-                   	-                       	-                 	-                	-                	-                   	-                       	-                      	-                     	-                    	-                   	-                     	-                	-                         	-                           	-              	-                     	1                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	1                    	-                      	-                  	-                     	1                       	-                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  6	H	 3	  83.00	     49.4300	Alexandrovich	Radiolarians                                 	               	                  	+                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	-                    	-                   	-                     	-                	-                         	-                           	-              	3                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	+                      	-                  	-                     	-                       	-                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  6	H	 3	 133.00	     49.9300	Alexandrovich	Radiolarians                                 	               	                  	+                    	+                       	1                     	+                     	-                    	-                   	-                       	-                 	+                	-                	1                   	-                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	-                           	+              	2                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	+                      	4                  	-                     	1                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  6	H	 4	  83.00	     50.9300	Alexandrovich	Radiolarians                                 	               	                  	+                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	-                           	-              	2                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	+                      	2                  	-                     	-                       	1                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  6	H	 5	  33.00	     51.9300	Alexandrovich	Radiolarians                                 	               	                  	+                    	1                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	2                    	-                   	-                     	-                	-                         	-                           	-              	-                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	+                      	-                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  6	H	 5	  83.00	     52.4300	Alexandrovich	Radiolarians                                 	               	                  	+                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	1                   	-                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	-                           	1              	-                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	1                    	+                      	-                  	-                     	1                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  7	H	 2	  83.00	     57.4300	Alexandrovich	Radiolarians                                 	               	                  	+                    	2                       	-                     	+                     	-                    	-                   	-                       	-                 	-                	-                	-                   	-                       	-                      	-                     	+                    	1                   	-                     	-                	-                         	-                           	-              	-                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	+                      	-                  	1                     	-                       	-                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  7	H	 2	 133.00	     57.9300	Alexandrovich	Radiolarians                                 	               	                  	+                    	2                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	-                           	1              	-                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	+                      	-                  	-                     	-                       	1                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  7	H	 3	  33.00	     58.4300	Alexandrovich	Radiolarians                                 	               	                  	+                    	2                       	+                     	+                     	-                    	-                   	-                       	-                 	1                	-                	-                   	-                       	-                      	-                     	-                    	-                   	-                     	-                	-                         	-                           	-              	-                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	-                      	-                  	-                     	-                       	-                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  7	H	 3	  83.00	     58.9300	Alexandrovich	Radiolarians                                 	               	                  	+                    	3                       	+                     	-                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	2                    	-                   	-                     	-                	-                         	-                           	-              	-                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	+                      	-                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  7	H	 3	 133.00	     59.4300	Alexandrovich	Radiolarians                                 	               	                  	+                    	-                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	-                    	-                   	-                     	-                	-                         	-                           	1              	-                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	-                      	-                  	-                     	-                       	1                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  7	H	 5	  83.00	     61.9300	Alexandrovich	Radiolarians                                 	               	                  	+                    	-                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	2                    	-                   	-                     	-                	-                         	-                           	-              	3                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	+                      	1                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  7	H	 5	 133.00	     62.4300	Alexandrovich	Radiolarians                                 	               	                  	+                    	-                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	3                    	-                   	-                     	-                	-                         	-                           	-              	1                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	+                      	-                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  7	H	 6	  33.00	     62.9300	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	-                    	-                   	-                     	-                	-                         	-                           	+              	1                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	-                      	1                  	1                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  8	H	 1	  33.00	     64.9300	Alexandrovich	Radiolarians                                 	               	                  	+                    	-                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	1                       	-                      	-                     	-                    	-                   	-                     	-                	-                         	1                           	+              	1                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	2                      	2                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  8	H	 1	  83.00	     65.4300	Alexandrovich	Radiolarians                                 	               	                  	+                    	1                       	+                     	+                     	2                    	-                   	-                       	-                 	1                	-                	-                   	-                       	-                      	-                     	-                    	-                   	-                     	-                	-                         	-                           	1              	1                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	-                      	-                  	-                     	-                       	1                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  8	H	 2	  33.00	     66.4300	Alexandrovich	Radiolarians                                 	               	                  	+                    	-                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	-                       	-                      	-                     	-                    	-                   	-                     	-                	-                         	-                           	-              	2                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	-                      	-                  	-                     	1                       	1                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  8	H	 2	  83.00	     66.9300	Alexandrovich	Radiolarians                                 	               	                  	+                    	1                       	+                     	+                     	-                    	-                   	-                       	-                 	1                	-                	-                   	1                       	-                      	-                     	-                    	-                   	Fg                    	-                	-                         	-                           	-              	-                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	-                    	-                      	-                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  8	H	 2	 133.00	     67.4300	Alexandrovich	Radiolarians                                 	               	                  	+                    	-                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	-                   	+                       	-                      	-                     	-                    	-                   	Fg1                   	-                	-                         	-                           	-              	-                     	+                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	-                      	-                  	-                     	1                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

