Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis constricta,Distephanus crux s. ampl.,Dictyocha bryonalis,Naviculopsis sp. 4,Naviculopsis foliacea,Naviculopsis eobiapiculata,Naviculopsis biapiculata biapiculata,Corbisema sp. 4,Corbisema apiculata (with thin bars),Corbisema angularis,Bachmannocena vetula,Bachmannocena oamaruensis,Corbisema inermis inermis,Corbisema constricta constricta,Corbisema apiculata apiculata,Distephanus quinquangellus,Dictyocha sp. cf. D. byronalis,Dictyocha sp. cf. D.alta,Dictyocha sp. 3,Dictyocha pentagona,Dictyocha deflandrei deflandrei,Corbisema triacantha,Bachmannocena paulschulzii,Dictyocha challengeri,Lyramula furcula,Corbisema constricta (fragments),Corbisema sp. cf. C.archangelskiana (with small basal spines),Dictyocha stelliformis and D.grandis (fragments),Dictyocha stelliformis (fragments),Dictyocha stelliformis,Dictyocha grandis,Dictyocha stelliformis (pentagonal basal ring),Naviculopsis sp. aff. Naviculopsis nordica hyalina,Naviculopsis nordica hyalina,Dictyocha grandis (fragments),Naviculopsis trispinosa trispinosa,Naviculopsis sp. cf. Naviculopsis constricta,Naviculopsis pandalata,Dictyocha grandis (pentagonal basal ring),Corbisema hastata cunicula,Dictyocha sp. aff. D.quadria,Dictyocha grandis (with two apical windows),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. stellifromis   ,              ,114, 702,B, 10,X, 1, 140.00,     83.7000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                       ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,1                        ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,113                               ,91                    ,                 ,10                                            ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. stellifromis   ,              ,114, 702,B, 10,X, 3, 140.00,     86.7000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                       ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,8                                               ,153                               ,45                    ,1                ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 10,X, 5, 140.00,     89.7000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                       ,                         ,                   ,2                 ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,2                        ,                         ,                               ,                             ,                          ,                              ,5                       ,33             ,                   ,                               ,                    ,                          ,                     ,                ,                                ,1                                                            ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 11,X, 1, 140.00,     93.2000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                       ,1                        ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 11,X, 3, 140.00,     96.2000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                       ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,1               ,1                               ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 12,X, 1, 130.00,    102.6000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                       ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,1                    ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 12,X, 3, 130.00,    105.6000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,2                      ,                         ,                   ,                  ,1                    ,                          ,                                    ,               ,                                    ,                   ,                    ,1                        ,                         ,1                              ,                             ,                          ,                              ,                        ,               ,                   ,                               ,1                   ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 12,X, 5, 119.00,    108.4900,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,14                     ,                         ,                   ,                  ,1                    ,                          ,                                    ,               ,                                    ,                   ,9                   ,1                        ,                         ,1                              ,                             ,                          ,                              ,1                       ,1              ,1                  ,2                              ,1                   ,2                         ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 13,X, 1, 130.00,    112.1000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,3                      ,1                        ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,5                   ,                         ,                         ,1                              ,1                            ,1                         ,1                             ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 13,X, 3, 130.00,    115.1000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,3                      ,                         ,                   ,1                 ,                     ,                          ,                                    ,               ,                                    ,                   ,4                   ,                         ,                         ,1                              ,1                            ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 14,X, 2,  43.00,    122.2300,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                       ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,2                   ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 14,X, 4,  43.00,    125.2300,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,2                      ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,3                   ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 16,X, 4, 140.00,    145.2000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,2                      ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 16,X, 6, 140.00,    148.2000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,3                      ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,1                                   ,                   ,                    ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 17,X, 2,   4.00,    150.3400,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,5                      ,                         ,                   ,                  ,                     ,1                         ,3                                   ,               ,4                                   ,                   ,                    ,                         ,1                        ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. vetula         ,              ,114, 702,B, 18,X, 2,  40.00,    160.2000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,31                     ,3                        ,3                  ,8                 ,1                    ,1                         ,6                                   ,3              ,3                                   ,1                  ,2                   ,1                        ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,N. foliacea       ,              ,114, 702,B, 18,X, 4,  40.00,    163.2000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,2                      ,2                        ,1                  ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,                 ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
