Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira oestrupii	Thalassiosira nidulus	Thalassiosira jouseae	Thalassiosira gravida spore	Thalassionema nitzschioides	Stephanopyxis turris	Rhizosolenia setigera	Rhizosolenia hebetata f. semispina	Rhizosolenia hebetata f. hebetata	Nitzschia reinholdii	Nitzschia marina	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Bacterosira fragilis	Actinocyclus oculatus	Actinocyclus curvatulus	Coscinodiscus asteromphalus	Thalassiosira lineata	Nitzschia fossilis	Hemidiscus cuneiformis	Azpeitia nodulifer	Thalassiosira antiqua	Pseudoeunotia doliolus	Roperia tesselata	Rhizosolenia styliformis	Proboscia alata	Rhizosolenia bergonii	Nitzschia panduriformis	Bacteriastrum hyalinum	Thalassiosira trifulta	Thalassiosira gravida vegetative	Thalassiosira eccentrica	Proboscia curvirostris	Thalassiosira nordenskioeldii	Nitzschia bicapitata	Neodenticula seminae	Coscinodiscus radiatus	Comment
  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  1	H	 5	  49.00	      6.4900	Koc      	Diatoms                                      	F              	P                 	F                        	                       	                     	                     	R                          	                           	                    	                     	                                  	                                 	                    	                	                        	R                                	                    	                     	                       	                           	                     	                  	                      	                  	                     	R                     	                 	F                       	               	                     	                       	                      	R                     	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  2	H	 1	  49.00	      7.8900	Koc      	Diatoms                                      	A              	G                 	C                        	C                      	                     	                     	A                          	                           	                    	                     	C                                 	                                 	                    	                	R                       	A                                	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	C                      	                      	F                     	C                               	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  2	H	 2	  49.00	      9.3900	Koc      	Diatoms                                      	A              	G                 	C                        	                       	                     	                     	C                          	                           	                    	                     	C                                 	                                 	                    	                	                        	A                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	R                     	                 	                        	F              	                     	F                      	                      	F                     	C                               	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  2	H	 3	  49.00	     10.8900	Koc      	Diatoms                                      	C              	M                 	C                        	F                      	                     	                     	F                          	                           	                    	                     	                                  	                                 	                    	                	R                       	A                                	                    	                     	                       	R                          	                     	                  	                      	                  	                     	R                     	                 	                        	R              	                     	F                      	                      	F                     	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  2	H	 4	  49.00	     12.3900	Koc      	Diatoms                                      	A              	M                 	C                        	A                      	                     	                     	R                          	                           	                    	                     	R                                 	                                 	                    	R               	                        	C                                	                    	                     	R                      	                           	                     	                  	                      	                  	                     	R                     	F                	F                       	R              	                     	                       	R                     	                      	R                               	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  2	H	 5	  49.00	     13.8900	Koc      	Diatoms                                      	A              	M                 	F                        	A                      	                     	                     	R                          	                           	                    	                     	                                  	                                 	                    	                	                        	A                                	                    	                     	R                      	R                          	R                    	                  	                      	                  	                     	                      	R                	F                       	F              	R                    	                       	                      	                      	                                	                        	                      	                             	                    	                    	R                     	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  3	H	 1	  49.00	     17.3900	Koc      	Diatoms                                      	R              	P                 	                         	                       	                     	                     	                           	                           	                    	                     	                                  	                                 	                    	                	                        	R                                	                    	                     	R                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	R                     	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  3	H	 2	  49.00	     18.8900	Koc      	Diatoms                                      	A              	M                 	A                        	C                      	                     	                     	F                          	F                          	                    	                     	F                                 	R                                	                    	                	F                       	A                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	R                     	                 	                        	               	                     	                       	                      	                      	F                               	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  3	H	 3	  49.00	     20.3900	Koc      	Diatoms                                      	A              	G                 	C                        	A                      	                     	                     	F                          	                           	                    	                     	F                                 	R                                	                    	                	F                       	A                                	                    	                     	R                      	                           	R                    	                  	                      	                  	                     	                      	R                	C                       	R              	                     	                       	                      	R                     	C                               	                        	                      	                             	                    	                    	R                     	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  3	H	 4	  49.00	     21.8900	Koc      	Diatoms                                      	F              	P                 	R                        	                       	                     	                     	R                          	                           	                    	                     	R                                 	                                 	                    	                	                        	                                 	                    	                     	R                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	F                     	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  3	H	 5	  49.00	     23.3900	Koc      	Diatoms                                      	C              	P                 	F                        	C                      	                     	                     	                           	                           	                    	                     	F                                 	R                                	                    	                	R                       	                                 	                    	                     	                       	                           	R                    	                  	                      	                  	                     	R                     	                 	                        	               	                     	                       	                      	F                     	F                               	                        	                      	                             	                    	                    	F                     	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  3	H	 7	  49.00	     26.3900	Koc      	Diatoms                                      	R              	P                 	                         	                       	                     	                     	                           	                           	                    	                     	                                  	                                 	                    	                	                        	                                 	R                   	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  4	H	 2	  49.00	     28.3900	Koc      	Diatoms                                      	C              	M                 	F                        	C                      	                     	                     	F                          	                           	                    	                     	F                                 	R                                	                    	R               	R                       	C                                	                    	                     	C                      	                           	F                    	                  	                      	                  	                     	F                     	R                	                        	               	                     	                       	                      	                      	R                               	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  4	H	 3	  49.00	     29.8900	Koc      	Diatoms                                      	C              	M                 	C                        	                       	                     	R                    	C                          	                           	                    	                     	C                                 	R                                	                    	                	                        	A                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	                      	                 	R                       	R              	                     	                       	                      	C                     	C                               	                        	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  4	H	 4	  49.00	     31.3900	Koc      	Diatoms                                      	A              	G                 	C                        	C                      	                     	R                    	F                          	F                          	C                   	                     	F                                 	R                                	                    	                	R                       	A                                	                    	                     	C                      	                           	R                    	                  	                      	                  	                     	                      	                 	                        	F              	                     	                       	                      	                      	F                               	                        	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  4	H	 5	  49.00	     32.8900	Koc      	Diatoms                                      	A              	M                 	C                        	F                      	                     	R                    	F                          	                           	C                   	                     	R                                 	R                                	                    	R               	F                       	A                                	                    	                     	C                      	R                          	F                    	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	R                     	F                               	                        	R                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  5	H	 1	  49.00	     36.3900	Koc      	Diatoms                                      	A              	M                 	C                        	F                      	                     	                     	F                          	R                          	F                   	                     	C                                 	F                                	                    	                	F                       	A                                	R                   	                     	C                      	                           	R                    	                  	R                     	                  	                     	F                     	                 	                        	F              	R                    	                       	                      	R                     	F                               	                        	A                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  5	H	 2	  49.00	     37.8900	Koc      	Diatoms                                      	A              	G                 	C                        	F                      	                     	                     	C                          	R                          	C                   	                     	C                                 	                                 	                    	                	                        	A                                	                    	                     	C                      	                           	C                    	                  	                      	                  	                     	R                     	                 	                        	               	                     	                       	                      	R                     	R                               	                        	A                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  5	H	 3	  49.00	     39.3900	Koc      	Diatoms                                      	A              	G                 	C                        	A                      	                     	                     	                           	A                          	A                   	                     	A                                 	                                 	                    	                	                        	A                                	                    	                     	A                      	R                          	F                    	                  	                      	                  	                     	C                     	                 	                        	R              	                     	                       	                      	                      	C                               	R                       	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  5	H	 4	  49.00	     40.8900	Koc      	Diatoms                                      	A              	G                 	C                        	A                      	                     	                     	                           	C                          	C                   	                     	C                                 	                                 	                    	                	                        	A                                	                    	                     	C                      	F                          	F                    	                  	                      	                  	                     	C                     	                 	                        	F              	                     	                       	                      	                      	                                	F                       	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  5	H	 5	  49.00	     42.3900	Koc      	Diatoms                                      	A              	G                 	C                        	A                      	                     	                     	F                          	                           	C                   	                     	F                                 	                                 	                    	                	R                       	A                                	                    	                     	F                      	R                          	F                    	                  	                      	                  	                     	A                     	                 	                        	               	                     	                       	                      	                      	A                               	                        	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  5	H	 6	  49.00	     43.8900	Koc      	Diatoms                                      	A              	M                 	F                        	A                      	                     	                     	F                          	F                          	C                   	                     	F                                 	                                 	                    	                	F                       	A                                	                    	                     	F                      	                           	F                    	                  	                      	                  	                     	F                     	R                	F                       	F              	                     	                       	                      	                      	C                               	F                       	C                     	                             	                    	                    	F                     	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  6	H	 2	  49.00	     47.3900	Koc      	Diatoms                                      	R              	P                 	R                        	                       	                     	                     	                           	                           	R                   	                     	                                  	                                 	                    	                	                        	                                 	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  6	H	 3	  49.00	     48.8900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	R                    	                           	F                          	                    	                     	F                                 	                                 	                    	                	                        	A                                	                    	                     	                       	                           	R                    	                  	                      	                  	                     	                      	                 	                        	F              	                     	                       	                      	                      	C                               	                        	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  6	H	 4	  49.00	     50.3900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	                     	F                          	C                          	C                   	                     	                                  	                                 	                    	R               	R                       	A                                	                    	                     	C                      	                           	                     	                  	R                     	                  	                     	C                     	                 	                        	F              	R                    	                       	R                     	                      	F                               	                        	C                     	                             	R                   	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  6	H	 5	  49.00	     51.8900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	                     	F                          	C                          	C                   	                     	F                                 	                                 	                    	                	R                       	A                                	                    	                     	F                      	                           	R                    	                  	                      	                  	                     	F                     	                 	                        	C              	                     	                       	                      	F                     	C                               	                        	F                     	                             	R                   	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  6	H	 6	  49.00	     53.3900	Koc      	Diatoms                                      	A              	M                 	F                        	C                      	                     	                     	R                          	C                          	C                   	                     	R                                 	                                 	                    	R               	                        	A                                	                    	                     	                       	                           	R                    	                  	                      	                  	                     	C                     	                 	                        	               	                     	                       	                      	                      	F                               	                        	R                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  6	H	 7	  49.00	     54.8900	Koc      	Diatoms                                      	A              	M                 	C                        	A                      	                     	                     	F                          	C                          	C                   	                     	                                  	                                 	                    	                	R                       	A                                	                    	                     	                       	                           	F                    	                  	                      	                  	                     	F                     	                 	                        	F              	                     	                       	                      	F                     	F                               	R                       	C                     	                             	F                   	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  7	H	 2	  49.00	     56.8900	Koc      	Diatoms                                      	C              	M                 	F                        	                       	                     	R                    	F                          	R                          	                    	                     	F                                 	                                 	                    	                	R                       	A                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	R                      	                      	                      	C                               	                        	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  7	H	 3	  49.00	     58.3900	Koc      	Diatoms                                      	A              	M                 	C                        	R                      	                     	                     	R                          	F                          	                    	                     	F                                 	                                 	                    	                	R                       	A                                	                    	                     	F                      	R                          	F                    	                  	                      	R                 	                     	R                     	                 	                        	R              	                     	                       	                      	                      	C                               	R                       	C                     	                             	R                   	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  7	H	 4	  49.00	     59.8900	Koc      	Diatoms                                      	A              	M                 	C                        	F                      	                     	                     	                           	F                          	                    	                     	F                                 	                                 	                    	                	                        	A                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	R              	                     	                       	                      	                      	                                	                        	A                     	                             	R                   	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  7	H	 5	  49.00	     61.3900	Koc      	Diatoms                                      	C              	P                 	F                        	F                      	                     	                     	F                          	                           	                    	                     	R                                 	R                                	                    	R               	R                       	C                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	F                               	                        	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  7	H	 6	  49.00	     62.8900	Koc      	Diatoms                                      	C              	P                 	F                        	                       	                     	                     	                           	R                          	                    	                     	R                                 	                                 	                    	                	F                       	F                                	                    	                     	C                      	R                          	                     	                  	                      	R                 	                     	R                     	                 	                        	               	                     	                       	                      	                      	R                               	                        	R                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  7	H	 7	  49.00	     64.3900	Koc      	Diatoms                                      	A              	M                 	C                        	A                      	                     	                     	F                          	F                          	                    	                     	F                                 	                                 	R                   	                	R                       	A                                	                    	                     	F                      	                           	F                    	                  	                      	                  	                     	F                     	                 	R                       	R              	R                    	F                      	R                     	                      	C                               	                        	C                     	                             	R                   	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  8	H	 1	  49.00	     64.8900	Koc      	Diatoms                                      	A              	G                 	F                        	A                      	                     	                     	                           	C                          	                    	                     	                                  	                                 	R                   	R               	F                       	A                                	                    	                     	C                      	                           	F                    	                  	R                     	                  	                     	F                     	R                	R                       	F              	F                    	                       	R                     	                      	F                               	R                       	C                     	                             	R                   	                    	F                     	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  8	H	 7	  49.00	     73.8900	Koc      	Diatoms                                      	A              	G                 	C                        	A                      	                     	R                    	R                          	C                          	                    	                     	                                  	                                 	C                   	                	R                       	A                                	                    	                     	F                      	                           	                     	F                 	                      	                  	                     	C                     	R                	                        	F              	                     	F                      	R                     	                      	F                               	                        	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  9	H	 1	  49.00	     74.3900	Koc      	Diatoms                                      	A              	G                 	F                        	A                      	                     	F                    	                           	C                          	C                   	                     	                                  	                                 	F                   	R               	R                       	A                                	                    	                     	C                      	R                          	F                    	C                 	                      	                  	                     	F                     	                 	                        	R              	F                    	                       	R                     	                      	C                               	F                       	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  9	H	 3	  49.00	     77.3900	Koc      	Diatoms                                      	A              	G                 	F                        	C                      	                     	                     	C                          	C                          	C                   	R                    	F                                 	F                                	C                   	                	F                       	A                                	R                   	                     	C                      	                           	F                    	C                 	F                     	                  	                     	F                     	                 	R                       	F              	F                    	                       	R                     	                      	F                               	                        	C                     	                             	                    	                    	R                     	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  9	H	 5	  49.00	     80.3900	Koc      	Diatoms                                      	C              	M                 	C                        	C                      	                     	                     	F                          	                           	R                   	                     	F                                 	                                 	R                   	                	                        	C                                	                    	                     	C                      	                           	                     	F                 	                      	                  	                     	                      	                 	                        	R              	                     	                       	                      	                      	F                               	                        	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  9	H	 6	  49.00	     81.8900	Koc      	Diatoms                                      	C              	P                 	F                        	F                      	                     	R                    	F                          	R                          	                    	                     	C                                 	F                                	                    	                	                        	C                                	                    	                     	C                      	                           	                     	                  	                      	                  	                     	                      	                 	F                       	F              	                     	                       	                      	F                     	C                               	                        	R                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	  9	H	 7	  49.00	     83.3900	Koc      	Diatoms                                      	A              	M                 	F                        	A                      	                     	R                    	R                          	A                          	F                   	                     	F                                 	                                 	C                   	R               	R                       	A                                	                    	                     	C                      	                           	                     	F                 	                      	                  	                     	                      	                 	                        	C              	F                    	                       	C                     	                      	F                               	R                       	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	 10	H	 1	  49.00	     83.8900	Koc      	Diatoms                                      	R              	P                 	                         	                       	                     	R                    	                           	                           	                    	                     	R                                 	                                 	                    	                	                        	R                                	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	R                               	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	 10	H	 2	  49.00	     85.3900	Koc      	Diatoms                                      	A              	M                 	C                        	F                      	                     	                     	                           	C                          	F                   	                     	F                                 	F                                	F                   	R               	R                       	A                                	                    	                     	C                      	                           	F                    	                  	                      	                  	                     	                      	                 	                        	F              	                     	                       	                      	F                     	C                               	                        	F                     	R                            	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	 10	H	 3	  49.00	     86.8900	Koc      	Diatoms                                      	A              	M                 	F                        	A                      	                     	R                    	C                          	F                          	                    	                     	C                                 	F                                	R                   	R               	C                       	A                                	                    	                     	C                      	R                          	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	C                               	                        	C                     	R                            	                    	                    	R                     	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	P. curvirostris	162	 983	A	 10	H	 4	  49.00	     88.3900	Koc      	Diatoms                                      	C              	M                 	F                        	C                      	                     	R                    	F                          	C                          	                    	                     	F                                 	F                                	R                   	                	F                       	C                                	                    	                     	C                      	                           	R                    	                  	                      	                  	                     	F                     	                 	R                       	R              	                     	                       	                      	                      	F                               	                        	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 10	H	 5	  49.00	     89.8900	Koc      	Diatoms                                      	A              	G                 	C                        	C                      	                     	R                    	F                          	C                          	F                   	                     	F                                 	F                                	                    	R               	F                       	A                                	                    	                     	C                      	                           	F                    	                  	                      	                  	                     	F                     	R                	                        	R              	R                    	                       	R                     	F                     	C                               	                        	C                     	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 10	H	 6	  49.00	     91.3900	Koc      	Diatoms                                      	A              	M                 	F                        	C                      	                     	R                    	R                          	C                          	R                   	                     	A                                 	                                 	                    	                	F                       	A                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	F                     	C                               	                        	C                     	R                            	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 10	H	 7	  49.00	     92.8900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	F                    	R                          	                           	C                   	                     	F                                 	                                 	F                   	                	F                       	A                                	                    	F                    	F                      	R                          	F                    	F                 	R                     	R                 	                     	R                     	                 	                        	R              	R                    	                       	F                     	                      	C                               	R                       	F                     	R                            	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 11	H	 2	  49.00	     94.8900	Koc      	Diatoms                                      	C              	M                 	F                        	F                      	                     	R                    	C                          	F                          	F                   	                     	C                                 	R                                	F                   	                	                        	C                                	F                   	                     	C                      	R                          	R                    	C                 	                      	                  	                     	                      	                 	R                       	               	R                    	                       	                      	                      	F                               	                        	F                     	                             	                    	C                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 11	H	 4	  49.00	     97.8900	Koc      	Diatoms                                      	F              	P                 	F                        	R                      	                     	                     	                           	                           	                    	                     	                                  	                                 	                    	                	                        	F                                	R                   	                     	                       	                           	                     	R                 	                      	                  	                     	                      	                 	                        	R              	                     	                       	                      	                      	                                	                        	R                     	                             	                    	F                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 11	H	 5	  49.00	     99.3900	Koc      	Diatoms                                      	C              	P                 	F                        	C                      	                     	                     	R                          	F                          	                    	                     	C                                 	R                                	R                   	                	                        	C                                	                    	                     	F                      	                           	                     	                  	R                     	                  	                     	                      	                 	F                       	               	                     	                       	                      	F                     	C                               	R                       	R                     	R                            	                    	C                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 11	H	 6	  49.00	    100.8900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	                     	R                          	C                          	C                   	                     	F                                 	                                 	F                   	                	R                       	A                                	                    	F                    	R                      	R                          	R                    	                  	R                     	                  	                     	R                     	                 	R                       	F              	                     	                       	                      	                      	R                               	R                       	F                     	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 11	H	 7	  49.00	    102.3900	Koc      	Diatoms                                      	R              	P                 	R                        	                       	                     	                     	                           	                           	                    	                     	                                  	                                 	                    	                	                        	                                 	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	R                     	                             	                    	R                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 12	H	 1	  49.00	    102.8900	Koc      	Diatoms                                      	C              	P                 	F                        	C                      	                     	R                    	                           	C                          	                    	                     	C                                 	                                 	R                   	                	R                       	C                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	R                     	                      	F                               	                        	F                     	                             	                    	C                   	                      	from 162SR. Ch 4. Table 1.

