Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa spp. (small)	Gephyrocapsa caribbeanica	Reticulofenestra minutula	Syracosphaera pulchra	Reticulofenestra asanoi	Gephyrocapsa oceanica	Gephyrocapsa muellerae	Reticulofenestra minuta	Emiliania huxleyi	Braarudosphaera bigelowii	Pontosphaera spp.	Syracosphaera spp.(small)	Scapholithus fossilis	Comment
  IR	Quaternary       	                 	                  	              	168	1029	A	  3	H	 1	   1.10	     14.0110	Su       	Nannofossils                                 	F              	M                 	F                    	                      	                      	                        	                    	                         	                         	                         	                     	                       	R                    	C                     	                       	F                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  3	H	 3	 133.00	     18.3300	Su       	Nannofossils                                 	A              	M-G               	                     	                      	                      	                        	                    	A                        	F                        	                         	T                    	                       	F                    	A                     	                       	F                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  3	H	 5	  77.00	     20.7700	Su       	Nannofossils                                 	F              	G                 	R                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	F                    	A                     	                       	C                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  3	H	CC	   2.00	     23.0200	Su       	Nannofossils                                 	F              	G                 	R                    	                      	                      	                        	                    	                         	F                        	                         	                     	                       	R                    	C                     	                       	C                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  4	H	 3	  68.00	     27.1800	Su       	Nannofossils                                 	F              	G                 	                     	                      	T                     	                        	                    	F                        	                         	                         	                     	                       	                     	F                     	                       	D                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  4	H	 5	  35.00	     29.8500	Su       	Nannofossils                                 	T              	M-G               	R                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	                     	F                     	                       	D                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  4	H	 6	  37.00	     31.3700	Su       	Nannofossils                                 	P              	M-G               	R                    	                      	T                     	                        	                    	C                        	                         	                         	                     	                       	                     	C                     	                       	F                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  4	H	 7	  71.00	     33.2100	Su       	Nannofossils                                 	F              	M                 	T                    	                      	                      	                        	                    	R                        	                         	                         	                     	                       	                     	A                     	                       	F                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  4	H	 7	  75.00	            	Su       	Nannofossils                                 	T              	G                 	R                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	                     	                      	                       	A                	T                        	                 	                         	                     	incorrect sample designation. from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  5	H	 2	 112.00	     35.6200	Su       	Nannofossils                                 	F              	M                 	R                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	R                    	A                     	                       	                 	T                        	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  5	H	 4	  34.00	     37.8400	Su       	Nannofossils                                 	C              	M-G               	F                    	                      	                      	                        	                    	A                        	                         	                         	                     	                       	F                    	C                     	                       	F                	R                        	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  6	H	 2	  20.00	     44.2000	Su       	Nannofossils                                 	C              	M-G               	R                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	F                    	A                     	                       	R                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  6	H	 5	  85.00	     49.3500	Su       	Nannofossils                                 	F              	M                 	R                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	R                    	D                     	                       	F                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  7	H	 1	  58.00	     52.5800	Su       	Nannofossils                                 	P              	M                 	                     	                      	                      	                        	                    	                         	                         	                         	                     	                       	                     	A                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  7	H	 3	  42.00	     55.4200	Su       	Nannofossils                                 	P              	G                 	                     	                      	                      	                        	                    	A                        	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  9	H	 5	 129.00	     78.2900	Su       	Nannofossils                                 	T              	M-G               	C                    	                      	                      	                        	                    	A                        	                         	                         	                     	                       	                     	                      	                       	F                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  9	H	 7	  20.00	     80.2000	Su       	Nannofossils                                 	R              	M-G               	C                    	                      	                      	                        	                    	C                        	                         	                         	                     	                       	                     	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 10	H	 1	  37.00	     80.8700	Su       	Nannofossils                                 	T              	M-G               	A                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	R                    	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 10	H	 3	  26.00	     83.7600	Su       	Nannofossils                                 	P              	M                 	A                    	                      	                      	                        	                    	                         	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 11	H	 2	 108.00	     92.5800	Su       	Nannofossils                                 	P              	M-G               	D                    	                      	                      	                        	                    	                         	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 11	H	 3	  87.00	     93.8700	Su       	Nannofossils                                 	P              	M-G               	A                    	                      	                      	                        	                    	F                        	F                        	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 12	H	 1	  47.00	     99.9700	Su       	Nannofossils                                 	F              	M                 	F                    	                      	                      	F                       	                    	C                        	F                        	                         	                     	                       	F                    	C                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 12	H	 3	  85.00	    103.3500	Su       	Nannofossils                                 	R              	M-G               	R                    	                      	                      	                        	                    	F                        	C                        	                         	                     	                       	R                    	C                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 12	H	 5	  48.00	    105.9800	Su       	Nannofossils                                 	T              	M-G               	R                    	                      	                      	                        	                    	C                        	A                        	                         	                     	                       	                     	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 12	H	 7	  20.00	    108.7000	Su       	Nannofossils                                 	T              	M                 	C                    	                      	                      	                        	                    	F                        	C                        	                         	                     	                       	T                    	R                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 13	X	 1	  59.00	    109.5900	Su       	Nannofossils                                 	P              	M                 	T                    	                      	                      	                        	                    	F                        	A                        	                         	                     	                       	                     	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 13	X	 3	  72.00	    112.7200	Su       	Nannofossils                                 	P              	M-G               	                     	                      	                      	                        	                    	R                        	A                        	                         	                     	                       	R                    	C                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 14	X	 3	 102.00	    118.9200	Su       	Nannofossils                                 	A              	M-G               	R                    	                      	F                     	                        	                    	D                        	F                        	                         	T                    	                       	R                    	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 14	X	 4	  16.00	    119.5600	Su       	Nannofossils                                 	D              	M-G               	R                    	                      	                      	F                       	                    	A                        	C                        	                         	                     	                       	R                    	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 15	X	 1	  31.00	    121.1100	Su       	Nannofossils                                 	A              	M-G               	R                    	                      	                      	F                       	                    	C                        	A                        	                         	                     	                       	F                    	R                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 15	X	 1	  94.00	    121.7400	Su       	Nannofossils                                 	C              	M-G               	R                    	                      	                      	F                       	                    	F                        	F                        	                         	                     	                       	R                    	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 16	X	 2	  54.00	    132.4400	Su       	Nannofossils                                 	T              	M-G               	                     	                      	                      	F                       	                    	C                        	C                        	                         	                     	                       	                     	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 17	X	 2	  32.00	    141.8200	Su       	Nannofossils                                 	A              	M-G               	R                    	                      	                      	R                       	                    	                         	                         	                         	                     	                       	                     	F                     	D                      	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 17	X	 4	  55.00	    145.0500	Su       	Nannofossils                                 	A              	M-G               	R                    	                      	                      	F                       	                    	F                        	                         	                         	                     	                       	                     	R                     	D                      	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 17	X	 7	  30.00	    149.3000	Su       	Nannofossils                                 	T              	M-G               	F                    	                      	                      	C                       	                    	C                        	                         	                         	                     	                       	                     	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 18	X	 1	  25.00	    149.8500	Su       	Nannofossils                                 	A              	M-G               	R                    	                      	                      	F                       	                    	D                        	                         	                         	                     	                       	R                    	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 18	X	 1	 101.00	    150.6100	Su       	Nannofossils                                 	P              	M-G               	                     	                      	                      	F                       	                    	A                        	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 18	X	 3	  44.00	    153.0400	Su       	Nannofossils                                 	C              	M-G               	R                    	                      	                      	C                       	                    	C                        	                         	                         	                     	                       	                     	R                     	A                      	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 18	X	 5	  33.00	    155.9300	Su       	Nannofossils                                 	R              	M-G               	R                    	                      	                      	F                       	                    	F                        	                         	                         	                     	                       	                     	                      	A                      	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 19	X	 1	   6.00	    159.2600	Su       	Nannofossils                                 	R              	G                 	R                    	                      	                      	F                       	                    	F                        	                         	                         	                     	                       	F                    	A                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 19	X	 2	  24.00	    160.9400	Su       	Nannofossils                                 	C              	M-G               	R                    	                      	                      	F                       	                    	F                        	F                        	                         	                     	                       	F                    	A                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 19	X	 6	  63.00	    167.3300	Su       	Nannofossils                                 	P              	                  	A                    	                      	                      	                        	                    	                         	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 20	X	 5	  83.00	    175.6300	Su       	Nannofossils                                 	P              	M-G               	A                    	                      	                      	                        	                    	                         	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 21	X	 3	   0.00	    181.4000	Su       	Nannofossils                                 	A              	M-G               	R                    	R                     	R                     	R                       	                    	D                        	R                        	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 21	X	 3	 117.00	            	Su       	Nannofossils                                 	C              	G                 	                     	T                     	R                     	F                       	                    	D                        	R                        	                         	                     	                       	                     	F                     	                       	                 	                         	                 	                         	                     	incorrect sample designation. from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 22	X	 1	  67.00	    188.6700	Su       	Nannofossils                                 	F              	M-G               	F                    	                      	                      	C                       	                    	C                        	                         	                         	                     	                       	C                    	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 22	X	 2	   9.00	    189.5900	Su       	Nannofossils                                 	F              	M-G               	R                    	                      	                      	C                       	                    	A                        	F                        	                         	                     	                       	                     	F                     	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 22	X	 4	 122.00	    193.7200	Su       	Nannofossils                                 	A              	M-G               	R                    	T                     	R                     	R                       	                    	D                        	                         	                         	T                    	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 22	X	 6	  65.00	    196.1500	Su       	Nannofossils                                 	F              	M-G               	R                    	                      	                      	F                       	                    	C                        	C                        	                         	                     	                       	F                    	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 22	X	 7	  55.00	            	Su       	Nannofossils                                 	P              	M                 	                     	                      	                      	F                       	                    	A                        	                         	                         	                     	F                      	                     	                      	                       	                 	                         	                 	                         	                     	incorrect sample designation. from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 22	X	 7	  60.00	            	Su       	Nannofossils                                 	R              	M-G               	R                    	T                     	                      	C                       	                    	F                        	                         	                         	                     	C                      	                     	                      	                       	                 	                         	                 	                         	                     	incorrect sample designation. from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 23	X	 5	  94.00	    204.5400	Su       	Nannofossils                                 	P              	M                 	D                    	                      	                      	                        	                    	C                        	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 24	X	 1	  32.00	    207.5200	Su       	Nannofossils                                 	C              	M-G               	F                    	                      	                      	A                       	                    	C                        	                         	F                        	R                    	F                      	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 24	X	 1	 107.00	    208.2700	Su       	Nannofossils                                 	C              	M-G               	R                    	T                     	F                     	C                       	                    	A                        	                         	F                        	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 24	X	 2	  67.00	    209.3700	Su       	Nannofossils                                 	T              	M                 	C                    	                      	C                     	C                       	                    	C                        	R                        	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 24	X	 4	  35.00	    212.0500	Su       	Nannofossils                                 	P              	M                 	D                    	                      	                      	                        	                    	                         	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 24	X	 7	  10.00	    216.3000	Su       	Nannofossils                                 	T              	M-G               	A                    	                      	                      	                        	                    	                         	C                        	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 24	X	 7	  60.00	            	Su       	Nannofossils                                 	R              	M-G               	C                    	                      	T                     	                        	                    	                         	A                        	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	incorrect sample designation. from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 25	X	 1	  27.00	    217.0700	Su       	Nannofossils                                 	F              	M                 	C                    	F                     	C                     	R                       	                    	F                        	C                        	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 25	X	 1	  33.00	    217.1300	Su       	Nannofossils                                 	C              	M-G               	F                    	                      	T                     	D                       	                    	                         	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 25	X	 2	  77.00	    219.0700	Su       	Nannofossils                                 	R              	M                 	R                    	T                     	F                     	D                       	T                   	                         	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	 25	X	 3	  22.00	    220.0200	Su       	Nannofossils                                 	R              	P-M               	C                    	C                     	A                     	                        	                    	                         	                         	                         	                     	                       	                     	                      	                       	                 	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

