Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sin.),Globorotalia scitula,Globigerinita minuta,Globigerinita glutinata,Globigerina quinqueloba,Globigerina bulloides,Globigerinita uvula Group,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (dex.),Globorotalia theyeri,Tenuitella parkerae,Orbulina universa,Neogloboquadrina dutertrei,Comment
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 855,C,  5,R,CC,   0.00,     36.6000,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,A                                 ,                    ,R                   ,                       ,R                      ,A                    ,                         ,                                       ,                                     ,                                  ,                    ,                   ,                 ,                          ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114 & 118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 855,C,  6,R,CC,  15.00,     56.3300,Brunner  ,Planktonic Foraminifers                      ,R              ,M                 ,R                                 ,                    ,                    ,R                      ,                       ,                     ,                         ,                                       ,                                     ,                                  ,                    ,                   ,                 ,                          ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114 & 118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 855,C,  7,R,CC,   8.00,     65.4300,Brunner  ,Planktonic Foraminifers                      ,F              ,M                 ,F                                 ,                    ,                    ,                       ,                       ,F                    ,                         ,                                       ,                                     ,                                  ,                    ,                   ,                 ,                          ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114 & 118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 855,C,  9,R,CC,  10.00,     75.7600,Brunner  ,Planktonic Foraminifers                      ,R              ,G                 ,R                                 ,                    ,                    ,                       ,                       ,R                    ,R                        ,                                       ,                                     ,                                  ,                    ,                   ,                 ,                          ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114 & 118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 855,C, 10,R,CC,  18.00,     90.5300,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,R                                 ,                    ,                    ,                       ,R                      ,                     ,                         ,                                       ,                                     ,                                  ,                    ,                   ,                 ,                          ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114 & 118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 855,C, 11,R,CC,  11.00,     96.8900,Brunner  ,Planktonic Foraminifers                      ,F              ,G                 ,F                                 ,R                   ,R                   ,R                      ,R                      ,F                    ,                         ,                                       ,                                     ,                                  ,                    ,                   ,                 ,                          ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114 & 118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
