Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa (small),Coccolithus pelagicus,Gephyrocapsa Group 1,Gephyrocapsa Group 2,Crenalithus doronicoides,Gephyrocapsa Group 4,Emiliania huxleyi,Gephyrocapsa Group 3,Calcidiscus leptoporus,Braarudosphaera bigelowii,Gephyrocapsa caribbeanica,Coccolithus crassipons,Pontosphaera sp.,Pontosphaera japonica,Reticulofenestra sp.,Syracosphaera pulchra,Rhabdosphaera clavigera,Emiliania pujosae,Coccolithus streckerii,Umbilicosphaera mirabilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 855,C,  1,R, 6,  47.00,      7.9700,Mao      ,Nannofossils                                 ,C              ,M                 ,                    ,C                    ,C                   ,R                   ,                        ,R                   ,C                ,                    ,                      ,R                        ,                         ,                      ,                ,                     ,                    ,                     ,                       ,F                ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  1,R,CC,   7.00,      8.4000,Mao      ,Nannofossils                                 ,F              ,P                 ,F                   ,C                    ,                    ,                    ,                        ,                    ,R                ,                    ,R                     ,                         ,R                        ,                      ,                ,                     ,                    ,R                    ,                       ,                 ,                      ,R                        ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 855,C,  2,R, 1, 114.00,      9.8400,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,C                    ,C                   ,F                   ,                        ,R                   ,C                ,                    ,                      ,F                        ,                         ,                      ,                ,                     ,                    ,                     ,                       ,F                ,R                     ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 855,C,  2,R, 2,  91.00,     11.1100,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,C                    ,A                   ,R                   ,                        ,                    ,C                ,                    ,R                     ,F                        ,                         ,                      ,                ,                     ,                    ,                     ,                       ,F                ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 855,C,  2,R, 3,  86.00,     12.5600,Mao      ,Nannofossils                                 ,C              ,P                 ,                    ,F                    ,C                   ,                    ,                        ,R                   ,C                ,R                   ,R                     ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,F                ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 855,C,  2,R, 4,  33.00,     13.5300,Mao      ,Nannofossils                                 ,C              ,P                 ,                    ,F                    ,C                   ,                    ,                        ,                    ,C                ,                    ,R                     ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,F                ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 855,C,  2,R, 5,  95.00,     15.6500,Mao      ,Nannofossils                                 ,F              ,M                 ,                    ,R                    ,R                   ,                    ,                        ,                    ,F                ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,R                ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 855,C,  2,R, 6,  84.00,     17.0400,Mao      ,Nannofossils                                 ,C              ,M                 ,                    ,F                    ,C                   ,F                   ,                        ,                    ,C                ,                    ,R                     ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,F                ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  2,R,CC,   8.00,     17.9800,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,C                    ,                    ,                    ,                        ,                    ,R                ,                    ,                      ,R                        ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  3,R, 1,  90.00,     18.6000,Mao      ,Nannofossils                                 ,R              ,P                 ,                    ,R                    ,R                   ,                    ,                        ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  3,R, 2,  53.00,     19.7300,Mao      ,Nannofossils                                 ,R              ,P                 ,                    ,R                    ,                    ,                    ,                        ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  3,R, 3,  97.00,     21.6700,Mao      ,Nannofossils                                 ,R              ,M                 ,                    ,R                    ,R                   ,                    ,                        ,                    ,R                ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  3,R, 4,  56.00,     22.7600,Mao      ,Nannofossils                                 ,R              ,P                 ,                    ,R                    ,R                   ,                    ,                        ,                    ,R                ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  3,R,CC,  17.00,     25.3300,Mao      ,Nannofossils                                 ,C              ,P                 ,C                   ,F                    ,                    ,                    ,                        ,                    ,R                ,                    ,R                     ,                         ,R                        ,                      ,                ,                     ,                    ,R                    ,R                      ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  4,R, 1,  42.00,     27.5200,Mao      ,Nannofossils                                 ,R              ,P                 ,                    ,                     ,R                   ,                    ,                        ,                    ,R                ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  4,R, 2,  41.00,     29.0100,Mao      ,Nannofossils                                 ,F              ,M                 ,                    ,F                    ,F                   ,                    ,                        ,                    ,F                ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  4,R, 3,  62.00,     30.7200,Mao      ,Nannofossils                                 ,F              ,M                 ,                    ,F                    ,R                   ,F                   ,                        ,                    ,F                ,                    ,                      ,R                        ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  4,R, 4,  17.00,     31.7700,Mao      ,Nannofossils                                 ,C              ,M                 ,                    ,C                    ,F                   ,F                   ,                        ,                    ,F                ,                    ,                      ,R                        ,                         ,                      ,                ,                     ,                    ,R                    ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  4,R,CC,  11.00,     33.0200,Mao      ,Nannofossils                                 ,F              ,P                 ,F                   ,F                    ,                    ,                    ,                        ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  5,R,CC,   0.00,     36.6000,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,C                    ,                    ,                    ,                        ,                    ,R                ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  6,R, 1,   6.00,     46.5600,Mao      ,Nannofossils                                 ,F              ,P                 ,                    ,F                    ,F                   ,R                   ,                        ,                    ,R                ,                    ,                      ,                         ,                         ,R                     ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  6,R, 2,  12.00,     48.1200,Mao      ,Nannofossils                                 ,F              ,P                 ,                    ,F                    ,F                   ,                    ,R                       ,F                   ,R                ,R                   ,                      ,R                        ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  6,R, 3,   6.00,     49.5600,Mao      ,Nannofossils                                 ,C              ,P                 ,                    ,F                    ,C                   ,F                   ,                        ,F                   ,R                ,F                   ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  6,R, 4,  10.00,     51.1000,Mao      ,Nannofossils                                 ,F              ,P                 ,                    ,F                    ,F                   ,F                   ,F                       ,R                   ,R                ,R                   ,                      ,R                        ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  6,R, 5,   8.00,     52.5800,Mao      ,Nannofossils                                 ,C              ,P                 ,                    ,F                    ,C                   ,F                   ,R                       ,F                   ,R                ,R                   ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  6,R, 6,   2.00,     54.0200,Mao      ,Nannofossils                                 ,C              ,M                 ,                    ,F                    ,C                   ,F                   ,                        ,F                   ,R                ,F                   ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  6,R, 7,   3.00,     55.5300,Mao      ,Nannofossils                                 ,C              ,M                 ,                    ,F                    ,F                   ,                    ,C                       ,F                   ,R                ,                    ,R                     ,                         ,                         ,                      ,                ,                     ,F                   ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  6,R,CC,  15.00,     56.3300,Mao      ,Nannofossils                                 ,C              ,M                 ,C                   ,R                    ,                    ,                    ,                        ,                    ,R                ,                    ,                      ,R                        ,R                        ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  7,R, 1,  94.00,     57.0400,Mao      ,Nannofossils                                 ,C              ,M                 ,                    ,F                    ,C                   ,R                   ,F                       ,                    ,R                ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  7,R, 2,  95.00,     58.5500,Mao      ,Nannofossils                                 ,F              ,P                 ,                    ,                     ,F                   ,                    ,R                       ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  7,R, 3, 107.00,     60.1700,Mao      ,Nannofossils                                 ,F              ,P                 ,                    ,                     ,F                   ,                    ,                        ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  7,R, 4,  93.00,     61.5300,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,C                    ,A                   ,                    ,C                       ,F                   ,                 ,C                   ,                      ,                         ,                         ,F                     ,F               ,R                    ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  7,R, 6,  66.00,     64.2600,Mao      ,Nannofossils                                 ,F              ,P                 ,                    ,R                    ,F                   ,                    ,                        ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  7,R,CC,   8.00,     65.4300,Mao      ,Nannofossils                                 ,F              ,P                 ,F                   ,R                    ,                    ,                    ,                        ,                    ,R                ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  8,R,CC,  10.00,     67.2100,Mao      ,Nannofossils                                 ,R              ,P                 ,R                   ,                     ,                    ,                    ,                        ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C,  9,R, 1,  44.00,     75.6400,Mao      ,Nannofossils                                 ,A              ,P                 ,                    ,C                    ,A                   ,C                   ,                        ,R                   ,                 ,C                   ,                      ,                         ,                         ,R                     ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  9,R,CC,  10.00,     75.7600,Mao      ,Nannofossils                                 ,C              ,P                 ,C                   ,R                    ,                    ,                    ,                        ,                    ,R                ,                    ,                      ,                         ,R                        ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C, 10,R, 1,  96.00,     85.8600,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,F                    ,C                   ,F                   ,F                       ,C                   ,?                ,C                   ,R                     ,R                        ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C, 10,R, 3,  15.00,     86.5500,Mao      ,Nannofossils                                 ,C              ,P                 ,                    ,F                    ,C                   ,C                   ,F                       ,F                   ,                 ,C                   ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C, 10,R, 4,  13.00,     88.0300,Mao      ,Nannofossils                                 ,C              ,P                 ,                    ,F                    ,C                   ,F                   ,                        ,F                   ,                 ,F                   ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C, 10,R, 5,   7.00,     89.4700,Mao      ,Nannofossils                                 ,C              ,P                 ,                    ,                     ,C                   ,F                   ,F                       ,R                   ,R                ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,                  ,              ,139, 855,C, 10,R,CC,  18.00,     90.5300,Mao      ,Nannofossils                                 ,C              ,P                 ,C                   ,R                    ,                    ,                    ,                        ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C, 11,R, 1,  42.00,     95.0200,Mao      ,Nannofossils                                 ,C              ,P                 ,                    ,F                    ,C                   ,F                   ,F                       ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,C, 11,R, 2,  24.00,     96.3400,Mao      ,Nannofossils                                 ,R              ,P                 ,                    ,R                    ,R                   ,                    ,                        ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,                  ,              ,139, 855,C, 11,R,CC,  11.00,     96.8900,Mao      ,Nannofossils                                 ,R              ,P                 ,R                   ,R                    ,                    ,                    ,                        ,                    ,                 ,                    ,                      ,                         ,                         ,                      ,                ,                     ,                    ,                     ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
