Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Melonis pompilioides,Globocassidulina spp.,Eponides turgida,Elphidium spp.,Stainforthia complanata,Sphaeroidina bulloides,Nonionella digitata,Lagenid taxa,Globobulimina spp.,Epistominella pacifica,Elphidium excavatum,Buliminella elegantissima,Cibicidoides sp. A,Valvulineria sp. A,Rutherfordoides sp. A,Uvigerina senticosa,Triloculina spp.,Pyrgo spp.,Pullenia salisburyi,Oridorsalis tener,Melonis barleeanus,Gyroidinoides planulatus,Gyroidina spp.,Gavelinopsis (?) taxa,Epistominella exigua,Epistominella cf. E. vitrea,Cibicidoides wuellerstorfi,Cibicides kullenbergi,Bulimina ovula,Bolivina spp.,Quinqueloculina spp.,Pullenia bulloides,Nonionella cf. N. miocenica,Cassidulina reniforme,Globobulimina pacifica,Eggerella bradyi,Gyroidinoides altiformis,Globobulimina affinis,Cibicides fletcheri,Bolivina pacifica,Uvigerina dirupta,Pyrgo murrhina,Hoeglundina elegans,Chilostomella oolina,Bulimina inflata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C,  4,R,CC,  11.00,     33.0200,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,+                   ,+                    ,+               ,              ,                       ,+                     ,                   ,            ,                  ,                      ,                   ,                         ,+                 ,+                 ,+                    ,+                  ,                ,          ,+                  ,                 ,+                 ,+                       ,              ,                     ,                    ,                           ,                          ,                     ,+             ,             ,+                   ,+                 ,+                          ,+                    ,                      ,                ,                        ,                     ,                   ,                 ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C,  5,R,CC,   0.00,     36.6000,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,+                   ,                     ,+               ,              ,                       ,                      ,                   ,+           ,                  ,                      ,                   ,                         ,                  ,                  ,                     ,+                  ,+               ,+         ,+                  ,+                ,+                 ,+                       ,+             ,+                    ,+                   ,+                          ,+                         ,+                    ,+             ,+            ,                    ,                  ,                           ,                     ,                      ,                ,                        ,                     ,                   ,                 ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C,  6,R,CC,  15.00,     56.3300,Brunner  ,Benthic Foraminifers                         ,F              ,M                 ,                    ,                     ,                ,+             ,+                      ,                      ,                   ,+           ,                  ,                      ,                   ,                         ,                  ,+                 ,+                    ,                   ,                ,          ,                   ,                 ,                  ,                        ,              ,                     ,                    ,                           ,                          ,                     ,              ,             ,                    ,                  ,                           ,                     ,                      ,                ,                        ,                     ,                   ,                 ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C,  7,R,CC,   8.00,     65.4300,Brunner  ,Benthic Foraminifers                         ,R              ,M                 ,                    ,                     ,                ,              ,                       ,                      ,                   ,            ,                  ,                      ,                   ,                         ,+                 ,                  ,                     ,                   ,                ,          ,                   ,                 ,                  ,                        ,              ,                     ,                    ,                           ,                          ,                     ,              ,             ,                    ,                  ,                           ,                     ,                      ,                ,                        ,                     ,                   ,                 ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C,  9,R,CC,  10.00,     75.7600,Brunner  ,Benthic Foraminifers                         ,C              ,                  ,                    ,                     ,+               ,+             ,                       ,+                     ,+                  ,+           ,+                 ,+                     ,+                  ,+                        ,                  ,                  ,                     ,                   ,                ,          ,                   ,                 ,                  ,                        ,              ,                     ,                    ,                           ,                          ,                     ,              ,             ,                    ,                  ,                           ,                     ,                      ,                ,                        ,                     ,                   ,                 ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C, 10,R,CC,  18.00,     90.5300,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                    ,+                    ,                ,              ,+                      ,                      ,                   ,            ,                  ,                      ,                   ,                         ,                  ,                  ,                     ,                   ,                ,          ,                   ,                 ,                  ,                        ,              ,                     ,                    ,                           ,                          ,                     ,              ,             ,                    ,                  ,                           ,                     ,                      ,                ,                        ,                     ,                   ,                 ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C, 11,R,CC,  11.00,     96.8900,Brunner  ,Benthic Foraminifers                         ,R              ,                  ,+                   ,+                    ,+               ,+             ,                       ,                      ,                   ,            ,                  ,                      ,                   ,                         ,                  ,                  ,                     ,                   ,                ,          ,                   ,                 ,                  ,                        ,              ,                     ,                    ,                           ,                          ,                     ,              ,             ,                    ,                  ,                           ,                     ,                      ,                ,                        ,                     ,                   ,                 ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
