genus species name,species_taxon_id,species_taxon_name,tmp_genus_taxon_id,tmp_genus_taxon_name
Neogloboquadrina incompta,422469,Neogloboquadrina incompta,1917,Neogloboquadrina
Neogloboquadrina pachyderma,422473,Neogloboquadrina pachyderma,1917,Neogloboquadrina
Orbulina bilobata,,,,
Orbulina universa,113298,Orbulina universa,2002,Orbulina
Pulleniatina obliquiloculata,402446,Pulleniatina obliquiloculata,2325,Pulleniatina
Pulleniatina primalis,402448,Pulleniatina primalis,2325,Pulleniatina
Sphaeroidinellopsis kochi,402469,Sphaeroidinellopsis kochi,2569,Sphaeroidinellopsis
Sphaeroidinellopsis seminulina,382624,Sphaeroidinellopsis seminulina,2569,Sphaeroidinellopsis
Turborotalita quinqueloba,422372,Turborotalita quinqueloba,2740,Turborotalita
Abyssamina poagi,,,,
Abyssamina quadrata,,,,
Acervulina mabahethi,,,,
Adelosina dubia,,,,
Alabamina dissonata,,,,
Alabamina creta,,,,
Alabamina tenuimarginata,,,,
Alabaminella weddellensis,428766,Alabaminella weddellensis,423746,Alabaminella
Allomorphina conica,428696,Allomorphina conica,794,Allomorphina
Allomorphina pacifica,428697,Allomorphina pacifica,794,Allomorphina
Allomorphina polonica,428698,Allomorphina polonica,794,Allomorphina
Allomorphina velascoensis,,,,
Allomorphina whangaia,,,,
Ammobaculites agglutinans,,,,
Ammobaculites filiformis,428345,Ammobaculites filiformis,813,Ammobaculites
Ammobaculites wallalensis,428771,Ammobaculites wallalensis,813,Ammobaculites
Ammodiscus cretaceus,428346,Ammodiscus cretaceus,818,Ammodiscus
Ammoelphidiella pustulosa,428347,Ammoelphidiella pustulosa,819,Ammoelphidiella
Ammoelphidiella uniforamina,,,,
Ammonia beccarii,,,,
Ammonia tepida,,,,
Ammosphaeroidina pseudopauciloculata,,,,
Amphicoryna scalaris,,,,
Amphicoryna separans,,,,
Amphisorus hemprichii,240888,Amphisorus hemprichii,837,Amphisorus
Amphistegina bicirculata,,,,
Amphistegina hauerina,,,,
Amphistegina lessonii,241499,Amphistegina lessonii,838,Amphistegina
Amphistegina lobifera,,,,
Amphistegina papillosa,,,,
Amphistegina radiata,,,,
Angulogerina fueguina,,,,
Angulogerina angulosa,202769,Angulogerina angulosa,852,Angulogerina
Angulogerina earlandi,,,,
Angulogerina fluens,,,,
Angulogerina pauperata,,,,
Anomalina aotea,,,,
Anomalina indica,,,,
Anomalina praeacuta,382642,Anomalina praeacuta,859,Anomalinoides
Anomalina visenda,,,,
Anomalinoides acutus,,,,
Anomalinoides affinis,,,,
Anomalinoides ammonoides,,,,
Anomalinoides capitatus,,,,
Anomalinoides fasciatus,,,,
Anomalinoides globosus,,,,
Anomalinoides globulosus,,,,
Anomalinoides orbiculus,,,,
Anomalinoides piripaua,,,,
Anomalinoides rubiginosus,,,,
Anomalinoides semicribratus,,,,
Anomalinoides spissiformis,,,,
Antarcticella antarctica,,,,
Aragonia aragonensis,,,,
Aragonia materna,,,,
Aragonia ouezzanensis,,,,
Aragonia tenera,,,,
Aragonia zelandica,,,,
Arenobulimina truncata,,,,
Arenodosaria antipoda,,,,
Articulina alticostata,,,,
Articulina tubulosa,,,,
Articulina pacifica,,,,
Astacolus crepidulus,,,,
Astacolus parallelus,,,,
Astacolus bradyi,,,,
Asterigerina planorbis,,,,
Asterorotalia gaimardii,,,,
Astrononion antarcticus,,,,
Astrononion echolsi,,,,
Astrononion parki,,,,
Baculogypsina sphaerulata,,,,
Berthelina intermedia,,,,
Bigenerina nodosaria,,,,
Bolivina alata,,,,
Bolivina aliformis,,,,
Bolivina argentea,,,,
Bolivina byramensis,,,,
Bolivina robusta,,,,
Bolivina decussata,,,,
Bolivina glutinata,,,,
Bolivina huneri,,,,
Bolivina incrassata,,,,
Bolivina interjuncta,,,,
Bolivina lapsus,,,,
Bolivina minuta,,,,
Bolivina ordinaria,,,,
Bolivina pacifica,,,,
Bolivina pusilla,,,,
Bolivina reticulata,,,,
Bolivina seminuda,,,,
Bolivina semitruncata,,,,
Bolivina crenulata,,,,
Bolivina spathulata,,,,
Bolivina spissa,,,,
Bolivina striatula,,,,
Bolivina subaenariensis,,,,
Bolivina translucens,,,,
Bolivinella elegans,,,,
Bolivinellina translucens,,,,
Bolivinita elegantissima,,,,
Bolivinita pliozea,,,,
Bolivinita pohana,,,,
Bolivinita quadrilatera,,,,
Bolivinopsis compta,,,,
Bolivina pseudoplicata,202759,Bolivina pseudoplicata,995,Bolivina
Borelis melo,,,,
Brizalina alata,,,,
Brizalina difformis,,,,
Brizalina dilatata,,,,
Brizalina earlandi,,,,
Brizalina pacifica,,,,
Brizalina pusilla,,,,
Brizalina semilineata,,,,
Brizalina spathulata,,,,
Brizalina striatula,,,,
Buccella frigida,,,,
Buccella inusitata,,,,
Bulbobaculites problematicus,,,,
Bulimina acanthia,,,,
Bulimina aculeata,,,,
Bulimina alazanensis,,,,
Bulimina barbata,,,,
Bulimina bortonica,,,,
Bulimina costata,,,,
Bulimina elongata,113291,Bulimina elongata,1032,Bulimina
Bulimina forticosta,,,,
Bulimina gibba,,,,
Bulimina glomarchallengeri,,,,
Bulimina impendens,,,,
Bulimina inflata,,,,
Bulimina jarvisi,,,,
Bulimina macilenta,,,,
Bulimina marginata,113293,Bulimina marginata,1032,Bulimina
Bulimina mexicana,,,,
Bulimina midwayensis,,,,
Bulimina miolaevis,,,,
Bulimina pupoides,,,,
Bulimina pupula,,,,
Bulimina rostrata,,,,
Bulimina serratospina,,,,
Bulimina striata,,,,
Bulimina subbortonica,,,,
Bulimina thanetensis,,,,
Bulimina translucens,,,,
Bulimina triangularis,,,,
Bulimina trihedra,,,,
Bulimina trinitatensis,,,,
Bulimina truncanella,,,,
Bulimina tuxpamensis,,,,
Buliminella browni,,,,
Buliminella elegantissima,,,,
Buliminella grata,,,,
Buliminella parvula,,,,
Buliminella tenuata,,,,
Calcarina calcar,,,,
Cancris auricula,,,,
Cancris auriculus,241417,Cancris auriculus,1051,Cancris
Cancris inflatus,,,,
Cancris oblonga,,,,
Cassidulina californica,,,,
Cassidulina carinata,,,,
Cassidulina crassa,,,,
Cassidulina cuneata,,,,
Cassidulina cushmani,,,,
Cassidulina delicata,,,,
Cassidulina japonica,,,,
Cassidulina laevigata,,,,
Cassidulina minuta,,,,
Cassidulina norvangi,,,,
Cassidulina subglobosa,,,,
Cassidulina sulcata,,,,
Cassidulina teretis,,,,
Cassidulina translucens,,,,
Cassidulina tumida,,,,
Cassidulinoides parkerianus,,,,
Cassidulinoides porrectus,,,,
Cassidulinoides tenuis,,,,
Caudammina ovula,,,,
Ceratobulimina jonesiana,,,,
Cerebrina lacunata,,,,
Chilostomella oolina,,,,
Chilostomella ovoidea,,,,
Chilostomellina fimbriata,,,,
Chrysalogonium calomorphum,,,,
Chrysalogonium crassitestum,,,,
Chrysalogonium equisetiformis,,,,
Chrysalogonium intertenuatum,,,,
Chrysalogonium tenuicostatum,,,,
Cibicides bradyi,,,,
Cibicides lobatulus,,,,
Cibicides collinsi,,,,
Cibicides fletcheri,,,,
Cibicides grossepunctatus,,,,
Cibicides ihungia,,,,
Cibicides kullenbergi,,,,
Cibicides mckannai,,,,
Cibicides molestus,,,,
Cibicides mundulus,,,,
Cibicides neoperforatus,,,,
Cibicides novozelandicus,,,,
Cibicides pachyderma,,,,
Cibicides parki,,,,
Cibicides perforatus,,,,
Cibicides praecinctus,,,,
Cibicides refulgens,,,,
Cibicides robertsonianus,,,,
Cibicides robertsoninaus,,,,
Cibicides spiralis,,,,
Cibicides subhaidingeri,,,,
Cibicides temperatus,,,,
Cibicides vortex,,,,
Cibicides wuellerstorfi,,,,
Cibicidina walli,,,,
Cibicidoides laurisae,,,,
Cibicidoides barnetti,,,,
Cibicidoides bradyi,,,,
Cibicidoides eocaenus,,,,
Cibicidoides havanensis,,,,
Cibicidoides pachyderma,,,,
Cibicidoides ungerianus,,,,
Cibicidoides wuellerstorfi,,,,
Cibicidoides cicatricosus,,,,
Cibicidoides dohmi,,,,
Cibicidoides globulosus,,,,
Cibicidoides grimsdalei,,,,
Cibicidoides guazumalensis,,,,
Cibicidoides hyphalus,,,,
Cibicidoides incrassatus,,,,
Cibicidoides kullenbergi,,,,
Cibicidoides lobatulus,,,,
Cibicidoides mckannai,,,,
Cibicidoides micrus,,,,
Cibicidoides mundulus,,,,
Cibicidoides ornatus,,,,
Cibicidoides praemundulus,,,,
Cibicidoides pseudoungerianus,,,,
Cibicidoides refulgens,,,,
Cibicidoides renzi,,,,
Cibicidoides robertsonianus,,,,
Cibicidoides subhaidingerii,,,,
Cibicidoides subspiratus,,,,
Cibicidoides truncanus,,,,
Citharina plumoides,,,,
Clavulina mexicana,,,,
Clavulina subangularis,,,,
Clinapertina subplanispira,,,,
Conglophragmium irregularis,,,,
Cornuspira carinata,,,,
Cornuspira involvens,,,,
Coscinospira arietina,,,,
Coryphostoma midwayensis,,,,
Cribrononion kerguelenense,,,,
Cribrostomoides nonioininoides,,,,
Cribrostomoides subglobosus,,,,
Cristellaria bradyi,,,,
Cushmanina striatopunctata,,,,
Cyclammina amplectens,,,,
Cyclammina cancellata,,,,
Cyclammina incisa,351883,Cyclammina incisa,1218,Cyclammina
Cycloclypeus carpenteri,,,,
Cycloclypeus mediterraneus,,,,
Cyclorbiculina compressa,,,,
Cymbaloporella taballaeformis,,,,
Cystammina pauciloculata,,,,
Dentalina advena,,,,
Dentalina ariena,,,,
Dentalina bradyensis,,,,
Dentalina filiformis,,,,
Dentalina communis,,,,
Dentalina flintii,,,,
Dentalina inornata,,,,
Dentalina intorta,,,,
Dentalina subemaciata,,,,
Dentalina subsoluta,,,,
Discanomalina coronata,,,,
Discanomalina semipunctata,,,,
Discorbinella bertheloti,241475,Discorbinella bertheloti,1284,Discorbinella
Discorbis dimidiatus,,,,
Dorothia bradyana,,,,
Dorothia brevis,,,,
Dorothia bulleta,,,,
Dorothia elongata,,,,
Dorothia exilis,,,,
Dorothia goesi,,,,
Dorothia oxycona,,,,
Dorothia trochoides,,,,
Dorothia biformis,,,,
Echigoina hataii,,,,
Eggerella advena,,,,
Eggerella bradyi,,,,
Eggerella columna,,,,
Eggerella decepta,,,,
Ehrenbergina bicornis,,,,
Ehrenbergina carinata,,,,
Ehrenbergina glabra,,,,
Ehrenbergina histrix,,,,
Ehrenbergina marwicki,,,,
Ehrenbergina pacifica,,,,
Ehrenbergina pupa,,,,
Ehrenbergina trigona,,,,
Eilohedra rotunda,,,,
Eilohedra vitrea,,,,
Elphidium craticulatum,,,,
Ellipsodimorphina macrocephala,,,,
Elongobula parallela,,,,
Elphidium aculeatum,,,,
Elphidium advenum,241520,Elphidium advenum,1342,Elphidium
Elphidium jenseni,,,,
Elphidium charlottensis,,,,
Elphidium crispum,,,,
Elphidium excavatum,,,,
Elphidium hampdenense,,,,
Elphidium macellum,,,,
Elphidium magellanicum,,,,
Elphidium novozealandicum,,,,
Elphidium saginatum,,,,
Epistominella exigua,,,,
Epistominella pacifica,,,,
Epistominella pulchella,,,,
Epistominella smithi,,,,
Epistominella umbonifera,,,,
Epistominella vitrea,,,,
Eponides concinnus,,,,
Eponides regularis,,,,
Eponides repandus,,,,
Eubuliminella exilis,,,,
Euloxostomum pseudobeyrichi,,,,
Eusphaeroidina inflata,,,,
Euuvigerina bortotara,,,,
Euuvigerina peregrina,,,,
Euuvigerina pliozea,,,,
Euuvigerina wanzea,,,,
Favocassidulina favus,,,,
Favocassidulina spinifer,,,,
Favocassidulina subfavus,,,,
Fissurina alveolata,,,,
Fissurina radiata,,,,
Fissurina staphyllearia,,,,
Fissurina cucullata,,,,
Fissurina formosa,,,,
Fissurina lucida,202142,Fissurina lucida,1439,Fissurina
Fissurina marginata,,,,
Fissurina orbignyana,,,,
Fissurina semimarginata,,,,
Fissurina wiesneri,,,,
Frondicularia bulla,,,,
Frondicularia sagittula,,,,
Fursenkoina acuta,203686,Fursenkoina acuta,1460,Fursenkoina
Fursenkoina bradyi,,,,
Fursenkoina complanata,,,,
Fursenkoina fusiformis,,,,
Fursenkoina schreibersiana,,,,
Fursenkoina seminuda,,,,
Fursenkoina texturata,,,,
Gaudryina convexa,,,,
Gaudryina pyramidata,,,,
Gaudryina retusa,,,,
Gaudryina whangaia,,,,
Gavelinella becarriformis,,,,
Gavelinella ammonoides,,,,
Gavelinella stellula,,,,
Gavelinella complanata,,,,
Gavelinella hyphalus,,,,
Gavelinopsis lobatulus,,,,
Gavelinopsis praegeri,,,,
Glabratella patelliformis,,,,
Glandulina laevigata,352102,Nodosaria (Glandulina) laevigata,1492,Glandulina
Glandulina ovula,,,,
Globobulimina affinis,,,,
Globobulimina auriculata,,,,
Globobulimina ovata,,,,
Globobulimina pacifica,354869,Globobulimina pacifica,1512,Globobulimina
Globobulimina pupoides,,,,
Globobulimina spinescens,,,,
Globobulimina turgida,,,,
Globocassidulina biora,,,,
Globocassidulina crassa,,,,
Globocassidulina globosa,,,,
Globocassidulina moluccensis,,,,
Globocassidulina oblonga,,,,
Globocassidulina obtusa,,,,
Globocassidulina pseudocrassa,,,,
Globocassidulina punctata,,,,
Globocassidulina subglobosa,,,,
Globorotalites conicus,,,,
Globulina gibba,,,,
Glomospira charoides,,,,
Glomospira gordialis,,,,
Glomospira irregularis,,,,
Guttulina communis,,,,
Guttulina yabei,,,,
Gyroidina broeckhiana,,,,
Gyroidina gemma,,,,
Gyroidina neosoldanii,,,,
Gyroidina orbicularis,355077,Gyroidina orbicularis,1566,Gyroidina
Gyroidina zealandica,,,,
Gyroidinoides altiformis,,,,
Gyroidinoides allani,,,,
Gyroidinoides beisseli,,,,
Gyroidinoides depressus,,,,
Gyroidinoides girardanus,,,,
Gyroidinoides globosus,,,,
Gyroidinoides lenticulus,,,,
Gyroidinoides neosoldanii,,,,
Gyroidinoides nitidus,,,,
Gyroidinoides orbicularis,,,,
Gyroidinoides planulatus,,,,
Gyroidinoides primitivus,,,,
Gyroidinoides soldanii,,,,
Gyroidinoides subangulatus,,,,
Gyroidinoides zelandicus,,,,
Hanzawaia ammophila,,,,
Hanzawaia bertheloti,,,,
Hanzawaia complanata,,,,
Hanzawaia concentrica,,,,
Hanzawaia mantaensis,,,,
Hanzawaia rhodiensis,,,,
Hanzawaia turgida,,,,
Haplophragmoides chapmani,,,,
Haplophragmoides suborbicularis,,,,
Haplophragmoides walteri,154104,Haplophragmoides walteri,1586,Haplophragmoides
Hauerinella inconstans,,,,
Haynesina depressula,,,,
Heronallenia polita,,,,
Heronallenia lingulata,,,,
Heterolepa bradyi,,,,
Hoeglundina elegans,,,,
Hopkinsina mioindex,,,,
Hormosina trinitatensis,,,,
Hormosina velascoensis,,,,
Hyalinea balthica,,,,
Hyalinonetrion gracillimum,,,,
Hyperammina friabilis,,,,
Hyperammina laevigata,,,,
Islandiella australis,,,,
Islandiella norcrossi,,,,
Kalamopsis grzybowskii,,,,
Karreria fallax,,,,
Karreriella baccata,,,,
Karreriella bradyi,,,,
Karreriella chapapotensis,,,,
Karreriella chilostoma,,,,
Karreriella cylindrica,,,,
Karreriella novozealandica,153319,Karreriella novozealandica,1702,Karreriella
Karreriella parkerae,,,,
Karreriella subglabra,,,,
Karrerulina aegra,,,,
Karrerulina coniformis,,,,
Laevidentalina advena,,,,
Laevidentalina aphelis,,,,
Laevidentalina communis,,,,
Laevidentalina inflexa,,,,
Lagena caudata,,,,
Lagena elongata,,,,
Lagena gracilis,,,,
Lagena hispidula,,,,
Lagena laevis,,,,
Lagena meridionalis,,,,
Lagena nebulosa,,,,
Lagena semistriata,202017,Lagena semistriata,1739,Lagena
Lagena striata,202015,Lagena striata,1739,Lagena
Lagena sulcata,202337,Lagena sulcata,1739,Lagena
Lamarckina novozealandica,,,,
Latibolivina reticulata,,,,
Laticarinina pauperata,,,,
Lenticulina adenalensis,,,,
Lenticulina gibba,,,,
Lenticulina iota,,,,
Lenticulina mamilligera,,,,
Lenticulina orbicularis,,,,
Lenticulina peregrina,,,,
Lenticulina rotulata,350324,Lenticulina rotulata,1763,Lenticulina
Liebusella soldanii,,,,
Lingulina seminuda,,,,
Lobatula lobatula,,,,
Loxostomina major,,,,
Loxostomum karrerianum,,,,
Loxostomum limonense,,,,
Loxostomum pseudobeyrichi,,,,
Loxostomum truncatum,,,,
Marginulina obesa,,,,
Marginulinopsis stephensoni,,,,
Marssonella trochoides,,,,
Martinottiella communis,413802,Martinottiella communis,1817,Martinottiella
Martinottiella nodulosa,,,,
Martinottiella hosoyaensis,,,,
Matanzia varians,,,,
Melonis affine,,,,
Melonis affinis,,,,
Melonis barleeanum,241505,Melonis barleeanum,1836,Melonis
Melonis maorica,,,,
Melonis nicobarense,,,,
Melonis pacificus,,,,
Melonis pompilioides,,,,
Melonis soldanii,,,,
Melonis sphaeroides,,,,
Migros flintii,,,,
Miliammina arenacea,,,,
Miliammina echigoensis,,,,
Miliolinella oceanica,,,,
Miliolinella subrotunda,240855,Miliolinella subrotunda,1852,Miliolinella
Mucronina acuta,,,,
Mucronina compressa,,,,
Myllostomella costai,,,,
Myllostomella fijiensis,,,,
Myllostomella huygaensis,,,,
Neobulimina canadaensis,,,,
Neoeponides campester,,,,
Neoeponides hillebrandti,,,,
Neoeponides margaritifer,,,,
Neoeponides procerus,,,,
Neoflabellina semireticulata,,,,
Neogloboquadrina humerosa,402488,Neogloboquadrina humerosa,1917,Neogloboquadrina
Neolenticulina variabilis,,,,
Nodosarella robusta,,,,
Nodosaria albatrossi,,,,
Nodosaria aspera,,,,
Nodosaria longiscata,153343,Nodosaria longiscata,1952,Nodosaria
Nodosaria velascoensis,,,,
Nonion commune,,,,
Nonion germanicus,,,,
Nonion havanense,,,,
Nonion japonicum,,,,
Nonionella basispinata,,,,
Nonionella bradii,,,,
Nonionella flemingi,,,,
Nonionella globosa,,,,
Nonionella iridea,,,,
Nonionella labradorica,,,,
Nonionella pulchella,,,,
Nonionella stella,,,,
Nonionella turgida,,,,
Nonionellina labradorica,,,,
Nonionoides grateloupi,,,,
Nothia excelsa,,,,
Notoplanulina rakauraoana,,,,
Notorotalia briggsi,,,,
Notorotalia finlayi,,,,
Notorotalia kingmai,,,,
Notorotalia uttleyi,,,,
Notorotalia zelandica,,,,
Nuttallides carinotruempyi,,,,
Nuttallides florialis,,,,
Nuttallides umbonifera,,,,
Nuttallides truempyi,,,,
Nuttallinella florealis,,,,
Oolina globosa,,,,
Oolina laevigata,,,,
Oolina melo,,,,
Operculina ammonoides,,,,
Operculina complanata,,,,
Operculinella venosa,,,,
Ophthalmidium circularis,,,,
Oridorsalis tener,,,,
Oridorsalis umbonatus,,,,
Orthomorphina jedlitschkai,,,,
Orthomorphina challengeriana,,,,
Orthomorphina perversa,,,,
Osangularia bengalensis,,,,
Osangularia schoenbachi,,,,
Osangularia culter,,,,
Osangularia plummerae,,,,
Osangularia velascoensis,,,,
Paragloborotalia incognita,,,,
Paralabamina elevata,,,,
Paralabamina hillebrandti,,,,
Parasorites orbitolitoides,,,,
Parvicarinina alticamerata,,,,
Patellina antarctica,,,,
Patellinella corrugata,,,,
Pavonina flabelliformis,,,,
Peneroplis pertusus,,,,
Peneroplis planatus,,,,
Planctostoma luculenta,,,,
Planispirinoides bucculentus,,,,
Planoglabratella opercularis,,,,
Planorbulina mediterranensis,241486,Planorbulina mediterranensis,2144,Planorbulina
Planorbulinella larvata,,,,
Planorbulinella zelandica,,,,
Planularia australis,,,,
Planularia gemmata,,,,
Planulina ariminensis,,,,
Planulina dohertyi,,,,
Planulina exorna,,,,
Planulina ornata,,,,
Planulina renzi,,,,
Planulina subtenuissima,,,,
Planulina weullerstorfi,,,,
Planulina wuellerstorfi,,,,
Plectofrondicularia advena,,,,
Plectofrondicularia kerni,354841,Plectofrondicularia kerni,2154,Plectofrondicularia
Plectofrondicularia lirata,,,,
Plectofrondicularia proparri,,,,
Plectofrondicularia vaughni,,,,
Pleurostomella acuminata,,,,
Pleurostomella acuta,,,,
Pleurostomella alternans,113297,Pleurostomella alternans,2162,Pleurostomella
Pleurostomella brevis,,,,
Pleurostomella cylindrica,,,,
Pleurostomella paleocenica,,,,
Pleurostomella recens,,,,
Pleurostomella subnodosa,,,,
Pleurostomella tenuis,,,,
Poroeponides lateralis,,,,
Praebulimina ovulum,,,,
Praeglobobulimina spinescens,,,,
Praeglobobulimina ovata,,,,
Praeglobobulimina pupoides,,,,
Praesphaerammina gerochi,,,,
Procerolagena gracilis,,,,
Procerolagena gracillima,,,,
Proxifrons inaequalis,,,,
Psammosiphonella cylindrica,,,,
Pseudoclavulina anglica,,,,
Pseudoclavulina juncea,,,,
Pseudoglandulina glanduliniformis,,,,
Pseudonodosaria obesa,,,,
Pseudononion auricula,,,,
Pseudoparrella exigua,,,,
Pseudorotalia globosa,,,,
Pseudorotalia indopacifica,,,,
Pseudorotalia schroetiana,,,,
Pullenia bulloides,,,,
Pullenia jarvisis,,,,
Pullenia coryelli,,,,
Pullenia elegans,,,,
Pullenia jarvisi,,,,
Pullenia marssoni,,,,
Pullenia quinqueloba,355102,Pullenia quinqueloba,2324,Pullenia
Pullenia salisburyi,,,,
Pullenia simplex,,,,
Pullenia subcarinata,,,,
Pyramidulina glanduliniformis,,,,
Pyrgo comata,,,,
Pyrgo denticulata,240857,Pyrgo denticulata,2334,Pyrgo
Pyrgo depressa,,,,
Pyrgo elongata,,,,
Pyrgo laevis,,,,
Pyrgo lucernula,,,,
Pyrgo murrhina,,,,
Pyrgo serrata,,,,
Pyrgo simplex,,,,
Pyrgo subsphaerica,,,,
Pyrgoella irregularis,,,,
Pyrgoella sphaera,,,,
Pyrulina cylindroides,,,,
Pyrulina angusta,,,,
Quadrimorphina allomorphinoides,,,,
Quinqueloculina agglutinans,,,,
Quinqueloculina akneriana,,,,
Quinqueloculina bicostata,,,,
Quinqueloculina bosciana,,,,
Quinqueloculina bradyana,,,,
Quinqueloculina candeiana,,,,
Quinqueloculina exmouthensis,,,,
Quinqueloculina granulocostata,,,,
Quinqueloculina lamarckiana,240844,Quinqueloculina lamarckiana,2355,Quinqueloculina
Quinqueloculina neocostata,,,,
Quinqueloculina patagonica,,,,
Quinqueloculina philippinensis,,,,
Quinqueloculina seminula,,,,
Quinqueloculina stalkeri,,,,
Quinqueloculina subpolygona,,,,
Ramulina globulifera,,,,
Rectobolivina bifrons,,,,
Rectobolivina maoria,,,,
Rectobolivina striatula,,,,
Rectuvigerina multicostata,,,,
Rectuvigerina rerensis,,,,
Rectuvigerina royoi,,,,
Rectuvigerina striata,,,,
Reophax agglutinatus,,,,
Reophax subfusiformis,,,,
Reussella spinulosa,,,,
Reussella finlayi,,,,
Reussella szajnochae,,,,
Rhabdammina linearis,,,,
Rhizammina algaeformis,,,,
Robertina bradyi,,,,
Rosalina bradyi,,,,
Rosalina globularis,241436,Rosalina globularis,2428,Rosalina
Rotaliatina sulcigera,,,,
Rotalina oblonga,,,,
Rotalinoides compressiusculus,,,,
Rotalinoides gaimardii,,,,
Rudigaudryina minor,,,,
Rupertina stabilis,,,,
Rutherfordoides mexicanus,,,,
Rzehakina epigona,,,,
Saccammina placenta,,,,
Sagrinella jugosa,,,,
Sahulia barkeri,,,,
Saracenaria altifrons,,,,
Saracenaria latiforns,,,,
Saracenaria volpicelli,,,,
Scallopostoma ovicula,,,,
Schenckiella weymouthi,,,,
Seabrookia rugosa,,,,
Septotextularia rugosa,,,,
Sigmavirgulina tortuosa,241034,Sigmavirgulina tortuosa,2519,Sigmavirgulina
Sigmoidella elegantissima,,,,
Sigmoilina distorta,,,,
Sigmoilina obesa,,,,
Sigmoilopsis compressa,,,,
Sigmoilopsis neocelata,,,,
Sigmoilopsis schlumbergeri,,,,
Sigmopyrgo vespertilio,,,,
Siphogenerina raphana,,,,
Siphogenerina columellaris,241024,Siphogenerina columellaris,2538,Siphogenerina
Siphogenerina dimorpha,,,,
Siphogenerina indica,,,,
Siphogenerina pacifica,,,,
Siphoniferoides siphonifera,,,,
Siphonina australis,,,,
Siphonina bradyana,241469,Siphonina bradyana,2544,Siphonina
Siphonina pozonensis,,,,
Siphonina tenuicarinata,,,,
Siphonina tubulosa,,,,
Siphonodosaria abyssorum,,,,
Siphonodosaria annulifera,,,,
Siphonodosaria holoserica,,,,
Siphonodosaria ketienziensis,,,,
Siphonodosaria cooperensis,,,,
Siphonodosaria hispidula,,,,
Siphonodosaria insecta,,,,
Siphonodosaria lepidula,,,,
Siphonodosaria longispina,,,,
Siphonodosaria pomuligera,,,,
Siphonodosaria sargrinensis,,,,
Siphonodosaria subspinosa,,,,
Siphonodosaria subtertenuata,,,,
Siphotextularia rolshauseni,,,,
Siphotextularia wairoana,,,,
Siphouvigerina ampullacea,,,,
Siphouvigerina hispida,,,,
Siphouvigerina interrupta,,,,
Siphouvigerina notohispida,,,,
Siphouvigerina plebeja,,,,
Siphouvigerina porrecta,241026,Siphouvigerina porrecta,2551,Siphouvigerina
Sorites orbiculus,,,,
Sphaerogypsina globulus,,,,
