Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Crenalithus doronicoides,Coccolithus pelagicus,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1077,A,  4,H, 3,  50.00,     27.5000,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,F                    ,F                        ,C                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1077,A,  4,H, 5, 150.00,     31.5000,Giraudeau,Nannofossils                                 ,A              ,P                 ,-                      ,-                       ,-                   ,D                        ,C                    ,C                        ,R                ,-                       ,-                    ,-                     ,Dissolution ++
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1077,A,  4,H,CC,  18.00,     33.8500,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,C                    ,R                        ,C                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1077,A,  5,H,CC,  23.00,     43.3900,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,F                    ,C                        ,C                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1077,A,  6,H, 5, 130.00,     50.3000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,-                       ,-                   ,D                        ,F                    ,A                        ,F                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1077,A,  6,H,CC,  19.00,     52.9300,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,F                    ,C                        ,F                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1077,A,  7,H, 3, 130.00,     56.8000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,-                       ,-                   ,D                        ,C                    ,C                        ,R                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN20          ,175,1077,A,  7,H, 5, 130.00,     59.8400,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,-                       ,-                   ,C                        ,C                    ,D                        ,-                ,-                       ,-                    ,-                     ,Nannos very abundant H. inversa (LO = top NN20)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN20          ,175,1077,A,  7,H,CC,  31.00,     62.5500,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,A                        ,R                    ,D                        ,-                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A,  8,H, 3, 130.00,     66.3000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,C                        ,C                    ,D                        ,-                ,-                       ,-                    ,-                     ,Top NN19
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A,  8,H, 5, 130.00,     69.3000,Giraudeau,Nannofossils                                 ,C              ,M                 ,-                      ,R                       ,-                   ,C                        ,R                    ,D                        ,-                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A,  8,H,CC,  24.00,     72.2400,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,F                       ,-                   ,C                        ,R                    ,D                        ,-                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A,  9,H, 3, 130.00,     75.8000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,D                        ,C                    ,C                        ,-                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A,  9,H, 5, 130.00,     78.8000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,D                        ,R                    ,C                        ,-                ,F                       ,-                    ,-                     ,Small Gephyrocapsa acme ss Weaver (1993)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A,  9,H,CC,  18.00,     80.8900,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,D                        ,C                    ,C                        ,-                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 10,H, 6,  10.00,     88.2000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,D                        ,C                    ,A                        ,-                ,R                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 10,H,CC,  40.00,     91.2600,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,F                       ,-                   ,A                        ,C                    ,A                        ,-                ,C                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 11,H, 3, 110.00,     94.6000,Giraudeau,Nannofossils                                 ,A              ,P                 ,-                      ,R                       ,-                   ,D                        ,C                    ,C                        ,-                ,R                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 11,H, 5, 110.00,     97.4000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,D                        ,C                    ,C                        ,-                ,C                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 11,H,CC,  17.00,    100.4600,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,D                        ,R                    ,C                        ,-                ,C                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 12,H, 3,  10.00,    103.1000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,D                        ,R                    ,C                        ,-                ,R                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 12,H, 6,   2.00,    107.5200,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,R                       ,-                   ,D                        ,R                    ,C                        ,-                ,R                       ,R                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 12,H,CC,  24.00,    110.1900,Giraudeau,Nannofossils                                 ,               ,                  ,-                      ,R                       ,-                   ,D                        ,R                    ,C                        ,-                ,C                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 13,H, 2, 140.00,    112.4000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,D                        ,-                    ,C                        ,-                ,R                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 13,H, 6,  10.00,    117.1000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,-                   ,D                        ,R                    ,A                        ,-                ,C                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 14,H, 2, 140.00,    121.9000,Giraudeau,Nannofossils                                 ,R              ,P                 ,-                      ,-                       ,-                   ,-                        ,-                    ,+                        ,-                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 14,H,CC,  22.00,    127.4700,Giraudeau,Nannofossils                                 ,A              ,M                 ,R                      ,R                       ,-                   ,A                        ,F                    ,C                        ,-                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 15,H, 2, 140.00,    131.4000,Giraudeau,Nannofossils                                 ,C              ,M                 ,R                      ,R                       ,-                   ,D                        ,-                    ,-                        ,-                ,F                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 15,H,CC,  23.00,    138.6700,Giraudeau,Nannofossils                                 ,A              ,M                 ,R                      ,R                       ,-                   ,D                        ,-                    ,F                        ,-                ,F                       ,-                    ,-                     ,Small Gephyrocapsa acme ss Weaver (1993)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 16,H, 3,  10.00,    141.1000,Giraudeau,Nannofossils                                 ,A              ,M                 ,R                      ,R                       ,-                   ,D                        ,-                    ,C                        ,-                ,C                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 16,H,CC,  39.00,    148.2800,Giraudeau,Nannofossils                                 ,A              ,P                 ,R                      ,F                       ,-                   ,D                        ,-                    ,-                        ,-                ,-                       ,R                    ,-                     ,Small Gephyrocapsa acme ss Gartner (1977)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 17,H, 3,  30.00,    150.8000,Giraudeau,Nannofossils                                 ,C              ,M                 ,-                      ,+                       ,-                   ,D                        ,-                    ,-                        ,-                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 17,H, 6,  10.00,    154.8000,Giraudeau,Nannofossils                                 ,A              ,P                 ,-                      ,R                       ,-                   ,D                        ,-                    ,F                        ,-                ,R                       ,R                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 17,H,CC,  19.00,    157.5500,Giraudeau,Nannofossils                                 ,A              ,P                 ,-                      ,R                       ,R                   ,D                        ,F                    ,F                        ,-                ,R                       ,R                    ,-                     ,LO H. sellii (>1.25 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 18,H, 3,  80.00,    160.8000,Giraudeau,Nannofossils                                 ,C              ,P                 ,-                      ,R                       ,R                   ,D                        ,-                    ,-                        ,-                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 18,H,CC,  22.00,    166.7300,Giraudeau,Nannofossils                                 ,A              ,P                 ,-                      ,R                       ,R                   ,D                        ,F                    ,C                        ,-                ,R                       ,-                    ,R                     ,LO C. macintyrei (>1.67 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 19,H,CC,  27.00,    176.3900,Giraudeau,Nannofossils                                 ,C              ,P                 ,-                      ,+                       ,R                   ,D                        ,-                    ,+                        ,-                ,+                       ,R                    ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 20,H,CC,  25.00,    185.9300,Giraudeau,Nannofossils                                 ,C              ,P                 ,-                      ,-                       ,R                   ,A                        ,-                    ,A                        ,-                ,R                       ,-                    ,R                     ,Base NN19
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,175,1077,A, 21,H,CC,  25.00,    195.4900,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,R                       ,F                   ,D                        ,-                    ,-                        ,-                ,-                       ,-                    ,R                     ,Probabaly top NN18 (see paleomag.) but D. brouweri is missing.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
