Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus spp.	Reticulofenestra spp.	Reticulofenestra pseudoumbilica	Minylitha convallis	Discoaster variabilis	Discoaster spp.	Discoaster calcaris	Discoaster brouweri	Discoaster archipelagoensis	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Placolith (small)	Helicosphaera sp.	Discoaster toralis	Discoaster pentaradiatus	Discoaster andamanensis	Angulolithina arca	Pentalith (fragments)	Pemma papillatum	Helicosphaera sp. aff. H. intermedia	Helicosphaera carteri	Ericsonia formosa	Discoaster quinqueramus	Discoaster exilis	Discoaster deflandrei	Dictyococcites bisectus	Cyclicargolithus floridanus	Triquetrorhabdulus farnsworthii	Pontosphaera sp.	Discoaster pansus	Discoaster challengeri	Amaurolithus amplificus	Triquetrorhabdulus rugosus	Discoaster sp. aff. D. giganteus	Discoaster berggrenii	Discoaster surculus	Discoaster blackstockae	Micrantholithus spp.	Amaurolithus ninae	Pseudoemiliania lacunosa	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Emiliania ovata	Discoaster sublodoensis	Discoaster kuepperi	Ceratolithus cristatus	Umbellosphaera irregularis	Rhabdosphaera sp.	Discoaster bollii	Ceratolithus telesmus	Comment

  SR	Late Miocene     	                 	CN9b              	              	135	 841	A	  9	X	 1	   3.00	     71.7300	Quinterno	Nannofossils                                 	               	                  	R                	                     	                               	F                  	                     	F              	                   	                   	                           	                     	                      	                      	F                	                 	                  	                        	                       	                  	                     	                	                                    	                     	                 	                       	                 	                     	                       	                           	R                              	                	                 	                      	                       	                          	                                	R                    	                   	R                      	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 841	A	  9	X	CC	   0.00	     72.7100	Quinterno	Nannofossils                                 	               	                  	F                	F                    	                               	                   	F                    	F              	                   	F                  	                           	                     	                      	                      	C                	                 	                  	R                       	                       	                  	                     	                	                                    	                     	                 	F                      	                 	                     	                       	                           	                               	                	                 	R                     	                       	                          	                                	F                    	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 841	A	 10	X	CC	   6.00	     81.4600	Quinterno	Nannofossils                                 	               	                  	C                	C                    	                               	                   	C                    	C              	                   	C                  	C                          	F                    	R                     	R                     	C                	                 	                  	R                       	                       	                  	rR                   	                	R                                   	                     	                 	C                      	                 	                     	                       	                           	                               	                	                 	                      	                       	                          	R                               	C                    	R                  	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	uncertain identity of D. sp. aff. giganteus; from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 841	A	 11	X	CC	   0.00	     92.4000	Quinterno	Nannofossils                                 	               	                  	R                	                     	                               	                   	                     	R              	                   	R                  	R                          	F                    	                      	                      	R                	                 	                  	                        	                       	                  	                     	                	                                    	                     	                 	F                      	                 	                     	                       	                           	                               	                	                 	                      	                       	R                         	R                               	F                    	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	uncertain identity of D. sp. aff. giganteus & T. rugosus; from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 841	A	 15	X	 1	  11.00	    129.7100	Quinterno	Nannofossils                                 	               	                  	R                	C                    	                               	C                  	F                    	F              	                   	F                  	F                          	F                    	                      	F                     	A                	                 	                  	                        	                       	F                 	                     	                	                                    	R                    	                 	                       	                 	                     	                       	                           	R                              	R               	R                	R                     	R                      	                          	                                	                     	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN9b              	CN9b          	135	 841	A	 15	X	CC	   0.00	    130.3900	Quinterno	Nannofossils                                 	               	                  	R                	                     	                               	R                  	R                    	F              	                   	R                  	R                          	                     	                      	R                     	F                	                 	                  	R                       	                       	                  	                     	                	                                    	R                    	                 	                       	                 	                     	                       	                           	R                              	                	                 	                      	                       	                          	                                	                     	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN9b              	CN9b          	135	 841	A	 16	X	CC	   0.00	    139.6400	Quinterno	Nannofossils                                 	               	                  	C                	F                    	F                              	C                  	F                    	F              	                   	F                  	                           	C                    	                      	F                     	C                	C                	                  	R                       	                       	                  	                     	                	F                                   	C                    	                 	                       	                 	                     	rR                     	                           	R                              	R               	                 	                      	                       	                          	                                	                     	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN9a              	CN9b          	135	 841	A	 17	X	CC	  25.00	    150.0000	Quinterno	Nannofossils                                 	               	                  	C                	C                    	R                              	C                  	F                    	R              	                   	                   	F                          	F                    	R                     	F                     	                 	                 	                  	                        	                       	                  	rR                   	rR              	F                                   	F                    	rR               	R                      	rR               	rR                   	rR                     	rR                         	                               	                	                 	                      	                       	                          	                                	                     	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN8               	              	135	 841	A	 18	X	 1	  36.00	    154.2600	Quinterno	Nannofossils                                 	               	                  	                 	                     	                               	F                  	                     	R              	                   	                   	R                          	R                    	                      	R                     	                 	                 	                  	                        	                       	                  	                     	                	                                    	                     	                 	                       	                 	                     	                       	                           	                               	                	                 	                      	                       	                          	                                	                     	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN8               	              	135	 841	A	 19	X	CC	   7.00	    159.7300	Quinterno	Nannofossils                                 	               	                  	                 	                     	                               	R                  	                     	               	                   	                   	                           	                     	                      	                      	                 	                 	                  	                        	                       	                  	                     	                	                                    	                     	                 	                       	                 	                     	                       	                           	                               	                	                 	                      	                       	                          	                                	                     	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN8               	              	135	 841	A	 20	X	CC	   4.00	    168.7400	Quinterno	Nannofossils                                 	               	                  	C                	F                    	F                              	C                  	F                    	C              	                   	C                  	C                          	                     	                      	F                     	C                	F                	R                 	R                       	R                      	R                 	                     	                	                                    	                     	                 	                       	                 	                     	                       	                           	                               	                	                 	                      	                       	                          	                                	                     	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN8               	              	135	 841	A	 21	X	 1	  81.00	    177.7100	Quinterno	Nannofossils                                 	               	                  	C                	C                    	F                              	C                  	F                    	C              	F                  	C                  	C                          	R                    	R                     	R                     	                 	                 	                  	                        	                       	                  	                     	                	                                    	                     	                 	                       	                 	                     	                       	                           	                               	                	                 	                      	                       	                          	                                	                     	                   	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

