Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongotrochus glacialis,Actinomma plasticum,Eucoronis fridtjofnanseni,Clathrospyris sandellae,Ceratocyrtis robustus,Lithomelissa setosa,Corythospyris hispida,Cycladophora davisiana cornutoides,Ceratocyrtis mashae,Phorticium clevei,Ceratocyrtis galeus,Spongurus cauleti,Botryostrobus seriatus,Artostrobus jorgenseni,Larcospira bulbosa (?),Ceratocyrtis histricosa,Lithomelissa stigi,Tessarastrum thiedei,Siphocampe arachnea,Pseudodictyophimus gracilipes tetracanthus,Antarctissa whitei,Challengeron diodon,Drymyomma elegans,Comment
  IR,Pliocene         ,                 ,S. ?tetras        ,P. grac. tetracanth.,,151,907,A,8,H,2,69.00,66.4900,Hull     ,Radiolarians                                 ,               ,                  ,                       ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,                      ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,+                  ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. ?tetras        ,P. grac. tetracanth.,,151,907,A,8,H,4,84.00,69.6400,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,                      ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,+                  ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. ?tetras        ,P. grac. tetracanth.,,151,907,A,8,H,6,37.00,72.1700,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,                      ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,+                  ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. ?tetras        ,P. grac. tetracanth.,,151,907,A,8,H,CC,21.00,74.0600,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,+                  ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,A. whitei         ,              ,,151,907,A,9,H,5,79.00,80.5900,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,A. whitei         ,              ,,151,907,A,9,H,CC,33.00,83.9400,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,L. cricus         ,A. whitei     ,,151,907,A,11,H,2,25.00,94.5500,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,L. cricus         ,A. whitei     ,,151,907,A,11,H,3,36.00,96.1600,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,L. cricus         ,A. whitei     ,,151,907,A,11,H,5,117.00,99.9700,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,L. cricus         ,A. whitei     ,,151,907,A,11,H,7,60.00,102.4000,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,                      ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,L. cricus         ,A. whitei     ,,151,907,A,11,H,CC,20.00,102.8400,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,+                     ,                      ,+                      ,                  ,                    ,+                  ,+                                         ,+                 ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,T. thiedei        ,              ,,151,907,A,12,H,1,96.00,103.2600,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,+                     ,                      ,+                      ,                  ,+                   ,+                  ,+                                         ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. cauleti        ,L. bulbosa    ,,151,907,A,12,H,5,65.00,108.9500,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,+                     ,+                     ,                      ,+                      ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. cauleti        ,L. bulbosa    ,,151,907,A,12,H,CC,25.00,112.2200,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,+                ,+                     ,+                     ,                      ,+                      ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. cauleti        ,L. bulbosa    ,,151,907,A,13,H,CC,13.00,121.7500,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,+                  ,+                ,                   ,+                ,+                     ,+                     ,                      ,+                      ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. cauleti        ,L. bulbosa    ,,151,907,A,14,H,1,60.00,121.9000,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,+                  ,+                ,                   ,+                ,+                     ,+                     ,                      ,+                      ,+                 ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. cauleti        ,L. bulbosa    ,,151,907,A,14,H,3,59.00,124.8900,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,+                  ,+                ,                   ,+                ,+                     ,+                     ,+                     ,+                      ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. cauleti        ,L. bulbosa    ,,151,907,A,14,H,5,60.00,127.9000,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,+                  ,                     ,+                                 ,+                  ,+                ,                   ,+                ,+                     ,+                     ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. cauleti        ,L. bulbosa    ,,151,907,A,14,H,6,84.00,129.6400,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,+                  ,                     ,+                                 ,+                  ,+                ,                   ,+                ,+                     ,+                     ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,S. cauleti        ,L. bulbosa    ,,151,907,A,14,H,CC,21.00,131.1900,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,+                  ,                     ,+                                 ,+                  ,+                ,                   ,+                ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E.fridtjof-C.reusch.,              ,,151,907,A,15,H,CC,25.00,140.5000,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,+                      ,                     ,+                  ,                     ,+                                 ,+                  ,+                ,+                  ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E.fridtjof-C.reusch.,              ,,151,907,A,16,H,3,51.00,143.8100,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,+                      ,                     ,+                  ,                     ,+                                 ,+                  ,                 ,                   ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E.fridtjof-C.reusch.,              ,,151,907,A,16,H,CC,27.00,150.1800,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,+                      ,                     ,+                  ,                     ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E.fridtjof-C.reusch.,              ,,151,907,A,17,H,5,40.00,156.2000,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,+                        ,+                      ,+                    ,+                  ,                     ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E.fridtjof-C.reusch.,              ,,151,907,A,17,H,CC,23.00,159.7700,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,+                        ,+                      ,+                    ,+                  ,                     ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E.fridtjof-C.reusch.,              ,,151,907,A,18,H,CC,23.00,169.1300,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,+                        ,+                      ,+                    ,+                  ,+                    ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E.fridtjof-C.reusch.,              ,,151,907,A,19,H,CC,21.00,178.7600,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,+                        ,+                      ,+                    ,                   ,                     ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E.fridtjof-C.reusch.,              ,,151,907,A,20,H,CC,22.00,188.1200,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,+                        ,+                      ,+                    ,                   ,                     ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E. fridtjofnanseni,              ,,151,907,A,21,H,4,10.00,192.4000,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,+                  ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,E. fridtjofnanseni,              ,,151,907,A,21,H,CC,0.00,197.3800,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,                       ,                  ,                    ,                   ,                                          ,                  ,                   ,                 ,from Leg 151IR. Ch 5. Fig 11
